orf	hap a | protein transport to the vacuole (Sec61-mCherry/GFP, Rtn1-GFP) | rapamycin [200 ug/L] | SC - Leu | Chen S~Ferro-Novick  S, 2020
YAL002W	-8.711104024940427
YBL058W	-8.711104024940427
YBL078C	-8.711104024940427
YBR077C	-8.711104024940427
YBR128C	-8.711104024940427
YBR131W	-8.711104024940427
YBR171W	-8.711104024940427
YBR217W	-8.711104024940427
YCL056C	-8.711104024940427
YCR068W	-8.711104024940427
YDL149W	-8.711104024940427
YDR069C	-8.711104024940427
YDR108W	-8.711104024940427
YDR309C	-8.711104024940427
YDR315C	-8.711104024940427
YER155C	-8.711104024940427
YFL033C	-8.711104024940427
YFR021W	-8.711104024940427
YGL180W	-8.711104024940427
YGL212W	-8.711104024940427
YHL007C	-8.711104024940427
YHR098C	-8.711104024940427
YHR171W	-8.711104024940427
YHR192W	-8.711104024940427
YIL007C	-8.711104024940427
YIL017C	-8.711104024940427
YIL040W	-8.711104024940427
YIL064W	-8.711104024940427
YIL098C	-8.711104024940427
YJL154C	-8.711104024940427
YKL002W	-8.711104024940427
YKR027W	-8.711104024940427
YLL040C	-8.711104024940427
YLL042C	-8.711104024940427
YLR240W	-8.711104024940427
YLR262C	-8.711104024940427
YLR360W	-8.711104024940427
YLR423C	-8.711104024940427
YLR452C	-8.711104024940427
YML001W	-8.711104024940427
YML016C	-8.711104024940427
YNL054W	-8.711104024940427
YNL081C	-8.711104024940427
YNL084C	-8.711104024940427
YNL145W	-8.711104024940427
YNL223W	-8.711104024940427
YNR007C	-8.711104024940427
YNR047W	-8.711104024940427
YOR068C	-8.711104024940427
YOR069W	-8.711104024940427
YOR106W	-8.711104024940427
YOR152C	-8.711104024940427
YPL045W	-8.711104024940427
YPL120W	-8.711104024940427
YPL149W	-8.711104024940427
YPL154C	-8.711104024940427
YPL268W	-8.711104024940427
YPR049C	-8.711104024940427
YPR173C	-8.711104024940427
YPR185W	-8.711104024940427
