orf	hom | growth (culture turbidity) | cobalt dichloride [2 mM] | YPD | Zhao Y~Deng Y, 2020
YAR003W	-5.461690705219138
YAR014C	-5.461690705219138
YBL008W	-5.461690705219138
YBL024W	-5.461690705219138
YBL079W	-5.461690705219138
YBL083C	-5.461690705219138
YBR127C	-5.461690705219138
YBR289W	-5.461690705219138
YCL007C	-5.461690705219138
YCR094W	-5.461690705219138
YDL122W	-5.461690705219138
YDL226C	-5.461690705219138
YDR004W	-5.461690705219138
YDR007W	-5.461690705219138
YDR092W	-5.461690705219138
YDR159W	-5.461690705219138
YDR217C	-5.461690705219138
YDR369C	-5.461690705219138
YDR442W	-5.461690705219138
YDR448W	-5.461690705219138
YDR456W	-5.461690705219138
YDR470C	-5.461690705219138
YDR477W	-5.461690705219138
YDR479C	-5.461690705219138
YDR486C	-5.461690705219138
YDR495C	-5.461690705219138
YDR504C	-5.461690705219138
YDR525W	-5.461690705219138
YEL027W	-5.461690705219138
YEL031W	-5.461690705219138
YEL044W	-5.461690705219138
YER116C	-5.461690705219138
YFL001W	-5.461690705219138
YFR020W	-5.461690705219138
YFR032C-A	-5.461690705219138
YFR049W	-5.461690705219138
YGL025C	-5.461690705219138
YGL058W	-5.461690705219138
YGL071W	-5.461690705219138
YGL095C	-5.461690705219138
YGL195W	-5.461690705219138
YGL211W	-5.461690705219138
YGL215W	-5.461690705219138
YGL223C	-5.461690705219138
YGR027C	-5.461690705219138
YGR063C	-5.461690705219138
YGR092W	-5.461690705219138
YGR105W	-5.461690705219138
YGR248W	-5.461690705219138
YGR250C	-5.461690705219138
YGR271C-A	-5.461690705219138
YHR026W	-5.461690705219138
YHR039C-A	-5.461690705219138
YHR168W	-5.461690705219138
YIL005W	-5.461690705219138
YIR016W	-5.461690705219138
YIR026C	-5.461690705219138
YIR033W	-5.461690705219138
YJL107C	-5.461690705219138
YJL176C	-5.461690705219138
YJL183W	-5.461690705219138
YJL204C	-5.461690705219138
YJL207C	-5.461690705219138
YJR043C	-5.461690705219138
YJR105W	-5.461690705219138
YKL006W	-5.461690705219138
YKL009W	-5.461690705219138
YKL041W	-5.461690705219138
YKL044W	-5.461690705219138
YKL080W	-5.461690705219138
YKL118W	-5.461690705219138
YKL190W	-5.461690705219138
YKL213C	-5.461690705219138
YKR001C	-5.461690705219138
YKR020W	-5.461690705219138
YKR052C	-5.461690705219138
YLL026W	-5.461690705219138
YLL029W	-5.461690705219138
YLL038C	-5.461690705219138
YLL040C	-5.461690705219138
YLR020C	-5.461690705219138
YLR047C	-5.461690705219138
YLR048W	-5.461690705219138
YLR061W	-5.461690705219138
YLR065C	-5.461690705219138
YLR081W	-5.461690705219138
YLR087C	-5.461690705219138
YLR119W	-5.461690705219138
YLR148W	-5.461690705219138
YLR242C	-5.461690705219138
YLR268W	-5.461690705219138
YLR322W	-5.461690705219138
YLR324W	-5.461690705219138
YLR337C	-5.461690705219138
YLR370C	-5.461690705219138
YLR374C	-5.461690705219138
YLR398C	-5.461690705219138
YLR403W	-5.461690705219138
YML007W	-5.461690705219138
YML012C-A	-5.461690705219138
YML013W	-5.461690705219138
YML028W	-5.461690705219138
YML073C	-5.461690705219138
YML097C	-5.461690705219138
YMR022W	-5.461690705219138
YMR060C	-5.461690705219138
YMR190C	-5.461690705219138
YMR264W	-5.461690705219138
YMR265C	-5.461690705219138
YMR275C	-5.461690705219138
YMR276W	-5.461690705219138
YNL129W	-5.461690705219138
YNL220W	-5.461690705219138
YNL225C	-5.461690705219138
YNL229C	-5.461690705219138
YNL296W	-5.461690705219138
YNL322C	-5.461690705219138
YNR052C	-5.461690705219138
YOL001W	-5.461690705219138
YOL018C	-5.461690705219138
YOR001W	-5.461690705219138
YOR039W	-5.461690705219138
YOR059C	-5.461690705219138
YOR062C	-5.461690705219138
YOR069W	-5.461690705219138
YOR073W	-5.461690705219138
YOR083W	-5.461690705219138
YOR086C	-5.461690705219138
YOR135C	-5.461690705219138
YOR209C	-5.461690705219138
YOR270C	-5.461690705219138
YOR308C	-5.461690705219138
YOR312C	-5.461690705219138
YOR316C	-5.461690705219138
YOR331C	-5.461690705219138
YPL031C	-5.461690705219138
YPL045W	-5.461690705219138
YPL048W	-5.461690705219138
YPL065W	-5.461690705219138
YPL084W	-5.461690705219138
YPL090C	-5.461690705219138
YPL102C	-5.461690705219138
YPL139C	-5.461690705219138
YPL152W	-5.461690705219138
YPL170W	-5.461690705219138
YPL200W	-5.461690705219138
YPL227C	-5.461690705219138
YPL256C	-5.461690705219138
YPL257W	-5.461690705219138
YPR036W	-5.461690705219138
YPR133W-A	-5.461690705219138
YPR173C	-5.461690705219138
YPR179C	-5.461690705219138
