orf	hap alpha | growth (colony size) | Shigella OspF expression [unknown] | Kramer RW~Lesser CF, 2007
YAL021C	-7.453105425780913
YAL023C	-7.453105425780913
YBL007C	-7.453105425780913
YBR039W	-7.453105425780913
YBR078W	-7.453105425780913
YBR171W	-7.453105425780913
YBR196C-A	-7.453105425780913
YBR233W-A	-7.453105425780913
YBR267W	-7.453105425780913
YBR289W	-7.453105425780913
YCL008C	-7.453105425780913
YCR002C	-7.453105425780913
YCR044C	-7.453105425780913
YDL047W	-7.453105425780913
YDL194W	-7.453105425780913
YDR017C	-7.453105425780913
YDR079C-A	-7.453105425780913
YDR127W	-7.453105425780913
YDR129C	-7.453105425780913
YDR297W	-7.453105425780913
YDR432W	-7.453105425780913
YEL013W	-7.453105425780913
YEL036C	-7.453105425780913
YER039C	-7.453105425780913
YER177W	-7.453105425780913
YFR019W	-7.453105425780913
YFR036W	-7.453105425780913
YGR155W	-7.453105425780913
YGR229C	-7.453105425780913
YGR285C	-7.453105425780913
YHR064C	-7.453105425780913
YJL062W	-7.453105425780913
YJL139C	-7.453105425780913
YJL164C	-7.453105425780913
YJL183W	-7.453105425780913
YJR055W	-7.453105425780913
YJR102C	-7.453105425780913
YJR105W	-7.453105425780913
YJR118C	-7.453105425780913
YKL176C	-7.453105425780913
YKL212W	-7.453105425780913
YKR007W	-7.453105425780913
YKR042W	-7.453105425780913
YKR046C	-7.453105425780913
YLL007C	-7.453105425780913
YLL009C	-7.453105425780913
YLL033W	-7.453105425780913
YLR024C	-7.453105425780913
YLR025W	-7.453105425780913
YLR062C	-7.453105425780913
YLR065C	-7.453105425780913
YLR110C	-7.453105425780913
YLR201C	-7.453105425780913
YLR337C	-7.453105425780913
YLR342W	-7.453105425780913
YLR417W	-7.453105425780913
YLR425W	-7.453105425780913
YML014W	-7.453105425780913
YML094W	-7.453105425780913
YML121W	-7.453105425780913
YMR014W	-7.453105425780913
YMR032W	-7.453105425780913
YMR077C	-7.453105425780913
YMR231W	-7.453105425780913
YMR307W	-7.453105425780913
YNL079C	-7.453105425780913
YNL091W	-7.453105425780913
YNL180C	-7.453105425780913
YNL225C	-7.453105425780913
YNL227C	-7.453105425780913
YNL233W	-7.453105425780913
YNL271C	-7.453105425780913
YNL322C	-7.453105425780913
YNR052C	-7.453105425780913
YOL081W	-7.453105425780913
YOL093W	-7.453105425780913
YOR136W	-7.453105425780913
YPL002C	-7.453105425780913
YPL059W	-7.453105425780913
YPL084W	-7.453105425780913
YPL125W	-7.453105425780913
YPR032W	-7.453105425780913
