ORF	hap a | growth (colony size) | expression of human FUS [GAL] | SC + Gal - Ura | Sun Z~Gitler AD, 2011
YNL148C	1.000
YDR241W	1.000
YML036W	1.000
YPR119W	1.000
YLR068W	1.000
YNL255C	1.000
YJR055W	1.000
YDR174W	1.000
YDR315C	1.000
YNL147W	1.000
YKL143W	1.000
YML062C	1.000
YKL009W	1.000
YER002W	1.000
YEL062W	1.000
YGR159C	1.000
YDL116W	1.000
YDR435C	1.000
YNL016W	1.000
YNL250W	1.000
YKL006W	1.000
YBL027W	1.000
YDR382W	1.000
YOR293W	1.000
YBR181C	1.000
YBL072C	1.000
YPL106C	1.000
YHR167W	1.000
YLR435W	1.000
YDR200C	1.000
YDR417C	1.000
YGL072C	1.000
YGL088W	1.000
YGL165C	1.000
YNR005C	1.000
YOR309C	1.000
YDR298C	-1.000
YKL208W	-1.000
YNL052W	-1.000
YDR359C	-1.000
YPL262W	-1.000
YEL009C	-1.000
YDR148C	-1.000
YCR019W	-1.000
YGR084C	-1.000
YKL167C	-1.000
YML009C	-1.000
YMR023C	-1.000
YNL099C	-1.000
YLR329W	-1.000
YFL033C	-1.000
YDR289C	-1.000
YDL033C	-1.000
YHR030C	-1.000
YBR150C	-1.000
YDL032W	-1.000
YDR049W	-1.000
YDR248C	-1.000
YER128W	-1.000
YLR218C	-1.000
