orf	hap a | growth (colony size) | expression of human FUS [GAL] | SC + Gal - Ura | Sun Z~Gitler AD, 2011
YBL027W	8.754380085620019
YBL072C	8.754380085620019
YBR150C	-8.57929248390762
YBR181C	8.754380085620019
YCR019W	-8.57929248390762
YDL032W	-8.57929248390762
YDL033C	-8.57929248390762
YDL116W	8.754380085620019
YDR049W	-8.57929248390762
YDR148C	-8.57929248390762
YDR174W	8.754380085620019
YDR200C	8.754380085620019
YDR241W	8.754380085620019
YDR248C	-8.57929248390762
YDR289C	-8.57929248390762
YDR298C	-8.57929248390762
YDR315C	8.754380085620019
YDR359C	-8.57929248390762
YDR382W	8.754380085620019
YDR417C	8.754380085620019
YDR435C	8.754380085620019
YEL009C	-8.57929248390762
YEL062W	8.754380085620019
YER002W	8.754380085620019
YER128W	-8.57929248390762
YFL033C	-8.57929248390762
YGL072C	8.754380085620019
YGL088W	8.754380085620019
YGL165C	8.754380085620019
YGR084C	-8.57929248390762
YGR159C	8.754380085620019
YHR030C	-8.57929248390762
YHR167W	8.754380085620019
YJR055W	8.754380085620019
YKL006W	8.754380085620019
YKL009W	8.754380085620019
YKL143W	8.754380085620019
YKL167C	-8.57929248390762
YKL208W	-8.57929248390762
YLR068W	8.754380085620019
YLR218C	-8.57929248390762
YLR329W	-8.57929248390762
YLR435W	8.754380085620019
YML009C	-8.57929248390762
YML036W	8.754380085620019
YML062C	8.754380085620019
YMR023C	-8.57929248390762
YNL016W	8.754380085620019
YNL052W	-8.57929248390762
YNL099C	-8.57929248390762
YNL147W	8.754380085620019
YNL148C	8.754380085620019
YNL250W	8.754380085620019
YNL255C	8.754380085620019
YNR005C	8.754380085620019
YOR293W	8.754380085620019
YOR309C	8.754380085620019
YPL106C	8.754380085620019
YPL262W	-8.57929248390762
YPR119W	8.754380085620019
