orf	hap a | transport to/from protein storage granules (PSGs) (Rpn5-GFP) | standard | None | Peters LZ~Ben-Aroya S, 2013
YBR058C-A	-20.34922379578418
YBR127C	-20.34922379578418
YCL007C	-20.34922379578418
YDL185W	-20.34922379578418
YER143W	-20.34922379578418
YHR060W	-20.34922379578418
YJR053W	-20.34922379578418
YKL080W	-20.34922379578418
YLR447C	-20.34922379578418
YOR331C	-20.34922379578418
YPL234C	-20.34922379578418
