ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YFL031W	-0.011	-0.015	0.007	0.016	0.002	-0.008	-0.019	0.000	-0.014	-0.018	-0.017	-0.007	0.001	-0.011	-0.013	-0.007
YFL032W	-0.020	-0.015	0.003	0.028	-0.005	-0.009	-0.011	0.010	-0.004	0.003	-0.029	0.018	0.006	0.014	-0.003	0.010
YFL033C	-0.004	-0.023	0.008	0.027	0.037	0.027	0.009	0.024	0.007	-0.008	-0.036	0.027	0.011	0.002	0.013	-0.019
YFL034C-A	-0.019	0.003	0.024	0.069	0.015	0.029	0.023	0.036	-0.018	0.021	-0.004	0.057	0.005	0.031	-0.007	0.090
YFL034W	-0.016	-0.025	0.013	0.010	-0.012	-0.010	-0.015	0.004	-0.023	-0.058	-0.046	0.025	-0.010	-0.001	-0.051	-0.015
YFL035C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.017	-0.023	-0.013	0.033	-0.011	0.014	-0.041	0.036
YFL035C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.025	-0.005	-0.035	-0.048	-0.009	-0.002	-0.034	-0.035
YFL035C-B	-0.011	-0.021	0.007	0.015	-0.004	-0.009	-0.016	0.004	0.001	-0.013	-0.041	0.001	-0.007	-0.004	-0.015	0.000
YFL036W	-0.001	-0.042	-0.052	-0.192	-0.165	-0.261	-0.253	-0.142	-0.027	-0.024	0.005	0.060	-0.004	0.014	0.001	0.032
YFL037W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.014	0.004	-0.023	-0.029	0.004	0.007	-0.001	-0.041
YFL038C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.014	-0.025	-0.004	0.046	-0.010	-0.016	-0.033	0.036
YFL039C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	0.018	-0.046	0.055	0.082	0.085	0.081	0.033
YFL040W	-0.011	-0.008	-0.000	0.008	-0.004	-0.001	-0.010	-0.002	0.014	0.013	-0.012	-0.017	0.006	-0.003	-0.001	-0.013
YFL041W	-0.018	-0.015	0.005	0.022	-0.002	-0.009	-0.012	0.009	-0.010	-0.018	-0.033	0.004	-0.007	-0.019	-0.020	0.022
YFL042C	-0.013	-0.004	0.021	0.059	0.004	0.007	0.002	0.036	-0.027	0.002	-0.000	0.055	0.002	0.006	-0.009	0.030
YFL043C	-0.003	-0.013	-0.004	0.005	-0.011	-0.002	-0.012	-0.004	-0.007	-0.017	-0.056	-0.049	-0.011	-0.031	-0.016	-0.038
YFL044C	-0.011	-0.013	-0.015	-0.023	-0.010	-0.001	-0.011	-0.022	0.045	-0.011	-0.048	-0.068	-0.012	0.002	0.001	-0.073
YFL045C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.018	-0.005	0.001	0.072	0.028	0.025	0.026	0.060
YFL046W	-0.011	-0.008	0.014	0.040	0.003	0.004	-0.006	0.021	-0.033	-0.020	0.027	0.122	0.041	0.020	0.017	0.138
YFL047W	-0.011	-0.020	0.017	0.040	0.002	-0.006	-0.005	0.026	-0.004	-0.027	0.010	0.045	0.001	0.000	-0.013	0.047
YFL048C	-0.010	-0.009	0.002	0.001	-0.005	-0.003	-0.011	-0.003	0.035	0.014	-0.051	-0.079	-0.006	0.007	0.020	-0.070
YFL049W	-0.002	-0.020	-0.008	0.006	0.001	0.005	-0.007	-0.007	0.005	0.003	-0.026	-0.027	0.010	-0.010	0.005	-0.042
YFL050C	-0.026	-0.026	0.003	0.012	-0.008	-0.010	-0.019	-0.011	0.001	-0.020	-0.017	0.015	-0.011	-0.010	-0.030	0.010
YFL051C	-0.003	-0.024	-0.010	-0.014	-0.017	-0.009	-0.019	-0.020	0.016	-0.013	-0.043	-0.049	-0.017	-0.019	-0.016	-0.045
YFL052W	-0.009	-0.006	0.004	0.025	-0.001	0.003	-0.005	0.012	-0.003	-0.018	-0.016	-0.016	-0.005	-0.014	-0.017	-0.019
YFL053W	-0.005	-0.013	0.007	0.011	-0.009	-0.001	-0.008	0.002	-0.006	-0.009	-0.032	-0.004	-0.003	-0.015	-0.016	-0.003
YFL054C	-0.027	-0.030	0.018	0.033	-0.007	-0.014	-0.011	0.009	-0.023	-0.020	0.008	0.073	0.025	0.037	0.013	0.047
YFL055W	-0.020	-0.028	0.002	-0.000	-0.037	-0.023	-0.033	-0.014	-0.002	-0.031	-0.009	0.024	-0.001	0.001	0.005	0.019
YFL056C	-0.015	-0.023	0.006	0.002	-0.022	-0.017	-0.043	0.016	-0.004	-0.013	0.001	0.039	-0.001	0.000	-0.017	0.043
YFL060C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	-0.012	-0.011	-0.044	-0.015	-0.031	-0.000	-0.029
YFL063W	-0.009	-0.016	0.002	0.011	0.001	0.004	-0.008	0.005	-0.002	-0.005	-0.009	-0.033	-0.022	-0.026	-0.012	-0.027
YFR001W	0.067	-0.048	0.137	0.223	0.248	0.275	0.268	0.257	-0.019	-0.013	0.000	0.047	0.004	0.009	-0.019	0.035
YFR002W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.036	-0.025	0.011	0.109	0.084	0.095	0.091	0.102
YFR003C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	0.008	-0.024	0.009	-0.021	-0.019	-0.001	0.015
YFR004W	-0.025	0.003	-0.004	0.016	-0.005	0.007	0.026	-0.028	0.001	0.016	-0.002	-0.042	0.006	0.025	0.010	-0.028
YFR005C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.002	-0.028	-0.020	0.037	0.018	0.041	0.031	0.033
YFR006W	-0.013	-0.015	-0.001	0.004	-0.012	-0.009	-0.009	-0.001	-0.002	-0.018	-0.021	-0.009	-0.018	-0.009	-0.026	-0.030
YFR007W	-0.012	-0.009	-0.003	-0.046	-0.048	-0.084	-0.099	-0.052	-0.006	-0.014	-0.015	0.009	-0.013	-0.002	-0.015	0.033
YFR008W	-0.020	-0.025	-0.001	0.035	0.008	0.010	0.014	0.011	-0.038	-0.047	-0.048	-0.013	-0.012	-0.031	-0.016	-0.004
YFR009W	-0.012	-0.019	-0.005	-0.003	-0.016	-0.004	-0.013	-0.009	-0.009	-0.031	-0.027	-0.046	-0.018	-0.013	-0.023	-0.032
YFR010W	0.000	-0.011	0.021	0.004	0.010	-0.006	-0.005	0.034	-0.029	-0.041	0.003	0.032	-0.018	-0.041	-0.061	0.053
YFR011C	-0.035	-0.038	-0.024	-0.036	-0.049	-0.017	-0.036	-0.061	0.009	-0.003	-0.040	-0.049	-0.015	-0.017	0.006	-0.036
YFR012W	-0.009	-0.029	-0.003	0.004	-0.008	-0.004	-0.004	0.001	-0.017	-0.039	0.000	0.045	0.022	0.020	0.008	0.044
YFR013W	-0.029	-0.020	-0.021	-0.011	-0.037	0.001	-0.011	-0.016	-0.004	-0.005	-0.028	-0.007	0.004	0.012	0.012	0.012
YFR014C	-0.007	-0.012	-0.008	-0.007	-0.018	-0.008	-0.015	-0.014	-0.011	-0.017	-0.032	-0.023	-0.035	-0.032	-0.032	-0.010
YFR015C	-0.014	-0.006	0.015	0.036	0.000	0.005	-0.001	0.011	-0.034	-0.009	-0.023	0.024	-0.009	0.010	-0.017	0.039
YFR016C	-0.018	0.000	-0.006	-0.005	-0.018	-0.013	-0.020	-0.007	-0.013	0.007	-0.026	-0.029	0.006	-0.009	-0.011	-0.007
YFR017C	-0.011	-0.007	0.000	0.011	-0.001	-0.003	-0.013	0.000	-0.019	-0.010	-0.012	-0.013	-0.020	0.001	-0.012	-0.009
YFR018C	0.010	-0.003	-0.006	0.001	-0.012	0.003	0.006	-0.016	0.013	-0.014	-0.039	-0.075	-0.029	-0.020	0.003	-0.055
YFR019W	0.073	-0.015	0.098	-0.125	-0.082	-0.086	-0.119	-0.091	-0.024	-0.009	-0.024	0.020	-0.011	0.024	-0.023	0.034
YFR020W	-0.007	-0.013	-0.013	-0.005	-0.024	-0.002	-0.003	-0.009	-0.003	-0.017	-0.025	0.000	-0.006	0.012	0.008	0.019
YFR021W	-0.015	-0.019	0.009	0.026	-0.000	-0.003	-0.009	0.025	-0.024	-0.047	-0.048	0.009	-0.015	-0.005	-0.066	0.009
YFR022W	-0.005	-0.010	0.005	0.028	-0.000	0.001	-0.000	0.008	-0.005	-0.038	-0.020	-0.004	-0.021	-0.018	-0.030	0.006
YFR023W	-0.002	0.002	-0.003	0.010	-0.005	0.004	-0.003	0.005	0.004	-0.003	-0.041	-0.025	-0.014	-0.009	-0.006	-0.012
YFR024C	-0.005	0.005	0.001	0.013	-0.003	0.006	-0.005	-0.000	-0.006	-0.014	-0.022	-0.017	-0.013	-0.016	-0.002	-0.003
YFR024C-A	-0.002	-0.011	-0.009	-0.016	-0.029	-0.007	-0.004	-0.018	0.045	0.009	-0.058	-0.138	-0.007	-0.002	0.021	-0.115
YFR025C	0.004	0.018	-0.008	0.005	-0.003	0.015	0.002	-0.003	-0.003	-0.009	-0.021	0.001	-0.022	0.003	0.000	0.007
YFR026C	-0.004	-0.013	-0.010	-0.007	-0.016	-0.010	-0.016	-0.015	0.010	-0.007	-0.043	-0.043	-0.023	-0.013	-0.014	-0.045
YFR027W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.005	-0.015	-0.028	-0.070	-0.013	-0.026	-0.014	-0.040
YFR028C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.003	0.004	0.037	-0.020	-0.007	-0.023	0.052
YFR029W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004	-0.010	-0.031	-0.030	-0.017	-0.024	-0.008	-0.011
YFR030W	-0.016	-0.006	0.004	0.033	0.009	-0.002	-0.009	0.014	-0.040	0.015	0.019	0.089	-0.005	-0.008	-0.011	0.106
YFR031C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.026	-0.004	-0.014	0.016	-0.020	-0.020	-0.011	0.012
YFR031C-A	-0.012	-0.012	-0.012	0.028	0.017	0.011	-0.005	0.024	0.010	-0.026	-0.034	-0.053	-0.004	0.024	-0.004	-0.031
YFR032C	0.001	-0.001	-0.003	-0.007	-0.005	0.012	0.007	-0.007	0.025	0.021	-0.037	-0.048	-0.008	-0.009	-0.001	-0.040
YFR032C-A	-0.006	-0.010	0.010	0.061	0.039	0.087	0.069	0.060	0.009	0.035	-0.023	-0.036	-0.000	-0.000	0.044	-0.003
YFR033C	0.001	-0.005	-0.033	-0.199	-0.143	-0.186	-0.264	-0.095	0.005	-0.017	-0.010	0.014	-0.024	-0.016	-0.017	0.013
YFR034C	-0.022	-0.007	-0.132	-0.177	-0.169	-0.188	-0.193	0.010	-0.015	-0.010	-0.010	-0.005	-0.029	-0.029	-0.033	0.036
YFR035C	-0.008	-0.011	0.006	0.018	-0.003	0.004	-0.009	0.020	-0.007	-0.004	-0.000	0.033	-0.012	-0.022	-0.011	0.031
YFR036W	-0.018	0.004	0.013	0.049	0.012	0.023	0.007	0.027	-0.028	0.005	0.012	0.062	-0.005	-0.008	-0.007	0.076
YFR037C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	0.011	0.004	0.069	0.003	-0.013	-0.009	0.089
YFR038W	-0.009	-0.011	-0.007	-0.002	-0.002	0.013	-0.000	-0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR039C	-0.020	0.008	-0.000	0.028	0.009	0.025	0.004	0.012	-0.034	0.019	0.004	-0.025	-0.028	-0.034	0.006	0.017
YFR040W	0.000	-0.004	0.018	0.020	0.004	0.005	0.000	0.009	-0.022	0.019	0.010	0.006	-0.020	-0.022	-0.017	0.045
YFR041C	-0.014	0.000	-0.008	0.006	-0.005	0.004	-0.010	0.003	-0.008	-0.026	-0.008	-0.007	-0.012	-0.038	-0.012	-0.005
YFR042W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.045	-0.001	0.024	0.055	-0.009	-0.019	-0.010	0.099
YFR043C	-0.009	-0.010	-0.006	-0.005	-0.011	0.000	-0.013	-0.008	-0.004	-0.020	0.004	-0.009	-0.028	-0.019	-0.046	0.003
YFR044C	-0.025	-0.025	-0.008	0.005	0.001	0.013	-0.001	0.009	-0.005	-0.000	-0.007	-0.018	-0.004	-0.035	-0.014	0.009
YFR045W	-0.014	0.009	0.009	0.041	0.007	0.018	-0.000	0.026	-0.014	0.003	0.007	0.049	-0.003	-0.014	-0.012	0.070
YFR046C	-0.016	0.001	0.005	0.024	0.006	0.017	-0.002	0.014	-0.004	0.002	0.000	0.027	-0.006	-0.013	0.002	0.023
YFR047C	-0.019	-0.019	-0.014	-0.007	-0.024	-0.008	-0.021	-0.014	0.002	0.001	-0.020	-0.003	-0.011	-0.011	0.002	-0.002
YFR048W	0.057	0.023	0.053	0.003	-0.001	0.001	-0.025	0.026	-0.011	-0.011	0.005	0.066	0.006	-0.004	-0.064	0.086
YFR049W	-0.014	-0.021	0.019	0.053	0.020	0.008	-0.009	0.025	-0.042	-0.038	0.048	0.121	0.033	0.019	0.011	0.115
YFR050C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.010	-0.008	0.029	-0.007	-0.014	-0.010	0.034
YFR051C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006	-0.009	0.002	0.036	-0.008	-0.035	-0.024	0.044
YFR052W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	0.011	-0.022	-0.002	-0.017	-0.012	-0.016	0.014
YFR053C	-0.031	-0.020	0.005	0.020	-0.003	0.012	-0.009	0.007	-0.008	-0.005	0.012	0.036	0.004	-0.014	-0.023	0.051
YFR054C	-0.011	-0.015	-0.012	-0.010	-0.015	0.010	-0.010	-0.011	0.026	-0.004	0.001	-0.022	-0.000	0.005	-0.001	0.015
YFR055W	-0.016	-0.024	-0.005	0.002	-0.012	0.008	-0.005	-0.007	0.003	-0.049	0.012	0.009	-0.042	-0.027	-0.085	0.027
YFR056C	-0.029	-0.004	0.008	0.031	0.003	0.011	-0.005	0.013	-0.023	0.001	0.009	0.043	-0.015	-0.003	-0.023	0.065
YFR057W	-0.013	0.007	0.013	0.077	0.016	0.041	0.029	0.048	-0.063	0.024	0.039	0.153	0.041	0.057	0.000	0.180
YGL001C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	-0.015	-0.016	-0.009	-0.009	-0.004	-0.015	0.007
YGL002W	-0.007	-0.002	0.035	0.065	0.026	-0.002	0.002	0.044	0.011	-0.022	0.016	0.044	0.024	0.040	0.018	0.041
YGL003C	0.021	0.043	0.080	0.129	0.062	0.043	0.051	0.084	-0.000	-0.022	-0.033	-0.029	-0.016	-0.002	-0.025	-0.014
YGL004C	-0.007	0.003	0.026	0.071	0.020	0.015	0.014	0.044	-0.051	-0.000	0.043	0.082	0.002	-0.015	-0.018	0.131
YGL005C	-0.012	-0.012	0.010	-0.008	-0.008	-0.026	-0.018	-0.002	-0.037	0.000	0.023	0.061	0.013	0.018	-0.017	0.075
YGL006W	0.008	0.012	0.022	0.056	0.004	0.006	0.011	0.017	-0.001	-0.049	-0.080	-0.256	-0.248	-0.441	-0.398	-0.261
YGL007W	-0.004	-0.009	0.023	0.043	-0.006	0.018	0.008	0.021	-0.027	-0.005	0.016	0.064	-0.012	-0.018	-0.024	0.074
YGL008C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	-0.018	-0.006	0.003	-0.027	-0.014	-0.035	-0.004
YGL009C	-0.020	-0.014	0.017	0.048	0.019	-0.018	-0.023	0.026	-0.045	-0.017	0.030	0.069	-0.008	-0.036	-0.027	0.068
YGL010W	-0.028	-0.004	0.028	0.065	0.022	0.005	0.010	0.027	-0.056	-0.007	0.044	0.050	-0.005	-0.011	-0.055	0.119
YGL011C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	0.005	-0.020	0.002	-0.014	0.002	-0.011	0.028
YGL012W	-0.014	-0.059	0.000	0.052	-0.026	-0.068	-0.063	-0.003	-0.040	-0.007	0.045	0.091	0.002	-0.020	-0.021	0.096
YGL013C	0.001	0.023	0.014	0.054	0.025	0.039	0.043	0.037	-0.019	-0.009	0.008	0.089	0.025	0.021	0.020	0.099
YGL014W	-0.005	-0.015	0.007	0.009	-0.043	0.016	0.005	0.013	-0.017	-0.041	-0.002	0.010	-0.009	-0.000	-0.044	0.015
YGL015C	-0.006	0.015	0.045	0.066	0.024	0.009	0.006	0.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL016W	-0.018	-0.014	-0.017	0.021	0.026	0.026	0.022	0.014	-0.001	-0.016	-0.037	-0.032	-0.005	-0.008	-0.014	-0.031
YGL017W	-0.034	-0.020	0.007	0.042	0.007	-0.013	-0.012	0.022	-0.037	-0.017	0.020	0.091	-0.006	-0.008	-0.026	0.096
YGL018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.036	-0.019	0.008	0.072	0.003	0.012	-0.023	0.103
YGL019W	0.004	0.002	0.027	0.097	0.034	0.026	0.035	0.045	-0.031	-0.003	0.028	0.087	0.005	0.016	-0.014	0.098
YGL020C	-0.026	0.003	-0.021	-0.008	-0.072	-0.010	-0.019	-0.035	-0.039	0.017	0.021	0.076	0.010	0.016	-0.025	0.108
YGL021W	-0.023	0.004	0.023	0.066	0.021	0.014	0.006	0.038	-0.047	-0.015	0.024	0.091	0.003	-0.013	-0.031	0.102
YGL022W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.015	-0.017	0.008	0.068	-0.002	-0.004	-0.018	0.073
YGL024W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	0.004	-0.006	0.019	-0.035	-0.018	-0.068	0.014
YGL025C	-0.025	-0.026	-0.038	-0.098	-0.143	-0.191	-0.147	0.054	0.004	0.006	-0.038	-0.020	-0.024	-0.004	-0.064	-0.019
YGL026C	-0.004	-0.028	0.011	0.019	-0.019	-0.048	-0.035	0.027	-0.029	-0.008	0.026	0.069	-0.008	-0.016	-0.016	0.066
YGL027C	-0.002	-0.003	0.032	0.051	0.014	-0.007	-0.005	0.020	-0.008	0.024	0.003	0.072	0.027	0.078	0.005	0.091
YGL028C	-0.012	-0.017	0.021	0.037	0.007	-0.003	0.000	0.014	0.001	-0.039	-0.017	-0.002	-0.022	0.019	-0.055	-0.006
YGL029W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	-0.031	-0.027	-0.014	-0.016	-0.008	-0.030	-0.013
YGL030W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	-0.001	0.084	0.186	0.097	0.087	0.056	0.185
YGL031C	0.007	-0.006	0.027	0.118	0.077	0.080	0.074	0.103	0.008	0.000	0.007	0.078	0.043	0.049	0.019	0.071
YGL032C	-0.005	-0.020	0.003	0.024	0.002	0.007	0.007	0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL033W	-0.003	0.008	0.005	-0.006	0.001	0.009	0.005	-0.008	0.040	0.003	-0.022	-0.044	-0.025	-0.012	-0.046	-0.059
YGL034C	-0.006	-0.002	0.010	0.025	-0.006	0.009	0.009	0.011	-0.048	0.016	0.016	0.129	0.033	0.050	0.025	0.135
YGL035C	-0.021	-0.020	0.007	0.030	0.009	-0.012	-0.021	0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL036W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.029	0.082	-0.072	-0.025	0.033	0.078	0.038	-0.089
YGL037C	-0.024	-0.016	0.016	0.042	0.009	-0.001	-0.004	0.022	-0.025	-0.018	0.008	0.041	-0.010	-0.009	-0.048	0.047
YGL038C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.033	-0.003	-0.000	0.060	-0.010	-0.018	-0.031	0.068
YGL039W	-0.014	-0.007	0.013	0.029	0.007	-0.005	-0.009	0.018	-0.015	-0.006	0.001	0.031	-0.013	-0.015	-0.021	0.018
YGL040C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.021	0.024	-0.003	0.037	-0.005	0.016	-0.002	0.041
YGL041C	-0.020	-0.015	0.005	0.047	-0.006	0.002	0.021	-0.019	-0.030	-0.020	0.013	0.076	0.018	0.024	0.010	0.060
YGL042C	-0.006	0.009	0.013	0.051	0.015	0.012	0.008	0.022	-0.011	-0.008	-0.010	0.040	-0.006	0.014	-0.019	0.014
YGL043W	0.003	-0.011	-0.021	-0.013	-0.006	-0.027	-0.036	-0.003	-0.003	-0.012	-0.013	-0.006	-0.033	-0.043	-0.041	-0.004
YGL045W	-0.008	-0.032	-0.030	-0.036	-0.050	-0.065	-0.079	0.008	0.021	-0.018	-0.040	-0.081	-0.030	-0.037	-0.054	-0.058
YGL046W	-0.015	-0.010	0.001	0.006	-0.029	-0.041	-0.055	0.029	-0.008	-0.009	-0.027	-0.026	-0.025	-0.014	-0.053	-0.025
YGL047W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	0.053	NaN	NaN	0.018	0.079	0.045	NaN
YGL048C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.004	0.006	-0.021	-0.013	-0.006	0.001	-0.008	-0.037
YGL049C	-0.015	-0.007	0.014	0.017	-0.018	-0.022	-0.016	0.008	-0.017	-0.028	0.009	0.014	-0.022	-0.028	-0.056	0.008
YGL050W	-0.015	-0.015	0.011	0.034	0.007	0.001	-0.004	0.013	-0.008	-0.019	-0.015	0.006	-0.023	-0.008	-0.039	0.020
YGL051W	-0.012	0.009	0.014	0.040	0.013	0.004	-0.004	0.021	-0.010	0.011	0.004	0.023	-0.016	-0.009	-0.004	0.013
YGL053W	-0.016	-0.010	0.008	0.032	0.004	-0.001	-0.005	0.019	-0.030	-0.020	0.057	0.132	0.077	0.057	0.039	0.120
YGL054C	0.011	-0.018	0.020	0.009	-0.016	-0.008	-0.026	0.052	0.022	-0.014	-0.040	-0.009	-0.024	0.015	-0.033	-0.084
YGL055W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	-0.013	-0.017	0.001	-0.023	-0.011	-0.028	-0.002
YGL056C	-0.021	-0.005	0.013	0.050	0.004	0.004	0.003	0.039	-0.036	-0.002	-0.000	0.050	-0.002	-0.008	-0.034	0.059
YGL057C	-0.017	-0.019	-0.037	-0.077	-0.122	-0.254	-0.279	-0.221	0.006	-0.016	-0.003	0.077	-0.004	0.001	-0.039	0.036
YGL058W	-0.142	0.010	-0.084	0.019	0.016	-0.000	-0.026	0.045	-0.011	-0.053	-0.039	-0.050	-0.032	-0.052	-0.066	-0.055
YGL059W	-0.024	-0.015	0.004	0.024	-0.001	-0.013	-0.022	0.013	-0.039	-0.001	0.017	0.048	-0.012	-0.016	-0.009	0.040
YGL060W	-0.007	-0.017	-0.016	0.020	0.045	0.022	0.022	0.036	-0.017	-0.004	0.005	0.030	-0.006	-0.011	-0.010	0.030
YGL061C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	-0.005	0.004	0.017	-0.007	-0.003	-0.012	0.011
YGL062W	-0.021	-0.013	-0.002	-0.039	-0.022	-0.029	-0.024	0.013	-0.006	-0.018	0.006	0.015	-0.012	-0.020	-0.027	0.014
YGL063W	-0.007	-0.008	-0.007	0.003	-0.006	-0.011	-0.005	-0.005	0.028	-0.017	-0.023	-0.027	-0.020	-0.000	-0.031	-0.034
YGL064C	-0.009	-0.090	-0.116	-0.309	-0.335	-0.447	-0.553	-0.290	0.016	-0.013	-0.024	-0.034	-0.018	-0.009	-0.025	-0.022
YGL065C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.020	-0.008	0.000	-0.024	-0.004	-0.007	-0.019	-0.015
YGL066W	0.003	-0.020	-0.029	-0.022	-0.071	-0.078	-0.147	0.039	0.006	-0.033	-0.027	-0.011	-0.037	-0.037	-0.051	0.008
YGL067W	-0.005	0.003	0.007	0.001	0.000	0.001	-0.015	0.004	-0.001	-0.014	-0.000	0.007	-0.017	-0.038	-0.039	0.019
YGL069C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	-0.017	-0.017	-0.084	-0.072	-0.068	-0.097	-0.055
YGL070C	-0.131	-0.026	-0.021	0.020	0.066	0.023	0.010	0.086	0.003	-0.036	-0.009	-0.033	-0.021	-0.030	-0.058	-0.008
YGL071W	0.061	0.042	-0.224	-0.416	-0.357	-0.480	-0.505	-0.335	0.004	0.005	-0.021	-0.018	-0.041	-0.029	-0.028	0.007
YGL072C	0.015	0.027	0.036	0.046	0.146	0.099	0.094	0.071	-0.003	-0.007	-0.044	-0.107	-0.043	-0.081	-0.087	-0.097
YGL073W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.016	0.009	0.113	0.063	0.080	0.018	0.111
YGL074C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	-0.010	-0.011	-0.020	0.001	-0.014	-0.009	-0.011
YGL075C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.013	-0.019	-0.007	0.008	-0.014	-0.011	-0.034	0.023
YGL076C	-0.011	-0.041	0.026	0.036	0.060	0.025	-0.007	0.113	-0.001	-0.011	-0.001	0.029	0.022	0.019	-0.021	0.032
YGL077C	-0.001	-0.003	0.001	0.004	-0.020	0.007	-0.011	0.002	-0.004	-0.001	-0.028	-0.005	-0.008	-0.010	-0.022	0.004
YGL078C	0.001	0.007	0.077	0.136	0.089	0.100	0.097	0.126	-0.008	-0.005	0.003	0.033	-0.003	0.015	-0.011	0.046
