ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YAL054C	-0.026	-0.019	-0.005	-0.006	-0.044	-0.005	-0.017	-0.011	0.001	-0.030	-0.019	0.001	-0.030	-0.008	-0.023	0.012
YAL055W	-0.001	0.007	0.014	0.047	0.046	0.016	0.027	0.041	-0.033	-0.013	0.042	0.066	0.000	-0.008	-0.015	0.046
YAL056W	0.006	0.008	0.016	0.039	0.055	0.004	0.014	0.040	-0.034	0.002	0.040	0.102	0.016	0.023	0.015	0.050
YAL058C-A	-0.012	-0.014	0.029	0.062	0.020	0.030	0.017	0.049	-0.006	-0.015	-0.033	0.007	-0.009	-0.009	-0.020	0.022
YAL058W	0.025	0.022	0.076	0.102	0.084	0.049	0.060	0.096	-0.010	0.008	0.039	0.084	0.012	0.039	-0.002	0.022
YAL059W	0.018	0.014	0.020	0.007	0.007	0.010	0.023	0.017	0.018	0.014	-0.000	-0.028	0.023	0.020	0.021	-0.044
YAL060W	-0.003	0.001	0.028	0.033	0.035	-0.005	0.011	0.021	-0.015	-0.007	0.034	0.048	0.005	-0.003	-0.007	0.019
YAL061W	-0.013	0.001	0.032	0.048	0.044	-0.006	0.009	0.037	-0.037	-0.010	0.048	0.095	0.006	-0.005	-0.019	0.071
YAL062W	-0.014	-0.006	0.026	0.047	0.033	-0.009	0.009	0.036	-0.038	-0.008	0.042	0.086	-0.002	-0.016	-0.018	0.057
YAL064C-A	-0.007	-0.023	0.010	-0.005	0.017	-0.004	0.003	-0.009	0.027	-0.010	0.017	0.002	0.005	-0.007	-0.010	-0.031
YAL065C	0.014	0.003	0.021	-0.000	0.024	0.001	0.023	0.012	0.009	-0.016	-0.001	-0.013	0.008	0.003	0.003	-0.026
YAL066W	-0.013	-0.018	0.033	0.022	0.037	-0.015	0.010	0.019	-0.020	0.007	0.050	0.109	0.022	0.098	-0.022	0.118
YAL067C	0.028	0.014	0.009	0.017	0.019	0.029	0.039	0.015	0.007	-0.010	0.026	0.075	0.039	0.047	0.021	0.027
YAL068C	0.014	-0.005	0.014	0.019	0.029	-0.002	0.020	0.002	-0.004	-0.003	0.013	0.026	0.013	-0.006	0.008	-0.004
