orf	hap a | growth (colony size) | oxygen level [0%] | Samanfar B~Golshani A, 2013
YOR184W	-41.65
YOR216C	-26.33
YOR245C	-41.64
YOR271C	-44.96
YOR275C	-54.35
YOR277C	-27.53
YOR300W	-37.06
YOR303W	-20.6
YOR307C	-17.86
YOR332W	-22.86
YOR358W	-23.44
YOR359W	-43.6
YOR382W	-28.16
YPL026C	-42.91
YPL030W	-39.8
YPL087W	-24.98
YPL095C	-59.36
YPL100W	-38.75
YPL103C	-42.28
YPL105C	-44.75
YPL108W	-50.89
YPL121C	-46.31
YPL219W	-37.69
YPL220W	-20.58
YPL244C	-23.42
YPR007C	-49.62
YPR015C	-44.05
YPR018W	-55.26
YPR030W	-38.18
YPR031W	-57.53
YPR051W	-28.51
YPR065W	-45.77
YPR066W	-26.68
YPR095C	-19.97
YPR096C	-31.55
YPR129W	-26.54
YPR138C	-43.48
YPR160W	-41.64
YPR188C	-50.75
