ORF	hap a | growth (colony size) | oxygen level [0%] | Samanfar B~Golshani A, 2013
YOR108W	18.350
YOR129C	20.400
YOR271C	44.960
YOR277C	27.530
YOR300W	37.060
YPL030W	39.800
YPL095C	59.360
YPL103C	42.280
YPL105C	44.750
YPL108W	50.890
YPR015C	44.050
YPR031W	57.530
YPR096C	31.550
YKR053C	45.950
