orf	hap a | expression of NSR1/YGR159C | potassium chloride [0.375 M] | YPD | Worley J~Capaldi AP, 2015	hap a | expression of PEX6/YNL329C | potassium chloride [0.375 M] | YPD | Worley J~Capaldi AP, 2015	hap a | ratio of NSR1/PEX6 expression | potassium chloride [0.375 M] | YPD | Worley J~Capaldi AP, 2015
YAL002W	0.7181610944155081	1.3115854862453407	-0.020809514019652454
YAL004W	-1.4510686521386214	0.02653999084122747	1.8853067275602775
YAL005C	-1.739749416889172	0.2674860212294995	2.5922107641734513
YAL008W	0.49546450446508444	0.8870615279421954	-0.14704237770007134
YAL009W	0.19853571786451957	-0.30619500350447915	-1.0054258507303535
YAL010C	0.1407995649144094	0.4281167081550141	-0.1091725185957942
YAL011W	0.8666254877157906	0.7608517025007208	-0.8539464143132449
YAL012W	0.8996175751158527	1.1050603173411089	-0.19583027350584067
YAL013W	-1.9377019412895478	0.7379044615113621	3.412724378099456
YAL014C	-1.70675732948911	-0.1340906960842872	2.099902595817848
YAL015C	0.1407995649144094	0.5543265335964888	0.029683631452754954
YAL016C-B	0.7429051599655562	0.8870615279421954	-0.2611089700454347
YAL017W	-2.077918312739816	0.14127619578802483	2.970909355216223
YAL018C	-0.5437862486368956	-0.3406158649885192	0.09280006329317898
YAL019W	0.18203967416448852	0.4281167081550141	-0.17228895043625614
YAL022C	-0.06540098133598321	0.27895964172417675	0.04230691782080946
YAL023C	0.11605549936436135	1.4263216911921341	1.0269232545325204
YAL026C	0.21503176156455062	1.0362185943730287	0.44625208160027063
YAL027W	-1.0964037125879462	0.2445387802401408	1.5823478547260603
YAL028W	-0.651010532687099	0.12980257529334346	0.7744575271706726
YAL029C	-0.6262664671370509	-0.030828111632171213	0.5598616589131021
YAL030W	0.4047362641149122	0.2904332622188581	-0.6645971187918591
YAL031C	-0.5932743797369888	0.15274981628270212	0.7113410953302107
YAL034C	0.025327259014189068	0.7608517025007208	0.4336287952321783
YAL035W	-1.030419537787822	-0.3865103469672365	0.787080813538765
YAL036C	-0.41181789903664423	0.07243447281994478	0.3452657906555316
YAL037C-A	0.8996175751158527	1.1509547993198261	-0.21061582457306516
YAL039C	-0.040656915785938094	1.1165339378357861	0.9259369635877812
YAL040C	0.0005831934641410174	0.5658001540911661	0.25690278607888495
YAL042C-A	-0.040656915785938094	-0.35208948548319646	-0.6898436915280439
YAL042W	0.6356808759153499	1.977055474936754	0.8375739590111346
YAL044C	0.1407995649144094	0.9444296304155941	0.45887536796836303
YAL045C	0.3964882422648952	1.0935866968464274	0.23165621334270015
YAL046C	-0.7994749259873813	0.33632774419757544	1.2288958364219984
YAL047C	-0.25510548388634474	1.4951634141602141	2.0006215545472834
YAL048C	0.15729560861444045	1.6672677215804061	1.2288958364219984
YAL049C	-1.2448681058882287	-0.19145879855768588	1.3298821273642127
YAL051W	0.18203967416448852	0.03801361133590883	-0.6014806869513971
