orf	hap a (post-SGA) | nucleolus size (Nop10-GFP) | standard | LFD + met + NAT + G418 | Neumuller RA~Perrimon N, 2013
YAL002W	0.685395776898782
YAL005C	0.5377888204759936
YAL007C	0.4995920565604826
YAL008W	0.32752117416724624
YAL010C	-0.5264508527985021
YAL011W	1.0255656241188704
YAL013W	0.13063440617596378
YAL014C	-0.41297410273194185
YAL015C	-0.2440888404743376
YAL017W	-0.135637985116578
YAL018C	0.11902352624943333
YAL019W	1.0236335255297102
YAL020C	-0.06841382367334983
YAL022C	0.12773173714544714
YAL023C	-1.3936491980970223
YAL024C	0.9240271965412362
YAL026C	-0.14436137984634845
YAL027W	0.12228302159165338
YAL028W	-0.059316553265133735
YAL029C	-0.11769480501126477
YAL030W	0.13226500236369065
YAL031C	-0.34138044218463665
YAL034C	0.6364915110117989
YAL036C	0.26917386381524316
YAL037W	0.5258733567840073
YAL040C	0.15277664387261017
YAL042W	0.0545671068565835
YAL046C	0.7941917908128303
YAL048C	-0.12226298177370909
YAL049C	-0.16894293632229268
YAL051W	-0.12840191163517325
YAL053W	-0.2897512061545382
YAL054C	-0.18562980071892618
YAL055W	0.08700628586721999
YAL056W	0.8112482495398531
YAL058W	0.4864650633161443
YAL059W	1.786029152686218
YAL060W	0.07112059005772477
YAL061W	0.2507384674951042
YAL062W	-0.3689650020729943
YAL064C-A	-0.19871584343302423
YAL065C	-0.5698213337743546
YAL067C	0.7515315528979587
YAL068C	1.1738616209426378
YAR002C-A	1.9549901683459536
YAR002W	0.6500060794911194
YAR003W	0.15018765919900742
YAR014C	-0.24537396402423947
YAR015W	0.04355303018975354
YAR018C	0.4343844168471354
YAR020C	-0.48690680865751074
YAR023C	-0.22069539983296374
YAR027W	-0.20905660391033717
YAR028W	0.4643997190779238
YAR029W	1.7245649409616675
YAR031W	0.036653579498396864
YAR035W	0.4574264978905401
YAR042W	-0.3190757265945575
YAR050W	0.3281815159008036
YBL005W	0.8643986279033237
YBL007C	0.28647136347092483
YBL008W	4.043093919479759
YBL009W	1.4101275015793373
YBL010C	-0.14832160548562895
YBL011W	0.4900929549354461
YBL013W	0.2693994083330735
YBL015W	1.1446783370964486
YBL016W	1.3808866132338757
YBL017C	1.0217466974835225
YBL019W	-2.073057740532051
YBL021C	-0.04151158588515218
YBL024W	0.3030580141936693
YBL027W	0.1633726265137298
YBL028C	1.3497390666026887
YBL029W	1.1578767867233812
YBL031W	0.9326640197082755
YBL032W	1.395203772518493
YBL036C	0.4227122319711616
YBL037W	0.9322417994194753
YBL039C	0.041621153232932834
YBL043W	0.058430109742751216
YBL046W	1.812861796741256
YBL047C	0.13361032806725226
YBL049W	0.11050218599333612
YBL051C	-0.5021892597024353
YBL052C	-1.1880702905005922
YBL054W	1.3272108134472025
YBL055C	2.6475170379726545
YBL056W	0.3770878329713952
YBL057C	1.544285184681817
YBL059W	1.1831051008438125
YBL060W	0.7295889523053043
YBL061C	0.4207414460642263
YBL063W	0.43699920023719074
YBL064C	0.8217038306137497
YBL066C	-0.4365345952326796
YBL067C	-0.9216948684289034
YBL068W	0.5832594280204475
YBL069W	0.5568583368838707
YBL072C	-0.1643219954667433
YBL075C	0.7457653368940945
YBL078C	0.3414668147389447
YBL079W	0.49497894973990875
YBL081W	1.4381504331599675
YBL082C	0.8785543690125277
YBL085W	0.7648812133763871
YBL086C	1.257958340682322
YBL087C	1.2811442999794593
YBL088C	0.8788604787538776
YBL089W	0.055134534591369785
YBL091C	0.8955153326104008
YBL091C-A	0.08409471162472147
YBL093C	4.793300800324942
YBL095W	1.249645793786772
YBL098W	-0.08165266717955
YBL101C	0.8761591888690772
YBL102W	1.0467745378184468
YBL103C	0.24241609179829773
YBL104C	1.6242363421419967
YBL106C	0.4365610078266502
YBL107C	0.7604473613328305
YBR008C	0.6912931893684445
YBR009C	2.4173563813040584
YBR013C	0.47562403363964767
YBR014C	0.25065962736303593
YBR015C	0.6431961166619499
YBR016W	2.6384399405204393
YBR018C	0.72496186060696
YBR019C	0.034139295178687974
YBR020W	1.3190373736295478
YBR022W	0.8682062180407351
YBR023C	0.5294030844336414
YBR024W	0.9559150516544823
YBR025C	1.8023643045130022
YBR028C	0.47893996887703927
YBR030W	0.26591661365701763
YBR031W	0.43291909168700204
YBR033W	0.5896132902250771
YBR034C	-0.06652371620070548
YBR036C	0.9579088494373758
YBR040W	0.488333535570862
YBR041W	1.4475415637535567
YBR042C	0.40428444830440297
YBR043C	1.0761520830748494
YBR044C	0.08156257916919926
YBR045C	0.1020829614022459
YBR046C	0.9442767982659591
YBR047W	0.5044474089325081
YBR048W	-0.048246476908738484
YBR050C	0.0879134624636748
YBR052C	1.0379393547103546
YBR053C	0.14497821931328359
YBR054W	0.9012072175055158
YBR056W	0.13825262907491018
YBR057C	-0.7034926850394939
YBR058C	-0.03232342029076378
YBR058C-A	-2.9288910901324403
YBR059C	0.8783696755298449
YBR061C	1.303071387536979
YBR062C	0.8646151428653807
YBR063C	0.49097188327535357
YBR065C	0.8612455878469986
YBR066C	0.6984649175580496
YBR067C	0.06756327380801957
YBR068C	1.0436473089154608
YBR069C	0.33479391675561115
YBR071W	0.039774523511016666
YBR072W	2.4973637941371347
YBR073W	2.4038120757775845
YBR074W	1.209470481692191
YBR076W	3.1383155982481488
YBR077C	-0.3995259921602317
YBR078W	2.9811718733591825
YBR082C	2.1847108295061983
YBR083W	0.8506034155619434
YBR084C-A	1.4529056198908576
YBR084W	0.06794083361322321
YBR085W	1.9064508520134122
YBR086C	1.082251488535834
YBR090C	0.0927910725749631
YBR092C	1.2893857843605891
YBR093C	-0.058640690322197785
YBR094W	0.936211768105673
YBR095C	1.3451785539713008
YBR098W	0.7455432668562297
YBR101C	1.319387283302181
YBR103W	0.09207873585439427
YBR104W	-0.027185632518151794
YBR105C	2.1768533231159792
YBR107C	1.5845239990679416
YBR108W	0.7974770247933171
YBR111C	0.7603228005227334
YBR114W	0.18790409581103443
YBR118W	1.7295358565578363
YBR119W	0.7856299355933413
YBR122C	1.1906140940031071
YBR125C	0.13863161631374155
YBR126C	-0.3627962902812566
YBR128C	0.6155367676062866
YBR129C	0.13386981006530693
YBR130C	0.08862696905396203
YBR131W	0.6392958089332927
YBR132C	0.01894279786406253
YBR137W	-0.4143559310988078
YBR138C	0.05795435189181349
YBR139W	0.4315692875508504
YBR141C	0.14595620793122116
YBR145W	0.5212772144283658
YBR146W	1.212866335083959
YBR147W	0.017305799488075802
YBR148W	0.036947159026367735
YBR149W	0.749085522838665
YBR150C	1.2472687955189745
YBR151W	0.1620831175571434
YBR156C	0.49687397459201565
YBR157C	0.086858388417949
YBR158W	0.743387017633362
YBR159W	0.03337197618611441
YBR161W	2.686767239405108
YBR162C	0.9732491516381327
YBR162W-A	0.5964583993948318
YBR164C	0.09631751044242706
YBR165W	0.7984099578308398
YBR166C	0.1482033507355009
YBR168W	0.6848645267381179
YBR169C	1.9934754522082159
YBR170C	-0.16663462168838933
YBR171W	1.5952579336860409
YBR172C	1.0722167300302363
YBR175W	0.6290589871027706
YBR176W	1.2438491425149
YBR177C	0.3543369496668095
YBR180W	1.364892292929826
YBR181C	2.274043374437827
YBR182C	1.7572504596916545
YBR183W	-0.13588635054397966
YBR184W	2.082413806709845
YBR185C	1.4039903640587794
YBR186W	0.8469883412826098
YBR187W	1.8880079683615847
YBR188C	1.299873418375352
YBR189W	-0.20466175522189045
YBR194W	2.535892041600206
YBR195C	2.471834861411523
YBR197C	0.9063416906974078
YBR199W	0.09316966544413276
YBR201W	0.4374734277492941
YBR203W	0.8027071567998336
YBR204C	1.1723441606799239
YBR205W	1.595958137947932
YBR207W	1.8261547465965604
YBR208C	1.4640280223412947
YBR210W	0.2689751790608262
YBR212W	0.615288865954398
YBR213W	1.3418539907190667
YBR214W	0.06841640290491267
YBR215W	1.1115681824381125
YBR216C	1.7301089027815073
YBR217W	1.3029310477028504
YBR218C	1.040317861953625
YBR219C	1.10335061787581
YBR220C	0.6210874584337003
YBR221C	-0.598158308049694
YBR222C	0.793961775635464
YBR223C	1.9066609653388453
YBR225W	0.11995591642688642
YBR227C	0.542845053289628
YBR228W	0.2754250504693003
YBR229C	0.08255120052278385
YBR230C	0.8797370848061086
YBR233W	0.01409218462283239
YBR235W	-0.043783242194071814
YBR238C	0.41118819907436943
YBR239C	0.25202472074558685
YBR240C	0.42962878729316856
YBR241C	0.232704658142366
YBR242W	0.5938910119013385
YBR244W	0.6421689647304656
YBR245C	0.747291276831689
YBR246W	0.4323004475494083
YBR249C	0.02796874633844598
YBR250W	0.3246933080949377
YBR255W	0.352973693909474
YBR258C	-0.051239217883772246
