ORF	hap a | abundance of caesium (gamma-counter) | caesium chloride [50 uM], Cs-134 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010	hap a | abundance of strontium (gamma-counter) | strontium dichloride [50 uM], Sr-85 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010
YAL002W	-2.060	9.360
YAL004W	0.670	0.810
YAL005C	0.960	1.320
YAL007C	1.630	1.270
YAL008W	1.980	2.420
YAL009W	0.290	-0.630
YAL010C	1.160	-0.560
YAL011W	1.670	4.460
YAL012W	-0.520	-0.710
YAL013W	1.660	-1.250
YAL014C	0.490	1.550
YAL015C	0.790	0.750
YAL016W	NaN	NaN
YAL017W	-0.170	-0.870
YAL018C	-0.810	-1.500
YAL019W	-0.360	-1.360
YAL020C	-0.040	-0.160
YAL021C	1.370	-2.830
YAL022C	0.360	0.700
YAL023C	-0.740	-1.640
YAL024C	-0.490	-1.180
YAL026C	-0.220	2.130
YAL027W	-0.220	-0.050
YAL028W	0.650	1.010
YAL029C	0.560	1.070
YAL030W	0.410	0.590
YAL031C	-1.180	-0.920
YAL034C	-0.200	-0.960
YAL035W	-1.630	-2.430
YAL036C	-1.860	-2.400
YAL037W	-0.640	-1.290
YAL039C	-0.660	-1.190
YAL040C	-0.830	-1.220
YAL042C-A	-1.250	-1.080
YAL042W	0.960	1.640
YAL044C	0.230	1.120
YAL045C	0.470	0.460
YAL046C	-0.490	-0.200
YAL047C	2.640	-1.590
YAL048C	0.270	-0.710
YAL049C	0.230	-0.250
YAL051W	0.410	0.460
YAL053W	-0.090	-0.780
YAL054C	-0.890	-0.720
YAL055W	-0.360	0.500
YAL056C-A	2.330	1.900
YAL056W	-0.880	-0.190
YAL058W	0.950	0.260
YAL059W	1.220	2.030
YAL060W	-0.930	-1.410
YAL061W	-0.310	-0.910
YAL062W	-1.010	-1.460
YAL064C-A	-0.350	-1.740
YAL065C	-0.830	-1.280
YAL066W	0.430	0.350
YAL067C	-0.730	-1.240
YAL068C	-0.140	-1.410
YAR002C-A	0.630	-0.390
YAR002W	1.650	1.750
YAR003W	0.990	-1.690
YAR014C	2.810	0.500
YAR015W	1.810	0.190
YAR018C	1.900	1.190
YAR020C	1.250	1.720
YAR023C	1.300	1.230
YAR027W	0.220	0.190
YAR028W	1.390	1.820
YAR029W	2.170	2.950
YAR030C	-1.200	-1.240
YAR031W	0.420	0.510
YAR035W	-1.180	-1.620
YAR037W	-0.650	-1.620
YAR040C	0.380	0.370
YAR042W	-1.890	0.530
YAR043C	-2.270	0.170
YAR047C	0.270	0.410
YAR050W	0.490	-0.030
YBL001C	-0.550	-0.260
YBL002W	0.930	0.820
YBL003C	-0.710	-0.460
YBL005W	-0.450	-0.610
YBL006C	3.170	1.080
YBL007C	-3.170	-0.410
YBL008W	0.220	-1.110
YBL009W	-0.650	-0.380
