orf	hap a | growth (culture turbidity) | dermaseptin s3(1-16)-NH2 [6 ug/ml] | MEB | Morton CO~Coote PJ, 2007	hap a | growth (culture turbidity) | Magainin-2 [15 ug/ml] | MEB | Morton CO~Coote PJ, 2007
YAL002W	-6.330793581251962	0.0
YAL010C	-6.330793581251962	0.0
YAR002W	-6.330793581251962	-9.284801945642746
YAR018C	-6.330793581251962	-9.284801945642746
YBL006C	-6.330793581251962	-9.284801945642746
YBR053C	-6.330793581251962	-9.284801945642746
YBR278W	-6.330793581251962	0.0
YBR284W	-6.330793581251962	0.0
YBR286W	-6.330793581251962	0.0
YBR291C	-6.330793581251962	0.0
YBR295W	-6.330793581251962	0.0
YCL010C	-6.330793581251962	-9.284801945642746
YCL023C	0.0	-9.284801945642746
YCL032W	-6.330793581251962	0.0
YCL049C	-6.330793581251962	0.0
YCR003W	-6.330793581251962	0.0
YCR034W	0.0	-9.284801945642746
YCR094W	-6.330793581251962	-9.284801945642746
YCR106W	-6.330793581251962	0.0
YDL096C	-6.330793581251962	0.0
YDR006C	0.0	-9.284801945642746
YDR027C	-6.330793581251962	-9.284801945642746
YDR136C	-6.330793581251962	0.0
YDR153C	0.0	-9.284801945642746
YDR176W	0.0	-9.284801945642746
YDR340W	-6.330793581251962	0.0
YDR358W	-6.330793581251962	0.0
YDR374C	-6.330793581251962	0.0
YDR393W	-6.330793581251962	0.0
YDR435C	-6.330793581251962	0.0
YEL010W	-6.330793581251962	0.0
YEL013W	-6.330793581251962	0.0
YEL027W	-6.330793581251962	0.0
YEL046C	-6.330793581251962	0.0
YGL012W	0.0	-9.284801945642746
YGL027C	0.0	-9.284801945642746
YGL033W	0.0	-9.284801945642746
YGL136C	0.0	-9.284801945642746
YGL199C	-6.330793581251962	-9.284801945642746
YGL202W	-6.330793581251962	0.0
YGL215W	-6.330793581251962	-9.284801945642746
YGL217C	-6.330793581251962	0.0
YGL229C	-6.330793581251962	0.0
YGL244W	-6.330793581251962	-9.284801945642746
YGR006W	0.0	-9.284801945642746
YGR056W	-6.330793581251962	-9.284801945642746
YGR058W	-6.330793581251962	-9.284801945642746
YGR059W	0.0	-9.284801945642746
YGR062C	0.0	-9.284801945642746
YGR070W	0.0	-9.284801945642746
YGR096W	-6.330793581251962	0.0
YGR101W	0.0	-9.284801945642746
YGR104C	-6.330793581251962	-9.284801945642746
YGR105W	-6.330793581251962	-9.284801945642746
YGR107W	-6.330793581251962	0.0
YGR122W	-6.330793581251962	0.0
YGR220C	-6.330793581251962	0.0
YHR073W	-6.330793581251962	-9.284801945642746
YJL029C	0.0	-9.284801945642746
YJL165C	-6.330793581251962	-9.284801945642746
YJL188C	-6.330793581251962	0.0
YJL204C	-6.330793581251962	-9.284801945642746
YJR060W	0.0	-9.284801945642746
YKL006W	-6.330793581251962	0.0
YKL015W	-6.330793581251962	0.0
YKL075C	0.0	-9.284801945642746
YKL080W	-6.330793581251962	0.0
YKL110C	-6.330793581251962	0.0
YKL127W	0.0	-9.284801945642746
YKL137W	-6.330793581251962	0.0
YKL138C	-6.330793581251962	-9.284801945642746
YKL139W	-6.330793581251962	-9.284801945642746
YKL159C	0.0	-9.284801945642746
YKL169C	-6.330793581251962	0.0
YKL212W	0.0	-9.284801945642746
YLL010C	-6.330793581251962	0.0
YLR020C	-6.330793581251962	0.0
YLR025W	-6.330793581251962	-9.284801945642746
YLR027C	-6.330793581251962	0.0
YLR056W	-6.330793581251962	0.0
YLR097C	-6.330793581251962	0.0
YLR177W	-6.330793581251962	-9.284801945642746
YLR180W	-6.330793581251962	0.0
YLR190W	-6.330793581251962	0.0
YLR200W	-6.330793581251962	0.0
YLR214W	-6.330793581251962	0.0
YLR242C	-6.330793581251962	-9.284801945642746
YLR261C	-6.330793581251962	-9.284801945642746
YLR267W	-6.330793581251962	0.0
YLR304C	-6.330793581251962	-9.284801945642746
YLR315W	-6.330793581251962	0.0
YLR320W	-6.330793581251962	-9.284801945642746
YLR322W	0.0	-9.284801945642746
YLR357W	-6.330793581251962	-9.284801945642746
YLR372W	-6.330793581251962	0.0
YLR373C	-6.330793581251962	0.0
YLR390W	-6.330793581251962	0.0
YLR447C	-6.330793581251962	0.0
YML004C	-6.330793581251962	0.0
YML012W	-6.330793581251962	0.0
YML014W	-6.330793581251962	-9.284801945642746
YML034W	-6.330793581251962	0.0
YML035C	-6.330793581251962	0.0
YML057C-A	-6.330793581251962	0.0
YML128C	-6.330793581251962	0.0
YMR010W	-6.330793581251962	0.0
YMR035W	-6.330793581251962	-9.284801945642746
YMR193W	-6.330793581251962	0.0
YMR207C	-6.330793581251962	0.0
YMR224C	-6.330793581251962	0.0
YMR226C	-6.330793581251962	0.0
YMR232W	-6.330793581251962	0.0
YMR286W	-6.330793581251962	-9.284801945642746
YMR307W	-6.330793581251962	0.0
YNL077W	-6.330793581251962	0.0
YNL171C	-6.330793581251962	-9.284801945642746
YOL081W	-6.330793581251962	-9.284801945642746
YOR014W	-6.330793581251962	0.0
YOR035C	-6.330793581251962	0.0
YOR080W	-6.330793581251962	0.0
YOR106W	-6.330793581251962	0.0
YOR114W	-6.330793581251962	-9.284801945642746
YOR123C	-6.330793581251962	0.0
YOR183W	-6.330793581251962	0.0
YOR198C	-6.330793581251962	0.0
YOR215C	-6.330793581251962	0.0
YOR245C	-6.330793581251962	0.0
YOR246C	-6.330793581251962	0.0
YOR263C	-6.330793581251962	0.0
YPL032C	-6.330793581251962	0.0
YPL062W	-6.330793581251962	0.0
YPR087W	-6.330793581251962	0.0
YPR115W	-6.330793581251962	0.0
YPR135W	-6.330793581251962	0.0
YPR141C	-6.330793581251962	0.0
