orf	hap a | growth (culture turbidity) | Leucascandrolide A [5-25 nM] | Ulanovskaya OA~Kozmin SA, 2008
YBR011C	-18.716508550146106
YBR289W	-18.716508550146106
YCR009C	-18.716508550146106
YDR017C	-18.716508550146106
YEL051W	-18.716508550146106
YER052C	-18.716508550146106
YGL115W	-18.716508550146106
YGR208W	-18.716508550146106
YHL025W	-18.716508550146106
YLR056W	-18.716508550146106
YML008C	-18.716508550146106
YOR184W	-18.716508550146106
YPR049C	-18.716508550146106
