orf	hom | growth (pooled culture, microarray) | dessication [3 rounds] | YPD | Ratnakumar S~Oliver SG, 2011
YAL002W	-3.6817691307294567
YAL019W	-2.064970975667407
YAL026C	-3.513263144881494
YAL039C	-5.113182909198
YAL044C	-3.942660592933637
YAL054C	-1.198544550480137
YAL056C-A	-2.2061151082513795
YAL056W	-5.094142227897991
YAR003W	-3.103067105446807
YAR015W	-1.9092301312622872
YBL013W	-1.5677780312476737
YBL022C	-2.339475251996104
YBL042C	-1.4971647481566568
YBL045C	-3.0494550168235213
YBL051C	-2.259942637302513
YBL079W	-2.0496069027156953
YBL080C	-2.1685771210464315
YBL082C	-1.2198680931183503
YBL083C	-2.9540249188004304
YBL094C	-1.2548173205315936
YBL099W	-3.2523392749174405
YBL100C	-1.7263927479280126
YBR026C	-2.124904474630343
YBR027C	-0.9295844234507661
YBR031W	-1.3297688085257262
YBR037C	-5.3986426035263095
YBR041W	-3.619589820162164
YBR048W	-1.5058561226792202
YBR058C	-1.3854717107373475
YBR084W	-3.9754914146337086
YBR098W	-1.0154428113471634
YBR131W	-1.2623745076514565
YBR133C	-3.689459640128735
YBR134W	-3.8029013866237924
YBR174C	-3.5619604163376
YBR175W	-2.8667265016651684
YBR179C	-2.1817892098035214
YBR194W	-1.5628419873227082
YBR214W	-1.4928261149755464
YBR215W	-1.5250210530974029
YBR217W	-1.9978483047940694
YBR221C	-3.0951815143152173
YBR231C	-2.0407117888086055
YBR277C	-2.331963942071367
YBR278W	-1.6088328149428324
YBR283C	-2.628785096055457
YBR288C	-1.6704574748748824
YBR290W	-1.248420608446398
YBR291C	-2.5849037666181918
YBR298C	-2.1876401824391185
YCL001W	-1.1491775165405733
YCL001W-A	-2.028401013202232
YCL005W	-1.702653664761475
YCL008C	-2.268634045690433
YCL010C	-2.9277179275205287
YCR017C	-1.9162444022281353
YCR020C-A	-2.196778038156459
YCR024C	-1.7151153494333105
YCR033W	-0.9637801835344696
YCR034W	-3.0848745232463335
YCR036W	-2.4345853837186886
YCR045C	-1.5100832619759696
YCR050C	-2.2318131654081212
YCR061W	-1.8785479656525792
YCR063W	-2.2078952172020894
YCR067C	-1.5318821581940987
YCR068W	-2.3092905252738927
YCR071C	-3.185268233820533
YCR079W	-2.3624628547286366
YCR081W	-2.4863720086320837
YCR086W	-2.083390821072528
YCR087C-A	-1.808419740744618
YCR087W	-2.129031263106579
YCR094W	-2.2183342999443414
YCR098C	-1.5111941328616108
YDL001W	-2.1625580676762297
YDL023C	-1.6542630642382135
YDL032W	-2.5566944373599787
YDL048C	-2.314263992826615
YDL067C	-3.4828670491895344
YDL068W	-2.9781509930104866
YDL069C	-3.1256285833940773
YDL074C	-4.609710191948673
YDL076C	-3.6086439785373363
YDL077C	-3.435307104786015
YDL100C	-3.6222245459236744
YDL101C	-2.376943289984874
YDL104C	-3.817226504887048
YDL130W	-1.8076394922046362
YDL133W	-2.3771418601220478
YDL142C	-3.120204215533031
YDL149W	-1.324109627647332
YDL172C	-1.8260274984947036
YDL173W	-1.732968475694883
YDL183C	-3.1167900764463767
YDL202W	-2.194901973284742
YDR004W	-1.195205987061348
YDR022C	-1.2867911316860283
YDR048C	-2.639941467296079
YDR069C	-1.2941625704985449
YDR071C	-3.479233035114219
YDR076W	-1.6571833565425305
YDR080W	-1.8211382279145896
YDR083W	-1.5049463398888587
YDR096W	-1.8504067403072435
YDR101C	-1.4142614859608944
YDR108W	-1.264097528829123
YDR116C	-2.2334655808287964
YDR120C	-3.282293917172831
YDR121W	-1.0472968598392207
YDR125C	-1.4572521778529626
YDR126W	-2.3364272988532373
YDR194C	-1.3901628817868765
YDR197W	-2.5008084679778992
YDR204W	-5.136752818796861
YDR219C	-1.6660301067260246
YDR230W	-3.047683861856861
YDR231C	-3.7397178024148077
YDR237W	-1.829302204128871
YDR249C	-1.2660771528701125
YDR250C	-0.8970112597083091
YDR255C	-1.6611959593409766
YDR266C	-2.5078526849864646
YDR276C	-1.9100432738855728
YDR289C	-3.057344018066596
YDR290W	-1.6949330581987854
YDR293C	-3.127443868771732
YDR298C	-1.7561578192674836
YDR316W	-3.930882231508222
YDR322W	-3.6255161561508014
YDR323C	-2.913974014615138
YDR329C	-1.6230846475470275
YDR332W	-4.370765965306392
YDR334W	-1.2615529727097095
YDR335W	-1.7223845788840952
YDR337W	-4.5322729818513245
YDR350C	-1.450441689273313
YDR363W	-2.0132638535500393
YDR363W-A	-2.734137763495198
YDR369C	-1.3087384707598555
YDR372C	-3.719214620021117
YDR375C	-1.7588722362014333
YDR377W	-3.0745119558566816
YDR389W	-1.8477437437159165
YDR393W	-2.80214016558293
YDR395W	-1.960309617185644
YDR414C	-3.149803965066424
YDR435C	-1.5097944256442088
YDR439W	-2.358653954644749
YDR443C	-1.0293485787156096
YDR448W	-1.352812645178441
YDR451C	-1.838570048528735
YDR455C	-2.37523691820757
YDR457W	-1.614624558308518
YDR462W	-2.469493404486693
YDR463W	-1.474367776073753
YDR469W	-2.2237902085452164
YDR484W	-1.6001502819800701
YDR494W	-4.491796526849841
YDR500C	-1.907475959059065
YDR507C	-3.3769142412711477
YDR512C	-3.1375502081692344
YDR518W	-3.8398472495324114
YDR525W	-1.744247611456408
YDR529C	-3.7740784721734015
YDR537C	-1.8302129666578333
YDR540C	-1.1631077765142273
YEL024W	-3.34460236802766
YEL031W	-1.8212207297288203
YEL037C	-1.2296472783720316
YEL042W	-2.954729786188321
YEL053C	-2.0568341004519426
YEL062W	-4.694151086127913
YER005W	-2.8552698389646163
YER017C	-1.972988629572548
YER019W	-2.613922014220588
YER031C	-1.6200044642087463
YER040W	-2.058802063619075
YER041W	-3.551219799727297
YER058W	-4.3849110640625915
YER072W	-3.323878746324956
YER084W	-2.3106962133932107
YER092W	-1.0863540002307213
YER093C-A	-2.0713612361979368
YER110C	-3.146813053841717
YER123W	-1.9159596164376616
YER129W	-3.2260560038403483
YER139C	-2.591943449541037
YER141W	-4.4593435023318655
YER145C	-2.322737434507867
YER151C	-1.4627746708336753
