orf	hom | growth (pooled culture, microarray) | dessication [3 rounds] | YPD | Ratnakumar S~Oliver SG, 2011
YIL053W	-5.533262599671035
YIL065C	-5.51357759523666
YIL067C	-2.92385143178202
YIL070C	-4.701738169558749
YIL077C	-8.429545739897318
YIL098C	-8.696850777932575
YIL110W	-3.762697061668441
YIL133C	-2.2188893271171954
YIL148W	-3.1808442104533583
YIL154C	-3.491012369340527
YIL157C	-7.01441154672022
YIR009W	-3.5250313764550083
YIR021W	-3.8088065731887695
YJL003W	-8.99417381863177
YJL012C	-3.69320212604996
YJL022W	-4.831883927824541
YJL023C	-3.184069509053135
YJL024C	-3.716465174908481
YJL046W	-5.638461748318289
YJL047C	-2.5513873074933304
YJL052W	-1.6949038104706358
YJL053W	-5.074072811318736
YJL062W	-3.0302463706761285
YJL080C	-3.5588277025042383
YJL095W	-5.693607497649134
YJL101C	-4.115042817587235
YJL120W	-3.7933544842937117
YJL121C	-3.330309994172307
YJL128C	-4.7847147182719
YJL141C	-7.379584662044478
YJL144W	-4.121292139707589
YJL154C	-5.053151010027678
YJL155C	-7.377850424384308
YJL159W	-2.215204867614283
YJL166W	-6.110734247762546
YJL178C	-2.7051069364451084
YJL185C	-2.521930663284015
YJL192C	-1.9619666451500637
YJL193W	-4.9061351469986825
YJL198W	-2.6108299649752595
YJL204C	-4.086122039562356
YJL209W	-5.388440540123137
YJL217W	-3.250251113789972
YJR034W	-5.435133566065375
YJR043C	-2.4978603933245487
YJR048W	-2.279958847147788
YJR050W	-5.24411855849338
YJR059W	-7.160227063533672
YJR070C	-4.360523146869832
YJR073C	-4.268709925609642
YJR075W	-5.888339262078708
YJR077C	-4.167017849062921
YJR095W	-2.25647720535319
YJR102C	-3.716926602531813
YJR120W	-4.611422114676559
YJR121W	-2.2625332828455953
YJR129C	-4.711576785529838
YJR140C	-2.0221739017838316
YJR144W	-7.665784816879038
YKL002W	-3.8264572704900095
YKL010C	-2.5406938903716973
YKL011C	-5.715206993903568
YKL037W	-8.62965825389227
YKL041W	-5.500576646210779
YKL055C	-5.405165499341987
YKL056C	-2.1711286686425133
YKL062W	-1.9667349959130287
YKL064W	-4.876059877493285
YKL074C	-4.632408871409136
YKL076C	-4.256369638545776
YKL085W	-1.7343788326152485
YKL087C	-6.297464959660679
YKL109W	-5.726542322206491
YKL121W	-1.31287076037662
YKL137W	-5.757900174802892
YKL138C	-3.2042451268032233
YKL149C	-3.393872084871489
YKL155C	-5.881925313466452
YKL167C	-4.938208761393774
YKL208W	-5.821320282681558
YKR006C	-5.593062991414473
YKR028W	-1.6095010973619395
YKR035W-A	-1.5534160472540357
YKR042W	-1.3569162342298269
YKR074W	-3.4104739425958255
YKR084C	-2.746348457098257
YKR092C	-2.3826891074037126
YKR099W	-2.4366490531441563
YLL001W	-2.7211120976932097
YLL009C	-6.44237645502472
YLL018C-A	-2.5671292255778058
YLL039C	-6.440566215514039
YLL041C	-4.563991040208347
YLL043W	-4.619178216059069
YLL045C	-3.025562174023014
YLR006C	-2.034735499103286
YLR015W	-5.150842785820456
YLR021W	-3.5022711459741207
YLR025W	-3.921221700624383
YLR038C	-5.3902518260073435
YLR055C	-4.40420183081037
YLR059C	-2.3717280731502095
YLR067C	-6.965964610272082
YLR068W	-3.1266088337028384
YLR069C	-3.6075433729762785
YLR083C	-3.3111386174563537
YLR085C	-2.3544944760043744
YLR087C	-3.098950734505766
YLR110C	-4.005671702658081
YLR111W	-3.5855868121230396
YLR113W	-4.600291403288632
YLR114C	-3.434728695756029
YLR119W	-1.6740285014859675
YLR131C	-4.240375547157764
YLR168C	-3.667694152548296
YLR169W	-1.48455837256656
YLR192C	-2.825295353427834
YLR201C	-5.712757730657064
YLR202C	-1.6375026718308563
YLR203C	-3.8511000699220728
YLR204W	-4.923481000210271
YLR218C	-3.9113848927027375
YLR232W	-5.866276178689024
YLR239C	-4.832504130225412
YLR262C	-4.290011545863202
YLR269C	-3.77136702340369
YLR292C	-1.5359812611905745
YLR304C	-2.7686744930972136
YLR384C	-1.944400832812103
YLR386W	-3.78784354477642
YLR393W	-5.2112420560077855
YLR395C	-4.49955508697567
YLR402W	-3.0012841482517243
YLR410W	-3.7934258639458203
YLR412W	-2.1552220476058284
YLR417W	-2.1332985031772225
YLR420W	-2.6721136861826267
YLR423C	-5.126429885588202
YLR425W	-2.3091138905849378
YLR427W	-3.0300385028679138
YLR431C	-2.7984875094620483
YML009C	-2.861648932546974
YML012W	-3.20798090956027
YML013W	-4.509235157280126
YML014W	-4.000421115316813
YML030W	-5.485586191085836
YML034W	-3.9131343221610124
YML071C	-2.9561962673030164
YML072C	-2.650503104383022
YML073C	-3.116682972933779
YML081C-A	-4.710635476259444
YML090W	-4.037323792549358
YML097C	-4.023346649116131
YML110C	-6.386272835357068
YML113W	-1.8191245160840142
YML115C	-4.1197741494115
YML117W	-5.8738293621607935
YML128C	-2.650399704111804
YML129C	-6.714455806056579
YMR023C	-7.236919814811677
YMR037C	-1.5325922546425255
YMR039C	-3.45114898392417
YMR064W	-2.776565997726036
YMR072W	-4.34194391700267
YMR083W	-3.085252467599083
YMR098C	-5.448908646819303
YMR121C	-5.542628861419569
YMR138W	-6.548235573599851
YMR150C	-3.371765146284836
YMR151W	-6.162235237327111
YMR156C	-3.802373982027566
YMR157C	-3.9368974829912418
YMR158W	-6.3366527633516805
YMR158W-A	-3.756951323379068
YMR159C	-3.3520304977770508
YMR167W	-4.255353736940045
YMR179W	-4.193323413414677
YMR190C	-4.146515116204641
YMR193C-A	-2.9679194621719387
YMR193W	-3.7544498182823207
YMR207C	-4.8328331151751485
YMR214W	-3.056428152841593
YMR216C	-4.109613050733402
YMR223W	-2.4606576506290057
YMR230W	-2.290897655250654
YMR242C	-2.563538404963355
YMR244C-A	-6.517056516064848
YMR245W	-4.699978647918499
YMR257C	-2.6655810550182446
YMR263W	-5.745549882196907
YMR275C	-4.701286608951889
YMR280C	-3.0569781347211156
YMR287C	-2.394846379029502
YMR294W	-4.750648949028184
YMR315W	-5.570482998677339
YNL001W	-5.5060595729550785
YNL003C	-2.3524624992916845
YNL041C	-2.700988503726594
YNL051W	-1.9431333005164169
YNL052W	-4.632864774523396
YNL054W	-5.061853945523848
YNL070W	-8.156125595336817
YNL071W	-2.592251068505077
YNL079C	-1.9916939841869274
YNL089C	-1.2863051373350538
YNL090W	-2.3550675867033504
YNL091W	-3.16873091772438
YNL094W	-3.960103809392997
YNL097C	-3.8670191177433244
YNL098C	-5.334023265043781
YNL107W	-4.288329840906188
YNL119W	-2.5960394396212
YNL120C	-4.369506127556113
YNL121C	-3.5534418523294335
YNL123W	-1.6832769451739245
YNL135C	-3.6871493979162704
YNL136W	-7.244461692434739
YNL148C	-3.7135667142518054
YNL170W	-7.795596950000831
YNL177C	-2.9500351673198493
YNL184C	-4.136348003401835
YNL197C	-2.334519079040842
YNL198C	-1.624931872261632
YNL206C	-1.7650607007366081
YNL219C	-1.842908052539316
YNL224C	-5.526403147556303
YNL229C	-1.8556640578396593
YNL236W	-2.8262460362028383
YNL237W	-3.4495963686223114
YNL242W	-3.13518564539079
YNL252C	-4.555204843022564
YNL257C	-2.4917779459907234
YNL307C	-3.771293064730373
YNL315C	-3.0928778783447943
YNL322C	-3.4453127430206196
YNL323W	-2.6251748521251375
YNR001C	-3.1794463982504224
YNR004W	-3.0671494185001005
YNR006W	-5.107975710142152
YNR007C	-5.64538261894852
YNR020C	-4.383260323318234
YNR031C	-4.276080993461931
YNR036C	-6.8347583215364
YNR037C	-4.343065301473251
YNR040W	-3.554687074379261
YNR041C	-6.581776565572516
YNR042W	-6.268383843716828
YNR045W	-5.464866166621503
YOL001W	-2.7129562441037094
YOL004W	-2.2844081185066614
YOL006C	-2.3716503000956
YOL008W	-2.5875846191369702
YOL027C	-8.078500978454752
YOL041C	-2.721460596661239
YOL050C	-2.6458766248839907
YOL064C	-2.39984182526
YOL067C	-4.850031724741639
YOL071W	-3.7366648330370147
YOL072W	-5.4660999930954555
YOL081W	-3.6574607432134956
YOL087C	-6.211902697095768
YOL088C	-1.9594077670137822
YOL089C	-5.155509667458019
YOL093W	-1.7277789001809343
YOL096C	-6.62566483836842
YOL110W	-2.9092358569853087
YOL111C	-2.2023938984945977
YOL116W	-2.7282786339974434
YOR002W	-4.919880395933516
YOR036W	-6.1750536723278175
YOR037W	-5.388561909728044
YOR039W	-2.504009628162526
YOR043W	-2.639677870951065
YOR051C	-5.448504386711681
YOR066W	-3.1729306889240103
YOR067C	-4.41253062359599
YOR078W	-5.305958778069983
YOR085W	-2.8618581228251414
YOR086C	-2.0021840290023976
YOR089C	-2.1052932185018665
YOR091W	-3.0884869608785093
YOR106W	-3.495619956347927
YOR123C	-2.6396061039470244
YOR124C	-1.906433862248762
YOR125C	-6.874329427944226
YOR141C	-3.680470081939378
YOR150W	-4.211214328008605
YOR158W	-4.373336394051571
YOR182C	-3.033105617771563
YOR191W	-1.7063811366283372
YOR200W	-4.889542803859184
YOR201C	-2.993640852437065
YOR216C	-5.323962734992252
YOR266W	-5.144938067943449
YOR277C	-1.6227565612777106
YOR286W	-1.556456392920162
YOR297C	-1.9088547856295932
YOR309C	-2.7807405333462283
YOR322C	-3.5711388234581074
YOR330C	-5.593797238906214
YOR333C	-6.01147508690662
YOR334W	-6.490722622568728
YOR350C	-5.554895223014934
YOR354C	-8.693323599627794
YOR355W	-1.9144164196108056
YOR358W	-1.3521014238402027
YOR360C	-3.96360497787906
YOR371C	-2.378811506187978
YPL002C	-3.466834472161145
YPL003W	-1.7405740189515104
YPL005W	-3.046293728205251
YPL008W	-3.79321702169098
YPL013C	-8.493456626007145
YPL017C	-4.849548471906385
YPL042C	-3.710302924469714
YPL047W	-2.624317809107524
YPL055C	-3.459652465228276
YPL056C	-1.481229698791555
YPL057C	-2.7550400991683612
YPL060W	-5.320158157305135
YPL065W	-3.815035341782762
YPL078C	-2.231994814702308
YPL084W	-3.3067798952688454
YPL098C	-5.663842701553283
YPL100W	-3.6871174765378747
YPL120W	-2.1685647004111916
YPL132W	-5.865777457156322
YPL139C	-3.9698860433851
YPL144W	-3.7903654407838925
YPL148C	-3.2185006595249703
YPL149W	-3.879452684398196
YPL154C	-2.3913091075643806
YPL159C	-2.442488925556325
YPL161C	-2.5766856260327753
YPL172C	-4.758068981383324
YPL173W	-2.6074174351026165
YPL174C	-5.634234873353288
YPL195W	-2.9596229112115537
YPL202C	-7.0993330388137155
YPL205C	-5.4655978131833045
YPL214C	-2.227709967006905
YPL215W	-7.9302824444177125
YPL225W	-2.4371739298595476
YPL227C	-4.541251341420721
YPL253C	-2.6019386882871487
YPL269W	-2.485947391577195
YPL270W	-2.141646955733136
YPR046W	-1.6952531286083998
YPR049C	-2.4573930937020267
YPR050C	-3.4107802781544416
YPR051W	-4.0466614774293195
YPR061C	-4.970952882216349
YPR066W	-4.249952243277499
YPR070W	-3.661386144440719
YPR083W	-3.3808844301702212
YPR084W	-4.6564511783674005
YPR100W	-3.2796870151697917
YPR106W	-2.239391319972986
YPR119W	-2.1935418399022852
YPR129W	-2.8104552376512277
YPR130C	-2.0251532082814596
YPR134W	-8.857618994941012
YPR146C	-4.845290920196315
YPR149W	-6.49038620398434
YPR164W	-3.0771602638113844
YPR166C	-2.54361441216288
YPR173C	-4.816900398783589
YPR185W	-2.804021540036538
YPR191W	-4.953165578781623
YPR197C	-5.437315806950076
