orf	hom | growth (pooled culture, microarray) | dessication [3 rounds] | YPD | Ratnakumar S~Oliver SG, 2011
YAL002W	-5.828952441064697
YAL019W	-3.2692483374044436
YAL026C	-5.562174883138925
YAL039C	-8.095157230642243
YAL044C	-6.241994071724113
YAL054C	-1.8975277740627425
YAL056W	-8.065012150436948
YAL058C-A	-3.492706790923582
YAR003W	-4.912755237180797
YAR015W	-3.022680466651277
YBL013W	-2.4820957691277483
YBL022C	-3.7038416849975997
YBL042C	-2.370301288205631
YBL045C	-4.8278769344531725
YBL051C	-3.5779261775060647
YBL079W	-3.2449240391237333
YBL080C	-3.4332768988304876
YBL082C	-1.9312870651806335
YBL083C	-4.676792636912623
YBL094C	-1.9866184499606967
YBL099W	-5.1490819447292635
YBL100C	-2.733213535384718
YBR026C	-3.3641346550080518
YBR027C	-1.4717118868274914
YBR031W	-2.10528114808003
YBR037C	-8.547095123269127
YBR041W	-5.730510569441114
YBR048W	-2.384061414639595
YBR058C	-2.193469612997842
YBR084W	-6.2939716106451575
YBR098W	-1.6076423164509888
YBR131W	-1.9985829384296354
YBR133C	-5.841128004481155
YBR134W	-6.020728224286354
YBR174C	-5.639272079961535
YBR175W	-4.538582362559855
YBR179C	-3.454194190023307
YBR194W	-2.4742810571607516
YBR214W	-2.3634323929615375
YBR215W	-2.4144032052237776
YBR217W	-3.1629801705679195
YBR221C	-4.900270821661073
YBR231C	-3.2308413538490033
YBR277C	-3.6919498289993626
YBR278W	-2.5470934300728456
YBR283C	-4.161875109113928
YBR288C	-2.6446571824935563
YBR290W	-1.9764912178611647
YBR291C	-4.0924024797180065
YBR298C	-3.4634574110499092
YCL001W	-1.8193702137235013
YCL001W-A	-3.2113510156517373
YCL005W	-2.695629976541415
YCL008C	-3.591686357555436
YCL010C	-4.635143582994984
YCR017C	-3.0337854138701075
YCR020C-A	-3.4779244035468384
YCR024C	-2.715359232969094
YCR033W	-1.525850387134401
YCR034W	-4.883952861838563
YCR036W	-3.8544194140157426
YCR045C	-2.3907537935062804
YCR050C	-3.5333917843807168
YCR061W	-2.9741046657855597
YCR063W	-3.4955250475945387
YCR067C	-2.4252656612555774
YCR068W	-3.6560534260756055
YCR071C	-5.0428955178119645
YCR079W	-3.7402355050075666
YCR081W	-3.9364076547188276
YCR086W	-3.2984105143432623
YCR087C-A	-2.8630781257581015
YCR087W	-3.370668159122023
YCR094W	-3.5120521340772455
YCR098C	-2.3925125169163173
YDL001W	-3.4237475735009046
YDL023C	-2.619018299103409
YDL032W	-4.047741656944504
YDL048C	-3.663927386881576
YDL067C	-5.514051986267502
YDL068W	-4.714988877406429
YDL069C	-4.948474419260178
YDL074C	-7.2980625677190165
YDL076C	-5.713181185660359
YDL077C	-5.438755398082769
YDL100C	-5.73468184977233
YDL101C	-3.763160833956099
YDL104C	-6.043407656402892
YDL130W	-2.8618428414504016
YDL133W	-3.7634752088787793
YDL142C	-4.939886596080017
YDL149W	-2.0963215704899474
YDL172C	-2.8909546109136772
YDL173W	-2.7436241839228255
YDL183C	-4.934481353747686
YDL202W	-3.474954230098884
YDR004W	-1.8922421826259586
YDR022C	-2.0372391754763832
YDR048C	-4.179537801984505
YDR069C	-2.048909588458488
YDR071C	-5.508298639313078
YDR076W	-2.623641686489054
YDR080W	-2.8832139501956777
YDR083W	-2.382621052566793
YDR096W	-2.9295516646747197
YDR101C	-2.2390493939695375
YDR108W	-2.001310814117369
YDR116C	-3.5360078775027994
YDR120C	-5.196505935451133
YDR121W	-1.6580734345148156
YDR125C	-2.307111971917678
YDR126W	-3.6990161858200223
YDR194C	-2.2008966438543878
YDR197W	-3.9592633612979773
YDR204W	-8.132472955016503
YDR219C	-2.6376478026377197
YDR230W	-4.825072853670309
YDR231C	-5.920696393301555
YDR237W	-2.89613910312986
YDR249C	-2.0044449417544894
YDR250C	-1.42014227027411
YDR255C	-2.629994412596134
YDR266C	-3.9704157188927978
YDR276C	-3.023967828653249
YDR289C	-4.840366748838756
YDR290W	-2.6834067634956873
YDR293C	-4.951348367016704
YDR298C	-2.780337398691242
YDR316W	-6.223346648122945
YDR322W	-5.739893105227841
YDR323C	-4.613384311341852
YDR329C	-2.569656836820571
YDR332W	-6.919767654672991
YDR334W	-1.9972822897647997
YDR335W	-2.7268678287683685
YDR337W	-7.175464490870904
YDR350C	-2.2963296516195753
YDR363W	-3.1873859650001357
YDR363W-A	-4.3286687526697065
YDR369C	-2.0719860569691706
YDR372C	-5.888235891075654
YDR375C	-2.7846348455575205
YDR377W	-4.867546913954036
YDR389W	-2.925335626153454
YDR393W	-4.436329704123502
YDR395W	-3.1035491696006905
YDR414C	-4.9867487230008845
YDR435C	-2.390296509743691
YDR439W	-3.734205279685603
YDR443C	-1.629657835015327
YDR448W	-2.1417639972590403
YDR451C	-2.910811892845844
YDR455C	-3.760459317488468
YDR457W	-2.5562628797126017
YDR462W	-3.9096855607086725
YDR463W	-2.334209273374381
YDR469W	-3.5206898923472747
YDR484W	-2.5333473015376513
YDR494W	-7.111382436073568
YDR500C	-3.0199032728667246
YDR507C	-5.346308204290826
YDR512C	-4.967348656445398
YDR518W	-6.079220669125167
YDR525W	-2.761481236767748
YDR529C	-5.975095977510762
YDR537C	-2.8975810163183096
YDR540C	-1.8414245088177752
YEL024W	-5.29515226112046
YEL031W	-2.883344566520161
YEL037C	-1.9467694063411114
YEL042W	-4.677908578280858
YEL053C	-3.25636609059164
YEL062W	-7.431748830701577
YER005W	-4.520444250243832
YER017C	-3.123622497823824
YER019W	-4.1383439766428545
YER031C	-2.5647803110116203
YER040W	-3.259481756810697
YER041W	-5.6222676070610955
YER058W	-6.942162081101276
YER072W	-5.262342760844232
YER084W	-3.6582789021724325
YER092W	-1.719908439845782
YER093C-A	-3.2793653554454667
YER110C	-4.9820135322093835
YER123W	-3.033334542897588
YER129W	-5.107470444479212
YER139C	-4.103547658978421
YER141W	-7.060003023142669
YER145C	-3.6773424834882356
YER151C	-2.31585514613575
YER153C	-3.2985303146860696
YER154W	-2.453249954547478
YER164W	-1.5084935596711218
YFL007W	-3.197407110767257
YFL013W-A	-3.5207223230306806
YFL015C	-2.288714983447086
YFL018C	-4.719340518087411
YFL033C	-8.043311506175712
YFL049W	-2.2083777280294443
YFR007W	-4.22893610185848
YFR010W	-3.999960325340847
YFR021W	-4.329259246313458
YFR031C-A	-4.575324070691596
YFR033C	-8.440566410682104
YFR040W	-3.213398300127667
YFR048W	-2.931267962537809
YGL020C	-2.5338418935260654
YGL031C	-1.8196412093426741
YGL054C	-3.1367852763213575
YGL064C	-3.1699250014423126
YGL129C	-7.80120793741445
YGL136C	-5.285572668760699
YGL147C	-2.366156845686008
YGL180W	-3.013761844746537
YGL212W	-3.033082176890184
YGL232W	-5.59919765338497
YGL235W	-6.490377635260329
YGL237C	-6.790461926735939
YGL244W	-5.237145089416479
YGL250W	-6.949335684941165
YGR056W	-3.9960364363549834
YGR062C	-6.271903258184159
YGR063C	-4.043109986623133
YGR076C	-3.5972061289873407
YGR077C	-1.8064968816977234
YGR081C	-2.5690209728820794
YGR085C	-3.8675496814342405
YGR102C	-2.7737242122279753
YGR106C	-2.551880428974763
YGR112W	-7.286315414690462
YGR118W	-2.423030299995738
YGR135W	-4.362342376086376
YGR150C	-3.3423921771274294
YGR171C	-3.532620928216484
YGR174C	-5.56609125084873
YGR192C	-1.6432249591832153
YGR214W	-2.7918659447512786
YGR220C	-3.0005966113581053
YGR222W	-6.276925111474695
YGR227W	-2.9290490117809003
YGR233C	-5.025418969465941
YGR255C	-3.428322381556067
YGR257C	-5.120957816380775
YGR289C	-3.8618958294209995
YHL005C	-6.077109534921206
YHL009C	-6.00055647990115
YHL023C	-4.394957336301081
YHL033C	-2.761349746345366
YHL038C	-5.78382377720026
YHL044W	-2.5805454270388797
YHR004C	-4.506788461452691
YHR012W	-2.268488890367223
YHR021C	-2.3137816104537263
YHR030C	-5.020642339315448
YHR034C	-2.228671874378389
YHR041C	-5.295891414833635
YHR049W	-1.5695698352937808
YHR051W	-4.587518794193301
YHR067W	-2.289223919636914
YHR081W	-2.1239766834513363
YHR082C	-5.287676849572635
YHR100C	-3.2641344921182105
YHR111W	-2.8376165303170127
YHR116W	-5.808737134434934
YHR129C	-2.813307345181893
YHR132C	-2.7682637369972096
YHR133C	-1.8971970472462683
YHR134W	-3.396919690990604
YHR142W	-2.4500221711025385
YHR154W	-3.094116966568446
YHR171W	-3.4582647935476833
YHR179W	-4.962844610940781
YHR189W	-9.844271043697631
YHR191C	-2.7611195028593034
YHR195W	-1.654771427874355
YHR198C	-3.522214225931907
YHR200W	-3.5037546427759922
YHR206W	-2.9710253321959708
YHR207C	-3.1233202127224167
YIL006W	-2.1778017342692775
