orf	hap a | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011
YAL001C															-0.060183753	0.032798698	-0.010743357	0.016919808999999997	0.069877945	0.084201626	-0.013938711999999999	-0.014997083000000001	-0.050509265	-0.047703622	-0.034213405	0.019191	-0.027427037999999997	-0.01072996
YAL002W	0.545986529	0.29004551300000003	0.00848475	0.012549936000000001		-0.093662065	-0.03364201	0.198408282	-0.178483265	0.196356668	-0.126379131	0.019100328	-0.073813916	0.0021500779999999997														
YAL003W															0.015216716000000002	0.113086811	0.085138905	0.120048222	0.071596757	0.216709382	0.04552939599999999	0.054690127000000005	-0.024319361	-0.017047248	0.035963841	0.065489271	-0.010349317	0.064517274
YAL004W	-0.079297402	-0.012240218	0.010951738999999999	-0.003286007	0.020056295	-0.000126129	0.022848463	-0.062073782	0.03754004	0.06998789799999999	-0.014120921000000002	0.022081031	-0.010223870999999999	0.013943734														
YAL005C	-0.00136773	-0.032841709	-0.017060669	0.062770076		0.003855585	-0.009790849	-0.04247889	-0.025766563	0.131197679	0.0028871709999999996	-0.005219195	-0.026600618	0.026027976														
YAL007C	-0.047512585	-0.051129327999999995	-0.050840774000000005	-0.023209204	0.075747891	0.031322847	-0.047471382	0.019991428000000002	0.164040384	0.049381984000000004	-0.050780171	-0.018885315	-0.028619812999999997	0.014212799														
YAL008W	-0.091424441	-0.06239245	-0.04457487	-0.047500257000000004		-0.024377512	-0.043962164000000005	-0.025486997	0.061288322	0.066685438	-0.044217532999999996	-0.034978551000000004	-0.042513568	-0.033390881000000004														
YAL009W	-0.067660792	-0.019774165	-0.034707958	-0.031252382999999995		-0.036326673	-0.024628424	-0.00051808	0.278421885	0.089537806	-0.054381096	-0.02334502	0.00209179	-0.025421452														
YAL010C	0.24126137600000003	0.043858123	0.082450997	0.037856892	-0.039826488	-0.030788357000000002	0.027097486	-0.072781885		-0.076499354	0.105814213	-0.023574334	0.011546331000000002	0.025955377														
YAL011W	0.057102775999999994	-0.018818323	-0.027346992999999997	-0.044913083		0.094521424	0.09323457	-0.0922842	-0.048484287	0.21076151899999998	-0.058448520999999996	0.053424785999999995	0.018594847	0.013053786999999999														
YAL013W	0.094643241	0.11615919999999999	0.104990296	-0.0053637319999999995	1.8838095819999998	0.011572846999999999	-0.004830054	0.11759256800000001	-0.112145842	-0.077449694	0.035967811	0.013181606	0.006684123	-0.0018964189999999999														
YAL014C	-0.07749639400000001	0.0045541	-0.029964378	-0.049272712999999996		-0.093944884	-0.01816496	-0.044638628	0.060499927	0.065553533	-0.035752347000000004	-0.0267661	-0.042113732	-0.038766897														
YAL015C	-0.027199652	-0.023993443	-0.023407907999999998	-0.019183056	-0.043690394	-0.012763753000000001	-0.022756765	0.004181311	0.16665952	0.032535302	0.094439878	-0.017260325	0.009031156	-0.017705771000000002														
YAL016C-B	-0.126518772	-0.017297549	-0.030020317	0.03223896	-0.046826646	0.077601845	-0.004139555	0.00306879	0.701182257	0.014475658999999998	0.019644965	-0.030212012000000003	0.061931270999999996	-0.003734885														
YAL016W	0.180044935	0.214370796	-0.343280049	0.047601818	-0.12079190599999999	-0.113340555	-0.285998657	0.582823584	-0.5166452570000001	0.42573343799999996	-0.200502426	-0.13722320699999999	-0.104682065	-0.275322799														
YAL017W	-0.041696483	-0.06410072	-0.044916202	-0.073094998		-0.02100061	-0.038713687000000004	-0.06634055900000001	0.132989189	0.11414866900000001	-0.02249115	-0.041726977	-0.047120554	-0.011992013999999999														
YAL018C	-0.06414119	-0.056888952	-0.029406559	-0.007041296	-0.0344982	-0.026981625	-0.016092451	-0.024405602999999998	0.12128902	0.108894855	-0.026690655	-0.010300043	-0.009654351	0.091004815														
YAL019W	-0.10229932	-0.044276302000000003	-0.036616027	-0.024001366		-0.009503181	-0.052351679000000005	0.010714171000000001	-0.07090434400000001	0.137271224	-0.04310193	-0.038877265	-0.022537146	-0.053404854														
YAL020C	-0.110083685	-0.052949489	-0.011713791999999999	-0.012069603		0.020296089	-0.085232554	0.043058022	-0.050706947	-0.204506175	-0.042858385	-0.072786033	-0.022355033	-0.042830745														
YAL021C	0.21362287	0.196044553	0.046101732	0.009878465999999999	0.01374234	0.17640694699999998	0.03005786	0.09399917199999999	-0.001128693	-0.387565803	-0.060480463	-0.010557104	0.12255454699999999	0.013848592														
YAL022C	-0.102655749	-0.06867341099999999	-0.012265173	-0.017337162		-0.10042928599999999	-0.016644897	-0.09465283599999999	-0.075083156	0.10576824300000001	-0.012515853	-0.015418072	-0.009937788000000001	-0.040113861														
YAL023C	-0.022355528	-0.059440520999999996	-0.046624020999999995	0.008485258	-0.043503112999999996	0.19445500699999999	-0.092068792	0.066182518	-0.14298747	0.212863656	-0.138584995	-0.015044439	0.011219247	-0.009917582														
YAL024C		0.001459218	0.042025006	0.0068564080000000005	0.003146727	0.021761223	0.012213278000000001	-0.031436906	-0.014781964	0.042826542999999995	0.028287607000000003	0.034561652000000005	0.016385201999999998	-0.011437741999999999														
YAL025C															0.17899573800000002	0.112226917	0.084536629	0.105740504	0.09224828199999999	0.19341835100000002	0.047596190999999996	0.032672058999999996	0.109465072	-0.059480016	0.057703162999999995	0.025201253	-0.021369617999999996	0.070002838
YAL026C	0.19118	-0.067254566	-0.217385825	0.00223519		-0.14138715	-0.147847796	0.047381642	-0.06391936	-0.014898637	-0.19129010800000001	-0.10980398	-0.006928612	0.009673097														
YAL027W	0.066736175	0.113361365	0.006938081	0.021880242	-0.028475643	-0.058595909	-0.027381855	0.096106901	0.195995268	-0.109230083	0.04591605	-0.009567884	0.028675843	0.049308922000000005														
YAL028W	0.048281875999999994	0.060970727	-0.007840817	-0.003032548	-0.06267495299999999	-0.08247135400000001	-0.043062208	0.06698568	0.192515498	-0.122715625	0.030054832000000004	-0.029046977999999998	0.023994181	-0.032615153														
YAL029C	0.008667427	-0.042219405999999994	-0.036393512	-0.017603295	-0.054879079000000004	-0.067006845	-0.045541745	-0.011437194	0.106575622	-0.003437487	-0.043363342	-0.035473676	-0.004523227	-0.020532572														
YAL030W	-0.071058814	-0.0749627	-0.055863779	-0.030356531000000003		-0.02591065	-0.050571967	-0.107706105	-0.028435107	0.09534611400000001	-0.053212607	-0.057841122	-0.020994468999999998	-0.039769771														
YAL031C	-0.018501453	-0.044994772999999995	-0.032495055	-0.02122431		-0.048266354000000004	-0.005756941	-0.07380484	0.013861941000000001	0.135426745	-0.022955859	-0.014792619	-0.019191079	-0.012268363000000001														
YAL032C															0.062740583	0.101357339	0.094696535	0.108313779	0.041231895	0.112647842	0.041554913	0.037923636000000004	0.072287108	-0.013349752	0.060527338	0.035277897	-0.015915457	0.054189875
YAL033W															0.051728319	0.097914057	0.074887514	0.12870442099999999	0.049769534000000004	0.175872432	0.041138125	0.040189435	0.20517439199999998	0.00512239	0.055080615	0.033205979	-0.031280837	0.060960022999999995
YAL034C	-0.026291602999999997	-0.043051865	-0.030127398	0.019594416		-0.026484103	-0.006424541	-0.05631502099999999	-0.05374874599999999	0.125143748	-0.039404832	-0.009607335	-0.018361255	-0.0027692209999999997														
YAL034C-B															0.20822301	0.05360872	0.055918645	-0.008292385	-0.102734428	-0.14262288	0.0077897719999999995	0.007905378000000001	-0.040784105	-0.06440289099999999	0.112933406	0.011979485	0.11589683699999999	0.010356200999999999
YAL034W-A															0.214906149	0.09583940699999999	0.053441199	0.110949514	0.092141518	0.105168082	0.022779563	0.05819583	0.119526668	0.04222689599999999	0.062415427999999995	0.018702138	-0.021687952000000003	0.10412530199999999
YAL035W	0.269707185	-0.10099438699999999	0.031104207999999998	-0.0021083960000000002	0.021798325	0.052378065999999994	-0.043807567	-0.164244066	-0.265611678	0.209461801	-0.041678721	-0.033374345	0.004214439	-0.0017979410000000002														
YAL036C	0.091909227	-0.034851414	-0.020256308	-0.028555148		-0.078882617	-0.001947291	-0.101244137	-0.094196856	0.10856583300000001	0.013576371	-0.018491305	-0.019467262	0.0057362509999999995														
YAL037C-A	-0.18830956399999998	0.0007963260000000001	0.00017815099999999998	0.007142577	-0.060959716	0.200949441	0.010246939	0.032226549	0.044001892	-0.23138995899999998	-0.011892043	0.005572573000000001	0.058464700999999994	0.013878026000000002														
YAL037W	0.002719107	-0.015705776	0.0031067829999999997	-0.00313383		-0.09241699	0.028109087	-0.10739062699999999	-0.091061691	0.180902525	0.026564223999999997	0.011856647	0.010992481	0.00213282														
YAL038W															0.5062822220000001	0.079448126	0.041812073	0.089018062	0.07155054200000001	0.142314362	0.02141634	0.045045697999999995	0.143579075	-0.015085653999999999	0.02384043	0.019720553999999998	-0.012548743000000001	0.071386554
YAL039C	-0.100989991	0.009369435	0.053510574000000005	-0.019070051		-0.333528056	0.020271143000000002	-0.27722362899999997	-0.297842231	0.033979099	0.013182435	-0.016135853000000002	0.00872034	-0.009312862														
