ORF	hap a | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011
YAL018C	-0.064	-0.057	-0.029	-0.007	-0.034	-0.027	-0.016	-0.024	0.121	0.109	-0.027	-0.010	-0.010	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL019W	-0.102	-0.044	-0.037	-0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL020C	-0.110	-0.053	-0.012	-0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL021C	0.214	0.196	0.046	0.010	0.014	0.176	0.030	0.094	-0.001	-0.388	-0.060	-0.011	0.123	0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL022C	-0.103	-0.069	-0.012	-0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL023C	-0.022	-0.059	-0.047	0.008	-0.044	0.194	-0.092	0.066	-0.143	0.213	-0.139	-0.015	0.011	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL024C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL025C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.179	0.112	0.085	0.106	0.092	0.193	0.048	0.033	0.109	-0.059	0.058	0.025	-0.021	0.070
YAL026C	0.191	-0.067	-0.217	0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL027W	0.067	0.113	0.007	0.022	-0.028	-0.059	-0.027	0.096	0.196	-0.109	0.046	-0.010	0.029	0.049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL028W	0.048	0.061	-0.008	-0.003	-0.063	-0.082	-0.043	0.067	0.193	-0.123	0.030	-0.029	0.024	-0.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL029C	0.009	-0.042	-0.036	-0.018	-0.055	-0.067	-0.046	-0.011	0.107	-0.003	-0.043	-0.035	-0.005	-0.021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL030W	-0.071	-0.075	-0.056	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL031C	-0.019	-0.045	-0.032	-0.021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL032C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.063	0.101	0.095	0.108	0.041	0.113	0.042	0.038	0.072	-0.013	0.061	0.035	-0.016	0.054
YAL033W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.052	0.098	0.075	0.129	0.050	0.176	0.041	0.040	0.205	0.005	0.055	0.033	-0.031	0.061
YAL034C	-0.026	-0.043	-0.030	0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL034W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.215	0.096	0.053	0.111	0.092	0.105	0.023	0.058	0.120	0.042	0.062	0.019	-0.022	0.104
YAL035C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.208	0.054	0.056	-0.008	-0.103	-0.143	0.008	0.008	-0.041	-0.064	0.113	0.012	0.116	0.010
YAL035W	0.270	-0.101	0.031	-0.002	0.022	0.052	-0.044	-0.164	-0.266	0.209	-0.042	-0.033	0.004	-0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL036C	0.092	-0.035	-0.020	-0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL037C-A	-0.188	0.001	0.000	0.007	-0.061	0.201	0.010	0.032	0.044	-0.231	-0.012	0.006	0.058	0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL037W	0.003	-0.016	0.003	-0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
