ORF	hap a | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011
YER134C	-0.052	0.031	-0.008	0.037	-0.060	0.073	-0.007	0.098	0.009	-0.058	-0.107	-0.004	0.016	-0.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER135C	-0.042	0.065	-0.007	0.038	-0.004	0.167	-0.018	0.159	0.153	-0.216	-0.081	0.012	-0.001	-0.034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER136W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.046	-0.054	0.001	0.034	0.146	-0.174	-0.042	-0.045	-0.084	0.140	-0.005	-0.058	0.097	0.013
YER137C	-0.039	0.028	-0.030	0.048	-0.025	0.166	-0.043	0.152	0.010	-0.220	-0.113	-0.005	-0.002	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER139C	-0.068	-0.090	-0.038	0.007	-0.018	-0.000	-0.035	0.018	-0.170	-0.132	-0.171	0.018	0.001	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER140W	-0.094	0.031	0.046	0.021	-0.018	0.130	0.074	0.069	-0.059	0.028	-0.028	0.051	0.110	0.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER141W	-0.088	-0.042	-0.026	0.012	0.020	-0.007	-0.021	-0.024	-0.070	-0.044	-0.159	0.011	0.016	-0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER142C	-0.078	-0.021	-0.014	-0.023	-0.021	0.018	-0.013	-0.035	-0.079	-0.132	-0.122	-0.006	-0.006	0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER143W	0.012	-0.003	-0.016	0.019	-0.074	0.086	0.006	0.059	-0.047	0.017	-0.106	0.020	0.011	0.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER144C	-0.077	0.033	0.006	0.053	0.066	0.030	-0.006	-0.005	0.071	-0.028	0.069	-0.003	-0.023	-0.045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER145C	-0.077	0.059	0.053	0.039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER146W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.133	-0.087	-0.024	-0.017	0.004	-0.214	-0.000	-0.022	0.041	0.094	-0.027	-0.024	0.072	-0.006
YER147C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.032	-0.040	0.001	0.009	-0.026	-0.178	-0.018	-0.006	-0.038	0.109	-0.037	-0.036	0.062	-0.008
YER148W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.117	-0.037	0.003	-0.020	0.234	-0.251	-0.019	0.067	0.039	0.094	-0.033	-0.042	0.116	-0.004
YER149C	-0.099	-0.014	0.012	0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER150W	-0.087	-0.033	-0.022	0.037	-0.087	0.096	-0.006	0.057	-0.051	-0.023	-0.123	0.008	-0.007	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER151C	-0.083	0.027	-0.006	0.140	-0.011	0.294	0.127	-0.081	-0.185	0.569	-0.060	0.106	-0.000	0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER152C	-0.095	-0.016	-0.014	0.108	-0.084	0.149	-0.014	0.055	-0.117	-0.071	-0.091	-0.002	-0.015	-0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER153C	0.224	0.013	0.013	0.068	-0.018	-0.264	-0.017	-0.159	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER154W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER155C	0.044	-0.050	0.043	-0.009	-0.028	-0.069	0.059	-0.026	-0.063	-0.304	0.020	0.070	0.064	0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER156C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER157W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.003	-0.061	-0.081	-0.032	0.038	-0.126	-0.046	-0.022	-0.067	0.058	-0.182	-0.069	0.050	-0.026
YER158C	-0.086	-0.006	-0.028	0.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER159C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.080	-0.009	-0.009	0.004	0.097	-0.121	-0.001	0.018	0.107	0.147	0.049	-0.018	0.114	0.017
YER161C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER162C	-0.060	0.225	0.029	0.033	-0.005	0.046	0.051	0.165	0.164	-0.363	0.118	0.050	0.047	-0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER163C	-0.068	0.159	0.001	0.049	-0.046	0.017	-0.018	0.067	-0.083	-0.253	0.034	-0.012	0.012	-0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER164W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER165W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.023	-0.064	-0.056	-0.004	0.209	-0.119	-0.050	-0.037	-0.024	0.156	-0.023	-0.057	0.048	-0.004
YER166W	0.343	0.064	0.014	0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER167W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER168C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.016	-0.048	-0.021	0.019	0.036	-0.177	0.001	-0.060	0.128	0.105	0.041	-0.044	0.045	-0.014
YER169W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER170W	-0.048	-0.037	-0.030	0.016	0.777	0.070	-0.030	0.008	-0.028	-0.082	0.235	-0.011	-0.034	-0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER171W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.061	-0.030	-0.019	-0.009	0.123	-0.167	-0.025	-0.088	-0.046	0.096	-0.041	-0.067	0.037	0.007
YER172C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	0.059	0.048	-0.000	0.117	-0.193	-0.006	-0.059	0.160	0.009	0.102	0.009	-0.142	0.007
YER173W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER174C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER175C	0.021	0.072	-0.011	0.025	-0.016	0.005	-0.038	0.083	0.038	-0.165	-0.025	-0.001	-0.015	0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER175W-A	-0.011	-0.015	0.001	-0.008	-0.122	0.046	0.013	-0.008	0.064	-0.063	0.032	-0.025	-0.028	0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER176W	-0.015	0.090	-0.003	0.034	-0.028	0.068	-0.022	0.089	0.103	-0.237	-0.027	0.009	-0.008	0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER177W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER178W	-0.101	0.227	0.031	0.046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER179W	-0.076	0.064	0.025	0.012	-0.058	0.012	0.006	0.012	-0.043	-0.052	-0.007	-0.006	0.049	-0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER180C	-0.080	0.123	0.036	0.029	-0.044	-0.031	0.003	0.081	0.078	-0.144	0.004	0.010	0.036	-0.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER180C-A	-0.057	-0.082	-0.036	-0.039	-0.186	-0.008	0.002	0.028	0.042	0.072	-0.026	-0.048	-0.080	-0.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER181C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER182W	-0.085	-0.009	0.008	-0.011	1.061	-0.034	0.005	-0.056	-0.137	-0.014	0.010	-0.007	0.014	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER183C	-0.066	0.015	0.032	0.010	-0.062	-0.017	0.050	-0.068	-0.093	0.004	0.047	0.012	0.107	0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER184C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER185W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER186C	-0.042	-0.013	-0.003	0.108	0.069	0.061	-0.002	0.025	-0.077	0.014	-0.030	-0.004	0.046	-0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER186W-A	-0.043	-0.004	-0.009	0.024	0.057	0.076	0.009	0.044	0.119	-0.032	0.003	0.001	0.059	0.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER187W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER188W	-0.083	0.014	0.017	0.043	0.044	0.018	-0.007	-0.001	-0.037	-0.021	0.048	-0.009	-0.028	-0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL001W	0.244	-0.093	-0.052	0.010	0.010	0.117	0.147	-0.078	-0.145	-0.269	0.004	0.061	0.005	0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL003C	0.047	-0.002	-0.004	0.032	-0.061	0.085	-0.007	0.020	-0.115	-0.000	-0.028	0.027	0.022	0.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL004W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL006W	-0.086	-0.032	0.024	-0.009	0.058	-0.027	0.002	-0.064	-0.084	0.063	0.056	0.002	0.014	-0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL007W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.038	0.069	0.018	-0.031	0.129	0.123	-0.030	-0.102	0.247	-0.171	-0.135	-0.024	0.027	-0.039
YFL009W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.044	-0.006	0.034	-0.033	-0.074	-0.038	-0.036	0.014	-0.063	-0.032	0.024	-0.028	-0.002	-0.028
YFL010C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL010W-A	-0.086	-0.007	0.021	0.020	-0.084	0.027	0.013	-0.049	-0.072	-0.028	0.052	0.011	0.010	-0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL011W	-0.039	-0.031	0.008	0.004	0.266	0.045	0.009	0.010	0.045	0.041	0.021	0.007	-0.003	0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL012W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL013C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL013W-A	-0.050	-0.018	0.015	-0.024	0.102	0.086	-0.026	0.009	0.124	0.232	0.030	0.016	0.052	0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL014W	-0.054	0.092	0.064	-0.047	0.053	0.079	0.070	0.019	0.758	-0.205	0.161	0.065	0.035	-0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL015C	0.056	-0.023	0.013	0.031	0.040	0.066	-0.026	0.032	0.040	0.035	0.023	0.006	-0.001	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL016C	-0.162	0.059	0.106	-0.017	0.027	-0.083	-0.021	-0.217	-0.330	-0.228	0.022	-0.052	0.011	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL017C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.057	0.008	0.033	-0.027	0.034	-0.009	-0.015	0.036	0.144	-0.027	0.020	-0.007	0.026	-0.009
YFL018C	-0.050	0.015	0.037	0.007	-0.089	0.034	0.072	0.013	-0.241	0.505	0.045	0.076	0.042	-0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL018W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.096	0.022	0.043	-0.028	-0.029	-0.065	-0.009	-0.005	-0.016	-0.059	0.078	-0.000	0.029	-0.015
YFL019C	0.063	0.057	0.023	0.038	0.085	0.033	0.006	0.098	0.150	-0.079	0.038	0.009	0.056	0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL020C	-0.028	-0.018	0.036	0.025	0.053	-0.008	0.022	-0.002	-0.033	0.122	0.065	0.026	0.018	0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL021W	-0.053	-0.017	0.037	0.014	0.044	0.070	0.057	-0.006	-0.043	0.098	0.052	0.008	-0.008	-0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL022C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	-0.022	0.003	-0.045	-0.011	-0.017	-0.027	0.003	-0.017	-0.002	-0.013	-0.039	-0.006	-0.027
YFL023W	0.016	-0.044	-0.009	-0.016	0.115	0.031	0.034	0.003	-0.097	0.059	0.019	0.004	0.003	0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL024C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.063	-0.005	0.033	-0.049	-0.026	-0.039	-0.033	0.015	-0.014	-0.069	0.036	-0.023	0.024	-0.018
YFL025C	0.146	-0.043	-0.068	0.012	-0.038	0.072	-0.102	0.139	-0.204	-0.116	-0.107	-0.038	-0.056	-0.023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL026W	0.116	-0.020	-0.036	-0.008	-0.030	0.017	-0.032	-0.046	-0.080	-0.009	-0.033	-0.022	-0.045	-0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL027C	-0.001	0.018	-0.032	-0.022	0.075	-0.064	-0.040	-0.057	-0.126	0.001	-0.010	-0.030	-0.055	-0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL028C	-0.029	-0.021	-0.045	0.001	-0.027	-0.027	-0.029	-0.047	-0.045	-0.032	-0.036	-0.031	-0.047	-0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL030W	0.033	0.095	0.005	0.053	-0.052	0.022	-0.050	0.036	0.127	-0.084	0.046	-0.025	-0.044	0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL031W	0.070	-0.076	-0.073	0.041	-0.015	-0.005	-0.091	0.064	0.089	0.098	-0.135	-0.043	-0.028	0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL032W	0.045	-0.059	-0.065	0.049	-0.008	0.044	-0.074	0.112	0.156	0.069	-0.140	0.001	-0.011	0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL033C	-0.014	0.019	0.029	0.017	0.014	-0.069	0.058	-0.047	-0.048	-0.060	0.251	0.055	0.095	-0.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL034C-A	-0.111	0.000	0.008	0.025	0.208	0.001	0.003	-0.032	-0.237	-0.037	0.137	-0.003	-0.017	-0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL034W	0.116	0.115	0.029	0.044	-0.040	-0.008	-0.019	0.110	0.094	-0.053	0.027	-0.024	-0.041	-0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL035C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.054	0.001	0.026	-0.038	-0.055	-0.008	-0.024	-0.001	-0.076	-0.047	0.010	-0.025	-0.009	-0.020
YFL035C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.061	0.016	0.034	-0.020	-0.105	-0.029	-0.016	-0.017	-0.077	-0.036	0.049	-0.010	0.023	-0.005
YFL035C-B	0.095	-0.005	-0.008	0.010	-0.035	0.032	0.008	-0.003	0.015	0.133	0.010	-0.020	-0.052	-0.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL036W	-0.039	0.051	0.090	0.225	0.005	-0.351	0.028	-0.202	-0.361	0.031	0.119	-0.017	0.011	-0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL037W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.039	0.000	0.014	-0.035	-0.031	-0.029	-0.021	0.003	-0.034	-0.051	0.035	-0.020	0.031	-0.026
YFL038C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.075	0.049	0.060	-0.046	0.018	-0.025	0.001	0.050	-0.091	-0.103	0.098	-0.002	0.034	-0.026
YFL039C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.213	0.060	0.051	0.008	0.083	-0.115	-0.012	0.064	0.051	0.132	0.087	0.016	0.067	-0.012
YFL040W	-0.054	-0.007	0.022	0.033	0.047	0.071	0.029	-0.009	-0.082	0.035	0.050	0.019	-0.000	0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL041W	-0.053	-0.034	0.012	-0.009	-0.018	0.032	-0.005	0.007	0.090	-0.023	-0.016	-0.009	-0.031	-0.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL041W-A	-0.127	0.002	0.007	0.001	-0.096	0.161	0.170	0.001	0.111	-0.025	0.080	0.068	0.012	-0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL042C	-0.018	-0.030	-0.019	-0.039	0.024	0.013	-0.001	-0.052	-0.104	-0.065	0.004	0.009	0.021	-0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL043C	-0.059	-0.027	-0.002	0.014	0.018	0.022	0.029	-0.063	-0.007	0.074	0.002	0.036	-0.017	-0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL044C	0.044	-0.001	0.015	0.011	0.022	-0.061	0.032	-0.040	-0.166	0.151	0.060	0.001	0.125	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
