orf	hap a | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011
YAL001C															-0.44590864307986	0.8762205754170937	-0.3938429300079937	0.7165237552456846	0.7553647180801388	0.8245099790647521	-0.3086924367902157	-0.578212743559379	-0.27037879002967863	-0.7871888491907452	-0.08733607448977045	0.7669786317204422	-0.2746689955463424	-0.04041260885676716
YAL002W	2.7447964111260617	3.4337978586910602	0.21353886032166186	0.1734567532206847		-1.0736226982114192	-0.6564495710659798	1.7325159078404306	-1.0341228366333721	1.2158261492162552	-1.0843825859901566	0.45963007623687263	-0.7836024972099548	0.15656573980817767														
YAL003W															0.3319086300255066	2.5129586591640836	1.6133877651655009	3.427394141157697	0.7679544471286249	2.341565751119293	1.7855910668156947	1.0680835966742255	-0.015163826180905495	-0.30551317554937546	0.6834879493653911	2.2806057598276754	0.030446664831799666	2.597164824723168
YAL004W	-0.14703369782488768	0.10679045970579971	0.2592806741109605	-0.17159299293592778	0.19406770114239402	-0.11637037725150931	0.353611033473939	-0.592072200714361	0.2859219893931108	0.4042627016282883	0.0003520527934981996	0.5302124477406218	0.14247597320452574	0.44765043032093904														
YAL005C	0.21337756607863292	-0.11995300172185278	-0.26011294723305867	1.2677046018615605		-0.07562127983617405	-0.22998619026477932	-0.4172039113890145	-0.10092309541596854	0.797363155913508	0.1646987543133173	-0.11625071671028538	-0.096022880069205	0.7459072085965911														
YAL007C	-3.4412778338176485e-05	-0.32122960026174024	-0.8864486433763967	-0.6057000156423231	0.656415932886533	0.20548030982358986	-0.9037214224227108	0.14029227906053734	1.0589224977770106	0.2719277378034355	-0.3538809098274958	-0.4398613410679677	-0.12542894539072766	0.4542913483070848														
YAL008W	-0.20311915720417625	-0.4451934079668207	-0.7702690357698684	-1.1349783586830136		-0.36456047034297856	-0.8409759245306616	-0.26556524651097746	0.4310396505691486	0.38305369703703246	-0.2904671001792047	-0.8209455222324482	-0.3277673362302615	-0.7206371437625949														
YAL009W	-0.09321638780653743	0.02387057682001838	-0.5873211379967543	-0.7809530379752649		-0.4868488932735368	-0.49528490664136876	-0.04273820556088893	1.757868885011448	0.5298158009938007	-0.3886761206112953	-0.545466144735803	0.3218321680463956	-0.5239399725013315														
YAL010C	1.3354952461484435	0.7242181992169253	1.584988144030374	0.724870631370951	-0.30307550933352745	-0.4301694385962522	0.42958438813294536	-0.687633209855397		-0.5365053319674118	1.1592676836142572	-0.5508962482848687	0.459521123412774	0.7441153590253864														
YAL011W	0.48379355048747763	0.0343907340095116	-0.4508373959372863	-1.0786063616404005		0.8522582980677401	1.612128266771515	-0.8616753256238352	-0.23974336772546614	1.308336747677813	-0.4279790525585854	1.272425462500058	0.5621705069125339	0.4256852358920223														
