orf	hap alpha | growth (colony size) | palmitoleic acid [0.1%] | STY | Lockshon D~Kennedy BK, 2012
YAL009W	0.06644802420106942
YAL051W	-6.511906371704809
YAL055W	-6.511906371704809
YAR014C	0.06644802420106942
YBL006C	-4.319121573069516
YBL027W	0.06644802420106942
YBL075C	0.06644802420106942
YBR078W	-6.511906371704809
YBR156C	-6.511906371704809
YBR175W	-4.319121573069516
YBR200W	-6.511906371704809
YCR009C	-6.511906371704809
YCR017C	-4.319121573069516
YCR034W	0.06644802420106942
YCR047C	4.452017621471655
YCR084C	-6.511906371704809
YDL047W	-4.319121573069516
YDL065C	-6.511906371704809
YDL069C	-6.511906371704809
YDL074C	-6.511906371704809
YDL088C	6.644802420106948
YDL118W	0.06644802420106942
YDR017C	-6.511906371704809
YDR069C	-4.319121573069516
YDR075W	0.06644802420106942
YDR116C	4.452017621471655
YDR142C	-4.319121573069516
YDR150W	-6.511906371704809
YDR159W	4.452017621471655
YDR215C	-4.319121573069516
YDR216W	-6.511906371704809
YDR264C	-4.319121573069516
YDR265W	-6.511906371704809
YDR276C	4.452017621471655
YDR293C	-2.126336774434223
YDR294C	0.06644802420106942
YDR329C	-6.511906371704809
YDR335W	0.06644802420106942
YDR349C	0.06644802420106942
YDR363W-A	0.06644802420106942
YDR389W	0.06644802420106942
YDR417C	-6.511906371704809
YDR418W	0.06644802420106942
YDR424C	-6.511906371704809
YDR432W	0.06644802420106942
YDR435C	0.06644802420106942
YDR477W	-4.319121573069516
YDR488C	-4.319121573069516
YDR493W	-6.511906371704809
YEL029C	4.452017621471655
YEL031W	-6.511906371704809
YEL033W	0.06644802420106942
YEL059W	-6.511906371704809
YEL061C	0.06644802420106942
YER027C	0.06644802420106942
YER038W-A	0.06644802420106942
YER056C-A	0.06644802420106942
YER065C	2.259232822836362
YER083C	-6.511906371704809
YER093C-A	-6.511906371704809
YER117W	4.452017621471655
YFL025C	-4.319121573069516
YFR001W	4.452017621471655
YGL024W	0.06644802420106942
YGL025C	0.06644802420106942
YGL058W	-4.319121573069516
YGL084C	-6.511906371704809
YGL152C	-6.511906371704809
YGL205W	-6.511906371704809
YGL212W	-6.511906371704809
YGL218W	6.644802420106948
YGL240W	6.644802420106948
YGR056W	-6.511906371704809
YGR077C	-6.511906371704809
YGR078C	4.452017621471655
YGR132C	-4.319121573069516
YGR133W	-6.511906371704809
YGR135W	-4.319121573069516
YGR231C	-6.511906371704809
YGR257C	-4.319121573069516
YGR271C-A	-6.511906371704809
YGR285C	0.06644802420106942
YHL011C	0.06644802420106942
YHL044W	-2.126336774434223
YHR004C	0.06644802420106942
YHR008C	0.06644802420106942
YHR009C	-4.319121573069516
YHR013C	-4.319121573069516
YHR029C	-2.126336774434223
YHR030C	-6.511906371704809
YHR064C	0.06644802420106942
YHR075C	-6.511906371704809
YHR082C	-2.126336774434223
YHR092C	-4.319121573069516
YHR100C	-6.511906371704809
YHR115C	0.06644802420106942
YHR129C	-6.511906371704809
YHR167W	0.06644802420106942
YHR189W	0.06644802420106942
YHR194W	6.644802420106948
YIL076W	-6.511906371704809
YIL087C	-4.319121573069516
