orf	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020
YAL002W	-2.4001979101921314	-5.249360389736173	-1.9433427859781807	-2.7553633064176632	-1.0821376684367467	-2.6911962033633396	-1.7795354289136054	-0.9029905168008486	-1.2314213003473977
YAL004W	0.6205176608454123	-0.7856419252834684	-1.0564263597000765	-1.9172990463368027	0.3150629367913965	-1.0133732877233683	-0.024445764412230536	-0.9029905168008486	-0.14487309415851693
YAL005C	0.31568735527690167	0.12177239402580187	0.17695494228021513	-0.27938450433142253	-0.2577417530479634	-0.9166957591270132	0.20027575092097336	-0.520138006465586	-0.36218273539629325
YAL007C	-1.2201679539312833	-0.0840973799812841	-1.342591762971635	0.053666174857240616	-0.4872690440357237	0.03953855758958172	0.7169481631439669	0.2455670142049404	0.07243654707925942
YAL008W	-0.4153429885933309	0.4214379762837798	0.14666497473366663	0.483686711660018	0.8987826472619679	0.31304240461862537	0.9431752621436958	1.9684033107136256	0.9416751120303629
YAL010C	0.8241938560395304	0.8824804491477797	-0.7205255776175186	0.3953263273854747	-0.7317655061748598	-0.8097891242791723	-1.2715833000703856	-1.2858430271361123	-1.2314213003473977
YAL011W	-0.13255227131075104	1.0728378394826026	0.6905755648133556	0.5630600141151847	0.5662643401754195	2.1431792072471767	-1.0070831326332859	-1.2858430271361123	-0.7968020178718455
YAL013W	0.11497510471433965	0.9356915326747279	0.8688563305888741	-0.18422716742037595	0.9435342318499347	-0.45127142468443066	-1.3773862131319397	-1.477269282303744	-1.6660405828229503
YAL014C	0.2963077173013419	0.8729204917683617	0.05495368410661693	0.01454593634936589	-0.3364078660257658	0.38657969895094974	-0.20123008036428164	-0.13728549613032234	-0.14487309415851693
YAL015C	0.2298089595420683	0.25675418218173296	0.23323444988213549	1.2805916474420527	0.37977341624786426	1.5357324646665937	-0.4398544154477574	-0.13728549613032234	-0.36218273539629325
YAL017W	0.616109743188226	-2.618748721407311	0.3666411896627674	-0.7000403508350176	-0.49857388683233556	-0.7205339349750537	-0.11303156216367999	0.2455670142049404	-0.14487309415851693
YAL018C	0.7335275497460293	0.739081088456512	1.303386482306027	0.7500517333149873	0.1889164840678244	1.1056733939105494	1.1086786834055873	1.585550800378362	1.3762943945059156
YAL019W	-0.35226416694739127	-0.5801329043850397	0.46929052412607064	-0.7519992776562875	-0.8682812284980828	1.0257117218714995	0.32323891131011195	-0.520138006465586	-0.36218273539629325
YAL020C	-0.3379004352713881	0.7983648493125246	-0.3916363620966616	0.747861604132114	-0.7544531562011636	0.5054618728249195	-0.19821810333880946	-0.520138006465586	-0.14487309415851693
YAL022C	0.5625307440793256	-0.5436367148925452	0.995344991361961	-0.24517317606102243	0.9489917421655404	-0.448215167328804	0.2781836103898137	-0.3287117512979541	0.07243654707925942
YAL023C	-0.2843214361624876	-0.2942360657741478	0.7966839387804314	-1.4858435973107635	0.6131209644565487	-0.8578160255818781	1.5536788805771902	0.2455670142049404	0.7243654707925875
YAL024C	-1.8996712603606154	-2.738518753481527	-4.2406124542539105	-4.563881359599277	-0.33274353767100195	0.12424054715980778	-1.4571118491945716	-1.477269282303744	-1.8833502240607267
YAL026C	0.7455353254328467	-1.1795241944191053	0.8015452915965442	0.19602457174400478	0.6968547655845564	-0.019590666351931036	-2.7825861466910093	-2.0515480478066386	-2.1006598652985025
YAL027W	1.5195808657507923	0.5944792174030535	-0.20793331818009417	-0.877214249559871	0.18416065364993944	-0.01216832705969471	0.040663199893449166	-0.520138006465586	0.07243654707925942
YAL028W	0.291215812421489	-0.6347870003466172	0.20892768580157192	-1.280500105992402	-0.18227218182644433	-1.260181662339999	-0.299445351054841	-0.7115642616332173	-0.36218273539629325
YAL029C	-0.540968641823136	-0.30211250864649836	0.3200843876930724	0.08153368066690427	0.306954635751068	0.19883817567673737	-0.11082864278584088	-0.13728549613032234	0.07243654707925942
YAL030W	0.7441673509875132	0.4783167164154104	0.2090211733557279	-0.08378331179204893	0.06885125712449865	-0.5670349686036793	-0.5781292870694972	-0.7115642616332173	-1.0141116591096213
YAL031C	-1.8672958651543863	-0.4605432488651524	-0.48830249309397994	0.7051918459140654	0.2131634227557298	0.6401243142697781	-0.06703634748087862	0.628419524540204	0.07243654707925942
YAL034C	1.5976314077151055	0.26493125264463124	1.6961276973154413	-0.3618541963209963	1.497861351049315	-0.5054732132974841	0.1017842155983645	0.05414075903730945	0.5070558295548121
YAL036C	-0.11568058648496961	0.6623008018306216	-0.027034900888207244	0.46578806971722586	0.4359078080655231	0.5706412388785912	0.6651679112689016	0.2455670142049404	0.9416751120303629
YAL037W	0.4421489928899662	0.6452251546875105	0.1820967577587959	0.5238642539113487	0.4211725302133877	0.24299797583558863	0.1180675282136682	0.05414075903730945	0.7243654707925875
YAL040C	0.8229778787547896	0.4290739170836922	-0.1634332424018316	-0.10137986695099648	-0.07086100695500766	0.35851202935845955	0.1971879538990432	0.05414075903730945	-0.36218273539629325
YAL042C-A	-0.04986581594836273	-0.9715500272781848	-1.4430908836893501	-2.606283478590357	-0.9424254043572403	-2.4788798760459247	0.8099409364614997	-0.13728549613032234	0.5070558295548121
YAL042W	-0.3321245431688684	0.11888636915654364	-0.47633608616201023	-0.0725305790938379	-1.0217152327996835	-0.21818502186857294	-1.3552595402144578	-1.477269282303744	-1.8833502240607263
YAL045C	-0.7911559681585975	0.015049599381357468	0.010173145665886273	1.0065234127990463	0.3354896182583779	1.2808780247667828	-0.137033869516753	0.05414075903730945	0.07243654707925942
YAL046C	-1.3758130463781317	0.140832183266528	-1.678212082391725	0.04739787409246531	-1.1510582272795389	0.2277166890574551	1.2274620691601037	1.0112720348754676	0.2897461883170348
YAL048C	-0.2660817768913726	0.44560843456381743	-0.13650882680489956	0.6783061221518967	-0.5183768528346763	0.40098776934176134	-0.3650444910419222	-0.13728549613032234	0.2897461883170348
YAL049C	-0.35348014423213225	-0.9634932078515058	-1.0096825826220697	-0.746637237243046	-0.1029043889509212	-0.32091269257708716	-0.23501176938380566	0.05414075903730945	-0.36218273539629325
YAL051W	1.4003390932658775	0.47380730255719444	0.7721901995915558	-0.2651864254907267	0.16061539485975476	-0.4074858601201459	0.3228592446766738	0.2455670142049404	-0.14487309415851693
YAL053W	-0.9857883322974546	-0.904389823549822	-0.5734696549301086	-1.1227352831295634	-0.3098219943454579	-0.042918018413245114	-0.3896231708600026	-0.13728549613032234	-0.36218273539629325
YAL054C	-1.033059449241761	-0.10369829888499608	0.7727511249164919	-0.8680006026526109	-0.06392217241088037	-0.7253989977044186	-0.0059470480053738185	1.3941245452107303	0.07243654707925942
YAL055W	0.8721489602065038	0.7759981565757732	0.8907324182613814	-0.07086910178269258	0.6185784747721542	0.8818181357606663	0.6315783668180454	-0.3287117512979541	0.07243654707925942
YAL056C-A	0.2196251497823623	-0.48176755675782224	-0.6649939704488463	-0.7297958990437099	-0.35784808512278815	-0.28168032774669527	0.8191260001261961	-0.13728549613032234	0.5070558295548121
YAL056W	0.29797968606786085	1.4299834170533066	-0.25505104547472524	0.6230997624042974	0.3195069094769612	0.12342970337158031	0.8430944170164877	0.628419524540204	0.9416751120303639
YAL058W	0.5595667994477693	-1.1569169996099158	0.902605337639195	-0.6511778135481547	-0.6803869447750859	-0.846464212546693	1.6853995084830218	0.628419524540204	1.1589847532681403
YAL059W	-0.030334180812210374	0.02557156505052805	-0.04433009840706986	0.8326724686964834	-0.8883960522327439	0.40154912273361115	0.12811642567011444	0.8198457797078349	0.2897461883170348
YAL060W	1.422986670194179	0.6208141943350347	0.3714090549247241	0.5517317597210124	0.6209174077645568	0.5697056498921749	0.7107628978414375	0.05414075903730945	0.9416751120303629
YAL061W	0.17357001012279683	-0.08445813308994139	-0.6555517274790889	-1.4560880491020711	0.014354118401521605	-2.807333982877154	0.6231400486005142	0.2455670142049404	0.5070558295548112
YAL062W	0.24052475936384834	0.38656517578024296	1.2630933464647849	0.20365226303608075	2.3282605277852646	2.2479028011267124	0.422827299775188	0.628419524540204	0.07243654707925942
YAL064C-A	-0.3675398815869501	0.9075527901994602	-0.28898702763335826	-0.28859815123868265	-0.8754539563414503	-0.023145904500313137	0.4079152713809132	1.585550800378362	0.2897461883170348
YAL065C	0.1503904431324214	0.8286681104397358	0.6050344527606027	0.3631540849060256	0.07454266073934464	0.41233958237694635	0.3271715564127188	1.585550800378362	0.07243654707925942
YAL066W	-0.019770378151022887	-0.626730180919938	0.27876288875611427	-1.0382265053490387	-0.0307093239187656	0.19796495928941543	-0.1904238876234803	-0.3287117512979541	-0.5794923766340696
YAL067C	-0.8036197353271929	-1.2759053999487073	-1.2803290519037298	-0.788023126629755	-0.47229987288434805	-0.1679750795975627	0.4385430015242335	0.05414075903730945	0.2897461883170348
YAL068C	-0.5559403621415095	-0.12871051441856735	-0.7317440841162403	-0.17705260630406688	0.23850186350675634	0.42419037620488664	0.5806990862097846	0.2455670142049404	0.5070558295548121
YAR002C-A	0.20381744508072927	-0.009722114079775529	-0.036944581628744706	-0.4312586349092914	0.20154672222679765	-0.7877715967988412	0.5228714600445129	1.2026982900430985	1.1589847532681403
YAR002W	-0.18894321789061513	0.13331649350283473	-0.2241066650490846	-0.16851865466045715	1.0675756448803446	-0.12568645741154408	0.1138246773100225	0.43699326937257305	0.5070558295548121
YAR003W	0.6341974052987485	-1.0309540391704164	-0.9927613353198311	0.1585658105472753	0.691631148568191	0.8107133727930244	-0.7670931638610641	-0.3287117512979541	-0.7968020178718455
