orf	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020
YAL023C	-0.01935	-0.03328	0.03915	-0.09656999999999999	0.037915000000000004	-0.07505	1.3055532384409416	1.15	1.25
YAL024C	-0.125625	-0.236545	-0.23026	-0.300355	-0.022745	0.0036750000000000003	0.8177294541001806	0.7	0.6499999999999999
YAL026C	0.048405000000000004	-0.10690000000000001	0.03941	0.01478	0.043285000000000004	-0.007855000000000001	0.6029692977540966	0.55	0.6
YAL027W	0.09933	0.040625	-0.01458	-0.056275	0.010405000000000001	-0.007259999999999999	1.0604066635496316	0.95	1.1
YAL028W	0.018515	-0.0616	0.007715000000000001	-0.08297500000000001	-0.013095	-0.10730500000000001	1.0053005285500647	0.9	1.0
YAL029C	-0.036235	-0.033935	0.013659999999999999	0.0072	0.01828	0.009655	1.0358611767903547	1.05	1.1
YAL030W	0.048315000000000004	0.030965	0.007719999999999999	-0.0037449999999999983	0.003009999999999999	-0.05174	0.9601467252792695	0.9	0.8500000000000001
YAL031C	-0.123495	-0.04711	-0.029575	0.04849	0.012265	0.04503	1.0429566294929922	1.25	1.1
YAL034C	0.104465	0.01322	0.087255	-0.022155	0.09465499999999999	-0.046805	1.0703098045713868	1.1	1.2000000000000002
YAL036C	-0.008255	0.046265	-0.004905	0.03264	0.02655	0.03946	1.1615921257703494	1.15	1.2999999999999998
YAL037W	0.028445	0.044845	0.00628	0.036485	0.025605000000000003	0.013195	1.0729481105496317	1.1	1.25
YAL040C	0.053500000000000006	0.02687	-0.012200000000000003	-0.004910000000000001	-0.00595	0.022455000000000003	1.085767608462533	1.1	1.0
YAL042C-A	-0.003924999999999999	-0.08960499999999999	-0.08064	-0.17075	-0.061845	-0.20500000000000002	1.1850489951972283	1.05	1.2000000000000002
YAL042W	-0.022495	0.0010749999999999996	-0.028935000000000002	-0.003000000000000001	-0.06693	-0.023774999999999998	0.8342320885474077	0.7	0.65
YAL045C	-0.052695	-0.007560000000000001	-0.002915000000000001	0.06844	0.02011	0.09639500000000001	1.031615271305469	1.1	1.1
YAL046C	-0.09116	0.0029	-0.09321499999999999	0.00494	-0.075225	0.01197	1.2526979144599477	1.35	1.15
YAL048C	-0.01815	0.028245000000000003	-0.01076	0.04671	-0.03465	0.025859999999999998	0.9946718188222308	1.05	1.15
YAL049C	-0.023899999999999998	-0.088935	-0.057460000000000004	-0.047630000000000006	-0.008005	-0.03201	1.0157403885305611	1.1	1.0
YAL051W	0.091485	0.03059	0.03784	-0.015754999999999998	0.008895	-0.03895	1.1061295167293288	1.15	1.05
YAL053W	-0.0655	-0.08402	-0.03413	-0.07253	-0.021275	-0.009725	0.9906894548258248	1.05	1.0
YAL054C	-0.06861	-0.017434999999999996	0.03787	-0.055665	-0.0055049999999999995	-0.064435	1.0528546316882912	1.45	1.1
YAL055W	0.056735	0.05572	0.04418	-0.0028899999999999967	0.03826499999999999	0.064405	1.1561497751857437	1.0	1.1
YAL056C-A	0.013804999999999998	-0.048875	-0.039025000000000004	-0.046515	-0.024354999999999998	-0.028865	1.1865372064076642	1.05	1.2000000000000002
YAL056W	0.01896	0.110105	-0.0171	0.043055	0.019085	0.003610000000000002	1.1904206924688046	1.25	1.3
YAL058W	0.03617	-0.10502	0.044814999999999994	-0.04131	-0.04504	-0.07414	1.3268952913924714	1.25	1.35
YAL059W	-0.0026400000000000004	-0.006685	-0.005830000000000002	0.05693	-0.05838	0.025905	1.0745762845496318	1.2999999999999998	1.15
YAL060W	0.092975	0.042815	0.016405	0.03833	0.038415	0.039385	1.168979659774902	1.1	1.2999999999999998
YAL061W	0.010775000000000002	-0.015835000000000002	-0.03852	-0.09459999999999999	-0.0004849999999999993	-0.23132999999999998	1.154782555509649	1.15	1.2
YAL062W	0.015179999999999999	0.023334999999999998	0.064095	0.015285	0.14790999999999999	0.173915	1.1223268546808243	1.25	1.1
YAL064C-A	-0.024825	0.06666	-0.018915	-0.017305	-0.057550000000000004	-0.008140000000000001	1.1199107312181207	1.5	1.15
YAL065C	0.00925	0.0601	0.0289	0.025845	0.0033750000000000004	0.026770000000000002	1.1068282196346928	1.5	1.1
YAL066W	-0.0019449999999999997	-0.060930000000000005	0.01145	-0.066935	-0.003375	0.009585	1.022964746238647	1.0	0.95
YAL067C	-0.05351500000000001	-0.11491499999999999	-0.071935	-0.05037	-0.031695	-0.01975	1.1248731934299712	1.1	1.15
YAL068C	-0.03722	-0.019515	-0.042595	-0.009920000000000002	0.01389	0.02772	1.1479060527093101	1.15	1.2000000000000002
YAR002C-A	0.012764999999999999	-0.00962	-0.005434999999999999	-0.02675	0.01152	-0.069435	1.1385365235831446	1.4	1.35
YAR002W	-0.013075000000000002	0.0022749999999999992	-0.015445	-0.009355	0.06706000000000001	-0.01636	1.0722606620452426	1.2000000000000002	1.2000000000000002
YAR003W	0.04108	-0.09454499999999999	-0.056555	0.012299999999999998	0.04295	0.058705	0.9295298270111021	1.0	0.9
YAR014C	-0.077435	-0.22564	-0.12493000000000001	-0.06381	-0.117755	-0.088155	0.7167888826690068	0.8	0.75
YAR015W	0.035504999999999995	-0.121585	-0.006509999999999999	-0.056440000000000004	-0.006104999999999999	-0.16366	1.0254812663039523	0.95	1.0
YAR018C	-0.16928	-0.34843	-0.219645	-0.40302	0.035055	-0.09893	0.8402625296511941	0.95	0.8
YAR020C	-0.058055	-0.0794	-0.048185	0.08113999999999999	-0.02277	0.030979999999999997	1.0185123001056826	1.2999999999999998	1.1
YAR023C	-0.123135	-0.067065	-0.030659999999999996	0.059539999999999996	-0.03733	0.042429999999999995	1.0300666242825685	1.4500000000000002	1.05
YAR027W	0.033705	-0.01758	-0.06562499999999999	-0.035975	-0.039805	0.01848	1.0121187252388064	1.05	1.0
YAR028W	-0.014950000000000001	-0.030275	-0.0050349999999999995	0.054995	-0.0181	0.040389999999999995	1.1366880679246	1.15	1.25
YAR029W	0.06377	-0.012325000000000001	0.05714	-0.00037500000000000033	0.003655000000000002	-0.008215	1.131959517918229	1.25	1.45
YAR030C	-0.043455	-0.051525	0.0034850000000000003	0.01261	0.010035	0.013375	1.1628204422685116	1.45	1.15
YAR031W	-0.0069500000000000004	0.01721	-0.02332	0.013655	-0.00941	0.031294999999999996	1.2215522574342579	1.4	1.3
YAR035W	0.012875	-0.084725	-0.007455000000000001	-0.09641	0.01365	-0.032729999999999995	1.0392980138234318	1.05	1.2000000000000002
YAR042W	-0.012642500000000001	0.02666	-0.005669999999999999	0.0019749999999999993	-0.061075000000000004	-0.076025	1.0231198938157477	1.0750000000000002	1.025
YAR047C	0.06362	0.095615	0.040889999999999996	0.08336	0.059340000000000004	0.058124999999999996	1.0282579181604827	1.55	1.15
YAR050W	-0.120975	-0.031905	-0.030934999999999997	0.07514	-0.010045000000000002	0.11268500000000001	1.0880368936705724	1.25	1.1
YBL001C	-0.010950000000000001	-0.031935000000000005	-0.037665000000000004	-0.099675	0.0011499999999999982	-0.069475	1.171733812741309	1.35	1.7000000000000002
YBL003C	0.011825	0.015805	-0.04039500000000001	0.0006850000000000016	0.01135	-0.0002999999999999982	1.0764647306048565	1.05	1.15
YBL005W	-0.03973	-0.0010900000000000007	0.021115000000000002	0.03527	0.024640000000000002	-0.01817	1.0391132210619867	1.05	1.1
