orf	hap a | growth (spot assay) | standard | SC | Teng X~Hardwick JM, 2013
YAL002W	1
YAL009W	1
YAL013W	1
YAL020C	1
YAL021C	1
YAL026C	1
YAL027W	1
YAL028W	1
YAL040C	1
YAL060W	1
YAL067C	1
YAR014C	1
YAR029W	1
YBL001C	1
YBL007C	1
YBL017C	1
YBL021C	1
YBL024W	1
YBL027W	1
YBL047C	1
YBL051C	1
YBL059W	1
YBL071C	1
YBL081W	1
YBL086C	1
YBL089W	1
YBL093C	1
YBL098W	1
YBL101C	1
YBL102W	1
YBL103C	1
YBL106C	1
YBR012C	1
YBR025C	1
YBR036C	1
YBR044C	1
YBR058C	1
YBR078W	1
YBR081C	1
YBR082C	1
YBR092C	1
YBR095C	1
YBR097W	1
YBR103W	1
YBR107C	1
YBR113W	1
YBR114W	1
YBR126C	1
YBR129C	1
YBR144C	1
YBR147W	1
YBR162W-A	1
YBR164C	1
YBR170C	1
YBR172C	1
YBR184W	1
YBR203W	1
YBR207W	1
YBR248C	1
YBR271W	1
YCL007C	1
YCL008C	1
YCL037C	1
YCR009C	1
YCR031C	1
YCR033W	1
YCR044C	1
YCR053W	1
YCR061W	1
YCR063W	1
YCR077C	1
YCR081W	1
YCR084C	1
YCR088W	1
YCR094W	1
YDL001W	1
YDL006W	1
YDL020C	1
YDL025C	1
YDL026W	1
YDL047W	1
YDL075W	1
YDL076C	1
YDL077C	1
YDL079C	1
YDL081C	1
YDL133C-A	1
YDL151C	1
YDL160C	1
YDL167C	1
YDL176W	1
YDL179W	1
YDL184C	1
YDL185W	1
YDL189W	1
YDL191W	1
YDL192W	1
YDL194W	1
YDL198C	1
YDL204W	1
YDL226C	1
YDL232W	1
YDR007W	1
YDR024W	1
YDR027C	1
YDR028C	1
YDR035W	1
YDR049W	1
YDR058C	1
YDR069C	1
YDR071C	1
YDR072C	1
YDR077W	1
YDR080W	1
YDR092W	1
YDR098C	1
YDR105C	1
YDR120C	1
YDR126W	1
YDR127W	1
YDR129C	1
YDR136C	1
YDR137W	1
YDR144C	1
YDR146C	1
YDR159W	1
YDR162C	1
YDR200C	1
YDR205W	1
YDR225W	1
YDR253C	1
YDR257C	1
YDR293C	1
YDR296W	1
YDR310C	1
YDR320C	1
YDR323C	1
YDR345C	1
YDR346C	1
YDR348C	1
YDR354W	1
YDR363W-A	1
YDR372C	1
YDR378C	1
YDR382W	1
YDR388W	1
YDR419W	1
YDR420W	1
YDR421W	1
YDR432W	1
YDR442W	1
YDR443C	1
YDR455C	1
YDR456W	1
YDR457W	1
YDR463W	1
YDR484W	1
YDR486C	1
YDR490C	1
YDR495C	1
YDR507C	1
YDR508C	1
YDR509W	1
YDR530C	1
YDR532C	1
YEL008W	1
YEL009C	1
YEL043W	1
YEL044W	1
YEL050C	1
YEL051W	1
YEL053C	1
YEL054C	1
YEL061C	1
YEL062W	1
YER004W	1
YER040W	1
YER090W	1
YER120W	1
YER122C	1
YER131W	1
YER145C	1
YER161C	1
YER162C	1
YER164W	1
YFL001W	1
YFL016C	1
YFL025C	1
YFL036W	1
YFR001W	1
YFR009W	1
YFR012W	1
YFR013W	1
YFR019W	1
YFR021W	1
YFR025C	1
YFR043C	1
YFR044C	1
YGL016W	1
YGL023C	1
YGL026C	1
YGL027C	1
YGL035C	1
YGL042C	1
YGL043W	1
YGL045W	1
YGL058W	1
YGL080W	1
YGL117W	1
YGL118C	1
YGL124C	1
YGL148W	1
YGL151W	1
YGL167C	1
YGL168W	1
YGL195W	1
YGL205W	1
YGL206C	1
YGL208W	1
YGL209W	1
YGL210W	1
YGL211W	1
YGL212W	1
YGL216W	1
YGL220W	1
YGL235W	1
YGL244W	1
YGL246C	1
YGL253W	1
YGL255W	1
YGR007W	1
YGR034W	1
YGR043C	1
YGR045C	1
YGR050C	1
YGR055W	1
YGR076C	1
YGR078C	1
YGR080W	1
YGR081C	1
YGR086C	1
YGR087C	1
YGR089W	1
YGR104C	1
YGR107W	1
YGR110W	1
YGR111W	1
YGR122W	1
YGR157W	1
YGR162W	1
YGR166W	1
YGR167W	1
YGR173W	1
YGR188C	1
YGR200C	1
YGR206W	1
YGR223C	1
YGR240C	1
YGR252W	1
YGR255C	1
YGR257C	1
YGR270W	1
YGR271C-A	1
YGR282C	1
YGR285C	1
YGR286C	1
YGR290W	1
YHL003C	1
YHL006C	1
YHL007C	1
YHL008C	1
YHL012W	1
YHL013C	1
