orf	hap a | growth (spot assay) | standard | SC | Teng X~Hardwick JM, 2013
YHL016C	1
YHL017W	1
YHL019C	1
YHL022C	1
YHL023C	1
YHL026C	1
YHL027W	1
YHL028W	1
YHL031C	1
YHL032C	1
YHL033C	1
YHL034C	1
YHL036W	1
YHL037C	1
YHL040C	1
YHL041W	1
YHL042W	1
YHL043W	1
YHL044W	1
YHL045W	1
YHL046C	1
YHL047C	1
YHR008C	1
YHR010W	1
YHR011W	1
YHR012W	1
YHR015W	1
YHR022C	1
YHR028C	1
YHR041C	1
YHR046C	1
YHR059W	1
YHR060W	1
YHR064C	1
YHR091C	1
YHR103W	1
YHR111W	1
YHR117W	1
YHR120W	1
YHR123W	1
YHR124W	1
YHR147C	1
YHR162W	1
YHR167W	1
YHR168W	1
YHR200W	1
YHR207C	1
YIL005W	1
YIL006W	1
YIL007C	1
YIL008W	1
YIL010W	1
YIL014C-A	1
YIL017C	1
YIL018W	1
YIL028W	1
YIL029C	1
YIL036W	1
YIL038C	1
YIL040W	1
YIL041W	1
YIL042C	1
YIL050W	1
YIL053W	1
YIL064W	1
YIL065C	1
YIL073C	1
YIL076W	1
YIL077C	1
YIL084C	1
YIL086C	1
YIL090W	1
YIL092W	1
YIL098C	1
YIL110W	1
YIL112W	1
YIL128W	1
YIL132C	1
YIL133C	1
YIL137C	1
YIL141W	1
YIL145C	1
YIL152W	1
YIL153W	1
YIR001C	1
YIR016W	1
YIR026C	1
YJL004C	1
YJL027C	1
YJL029C	1
YJL053W	1
YJL082W	1
YJL098W	1
YJL121C	1
YJL124C	1
YJL137C	1
YJL139C	1
YJL140W	1
YJL147C	1
YJL154C	1
YJL163C	1
YJL164C	1
YJL168C	1
YJL169W	1
YJL178C	1
YJL180C	1
YJL182C	1
YJL191W	1
YJL192C	1
YJL204C	1
YJL205C	1
YJL206C	1
YJL208C	1
YJL210W	1
YJL212C	1
YJL215C	1
YJL216C	1
YJR032W	1
YJR034W	1
YJR039W	1
YJR044C	1
YJR055W	1
YJR058C	1
YJR070C	1
YJR077C	1
YJR078W	1
YJR083C	1
YJR088C	1
YJR102C	1
YJR104C	1
YJR105W	1
YJR108W	1
YJR118C	1
YJR122W	1
YJR128W	1
YJR129C	1
YJR130C	1
YJR146W	1
YKL002W	1
YKL007W	1
YKL009W	1
YKL031W	1
YKL032C	1
YKL041W	1
YKL046C	1
YKL056C	1
YKL057C	1
YKL110C	1
YKL114C	1
YKL118W	1
YKL119C	1
YKL126W	1
YKL129C	1
YKL135C	1
YKL143W	1
YKL149C	1
YKL155C	1
YKL198C	1
YKL204W	1
YKL211C	1
YKL213C	1
YKL214C	1
YKL216W	1
YKL217W	1
YKL222C	1
YKR001C	1
YKR020W	1
YKR026C	1
YKR029C	1
YKR030W	1
YKR033C	1
YKR035C	1
YKR035W-A	1
YKR036C	1
YKR064W	1
YKR065C	1
YKR094C	1
YKR095W	1
YKR096W	1
YKR098C	1
YLL027W	1
YLR024C	1
YLR025W	1
YLR032W	1
YLR034C	1
YLR039C	1
YLR061W	1
YLR062C	1
YLR091W	1
YLR119W	1
YLR148W	1
YLR150W	1
YLR169W	1
YLR170C	1
YLR171W	1
YLR177W	1
YLR178C	1
YLR179C	1
YLR180W	1
YLR184W	1
YLR185W	1
YLR192C	1
YLR261C	1
YLR262C	1
YLR337C	1
YLR338W	1
YLR346C	1
YLR357W	1
YLR358C	1
YLR360W	1
YLR370C	1
YLR384C	1
YLR386W	1
YLR394W	1
YLR399C	1
YLR402W	1
YLR407W	1
YLR410W	1
YLR417W	1
YLR418C	1
YLR425W	1
YLR426W	1
YLR429W	1
YLR431C	1
YLR432W	1
YLR443W	1
YLR445W	1
YLR446W	1
YLR447C	1
YLR449W	1
YLR452C	1
YLR454W	1
YLR456W	1
YLR460C	1
YLR461W	1
YML009C-A	1
YML021C	1
YML036W	1
YML042W	1
YML062C	1
YML071C	1
YML086C	1
YML094C-A	1
YML094W	1
YML097C	1
YML128C	1
YMR038C	1
YMR057C	1
YMR058W	1
YMR073C	1
YMR075C-A	1
YMR075W	1
YMR077C	1
YMR078C	1
YMR087W	1
YMR091C	1
YMR097C	1
YMR100W	1
YMR135W-A	1
YMR138W	1
YMR140W	1
YMR142C	1
YMR145C	1
YMR152W	1
YMR154C	1
YMR163C	1
YMR164C	1
YMR166C	1
YMR167W	1
YMR171C	1
YMR174C	1
YMR186W	1
YMR215W	1
YMR242C	1
YMR263W	1
YMR264W	1
YMR275C	1
YMR312W	1
YMR316W	1
YNL015W	1
YNL016W	1
YNL023C	1
YNL025C	1
YNL040W	1
YNL041C	1
YNL046W	1
YNL055C	1
YNL059C	1
YNL065W	1
YNL067W	1
YNL068C	1
YNL069C	1
YNL074C	1
YNL076W	1
YNL080C	1
YNL082W	1
YNL085W	1
YNL095C	1
YNL097C	1
YNL104C	1
YNL119W	1
YNL120C	1
YNL122C	1
YNL140C	1
YNL141W	1
YNL147W	1
YNL148C	1
YNL154C	1
YNL179C	1
YNL190W	1
YNL194C	1
YNL196C	1
YNL197C	1
YNL201C	1
YNL205C	1
YNL208W	1
YNL215W	1
YNL219C	1
YNL226W	1
YNL228W	1
YNL235C	1
YNL236W	1
YNL246W	1
YNL257C	1
YNL259C	1
YNL278W	1
YNL281W	1
YNL284C	1
YNL288W	1
YNL291C	1
YNL294C	1
YNL296W	1
YNL297C	1
YNL301C	1
YNL305C	1
YNL319W	1
YNL320W	1
YNL324W	1
YNL325C	1
YNR004W	1
YNR005C	1
YNR006W	1
YNR010W	1
YNR013C	1
YNR022C	1
YNR025C	1
YNR037C	1
YNR047W	1
YNR059W	1
YNR062C	1
YNR070W	1
YNR074C	1
YNR075W	1
YOL003C	1
YOL004W	1
YOL018C	1
YOL030W	1
YOL039W	1
YOL049W	1
YOL050C	1
YOL067C	1
YOL068C	1
YOL091W	1
YOL093W	1
YOL101C	1
YOL103W	1
YOL104C	1
YOL105C	1
YOL108C	1
YOL110W	1
YOL113W	1
YOL119C	1
YOL129W	1
YOL141W	1
YOR030W	1
YOR043W	1
YOR051C	1
YOR061W	1
YOR068C	1
YOR069W	1
YOR070C	1
YOR082C	1
YOR083W	1
YOR089C	1
YOR106W	1
YOR109W	1
YOR123C	1
YOR124C	1
YOR132W	1
YOR135C	1
YOR138C	1
YOR187W	1
YOR199W	1
YOR200W	1
YOR211C	1
YOR275C	1
YOR299W	1
YOR306C	1
YOR323C	1
YOR327C	1
YOR328W	1
YOR331C	1
YOR337W	1
YOR357C	1
YOR358W	1
YOR364W	1
YOR375C	1
YOR376W	1
YPL002C	1
YPL026C	1
YPL033C	1
YPL047W	1
YPL057C	1
YPL060W	1
YPL061W	1
YPL065W	1
YPL079W	1
YPL084W	1
YPL086C	1
YPL087W	1
YPL090C	1
YPL095C	1
YPL101W	1
YPL102C	1
YPL107W	1
YPL110C	1
YPL120W	1
YPL127C	1
YPL139C	1
YPL166W	1
YPL171C	1
YPL179W	1
YPL180W	1
YPL186C	1
YPL187W	1
YPL189W	1
YPL205C	1
YPL212C	1
YPL241C	1
YPL244C	1
YPL248C	1
YPL259C	1
YPL264C	1
YPL265W	1
YPR032W	1
YPR036W	1
YPR040W	1
YPR051W	1
YPR060C	1
YPR069C	1
YPR070W	1
YPR084W	1
YPR101W	1
YPR124W	1
YPR132W	1
YPR133W-A	1
YPR145W	1
YPR155C	1
YPR159W	1
YPR160W	1
YPR170C	1
YPR172W	1
YPR173C	1
YPR174C	1
YPR185W	1
YPR188C	1
YPR189W	1
YPR192W	1
YPR193C	1
YPR194C	1
YPR201W	1
