orf	hom | growth (pooled culture, barseq) | aflatoxin B1 [50 uM] | SC + DMSO [0.5%] | St John N~Fasullo M, 2020	hom | growth (pooled culture, barseq) | aflatoxin B1 [50 uM], expression of human CYP1A2 | SC - Ura + DMSO [0.5%] | St John N~Fasullo M, 2020	hom | growth (pooled culture, barseq) | aflatoxin B1 [50 uM], expression of human CYP1A2, expression of human NAT2 | SC - Ura + DMSO [0.5%] | St John N~Fasullo M, 2020
YAL002W	-0.6768547564175442	-0.05379269047410259	0.08608308640112562
YAL004W	-0.23362873890108063	0.9850165730678486	-0.3278968677208834
YAL005C	-0.1743944145199516	0.7581451730330621	-0.12897645798990695
YAL007C	0.11627000552115356	1.0030505624557733	-0.26978692433809026
YAL008W	0.4642509053430901	0.7982239716623446	-0.07075445348877675
YAL009W	0.1423021052989448	0.5763304555796565	-0.5668535043605827
YAL010C	1.3565073388201918	-0.01308545789455726	0.08608308640112562
YAL011W	-0.13072067687195915	0.6957416945581544	-0.30949079278964614
YAL012W	1.3565073388201918	-0.01308545789455726	0.08608308640112562
YAL013W	-0.25481792888391563	-2.9228635049495977	-0.22880692336379724
YAL014C	0.4088124542878388	0.9205290287024022	-0.13618431351823962
YAL015C	-0.0009575583460182745	0.7396904601888851	0.3397973902922953
YAL016W	1.3565073388201918	-0.01308545789455726	0.08608308640112562
YAL017W	0.18745347045933347	0.8058315588276065	-0.13931777586482239
YAL018C	-0.09829657795553332	0.7734065006264031	-0.12340211774908987
YAL019W	-0.23694642362660903	0.7228621005052177	-0.1651920858958024
YAL020C	0.06988070393851979	0.7247631532929342	-0.1655651385167641
YAL021C	-1.001030753333925	2.36450097543388	0.08608308640112562
YAL022C	-0.43186800102174705	0.6718619296853475	-0.025231794103191978
YAL023C	-0.09709761185310763	0.9341138660292395	-0.24696450460043803
YAL024C	-0.13642269376385555	2.9579909348579108	1.3077502411133861
YAL026C	-0.14404811512374832	0.6621381087788735	-0.04802923888584362
YAL027W	1.3565073388201918	-0.01308545789455726	0.08608308640112562
YAL028W	0.02973167786031141	0.7250579219831745	-0.10462106028779097
YAL029C	-0.47825337601471996	0.6485073132690398	-1.2629836137460124
YAL030W	-0.11829766948389274	0.7855895987689732	-0.04945610917862685
YAL031C	-0.38421610908873627	0.6816569981566839	-0.09918356630044667
YAL034C	0.28679006036475657	0.7694204904584849	-0.10069047753139902
YAL035W	-0.8766723248380984	1.031625101472471	-0.3268515948119789
YAL036C	0.20918700218652306	0.7393401813126411	-1.0767309536622605
YAL037W	0.30872948246566057	0.8567818471247738	-0.18794502380265526
YAL039C	1.3565073388201918	-0.01308545789455726	0.08608308640112562
YAL040C	0.10999139657394086	0.611636576794167	-0.22578984017224318
YAL042C-A	-0.3642923198938102	0.7376035461300482	-0.08507483811806256
YAL042W	0.12843689347462553	0.680363783667791	0.3730066129563839
YAL044C	0.4243618407529996	-0.1878603962609214	0.08608308640112562
YAL045C	0.04980240141016981	0.6890297378565812	-0.7687253072750233
YAL046C	-0.010076140205098845	0.6958212802067195	-1.4741484119904187
YAL047C	-0.6534166588503308	-0.01308545789455726	0.08608308640112562
YAL048C	-0.377654711587576	0.5022329663202513	-0.018331620495710455
YAL049C	-0.41480903412834635	0.7990086915738266	1.9886522186594622
YAL051W	0.5101758625213679	0.8679489487111888	-0.12888127981189448
YAL053W	-0.08319648204054171	0.8750528565268184	-0.15982916335244485
YAL054C	0.42463310886764805	0.9626456464442794	0.08608308640112562
YAL055W	-0.17865868858275022	0.8783564509052185	-0.12984302820761814
YAL056C-A	0.46246657708701394	0.6724660879151072	0.08608308640112562
YAL056W	0.0010487158000214282	1.0437085604290777	-2.492985891807481
YAL058W	-0.02863907299706186	0.9344772931787303	-0.08192849955457598
YAL059W	0.42440212258297105	0.7929828701554364	-2.757552027046657
YAL060W	0.23564546729686167	0.8006348218141609	-0.15990004380183373
YAL061W	0.0323625981025526	0.912661471484448	-0.1871215658533365
YAL062W	-0.045227358823759334	0.8977114189713895	-0.4981368679182224
YAL064C-A	-0.14213532193174697	0.7717204434381353	-0.9256798875216047
YAL065C	0.12860421034305147	0.7372662672368264	-1.567561287123808
YAL066W	0.31170415561558135	0.8616675096094953	-0.16283340590490566
YAL067C	0.2757037791612526	0.7484735646403095	-0.21818471577092552
YAL068C	0.11638951220257232	1.3105447719985954	-2.3160067454933326
YAR002C-A	-0.3073269357231231	-0.01308545789455726	2.3168863487603497
YAR002W	-0.2314078536251128	0.949505011893945	-0.5354466526876728
YAR003W	-0.3894042818986893	1.2253191231955618	0.13395498601612052
YAR014C	0.2683032557232357	1.0645141067439154	-1.4472488261750658
YAR015W	1.3565073388201918	3.991683848417892	0.08608308640112562
YAR018C	0.5223537255464431	0.6887839436119636	-0.09745166399300156
YAR020C	-0.20099952308724908	0.6862455260028353	-0.07630261512495809
YAR023C	-0.709185298911609	0.8080099562691803	-0.09378866773890608
YAR027W	0.029343152486760525	0.8010829386145596	-2.840510686519908
YAR028W	0.025139959293740383	0.7317588127720499	-0.061020062370060996
