orf	hom | growth (pooled culture, barseq) | aflatoxin B1 [50 uM] | SC + DMSO [0.5%] | St John N~Fasullo M, 2020	hom | growth (pooled culture, barseq) | aflatoxin B1 [50 uM], expression of human CYP1A2 | SC - Ura + DMSO [0.5%] | St John N~Fasullo M, 2020	hom | growth (pooled culture, barseq) | aflatoxin B1 [50 uM], expression of human CYP1A2, expression of human NAT2 | SC - Ura + DMSO [0.5%] | St John N~Fasullo M, 2020
YAL002W	-0.291978391474405	-1.3949849397678	0.508432396917145
YAL004W	-0.107244997294442	0.352685300910178	-0.296746158108052
YAL005C	-0.0825565598777995	-0.02899823640238	0.0901480537430928
YAL007C	0.0385902653523988	0.383025294670453	-0.183724066628319
YAL008W	0.183626184259204	0.0384294677053951	0.20338810072632
YAL009W	0.0494402560107297	-0.334879385293155	-0.761509626695057
YAL010C	0.555512203854186	-1.32649997197202	0.508432396917145
YAL011W	-0.064353662319018	-0.133984499110058	-0.260946896164921
YAL012W	0.555512203854186	-1.32649997197202	0.508432396917145
YAL013W	-0.116076498223441	-6.221847634234	-0.104019197731001
YAL014C	0.160519839354404	0.244192850816292	0.0761289916089325
YAL015C	-0.0102693342847697	-0.0600460462072867	1.00189908428266
YAL016W	0.555512203854186	-1.32649997197202	0.508432396917145
YAL017W	0.0682590180154392	0.0512283078377589	0.0700345016237875
YAL018C	-0.050839532711688	-0.00332290888635534	0.100989977791901
YAL019W	-0.108627784260785	-0.0883577146249248	0.0197097471143497
YAL020C	0.0192555404122512	-0.0851594245252372	0.0189841709909082
YAL021C	-0.427092599249475	2.67350002802798	0.508432396917145
YAL022C	-0.189869686062677	-0.174159299130896	0.291928303555046
YAL023C	-0.0503398123233207	0.267047687362141	-0.139335146914768
YAL024C	-0.0667302216645496	3.67197470151136	2.88453825556714
YAL026C	-0.0699084420627081	-0.190518445145809	0.24758795937753
YAL027W	0.555512203854186	-1.32649997197202	0.508432396917145
YAL028W	0.00252171710917359	-0.0846635120551653	0.137518569473606
YAL029C	-0.209202774428691	-0.213450600744883	-2.11546174443286
YAL030W	-0.0591758428092799	0.0171736719685658	0.244812739589441
YAL031C	-0.170008722608394	-0.157680287753591	0.148094331676811
YAL034C	0.109661789274936	-0.0100288861951814	0.145163434672238
YAL035W	-0.375260906878061	0.431098481186235	-0.294713133750185
YAL036C	0.0773173966412664	-0.0606353478138804	-1.75320592450097
YAL037W	0.118805981517433	0.136945971066247	-0.0245440325288513
YAL039C	0.555512203854186	-1.32649997197202	0.508432396917145
YAL040C	0.0359733866139926	-0.275481130458592	-0.0981510617007952
YAL042C-A	-0.16170463156354	-0.0635570252902475	0.175535383491091
YAL042W	0.04366133613666	-0.159855963843873	1.06649002317218
YAL044C	0.167000711021687	-1.62053754876235	0.508432396917145
YAL045C	0.0108870493290389	-0.145276549918368	-1.15414420948714
YAL046C	-0.0140698931652583	-0.133850605935956	-2.52617092353603
YAL047C	-0.282209562151222	-1.32649997197202	0.508432396917145
YAL048C	-0.167273979648707	-0.459539398861073	0.30534893361062
YAL049C	-0.182759632205551	0.0397496635148631	4.20887211505824
YAL051W	0.20276737381448	0.155733261286072	0.090333172435626
YAL053W	-0.0445459220918742	0.167684722172707	0.0301404701026904
YAL054C	0.167113773607301	0.315048937731151	0.508432396917145
YAL055W	-0.08433387842455	0.173242617914525	0.0884626007428277
YAL056C-A	0.182882489164491	-0.173142876390102	0.508432396917145
YAL056W	-0.00943313375049115	0.451427431229394	-4.50777916721162
YAL058W	-0.0218067891169191	0.267659109339313	0.181654917330697
YAL059W	0.167017500196691	0.0296119518692688	-5.02235234004138
YAL060W	0.0883450932823902	0.0424854298660495	0.0300026097612651
YAL061W	0.00361826561255185	0.230956642689145	-0.0229424315934565
YAL062W	-0.0287206665141984	0.205804997636848	-0.627857836346424
YAL064C-A	-0.0691112037130672	-0.00615949503882174	-1.45941614565022
YAL065C	0.0437310725956817	-0.0641244560065299	-2.70785615508346
YAL066W	0.120045803743213	0.145165503977834	0.0242973087291745
YAL067C	0.105041107558117	-0.0452695412133064	-0.0833593235616217
YAL068C	0.0386400748717257	0.900346903226831	-4.16356005254207
YAR002C-A	-0.137961871994545	-1.32649997197202	4.84727762226474
YAR002W	-0.106319348395461	0.292941418330582	-0.700424245154019
YAR003W	-0.172171115461921	0.756965114689748	0.601541801308626
YAR014C	0.101956622985046	0.486430232428443	-2.47385203847427
YAR015W	0.555512203854186	5.41103730562101	0.508432396917145
YAR018C	0.207843018929102	-0.145690068840199	0.151462829555678
YAR020C	-0.093645376449766	-0.149960647732382	0.192597093275872
YAR023C	-0.305453527442447	0.0548931965855033	0.15858724705843
YAR027W	0.00235978254724678	0.0432393318804909	-5.18370443667409
YAR028W	0.000607922064661537	-0.0733900782990773	0.222321198565902
YAR029W	0.129513458259254	-0.340687368435708	0.164743434859821
YAR030C	0.168008303952973	-0.128521520519887	0.508432396917145
YAR031W	0.144702944303434	0.358835268726789	0.141088318794127
