ORF	hap a | viral RNA replication (DI-72(+) RNA) | standard | None | Panavas T~Nagy PD, 2005
YCR003W	162.000
YGL135W	192.000
YGL076C	192.000
YJL136C	33.000
YKL081W	15.000
YDR127W	38.000
YDL074C	20.000
YDR069C	22.000
YPL055C	30.000
YPR051W	17.000
YKR069W	33.000
YGL058W	23.000
YNL032W	50.000
YOR078W	184.000
YAL021C	45.000
YGL173C	40.000
YDR432W	21.000
YHR091C	153.000
YGL012W	18.000
YDR123C	29.000
YOR221C	49.000
YGL205W	29.000
YDR058C	20.000
YPL051W	19.000
YNR051C	17.000
YHL031C	23.000
YOR306C	40.000
YLR148W	17.000
YLR039C	5.000
YLR025W	16.000
YOL018C	14.000
YKL041W	44.000
YHR012W	19.000
YPR173C	46.000
YDR080W	14.000
YKR035W-A	30.000
YGL124C	42.000
YCL008C	33.000
YPL065W	20.000
YKR020W	24.000
YDR136C	31.000
YPR087W	17.000
YGR028W	33.000
YJL212C	25.000
YKL212W	23.000
YGL115W	40.000
YDR410C	48.000
YMR054W	16.000
YJL093C	15.000
YHR104W	32.000
YIR038C	29.000
YOL081W	24.000
YBR006W	24.000
YNL197C	29.000
YPL161C	15.000
YLR038C	25.000
YER124C	25.000
YDR272W	28.000
YPR160W	37.000
YBL021C	12.000
YOR188W	27.000
YKL043W	33.000
YER083C	37.000
YDL080C	31.000
YIL064W	20.000
YCR094W	42.000
YBL093C	9.000
YCR081W	35.000
YJL176C	24.000
YOR337W	25.000
YDR207C	39.000
YDR448W	8.000
YDR121W	18.000
YDL013W	26.000
YGL168W	32.000
YDR176W	27.000
YBL052C	27.000
YOL004W	4.000
YER116C	22.000
YGR081C	151.000
YHL025W	16.000
YDR275W	49.000
YBL006C	25.000
YBR007C	26.000
YBR032W	32.000
YCR099C	37.000
YFL042C	31.000
YGL140C	17.000
YGR064W	16.000
YHR029C	31.000
YIL090W	24.000
YJL175W	13.000
YLR358C	39.000
YNL321W	29.000
YPR050C	10.000
