orf	hap a | chromosome instability (ade2-101 + SUP11) | standard [standard] | Yuen KW~Spencer FA, 2007	hom | chromosome instability (diploid bimater) | standard [standard] | Yuen KW~Spencer FA, 2007	hap alpha | chromosome instability (Mat-alpha) | standard [standard] | Yuen KW~Spencer FA, 2007
YAL011W	-3.77554194535461	4.140621797319739	0.6077711059816925
YAL040C	3.77554194535461	-1.9776104106601737	0.6077711059816925
YAR015W		-1.9776104106601737	8.371556846909119
YBL058W	3.77554194535461	6.180032533313043	0.330493043805713
YBR009C	-3.77554194535461	6.180032533313043	1.439605292509631
YBR026C		8.219443269306348	1.1623272303336516
YBR073W	0.0	4.140621797319739	3.9351078520934464
YBR098W	0.0	6.180032533313043	2.2714394790375696
YBR099C	-3.77554194535461	8.219443269306348	3.103273665565508
YBR107C	7.55108389070922	8.219443269306348	2.2714394790375696
YBR112C	-3.77554194535461		21.958181893532117
YBR113W	-3.77554194535461	-1.9776104106601737	15.303508401308607
YCL016C	7.55108389070922	8.219443269306348	4.7669420386213845
YCL061C	0.0	6.180032533313043	2.8259956033895284
YCR065W	-3.77554194535461	6.180032533313043	0.330493043805713
YCR066W		8.219443269306348	5.044220100797364
YDL059C	-3.77554194535461	6.180032533313043	0.330493043805713
YDL074C	-3.77554194535461	-1.9776104106601737	2.8259956033895284
YDL101C	-3.77554194535461		2.548717541213549
YDL117W	-3.77554194535461	4.140621797319739	0.330493043805713
YDL156W	-3.77554194535461	2.1012110613264348	0.330493043805713
YDL162C	-3.77554194535461	8.219443269306348	2.548717541213549
YDR004W	-3.77554194535461	8.219443269306348	3.9351078520934464
YDR014W	7.55108389070922	6.180032533313043	1.1623272303336516
YDR076W	-3.77554194535461	6.180032533313043	4.7669420386213845
YDR200C	7.55108389070922	-1.9776104106601737	-0.22406308054624607
YDR217C	-3.77554194535461	4.140621797319739	2.548717541213549
YDR254W	7.55108389070922	4.140621797319739	0.6077711059816925
YDR279W	-3.77554194535461	4.140621797319739	0.885049168157672
YDR290W	0.0	-1.9776104106601737	0.885049168157672
YDR318W	7.55108389070922	8.219443269306348	0.6077711059816925
YDR363W	-3.77554194535461	6.180032533313043	11.698893593020872
YDR369C	-3.77554194535461	8.219443269306348	13.08528390390077
YDR378C	0.0	2.1012110613264348	-0.22406308054624607
YDR386W	-3.77554194535461	6.180032533313043	2.2714394790375696
YDR532C	-3.77554194535461	6.180032533313043	8.094278784733138
YEL061C	7.55108389070922	6.180032533313043	-0.22406308054624607
YER016W	7.55108389070922	8.219443269306348	4.212385914269426
YER095W		6.180032533313043	1.7168833546856106
YER116C	0.0	8.219443269306348	
YER161C	-3.77554194535461	2.1012110613264348	5.876054287325303
YER173W	-3.77554194535461	6.180032533313043	1.439605292509631
YFR046C	3.77554194535461	-1.9776104106601737	-0.22406308054624607
YGL003C	7.55108389070922	4.140621797319739	-0.22406308054624607
YGL058W	0.0		6.707888473853241
YGL060W	-3.77554194535461	6.180032533313043	-0.22406308054624607
YGL086W	3.77554194535461	8.219443269306348	-0.22406308054624607
YGL163C	0.0	6.180032533313043	6.153332349501282
YGL240W	7.55108389070922		0.6077711059816925
YGR061C	-3.77554194535461	-1.9776104106601737	4.212385914269426
YGR064W	0.0	-1.9776104106601737	1.1623272303336516
YGR078C	-3.77554194535461	2.1012110613264348	0.6077711059816925
YGR184C	7.55108389070922	4.140621797319739	-0.22406308054624607
YGR188C	7.55108389070922		4.212385914269426
YGR270W		6.180032533313043	1.439605292509631
YHR031C	-3.77554194535461	8.219443269306348	3.657829789917467
YHR064C	0.0	2.1012110613264348	0.6077711059816925
YHR134W	-3.77554194535461		7.539722660381179
YHR154W	-3.77554194535461	6.180032533313043	6.153332349501282
YHR167W	0.0	-1.9776104106601737	3.9351078520934464
YHR191C	7.55108389070922	10.258854005299652	4.7669420386213845
YIL009C-A	7.55108389070922	2.1012110613264348	-0.22406308054624607
YJL007C	-3.77554194535461	8.219443269306348	0.330493043805713
YJL030W	3.77554194535461	4.140621797319739	-0.22406308054624607
YJL092W		4.140621797319739	3.103273665565508
YJL115W		4.140621797319739	5.876054287325303
YJR043C	-3.77554194535461	4.140621797319739	6.9851665360292206
YJR063W	-3.77554194535461	2.1012110613264348	1.1623272303336516
YJR135C	7.55108389070922	6.180032533313043	0.885049168157672
YKL053W	0.0	4.140621797319739	-0.22406308054624607
YKL057C	3.77554194535461		0.6077711059816925
YKL113C	0.0	6.180032533313043	17.244454836540463
YKR082W	0.0	-1.9776104106601737	3.657829789917467
YKR087C		2.1012110613264348	8.094278784733138
YLL002W	-3.77554194535461	2.1012110613264348	4.7669420386213845
YLR032W	-3.77554194535461	2.1012110613264348	1.1623272303336516
YLR058C	-3.77554194535461	6.180032533313043	0.330493043805713
YLR079W	7.55108389070922	10.258854005299652	8.371556846909119
YLR154C	-3.77554194535461	4.140621797319739	1.1623272303336516
YLR193C	-3.77554194535461	2.1012110613264348	0.330493043805713
YLR234W	-3.77554194535461	8.219443269306348	11.421615530844893
YLR235C	0.0	4.140621797319739	12.253449717372831
YLR273C	7.55108389070922	-1.9776104106601737	-0.22406308054624607
YLR288C	7.55108389070922	4.140621797319739	2.8259956033895284
YLR320W	0.0	4.140621797319739	7.539722660381179
YLR373C	-3.77554194535461	6.180032533313043	1.99416141686159
YLR374C	-3.77554194535461	8.219443269306348	4.7669420386213845
YLR381W	7.55108389070922	6.180032533313043	-0.22406308054624607
YLR418C	0.0	-1.9776104106601737	0.330493043805713
YML009C-A	0.0	-1.9776104106601737	0.6077711059816925
YML009W-B	3.77554194535461	-1.9776104106601737	0.330493043805713
YML028W	-3.77554194535461	6.180032533313043	1.99416141686159
YML032C	3.77554194535461	8.219443269306348	5.876054287325303
YML062C	-3.77554194535461	-1.9776104106601737	1.1623272303336516
YML095C	-3.77554194535461	4.140621797319739	0.330493043805713
YMR048W	7.55108389070922	8.219443269306348	3.103273665565508
YMR066W	-3.77554194535461		1.99416141686159
YMR078C	7.55108389070922	-1.9776104106601737	7.817000722557159
YMR095C	7.55108389070922	2.1012110613264348	0.330493043805713
YMR120C	-3.77554194535461		0.330493043805713
YMR179W	3.77554194535461	8.219443269306348	2.8259956033895284
YMR190C	-3.77554194535461	6.180032533313043	3.657829789917467
YMR224C			8.094278784733138
YNL072W	-3.77554194535461	4.140621797319739	1.439605292509631
YNL140C	3.77554194535461		0.6077711059816925
YNL250W	0.0	6.180032533313043	9.757947157789015
YNL273W	7.55108389070922	8.219443269306348	2.548717541213549
YOL054W	-3.77554194535461	6.180032533313043	2.8259956033895284
YOL072W		6.180032533313043	5.044220100797364
YOR024W	-3.77554194535461	6.180032533313043	3.657829789917467
YOR025W	-3.77554194535461	8.219443269306348	2.2714394790375696
YOR026W	3.77554194535461	8.219443269306348	6.430610411677262
YOR073W		2.1012110613264348	5.044220100797364
YOR080W	3.77554194535461	-1.9776104106601737	16.412620650012524
YOR144C	0.0	6.180032533313043	3.103273665565508
YOR300W	3.77554194535461	-1.9776104106601737	0.6077711059816925
YOR368W	-3.77554194535461	4.140621797319739	2.548717541213549
YPL008W	7.55108389070922	8.219443269306348	1.7168833546856106
YPL017C	7.55108389070922		2.8259956033895284
YPL018W	7.55108389070922		1.99416141686159
YPL024W	0.0	6.180032533313043	15.303508401308607
YPL055C	3.77554194535461	2.1012110613264348	1.99416141686159
YPL194W	7.55108389070922	4.140621797319739	2.8259956033895284
YPR032W		2.1012110613264348	0.6077711059816925
YPR046W	7.55108389070922	6.180032533313043	0.885049168157672
YPR067W		4.140621797319739	0.6077711059816925
YPR120C	-3.77554194535461	4.140621797319739	0.885049168157672
YPR135W	7.55108389070922	8.219443269306348	7.2624445982052
YPR141C	7.55108389070922		10.867059406492933
YPR164W	3.77554194535461	8.219443269306348	0.330493043805713
YAL008W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YAL016W			20.571791582652217
YAL019W		-1.9776104106601737	0.6077711059816925
YAR002W	-3.77554194535461	-1.9776104106601737	1.99416141686159
YBL031W	3.77554194535461	-1.9776104106601737	-0.22406308054624607
YBR156C	-3.77554194535461	-1.9776104106601737	0.885049168157672
YBR231C	-3.77554194535461	6.180032533313043	-0.22406308054624607
YBR277C	-3.77554194535461	-1.9776104106601737	0.885049168157672
YCR067C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YCR081W	0.0		
YCR095C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YDL025C	-3.77554194535461	-1.9776104106601737	1.7168833546856106
YDL082W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YDL096C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YDL116W	-3.77554194535461	6.180032533313043	
YDL155W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YDL204W	-3.77554194535461	-1.9776104106601737	4.212385914269426
YDR156W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YDR159W			1.1623272303336516
YDR171W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YDR176W	-3.77554194535461	4.140621797319739	-0.22406308054624607
YDR191W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YDR194C	-3.77554194535461		0.330493043805713
YDR226W		-1.9776104106601737	1.1623272303336516
YDR231C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YDR289C	3.77554194535461	-1.9776104106601737	-0.22406308054624607
YDR334W	-3.77554194535461	4.140621797319739	-0.22406308054624607
YDR350C	-3.77554194535461		1.439605292509631
YDR359C		2.1012110613264348	
YDR363W-A	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YDR408C	-3.77554194535461	-1.9776104106601737	1.439605292509631
YDR417C		-1.9776104106601737	1.7168833546856106
YDR431W	0.0	-1.9776104106601737	-0.22406308054624607
YDR440W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YEL003W	-3.77554194535461		5.044220100797364
YEL013W	-3.77554194535461		0.6077711059816925
YER007W	-3.77554194535461	4.140621797319739	-0.22406308054624607
YER070W	-3.77554194535461		1.99416141686159
YER156C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YFL012W-A		-1.9776104106601737	0.885049168157672
YFL016C	-3.77554194535461	-1.9776104106601737	5.044220100797364
YFR013W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YGL066W	0.0	-1.9776104106601737	-0.22406308054624607
YGL071W	0.0	-1.9776104106601737	-0.22406308054624607
YGL117W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YGL151W	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YGL234W	-3.77554194535461	-1.9776104106601737	3.103273665565508
YGR014W	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YGR027C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YGR058W	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YGR063C	0.0	-1.9776104106601737	-0.22406308054624607
YGR071C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YGR102C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YGR118W	0.0	-1.9776104106601737	-0.22406308054624607
YGR141W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YGR148C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YGR153W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YGR171C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YGR180C	-3.77554194535461		2.2714394790375696
YGR219W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YGR285C	-3.77554194535461	6.180032533313043	
YHL006C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YHR001W-A	-3.77554194535461	-1.9776104106601737	1.439605292509631
YHR066W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YHR076W	-3.77554194535461	-1.9776104106601737	1.7168833546856106
YHR087W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YHR092C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YHR093W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YHR133C	-3.77554194535461	8.219443269306348	-0.22406308054624607
YHR194W		-1.9776104106601737	1.439605292509631
YHR204W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YIL018W		-1.9776104106601737	4.489663976445405
YIL052C	-3.77554194535461	-1.9776104106601737	1.1623272303336516
YIL084C	3.77554194535461		
YIL125W		-1.9776104106601737	0.330493043805713
YIL137C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YIR002C	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YIR004W	-3.77554194535461	-1.9776104106601737	3.3805517277414876
YIR019C	-3.77554194535461	-1.9776104106601737	6.153332349501282
YJL006C	7.55108389070922		
YJL047C			3.9351078520934464
YJL075C			2.2714394790375696
YJL102W		-1.9776104106601737	0.330493043805713
YJL124C		-1.9776104106601737	1.1623272303336516
YJL127C		-1.9776104106601737	3.3805517277414876
YJL179W	-3.77554194535461	6.180032533313043	-0.22406308054624607
YJR008W	0.0	-1.9776104106601737	-0.22406308054624607
YJR032W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YJR047C		-1.9776104106601737	0.330493043805713
YJR053W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YJR060W			1.439605292509631
