ORF	hap a | chromosome instability (ade2-101 + SUP11) | standard [standard] | Yuen KW~Spencer FA, 2007	hom | chromosome instability (diploid bimater) | standard [standard] | Yuen KW~Spencer FA, 2007	hap alpha | chromosome instability (Mat-alpha) | standard [standard] | Yuen KW~Spencer FA, 2007
YLL028W	2.000	-1.000	-1.000
YOL070C	2.000	-1.000	-1.000
YBL031W	1.000	-1.000	-1.000
YDR289C	1.000	-1.000	-1.000
YKL074C	1.000	-1.000	-1.000
YLR006C	1.000	-1.000	-1.000
YOR308C	1.000	-1.000	-1.000
YDR431W	0.000	-1.000	-1.000
YGL066W	0.000	-1.000	-1.000
YGL071W	0.000	-1.000	-1.000
YGR063C	0.000	-1.000	-1.000
YGR118W	0.000	-1.000	-1.000
YJR008W	0.000	-1.000	-1.000
YJR074W	0.000	-1.000	-1.000
YNL206C	0.000	-1.000	-1.000
YPL047W	0.000	-1.000	-1.000
YPL061W	0.000	-1.000	-1.000
YPL179W	0.000	-1.000	-1.000
YJL006C	2.000	NaN	NaN
YMR198W	2.000	NaN	-1.000
YIL084C	1.000	NaN	NaN
YNL309W	1.000	-1.000	NaN
YCR081W	0.000	NaN	NaN
YHR133C	-1.000	4.000	-1.000
YBR231C	-1.000	3.000	-1.000
YJL179W	-1.000	3.000	-1.000
YDR176W	-1.000	2.000	-1.000
YDR334W	-1.000	2.000	-1.000
YER007W	-1.000	2.000	-1.000
YLR085C	-1.000	2.000	-1.000
YOR349W	-1.000	2.000	-1.000
YPL241C	-1.000	2.000	-1.000
YNL291C	-1.000	1.000	-1.000
YGR058W	-1.000	1.000	-1.000
YIR002C	-1.000	1.000	-1.000
YPL125W	-1.000	1.000	-1.000
YLR242C	-1.000	1.000	-1.000
YML124C	-1.000	1.000	-1.000
YGR014W	-1.000	1.000	-1.000
YGL151W	-1.000	1.000	-1.000
YML102W	-1.000	1.000	-1.000
YOL012C	NaN	2.000	-1.000
YDR359C	NaN	1.000	NaN
YGR285C	-1.000	3.000	NaN
YDL116W	-1.000	3.000	NaN
YMR311C	-1.000	2.000	NaN
YOL064C	-1.000	2.000	NaN
YML094W	-1.000	1.000	NaN
YNR068C	-1.000	-1.000	26.000
YIR019C	-1.000	-1.000	22.000
YFL016C	-1.000	-1.000	18.000
YDL204W	-1.000	-1.000	15.000
YIR004W	-1.000	-1.000	12.000
YGL234W	-1.000	-1.000	11.000
YMR300C	-1.000	-1.000	7.000
YAR002W	-1.000	-1.000	7.000
YDL025C	-1.000	-1.000	6.000
YHR076W	-1.000	-1.000	6.000
