orf	hap a | growth (spot assay) | vanilin [6-10 mM] | YPD | Zhao F~Han S, 2023
YCL010C	2.1085967209980554
YCL046W	3.6900442617466
YDL106C	12.65158032598834
YDR315C	4.744342622245629
YDR326C	1.5814475407485407
YFR034C	22.1402655704796
YGR197C	10.542983604990289
YGR233C	2.6357459012475704
YHR080C	2.6357459012475704
YHR136C	15.814475407485428
YHR155W	5.798640982744655
YIR025W	10.015834424740774
YKR050W	3.162895081497085
YLR063W	3.162895081497085
YLR307C-A	33.2103983557194
YML122C	1.5814475407485407
YML123C	16.868773767984457
YMR263W	6.852939343243684
YNL155W	7.907237703742714
YNL257C	20.558818029731054
YOR162C	29.5203540939728
YPR118W	23.194563930978628
