orf	hap a | growth (colony size) | 5-hydroxymethyl-2-furaldehyde [60 mM] | YPD + G418 [100 ug/ml] | Li Q~Wang H, 2023
YAL013W	0.57
YAL022C	0.23
YAR002W	0.39
YBL007C	-0.23
YBL024W	-0.2
YBL047C	-0.52
YBL094C	-0.25
YBL104C	0.22
YBR001C	-0.23
YBR009C	0.33
YBR025C	-0.41
YBR082C	0.295
YBR095C	0.295
YBR105C	0.24
YBR141C	0.22
YBR181C	0.25
YBR189W	0.28
YBR275C	0.31
YCL009C	-0.21
YCL036W	0.22
YCL037C	0.55
YCR009C	0.21
YCR053W	-0.31
YCR061W	-0.21
YCR063W	0.51
YCR085W	-0.21
YDL050C	-0.27
YDL051W	-0.2
YDL074C	0.24
YDL076C	0.24
YDL078C	-0.3
YDL083C	0.34
YDL091C	0.2
YDL093W	0.31
YDL129W	0.36
YDL187C	0.32
YDL189W	0.26
YDL232W	0.22
YDR032C	0.2
YDR049W	-0.6
YDR067C	-0.3
YDR068W	-0.52
YDR096W	0.26
YDR156W	0.24
YDR209C	0.22
YDR257C	0.35
YDR304C	-0.23
YDR313C	0.35
YDR334W	-0.22
YDR348C	0.57
YDR360W	-0.43
YDR374C	0.27
YDR378C	-0.4
YDR458C	0.3
YDR459C	0.26
YDR466W	0.26
YDR469W	0.25
YDR485C	-0.25
YDR508C	0.23
YDR517W	0.27
YDR532C	-0.22
YEL057C	0.22
YER066W	0.2
YER067C-A	0.32
YER151C	-0.29
YFL013C	-0.22
YFL023W	-0.24
YFL030W	0.26
YGL014W	0.2
YGL059W	-0.2
YGL084C	-0.3
YGL105W	-0.51
YGL149W	0.24
YGL179C	0.25
YGL180W	0.21
YGL181W	0.29
YGL244W	0.29
YGL250W	0.27
YGR038W	-0.26
YGR051C	-0.22
YGR055W	-0.21
YGR078C	0.23
YGR105W	0.22
YGR122C-A	-0.2
YGR161C	0.22
YGR170W	0.53
YGR183C	0.2
YGR200C	0.27
YGR201C	0.51
YGR202C	0.58
YGR239C	0.3
YHL023C	-0.21
YHL024W	-0.21
YHR003C	0.5
YHR030C	-0.48
YHR034C	0.33
YHR048W	0.4
YHR059W	0.26
YHR066W	-0.23
YHR078W	-0.24
YHR086W	-0.28
YHR096C	0.27
YHR110W	-0.22
YHR111W	0.31
YHR162W	0.23
YHR194W	0.26
YHR200W	0.26
YIL008W	0.45
YIL077C	0.28
YIL085C	0.2
YIL108W	0.5
YIL132C	-0.22
YIL138C	0.22
YIL141W	0.26
YIL153W	0.32
YIL154C	0.26
YIR019C	0.23
YJL016W	0.6
YJL062W	-0.25
YJL121C	-0.39
YJL124C	-0.45
YJL136C	-0.32
YJL141C	-0.21
YJL169W	0.27
YJL211C	-0.22
YJR010C-A	0.22
YJR011C	0.3
YJR014W	0.2
YJR058C	0.33
YJR059W	-0.34
YJR074W	-0.23
YJR075W	-0.52
YJR082C	-0.24
YJR087W	0.35
YJR097W	-0.22
YJR108W	0.27
YKL015W	0.635
YKL023W	-0.36
YKL026C	0.27
YKL037W	0.5
YKL046C	-0.28
YKL048C	0.22
YKL066W	0.47
YKL069W	0.66
YKL073W	0.22
YKL074C	0.5
YKL092C	0.25
YKL109W	0.26
YKL146W	0.22
YKL164C	0.24
YKL174C	0.23
YKL179C	0.28
YKL213C	0.37
YKR019C	0.2
