orf	hap a | growth (colony size) | 5-hydroxymethyl-2-furaldehyde [60 mM] | YPD + G418 [100 ug/ml] | Li Q~Wang H, 2023
YAL013W	6.912565662652379
YAL022C	2.7553928878644744
YAR002W	4.711709487764665
YBL007C	-2.8690173368485743
YBL024W	-2.502207974367289
YBL047C	-6.4148411741676705
YBL094C	-3.113556911836098
YBL104C	2.6331231003707125
YBR001C	-2.8690173368485743
YBR009C	3.978090762802094
YBR025C	-5.069873511736289
YBR082C	3.5501465065739266
YBR095C	3.5501465065739266
YBR105C	2.8776626753582364
YBR141C	2.6331231003707125
YBR181C	2.9999324628519983
YBR189W	3.366741825333284
YBR275C	3.73355118781457
YCL009C	-2.6244777618610504
YCL036W	2.6331231003707125
YCL037C	6.668026087664857
YCR009C	2.5108533128769506
YCR053W	-3.84717563679867
YCR061W	-2.6244777618610504
YCR063W	6.178946937689808
YCR085W	-2.6244777618610504
YDL050C	-3.3580964868236225
YDL051W	-2.502207974367289
YDL074C	2.8776626753582364
YDL076C	2.8776626753582364
YDL078C	-3.724905849304908
YDL083C	4.100360550295856
YDL091C	2.3885835253831886
YDL093W	3.73355118781457
YDL129W	4.344900125283379
YDL187C	3.855820975308332
YDL189W	3.1222022503457603
YDL232W	2.6331231003707125
YDR032C	2.3885835253831886
YDR049W	-7.392999474117765
YDR067C	-3.724905849304908
YDR068W	-6.4148411741676705
YDR096W	3.1222022503457603
YDR156W	2.8776626753582364
YDR209C	2.6331231003707125
YDR257C	4.222630337789617
YDR304C	-2.8690173368485743
YDR313C	4.222630337789617
YDR334W	-2.7467475493548124
YDR348C	6.912565662652379
YDR360W	-5.314413086723813
YDR374C	3.244472037839522
YDR378C	-4.947603724242527
YDR458C	3.6112814003208076
YDR459C	3.1222022503457603
YDR466W	3.1222022503457603
YDR469W	2.9999324628519983
YDR485C	-3.113556911836098
YDR508C	2.7553928878644744
YDR517W	3.244472037839522
YDR532C	-2.7467475493548124
YEL057C	2.6331231003707125
YER066W	2.3885835253831886
YER067C-A	3.855820975308332
YER151C	-3.602636061811146
YFL013C	-2.7467475493548124
YFL023W	-2.9912871243423362
YFL030W	3.1222022503457603
YGL014W	2.3885835253831886
YGL059W	-2.502207974367289
YGL084C	-3.724905849304908
YGL105W	-6.292571386673909
YGL149W	2.8776626753582364
YGL179C	2.9999324628519983
YGL180W	2.5108533128769506
YGL181W	3.4890116128270456
YGL244W	3.4890116128270456
YGL250W	3.244472037839522
YGR038W	-3.23582669932986
YGR051C	-2.7467475493548124
YGR055W	-2.6244777618610504
YGR078C	2.7553928878644744
YGR105W	2.6331231003707125
YGR122C-A	-2.502207974367289
YGR161C	2.6331231003707125
YGR170W	6.423486512677332
YGR183C	2.3885835253831886
YGR200C	3.244472037839522
YGR201C	6.178946937689808
YGR202C	7.034835450146141
YGR239C	3.6112814003208076
YHL023C	-2.6244777618610504
YHL024W	-2.6244777618610504
YHR003C	6.056677150196046
YHR030C	-5.925762024192623
YHR034C	3.978090762802094
YHR048W	4.833979275258428
YHR059W	3.1222022503457603
YHR066W	-2.8690173368485743
YHR078W	-2.9912871243423362
YHR086W	-3.4803662743173844
YHR096C	3.244472037839522
YHR110W	-2.7467475493548124
YHR111W	3.73355118781457
YHR162W	2.7553928878644744
YHR194W	3.1222022503457603
YHR200W	3.1222022503457603
YIL008W	5.445328212727237
YIL077C	3.366741825333284
YIL085C	2.3885835253831886
YIL108W	6.056677150196046
YIL132C	-2.7467475493548124
YIL138C	2.6331231003707125
YIL141W	3.1222022503457603
YIL153W	3.855820975308332
YIL154C	3.1222022503457603
YIR019C	2.7553928878644744
YJL016W	7.279375025133666
YJL062W	-3.113556911836098
YJL121C	-4.825333936748765
YJL124C	-5.558952661711337
YJL136C	-3.9694454242924317
YJL141C	-2.6244777618610504
YJL169W	3.244472037839522
YJL211C	-2.7467475493548124
YJR010C-A	2.6331231003707125
YJR011C	3.6112814003208076
YJR014W	2.3885835253831886
YJR058C	3.978090762802094
YJR059W	-4.213984999279956
YJR074W	-2.8690173368485743
YJR075W	-6.4148411741676705
YJR082C	-2.9912871243423362
YJR087W	4.222630337789617
YJR097W	-2.7467475493548124
YJR108W	3.244472037839522
YKL015W	7.7073192813618325
YKL023W	-4.4585245742674795
YKL026C	3.244472037839522
YKL037W	6.056677150196046
YKL046C	-3.4803662743173844
YKL048C	2.6331231003707125
YKL066W	5.6898677877147605
YKL069W	8.012993750096237
YKL073W	2.6331231003707125
YKL074C	6.056677150196046
YKL092C	2.9999324628519983
YKL109W	3.1222022503457603
YKL146W	2.6331231003707125
YKL164C	2.8776626753582364
YKL174C	2.7553928878644744
YKL179C	3.366741825333284
YKL213C	4.467169912777141
YKR019C	2.3885835253831886
YKR020W	2.7553928878644744
YKR023W	2.9999324628519983
YKR031C	2.5108533128769506
YKR047W	2.8776626753582364
YKR072C	5.6898677877147605
YKR074W	3.6112814003208076
YKR082W	8.257533325083761
YKR084C	-2.502207974367289
YKR103W	3.855820975308332
YLL046C	-2.6244777618610504
YLR004C	3.855820975308332
YLR015W	2.9999324628519983
YLR024C	3.1222022503457603
YLR048W	4.589439700270903
YLR070C	-2.7467475493548124
YLR085C	-4.213984999279956
YLR098C	-2.8690173368485743
YLR131C	3.978090762802094
YLR172C	3.6112814003208076
YLR174W	4.711709487764665
YLR176C	2.7553928878644744
YLR177W	2.5108533128769506
YLR179C	2.6331231003707125
YLR217W	-4.825333936748765
YLR218C	5.8121375752085225
YLR264W	3.4890116128270456
YLR287C-A	2.9999324628519983
YLR320W	3.1222022503457603
YLR327C	2.8776626753582364
YLR330W	-3.9694454242924317
YLR332W	-2.8690173368485743
YLR371W	2.6331231003707125
YLR384C	2.7553928878644744
YLR388W	4.711709487764665
YLR407W	2.5108533128769506
YLR412W	3.978090762802094
YLR418C	4.467169912777141
YLR423C	4.344900125283379
YLR443W	2.7553928878644744
YLR452C	-2.8690173368485743
YML004C	2.6331231003707125
YML008C	-3.3580964868236225
YML009C-A	5.567598000220999
YML026C	2.5108533128769506
YML034C-A	3.1222022503457603
YML035C	-5.069873511736289
YML041C	-4.213984999279956
YML047W-A	5.445328212727237
YML051W	3.1222022503457603
YML097C	2.7553928878644744
YML101C-A	5.8121375752085225
YML102W	3.6112814003208076
YML128C	2.8776626753582364
YMR025W	4.956249062752189
YMR026C	-3.113556911836098
YMR029C	2.8776626753582364
YMR031W-A	-2.8690173368485743
YMR039C	2.8776626753582364
YMR067C	3.1222022503457603
YMR073C	4.956249062752189
YMR100W	3.6112814003208076
YMR105C	5.934407362702284
YMR106C	8.991152050046333
YMR124W	4.589439700270903
YMR145C	2.7553928878644744
YMR152W	2.9999324628519983
YMR163C	-2.502207974367289
YMR219W	3.6112814003208076
YMR223W	3.244472037839522
YMR252C	4.467169912777141
YMR271C	2.8776626753582364
YMR272C	-5.558952661711337
YMR274C	4.589439700270903
YMR275C	-4.580794361761241
YMR282C	-2.8690173368485743
YMR283C	-8.126618199080339
YMR312W	2.9999324628519983
YMR315W	3.4890116128270456
YMR318C	-2.7467475493548124
YNL008C	-2.9912871243423362
YNL032W	-5.192143299230051
YNL040W	7.157105237639904
YNL045W	4.100360550295856
YNL072W	-2.9912871243423362
YNL089C	-2.8690173368485743
YNL099C	-3.84717563679867
YNL136W	-4.091715211786194
YNL147W	-3.3580964868236225
YNL170W	2.7553928878644744
YNL171C	2.7553928878644744
YNL206C	4.100360550295856
YNL224C	3.1222022503457603
YNL229C	-3.602636061811146
YNL254C	-3.23582669932986
YNL319W	3.366741825333284
YNR005C	-4.336254786773718
YNR029C	2.8776626753582364
YNR051C	-4.947603724242527
YNR064C	3.366741825333284
YOL004W	8.012993750096237
YOL007C	3.6112814003208076
YOL053W	3.4890116128270456
YOL059W	3.855820975308332
YOL068C	5.934407362702284
YOL080C	3.855820975308332
YOL081W	2.3885835253831886
YOL103W	5.078518850245951
YOR006C	-3.724905849304908
YOR007C	4.833979275258428
YOR012W	-3.113556911836098
YOR045W	4.344900125283379
YOR078W	2.9999324628519983
YOR089C	4.344900125283379
YOR108W	2.3885835253831886
YOR135C	4.344900125283379
YOR139C	3.6112814003208076
YOR182C	2.7553928878644744
YOR183W	2.7553928878644744
YOR191W	-5.681222449205099
YOR193W	2.7553928878644744
YOR301W	4.100360550295856
YOR312C	5.8121375752085225
YPL032C	4.467169912777141
YPL071C	2.9999324628519983
YPL086C	2.9999324628519983
YPL105C	-2.502207974367289
YPL139C	4.467169912777141
YPL181W	3.366741825333284
YPL182C	7.157105237639904
YPL183C	-3.23582669932986
YPL196W	3.1222022503457603
YPL213W	-2.502207974367289
YPR018W	2.7553928878644744
YPR024W	-3.4803662743173844
YPR132W	3.244472037839522
YPR134W	-3.602636061811146
YPR151C	3.4890116128270456
