orf	hap a | biofilm formation | standard | YPD | Vandenbosch D~Coenye T, 2013	hap a | biofilm formation | miconazole [1 mg/ml] | YPD | Vandenbosch D~Coenye T, 2013
YAL002W	1.2147968185624352	1.4376976463006883
YAL004W	0.8784856187926343	-0.43440845944123785
YAL005C	0.2731254592069902	-0.22639666991435756
YAL007C	1.3493212984703562	0.3456357512845649
YAL008W	0.7439611388847135	-0.1223907751509171
YAL009W	-0.7358081401024159	2.2177418570264904
YAL010C	-0.601283660194495	0.6056504881931648
YAL011W	1.6856324982401585	1.4376976463006883
YAL012W	-0.4667591802865741	-0.6424202489681188
YAL013W	-0.2649724604246927	0.44964164604800533
YAL014C	1.0130100987005553	-1.2144526701670406
YAL015C	0.004076499391148395	-0.43440845944123785
YAL016C-B	-0.7358081401024159	0.9176681724834862
YAL016W	-1.4756927795959802	-1.0064408806401604
YAL017W	-0.06318574056281206	-0.5384143542046783
YAL018C	0.004076499391148395	-0.17439372253263732
YAL019W	0.542174419022832	-0.1223907751509171
YAL020C	0.004076499391148395	-0.43440845944123785
YAL021C	0.3067565791839697	0.033618066994243564
YAL022C	-0.13044798051677253	-0.22639666991435756
YAL023C	0.2731254592069902	0.6576534355748851
YAL024C	-2.2155774190895445	1.073677014628647
YAL026C	-0.19771022047073225	0.5536475408114457
YAL027W	-0.5340214202405346	-0.1223907751509171
YAL028W	0.07133873934510886	0.2936328039028447
YAL029C	1.4165835384243166	0.6056504881931648
YAL030W	-0.19771022047073225	-0.9544379332584401
YAL031C	-0.4667591802865741	-0.6424202489681188
YAL034C	-0.601283660194495	1.0216740672469267
YAL035W	-0.13044798051677253	0.18962690913940422
YAL036C	-0.2649724604246927	0.5536475408114457
YAL037C-A	0.2731254592069902	1.9577271201178894
YAL037W	0.07133873934510886	-0.8504320384949996
YAL039C	-0.3994969403326136	0.7616593303383256
YAL040C	0.8784856187926343	-0.7984290911132794
YAL042C-A	-0.2649724604246927	-0.43440845944123785
YAL042W	0.004076499391148395	-0.9544379332584401
YAL044C	-0.33223470037865316	-1.0064408806401604
YAL044W-A	2.761828337503526	0.08562101437596378
YAL045C	0.004076499391148395	-0.8504320384949996
YAL046C	0.20586321925302978	-0.3824055120595182
YAL047C	0.6094366589767926	-1.1624497227853203
YAL048C	-1.8120039793657825	1.6457094358275692
YAL049C	0.40764993911491115	-0.40840698575037776
YAL051W	0.004076499391148395	-0.17439372253263732
YAL053W	0.3403876991609507	0.08562101437596378
YAL054C	-0.06318574056281206	-0.330402564677798
YAL055W	0.004076499391148395	-0.1223907751509171
YAL056C-A	1.4165835384243166	-1.05844382802188
YAL056W	1.752894738194119	-1.7344821439842422
YAL058W	0.7439611388847135	-0.01838488038747666
YAL059W	0.2731254592069902	0.033618066994243564
YAL060W	-0.4667591802865741	-0.9544379332584401
YAL061W	-0.33223470037865316	0.3976386986662851
YAL062W	-0.7358081401024159	0.6576534355748851
YAL064C-A	-0.06318574056281206	0.033618066994243564
YAL065C	-0.19771022047073225	0.9696711198652064
YAL066W	-0.13044798051677253	1.2816888041555277
YAL067C	0.7439611388847135	0.6576534355748851
YAL067W-A	1.4165835384243166	0.9176681724834862
YAL068C	1.3493212984703562	-0.01838488038747666
YAR002C-A	0.8784856187926343	1.3856946989189682
YAR002W	0.004076499391148395	-0.7984290911132794
YAR003W	1.8874192181020397	-0.3824055120595182
YAR014C	-0.2649724604246927	2.4257536465533716
YAR015W	-0.2649724604246927	-0.3824055120595182
YAR018C	1.4165835384243166	1.3856946989189682
YAR020C	0.8784856187926343	1.2816888041555277
YAR023C	0.2731254592069902	-0.1223907751509171
YAR027W	0.6094366589767926	-0.3824055120595182
YAR028W	-0.2649724604246927	-0.01838488038747666
YAR029W	1.8874192181020397	-0.5904173015863985
YAR030C	-0.6685459001484555	1.333691751537248
YAR031W	1.0802723386545157	-0.4864114068229581
YAR035C-A	1.483845778378277	1.7497153305910098
YAR035W	0.2731254592069902	0.5016445934297256
YAR042W	2.0219436980099608	0.18962690913940422
YAR047C	0.6094366589767926	-0.9544379332584401
