orf	hap a | biofilm formation | standard | YPD | Vandenbosch D~Coenye T, 2013	hap a | biofilm formation | miconazole [1 mg/ml] | YPD | Vandenbosch D~Coenye T, 2013
YDR234W	0.98	0.86
YDR237W	0.68	1.07
YDR239C	0.96	0.88
YDR241W	0.88	1.01
YDR242W	0.93	1.27
YDR244W	0.83	1.15
YDR245W	1.27	0.5
YDR246W-A	0.91	1.25
YDR247W	1.14	1.05
YDR248C	1.06	1.12
YDR249C	0.79	1.25
YDR250C	0.83	1.21
YDR251W	1.04	1.08
YDR252W	0.98	1.38
YDR253C	1.0	1.16
YDR254W	1.07	1.17
YDR255C	1.02	1.08
YDR256C	1.09	1.03
YDR257C	1.02	1.12
YDR258C	0.94	1.22
YDR259C	1.18	1.14
YDR260C	1.11	0.94
YDR261C	1.19	1.01
YDR262W	1.18	0.9
YDR263C	1.13	0.99
YDR264C	1.03	0.95
YDR265W	0.73	1.21
YDR266C	0.94	1.32
YDR268W	1.0	1.02
YDR269C	1.08	0.73
YDR270W	1.03	0.92
YDR271C	1.09	1.05
YDR272W	0.92	0.96
YDR273W	1.05	1.08
YDR274C	1.14	0.99
YDR275W	1.12	0.98
YDR276C	1.12	0.6
YDR277C	1.03	0.89
YDR278C	1.12	1.05
YDR279W	1.02	0.91
YDR281C	1.32	0.88
YDR282C	1.24	0.86
YDR283C	0.71	1.51
YDR284C	0.9	1.26
YDR285W	0.94	1.05
YDR286C	0.95	1.07
YDR287W	1.03	1.01
YDR289C	1.08	0.93
YDR290W	1.16	1.19
YDR291W	1.04	0.93
YDR293C	0.98	0.38
YDR294C	1.03	1.22
YDR295C	1.11	0.94
YDR296W	0.77	1.04
YDR297W	1.16	1.63
YDR298C	1.04	0.83
YDR300C	0.88	0.84
YDR304C	1.17	0.9
YDR305C	1.05	0.86
YDR306C	1.11	1.07
YDR307W	1.12	0.89
YDR309C	1.17	0.89
YDR310C	0.93	0.99
YDR312W	1.06	0.89
YDR313C	1.06	0.88
YDR314C	1.28	0.99
YDR315C	1.08	1.03
YDR316W	1.1	1.27
YDR317W	0.93	0.88
YDR318W	0.95	0.96
YDR319C	1.01	0.8
YDR320C	1.3	0.79
YDR321W	1.15	0.85
YDR322C-A	0.82	1.0
YDR322W	1.23	1.11
YDR323C	1.21	0.9
YDR326C	0.99	1.19
YDR329C	0.75	1.26
YDR330W	1.14	0.98
YDR332W	1.22	0.95
YDR333C	1.08	1.03
YDR334W	1.23	0.83
YDR335W	0.92	0.91
YDR336W	0.87	1.0
YDR337W	0.93	0.91
YDR338C	1.05	1.24
YDR340W	1.08	1.25
YDR344C	0.88	1.07
YDR345C	0.9	1.19
YDR346C	0.89	1.13
YDR347W	0.93	0.98
YDR348C	0.9	1.02
YDR349C	1.18	1.05
YDR350C	0.92	1.0
YDR351W	0.95	1.08
YDR352W	1.07	0.84
YDR354W	0.97	0.89
YDR357C	0.84	1.11
YDR358W	0.81	1.14
YDR359C	0.82	1.22
YDR360W	0.89	0.96
YDR363W	0.96	0.9
YDR363W-A	0.6	1.25
YDR364C	0.91	1.19
YDR368W	1.03	1.13
YDR369C	0.94	0.87
YDR370C	0.87	1.1
YDR371W	0.96	0.99
YDR372C	1.05	0.79
YDR374C	1.06	1.02
YDR375C	0.93	1.11
YDR377W	0.88	1.09
YDR378C	0.78	1.54
YDR379C-A	0.96	0.92
YDR379W	0.91	0.99
YDR380W	0.94	1.13
YDR382W	0.93	1.2
YDR383C	0.98	1.0
YDR384C	1.0	0.99
YDR385W	0.86	1.31
YDR386W	0.98	1.16
YDR387C	1.0	1.15
YDR388W	1.02	1.0
YDR389W	1.18	1.09
YDR391C	0.9	1.28
YDR392W	0.91	0.97
YDR393W	1.16	1.23
YDR395W	0.95	1.05
YDR399W	0.99	1.0
YDR400W	0.97	1.08
YDR401W	1.0	1.12
YDR402C	0.99	0.93
YDR403W	0.95	1.12
YDR405W	0.74	1.19
YDR406W	0.96	1.2
YDR408C	1.05	1.16
YDR409W	1.09	1.0
YDR410C	0.89	0.98
YDR411C	0.99	0.93
YDR414C	1.05	1.05
YDR415C	0.99	0.98
YDR417C	1.07	0.96
YDR418W	0.82	1.08
YDR419W	0.99	0.99
YDR420W	1.02	0.81
YDR421W	0.95	1.13
YDR422C	1.09	1.05
YDR423C	1.09	1.03
YDR424C	0.92	1.0
YDR425W	1.1	1.25
YDR426C	1.12	1.31
YDR428C	1.01	1.0
YDR430C	0.99	0.86
YDR431W	0.68	0.82
YDR432W	0.61	1.01
YDR433W	0.89	0.88
YDR435C	0.93	0.7
YDR436W	0.81	1.02
YDR438W	0.92	0.98
YDR439W	0.85	1.11
YDR440W	0.85	1.15
YDR441C	0.97	1.13
YDR442W	0.84	1.01
YDR443C	0.85	0.92
YDR444W	0.91	0.95
YDR445C	0.91	1.05
YDR446W	0.85	1.28
YDR447C	0.89	1.19
YDR448W	0.91	1.32
YDR450W	0.94	0.93
YDR451C	0.98	1.05
YDR452W	1.02	0.84
YDR453C	0.88	0.94
YDR455C	0.74	1.22
YDR456W	0.74	1.13
YDR457W	0.92	0.96
YDR458C	0.82	1.02
YDR459C	1.0	1.11
YDR461W	0.91	1.42
YDR462W	1.43	0.84
YDR463W	0.85	1.08
YDR465C	0.94	1.09
YDR466W	0.96	1.07
YDR467C	1.01	1.11
YDR469W	0.93	0.79
YDR470C	0.63	1.14
YDR471W	1.02	1.13
YDR475C	1.15	1.92
YDR476C	0.94	1.39
YDR477W	0.72	1.16
YDR479C	0.87	1.04
YDR480W	0.9	0.84
YDR481C	0.87	1.07
YDR482C	1.1	1.08
YDR483W	0.79	0.86
YDR484W	1.03	1.19
YDR485C	1.13	0.97
YDR486C	0.92	0.97
YDR488C	0.9	1.23
YDR490C	0.93	0.99
YDR491C	1.11	0.95
YDR492W	1.03	1.02
YDR493W	0.9	1.39
YDR494W	0.97	1.01
YDR495C	0.8	0.72
YDR496C	0.88	1.1
YDR497C	1.02	1.24
YDR500C	0.87	1.25
YDR501W	1.1	1.28
YDR502C	1.03	1.17
YDR503C	0.98	1.07
YDR504C	0.96	1.1
YDR505C	0.97	0.88
YDR506C	0.93	0.88
YDR507C	0.75	1.65
YDR508C	1.15	0.97
YDR509W	0.94	1.09
YDR511W	0.92	1.04
YDR512C	0.64	1.33
YDR513W	0.92	1.05
YDR514C	0.81	1.03
YDR515W	1.04	1.19
YDR516C	0.96	0.88
YDR517W	1.02	0.97
YDR518W	0.78	0.87
YDR519W	1.01	1.17
YDR521W	0.63	1.16
YDR522C	1.01	1.12
YDR523C	0.61	1.17
YDR524C	0.87	0.92
YDR524C-B	0.94	0.85
YDR524W-C	1.07	1.04
YDR525W	1.2	1.02
YDR525W-A	0.9	0.85
YDR528W	0.88	1.17
YDR529C	1.09	0.82
YDR530C	0.87	1.32
YDR532C	0.71	1.19
YDR533C	0.82	1.43
YDR534C	1.01	1.03
YDR535C	0.94	0.75
YDR536W	0.95	0.91
YDR537C	1.25	0.87
YDR538W	1.0	1.16
YDR539W	1.18	1.03
YDR540C	1.47	0.93
YDR541C	0.97	1.25
YEL001C	0.95	1.18
YEL003W	0.87	1.19
YEL004W	0.9	1.05
YEL005C	0.95	1.17
YEL006W	0.98	1.02
YEL007W	0.85	1.31
YEL008W	0.93	1.0
YEL009C	0.97	1.11
YEL010W	0.89	1.34
YEL011W	0.95	1.11
YEL012W	0.77	1.23
YEL013W	0.9	1.26
YEL014C	1.05	1.0
YEL015W	0.84	1.38
YEL016C	0.95	1.11
YEL017C-A	0.92	1.13
YEL017W	1.03	0.97
YEL018W	1.19	1.12
YEL020C	1.03	0.95
YEL022W	0.85	1.2
YEL023C	1.06	1.1
YEL024W	1.13	1.2
YEL025C	1.09	1.02
YEL027W	0.88	1.07
YEL028W	0.89	1.27
YEL029C	0.77	1.24
YEL030W	1.02	1.07
YEL031W	1.28	0.77
YEL033W	1.0	1.11
YEL036C	0.57	0.9
YEL037C	0.76	1.06
YEL038W	0.93	1.22
YEL039C	0.88	1.29
YEL040W	1.09	1.0
YEL041W	0.94	1.1
YEL042W	0.88	1.16
YEL043W	0.94	0.75
YEL044W	0.85	1.17
YEL045C	1.05	1.01
YEL046C	1.0	1.05
YEL047C	0.98	1.18
YEL048C	0.95	0.9
YEL049W	0.89	1.34
YEL050C	0.65	1.56
YEL051W	1.13	0.83
YEL052W	0.84	1.35
YEL053C	0.9	1.29
YEL054C	0.95	1.13
YEL056W	0.67	1.24
YEL057C	0.96	1.27
YEL059C-A	0.8	0.69
YEL059W	1.06	0.83
YEL060C	0.82	1.36
YEL061C	0.94	1.18
YEL062W	0.73	1.56
YEL063C	0.73	1.44
YEL064C	0.77	1.43
YEL065W	0.86	1.06
YEL066W	0.72	1.51
YEL067C	0.81	1.36
YEL068C	0.89	1.01
YEL071W	0.97	1.15
YEL072W	0.91	1.06
YER001W	0.91	1.25
YER002W	0.97	1.24
YER004W	0.91	1.18
YER005W	0.94	0.86
YER007C-A	0.92	1.15
YER007W	0.97	1.12
YER010C	0.98	1.29
YER011W	1.0	1.05
YER014C-A	1.1	0.69
YER014W	1.14	1.11
YER015W	0.96	1.06
YER016W	0.79	1.02
YER017C	1.09	0.46
YER019C-A	0.87	1.08
YER019W	0.9	0.94
YER020W	1.0	1.06
YER024W	0.9	1.17
YER026C	0.99	1.12
YER027C	0.92	1.03
YER028C	1.02	0.98
YER030W	0.97	1.33
YER031C	0.96	1.13
YER032W	1.03	1.07
YER033C	1.03	1.19
YER034W	0.99	1.19
YER035W	0.97	1.2
YER037W	1.14	0.88
YER038W-A	0.99	1.17
YER039C	1.03	1.15
YER039C-A	1.11	1.11
YER040W	0.95	1.02
YER041W	0.93	1.07
YER042W	1.07	0.84
YER044C	1.12	0.5
YER044C-A	1.11	0.91
YER045C	0.99	1.06
YER046W	1.08	1.05
YER046W-A	0.87	1.02
YER047C	1.01	0.81
YER048C	0.98	0.9
YER049W	0.99	1.13
YER050C	1.31	0.77
YER051W	1.27	0.88
YER052C	0.88	1.2
YER053C	1.25	0.78
YER053C-A	0.91	1.28
YER054C	0.86	1.13
YER055C	1.18	0.91
YER056C	0.96	1.28
YER056C-A	0.83	1.25
YER057C	0.93	1.02
YER058W	0.93	1.01
YER059W	0.89	1.5
YER060W	1.0	1.04
YER060W-A	1.04	0.99
YER061C	0.98	1.21
YER062C	0.87	0.81
YER063W	1.14	0.96
YER064C	1.12	0.89
YER065C	1.03	1.01
YER066C-A	1.05	1.24
YER066W	1.15	1.03
YER067C-A	0.95	1.04
YER067W	1.01	1.11
YER068C-A	1.26	0.89
YER068W	0.93	1.17
YER069W	1.05	0.95
YER070W	0.73	1.41
YER071C	1.08	0.88
YER072W	0.92	1.05
YER073W	0.97	0.9
YER074W	1.12	0.76
YER075C	0.97	0.8
YER076C	1.17	1.27
YER077C	0.6	1.31
YER078C	0.51	1.58
YER079W	1.06	0.8
YER080W	1.05	0.7
YER081W	0.98	0.91
YER083C	1.1	0.87
YER084W	1.05	1.16
YER085C	1.08	1.14
YER086W	0.73	1.42
YER087C-B	0.865	1.045
YER087W	0.77	1.32
YER088C	1.06	0.82
YER089C	0.94	1.05
YER090W	1.01	1.12
YER091C	1.18	0.96
YER091C-A	1.07	1.2
YER092W	0.89	1.0
YER093C-A	0.77	1.53
YER095W	1.04	0.89
YER096W	1.12	0.87
YER097W	1.13	1.02
YER098W	1.16	1.12
YER099C	1.22	1.02
YER101C	1.04	1.02
YER103W	0.94	0.88
YER105C	0.91	1.01
YER106W	1.13	0.92
YER109C	1.1	0.95
YER110C	0.55	1.19
YER111C	1.04	0.69
YER113C	1.15	0.98
YER114C	1.12	1.06
YER115C	1.05	1.15
YER116C	1.02	0.98
YER117W	0.97	1.2
YER118C	1.11	0.92
YER119C	1.0	1.15
YER119C-A	1.24	0.75
YER120W	0.97	1.02
YER121W	1.13	1.0
YER122C	0.71	0.9
YER123W	0.97	1.06
YER124C	0.95	1.06
YER128W	0.93	0.9
YER129W	0.86	0.91
YER130C	1.04	0.95
YER131W	1.28	0.81
YER132C	1.1	0.95
YER134C	1.07	0.89
YER135C	1.03	0.95
YER137C	1.04	0.91
YER139C	1.07	0.93
YER140W	1.19	0.87
YER141W	0.63	1.33
YER142C	0.95	0.95
YER143W	1.07	0.95
YER144C	0.94	1.26
YER145C	1.02	1.02
YER149C	1.06	0.96
YER150W	1.13	0.93
YER151C	0.85	1.22
YER152C	1.09	1.1
YER153C	0.76	1.02
YER154W	0.76	1.06
YER155C	1.05	1.08
YER156C	1.04	1.02
YER158C	1.05	1.05
YER161C	1.08	1.17
YER162C	1.1	0.89
YER163C	0.97	0.98
YER164W	1.0	1.04
YER166W	1.02	1.08
YER167W	1.08	1.08
YER169W	0.78	1.15
YER170W	0.93	1.15
YER173W	0.87	1.12
YER174C	1.13	0.89
YER175C	1.14	1.06
YER175W-A	0.94	1.25
YER176W	1.05	1.11
YER177W	1.29	1.13
YER178W	0.72	1.21
YER179W	0.75	0.96
YER180C	1.11	1.2
YER180C-A	0.91	1.16
YER181C	1.16	1.05
YER182W	1.05	0.99
YER183C	1.2	1.13
YER184C	1.05	0.97
YER185W	1.17	1.15
YER186C	0.86	1.12
YER187W	0.9	1.1
YER188W	1.0	1.01
YFL001W	1.0	1.05
YFL003C	0.81	1.34
YFL004W	1.04	1.14
YFL007W	0.73	1.0
YFL010C	1.05	1.12
YFL010W-A	0.89	1.34
YFL011W	1.01	1.08
YFL012W	1.06	1.19
YFL013C	1.21	0.65
YFL013W-A	1.11	1.14
YFL014W	1.03	0.97
YFL015C	0.99	1.08
YFL016C	0.79	0.66
YFL018C	0.73	0.93
YFL019C	1.13	1.18
YFL020C	0.91	0.82
YFL021W	1.03	0.96
YFL023W	0.91	0.65
YFL025C	0.9	0.95
YFL026W	0.94	0.72
YFL027C	1.02	0.8
YFL028C	0.92	0.89
YFL030W	1.07	0.9
YFL031W	1.06	1.09
YFL032W	0.78	1.24
YFL033C	0.97	1.08
YFL034C-A	0.98	1.03
YFL034W	1.02	1.2
YFL036W	1.04	0.93
YFL040W	0.94	1.16
YFL041W	1.0	1.07
YFL041W-A	1.08	1.13
YFL042C	1.0950000000000002	1.175
YFL044C	1.03	1.22
YFL046W	0.98	0.93
YFL047W	0.87	0.93
YFL048C	0.75	1.22
YFL049W	0.82	1.13
YFL050C	0.97	1.16
YFL051C	0.97	1.09
YFL052W	0.94	1.11
YFL053W	0.97	0.88
YFL054C	1.04	1.04
YFL055W	1.06	1.04
YFL056C	0.94	1.08
YFL063W	0.96	1.28
YFR001W	0.87	1.14
YFR006W	0.87	1.08
YFR007W	0.8	1.21
YFR008W	0.85	1.04
YFR009W	0.88	1.13
YFR010W	0.87	0.85
YFR011C	1.18	0.9
YFR012W	0.91	0.9
YFR012W-A	1.03	1.14
YFR013W	1.07	1.06
YFR014C	0.8	1.11
YFR015C	0.77	1.32
YFR016C	0.73	1.24
YFR017C	0.76	1.3
YFR018C	0.71	1.26
YFR019W	1.07	1.04
YFR020W	1.01	1.13
YFR021W	0.92	1.05
YFR022W	0.91	1.37
YFR023W	0.8	1.31
YFR024C-A	0.97	1.185
YFR025C	0.99	1.45
YFR026C	0.89	1.22
YFR030W	1.25	1.08
YFR031C-A	0.95	1.17
YFR032C	1.14	0.73
YFR032C-A	1.02	1.21
YFR032C-B	1.02	1.18
YFR033C	0.7	1.22
YFR034C	0.8	1.02
YFR035C	0.94	0.98
YFR036W	1.15	0.74
YFR038W	0.92	1.08
YFR039C	1.4	0.76
YFR040W	0.88	0.97
YFR041C	1.0	0.93
YFR043C	1.1	0.84
YFR044C	1.06	0.96
YFR045W	0.91	1.21
YFR046C	0.91	0.9
YFR047C	0.89	0.96
YFR048W	0.88	0.91
YFR049W	1.19	0.86
YFR053C	0.91	1.07
YFR054C	1.05	0.92
YFR055W	1.03	1.0
YFR056C	0.94	1.13
YFR057W	1.09	1.04
YGL002W	0.83	1.55
YGL003C	0.96	0.95
YGL004C	1.11	1.13
YGL005C	1.05	1.23
YGL006W	0.91	1.02
YGL006W-A	0.83	0.99
YGL007C-A	0.87	0.96
YGL007W	0.93	0.91
YGL009C	0.83	0.78
YGL010W	0.95	0.92
YGL012W	0.75	0.37
YGL013C	0.9	0.9
YGL014W	1.02	1.02
YGL015C	0.9	1.15
YGL016W	1.35	0.95
YGL017W	0.91	0.97
YGL019W	0.9	0.94
YGL020C	0.92	0.87
YGL021W	1.01	1.24
YGL023C	1.09	1.16
YGL024W	1.03	0.71
YGL025C	0.94	1.18
YGL026C	0.82	0.86
YGL027C	0.94	1.06
YGL028C	1.1	1.13
YGL029W	1.0	0.94
YGL031C	0.93	1.09
YGL032C	0.92	1.12
YGL033W	0.88	1.28
YGL034C	0.87	1.08
YGL035C	0.97	0.9
YGL036W	0.93	0.83
YGL037C	0.93	1.16
YGL038C	0.91	0.96
YGL039W	0.87	1.1
YGL041C	0.89	1.1
YGL041C-B	0.9	1.04
YGL042C	0.86	1.12
YGL043W	0.8	1.1
YGL045W	0.89	1.05
YGL049C	0.84	1.26
YGL050W	0.87	0.91
YGL051W	0.95	1.13
YGL053W	0.91	1.19
YGL054C	1.35	0.91
YGL056C		
YGL057C	0.94	1.0
YGL058W	0.86	1.11
YGL059W	1.54	0.85
YGL060W	1.08	0.88
YGL062W	0.92	0.99
YGL063W	0.84	0.9
YGL064C	0.8	1.15
YGL066W	1.15	0.76
YGL067W	0.98	1.01
YGL070C	0.96	1.19
YGL071W	0.96	1.25
YGL072C	0.65	1.24
YGL076C	0.92	1.2
YGL077C	0.96	1.04
YGL078C	1.01	1.06
YGL079W	1.09	1.31
YGL080W	1.07	1.28
YGL081W	1.07	1.24
YGL082W	1.07	1.25
YGL083W	1.0	0.99
YGL084C	1.13	0.34
YGL085W	0.96	1.0
YGL086W	0.93	0.7
YGL087C	1.15	0.66
YGL088W	0.94	0.82
YGL089C	0.91	0.85
YGL090W	1.13	0.96
YGL094C	1.05	0.96
YGL095C	0.78	1.4
YGL096W	1.01	1.07
YGL100W	1.31	1.12
YGL101W	0.85	1.42
YGL104C	0.82	1.25
YGL105W	0.88	1.09
YGL107C	1.05	0.83
YGL108C	1.1	0.81
YGL109W	0.84	1.39
YGL110C	0.9	1.37
YGL114W	0.93	1.34
YGL115W	0.9	0.94
YGL117W	1.01	1.11
YGL118C	0.93	1.06
YGL119W	0.79	0.57
YGL121C	1.04	0.95
YGL124C	0.99	1.17
YGL125W	0.91	1.06
YGL126W	1.03	0.96
YGL127C	0.79	1.05
YGL129C	1.0	1.02
YGL131C	1.09	1.12
YGL132W	0.97	1.08
YGL133W	1.2	0.95
YGL134W	1.23	1.11
YGL135W	1.12	0.86
YGL136C	0.75	1.63
YGL138C	1.27	0.66
YGL139W	1.06	1.06
YGL140C	0.93	1.11
YGL141W	0.96	1.11
YGL143C	0.79	1.09
YGL144C	0.87	1.13
YGL146C	0.87	1.13
YGL147C	0.9	1.2
YGL148W	0.85	1.2
YGL149W	1.02	0.78
YGL151W	0.93	1.39
YGL152C	0.76	1.19
YGL153W	0.82	0.94
YGL154C	0.8	1.36
YGL156W	0.88	1.36
YGL157W	0.96	1.12
YGL158W	0.89	0.94
YGL159W	0.86	1.09
YGL160W	1.02	1.01
YGL161C	0.91	1.04
YGL162W	0.96	1.13
YGL163C	1.01	0.83
YGL164C	1.08	1.03
YGL165C	0.97	1.01
YGL166W	1.02	0.95
YGL167C	1.05	0.79
YGL168W	1.06	0.97
YGL170C	1.04	1.02
YGL173C	0.94	1.06
YGL174W	0.93	0.92
YGL175C	1.08	0.83
YGL176C	1.08	0.87
YGL177W	0.96	1.01
YGL178W	1.18	0.99
YGL179C	1.06	1.06
YGL180W	1.1	0.91
YGL181W	1.09	1.05
YGL184C	0.97	1.02
YGL185C	1.18	0.98
YGL186C	1.15	1.22
YGL188C-A	1.03	1.11
YGL190C	1.24	1.28
YGL191W	1.03	0.93
YGL192W	0.71	0.81
YGL194C	0.88	1.38
YGL195W	1.08	1.23
YGL196W	1.12	1.12
YGL197W	0.93	1.33
YGL198W	1.06	1.27
YGL199C	1.16	1.07
YGL200C	1.13	0.92
YGL202W	1.21	0.91
YGL203C	1.07	1.23
YGL205W	0.97	0.94
YGL206C	1.07	1.36
YGL208W	1.12	0.92
YGL209W	1.09	0.74
YGL210W	0.96	0.87
YGL211W	0.96	1.12
YGL212W	0.67	1.62
YGL213C	0.83	0.98
YGL214W	1.07	0.86
YGL215W	1.2	1.06
YGL216W	1.01	0.92
YGL217C	1.19	0.95
YGL218W	0.91	0.99
YGL219C	0.88	1.06
YGL220W	0.57	1.24
YGL221C	0.98	1.12
YGL222C	1.09	1.08
YGL223C	0.88	1.02
YGL224C	0.96	1.12
YGL226C-A	0.99	0.92
YGL226W	0.96	0.98
YGL227W	0.82	0.85
YGL228W	0.73	1.58
YGL229C	0.85	0.92
YGL230C	0.87	0.77
YGL231C	0.75	1.36
YGL232W	0.91	1.2
YGL234W	0.83	1.22
YGL235W	1.17	1.15
YGL236C	0.79	1.39
YGL237C	0.87	1.21
YGL240W	0.88	0.99
YGL241W	0.84	1.24
YGL242C	0.77	1.53
YGL243W	0.79	1.44
YGL244W	0.8	1.33
YGL246C	0.86	1.5
YGL248W	0.91	1.05
YGL249W	0.96	1.2
YGL250W	0.81	1.25
YGL251C	0.99	1.33
YGL252C	0.89	1.24
YGL253W	1.07	1.09
YGL254W	0.94	1.12
YGL255W	0.98	1.0
YGL256W	0.96	1.19
YGL257C	0.8	1.41
YGL258W	1.17	0.92
YGL259W	0.95	1.07
YGL260W	0.85	1.37
YGL261C	0.84	1.16
YGL262W	0.85	1.15
YGL263W	1.02	0.98
YGR001C	1.0	1.33
YGR003W	0.86	1.43
YGR004W	1.03	0.91
YGR006W	0.86	1.37
YGR007W	0.83	1.16
YGR008C	1.01	1.17
YGR010W	1.0	0.88
YGR011W	1.19	0.9
YGR012W	1.0	1.29
YGR014W	1.01	1.12
YGR015C	0.92	1.03
YGR016W	1.02	1.2
YGR017W	1.09	0.99
YGR018C	1.08	0.97
YGR019W	0.95	0.93
YGR020C	1.06	0.83
YGR021W	1.12	0.86
YGR022C	1.06	0.8
YGR023W	1.1	0.95
YGR025W	0.98	1.13
YGR026W	1.07	0.72
YGR027C	1.11	1.11
YGR028W	1.05	1.26
YGR031W	1.05	1.3
YGR032W	1.1	0.95
YGR033C	1.51	0.85
YGR034W	0.95	1.35
YGR035C	0.87	1.25
YGR035W-A	1.02	1.15
YGR036C	1.01	0.63
YGR037C	0.96	1.23
YGR038W	1.16	1.16
YGR039W	0.86	0.94
YGR040W	1.02	1.09
YGR041W	0.8	0.96
YGR042W	1.01	1.01
YGR043C	1.1	0.77
YGR044C	0.84	1.07
YGR045C	0.87	1.12
YGR049W	1.09	1.43
YGR050C	1.21	0.89
YGR051C	0.97	1.29
YGR052W	0.75	1.03
YGR053C	1.17	0.89
YGR054W	1.12	1.13
YGR055W	0.99	1.04
YGR056W	1.07	1.08
YGR057C	1.1	0.74
YGR058W	0.95	1.19
YGR059W	1.39	1.26
YGR061C	1.08	0.83
YGR062C	0.99	0.85
YGR063C	1.11	0.54
YGR064W	1.12	0.47
YGR066C	1.1	1.08
YGR067C	1.11	0.92
YGR068C	0.9	0.93
YGR069W	1.06	0.93
YGR070W	1.05	1.04
YGR071C	1.08	1.07
YGR072W	1.03	0.9
YGR076C	0.93	1.32
YGR077C	0.8	0.78
YGR078C	1.0	1.27
YGR079W	1.11	1.0
YGR080W	1.16	0.98
YGR081C	1.14	1.11
YGR084C	0.9	1.04
YGR085C	0.91	1.32
YGR086C	1.12	1.09
YGR087C	0.96	1.16
YGR088W	0.9	0.92
YGR089W	1.06	1.19
YGR092W	1.2	1.13
YGR093W	1.17	1.08
YGR096W	1.08	0.93
YGR097W	0.87	1.32
YGR100W	1.16	0.78
YGR101W	0.88	1.16
YGR102C	0.79	1.37
YGR104C	1.42	0.89
YGR105W	1.01	1.53
YGR106C	1.1	1.02
YGR107W	1.03	1.06
YGR108W	1.01	1.23
YGR109C	0.96	1.23
YGR110W	1.14	0.89
YGR111W	1.05	1.2
YGR112W	0.96	1.0
YGR117C	1.08	1.16
YGR118W	1.12	0.9
YGR121C	1.29	0.97
YGR121W-A	0.99	1.17
YGR122C-A	1.06	1.11
YGR122W	1.2	1.04
YGR123C	1.3	0.9
YGR124W	1.1	1.05
YGR125W	1.03	1.24
YGR126W	1.3	0.92
YGR127W	1.03	1.05
YGR129W	1.16	1.01
YGR130C	1.06	1.19
YGR131W	1.04	0.97
YGR132C	0.9	0.96
YGR133W	0.97	0.78
YGR134W	0.92	1.0
YGR135W	0.62	0.76
YGR136W	0.94	1.18
YGR137W	0.88	0.7
YGR138C	0.91	1.21
YGR139W	0.92	1.06
YGR141W	1.15	0.88
YGR142W	1.19	0.96
YGR143W	1.08	1.12
YGR144W	1.23	0.9
YGR146C	1.04	1.03
YGR146C-A	0.89	1.08
YGR148C	0.94	0.98
YGR149W	0.93	1.18
YGR150C	0.81	1.09
YGR151C	0.93	1.04
YGR152C	1.09	1.0
YGR153W	1.23	0.98
YGR154C	1.16	0.69
YGR155W	0.77	1.06
YGR157W	0.94	1.02
YGR159C	0.96	1.09
YGR160W	0.98	0.84
YGR161C	0.91	1.21
YGR161W-C	1.12	1.12
YGR162W	0.78	1.44
YGR163W	0.83	1.23
YGR164W	1.01	1.15
YGR165W	1.02	1.17
YGR166W	1.15	1.16
YGR167W	1.14	0.91
YGR168C	1.08	1.11
YGR169C	0.92	1.2
YGR169C-A	0.84	1.31
YGR170W	0.94	1.08
YGR171C	0.94	1.14
YGR173W	1.17	1.29
YGR174C	0.99	1.29
YGR174W-A	0.66	1.25
YGR176W	0.99	1.16
YGR177C	1.03	1.05
YGR178C	0.89	1.08
YGR180C	0.93	1.18
YGR181W	0.84	1.28
YGR182C	1.2	0.99
YGR183C	0.83	1.16
YGR184C	1.11	0.91
YGR187C	0.85	0.9
YGR188C	1.16	1.08
YGR189C	1.18	1.12
YGR192C	0.95	1.11
YGR193C	0.81	1.22
YGR194C	1.0	1.23
YGR196C	1.05	1.37
YGR197C	1.13	0.96
YGR199W	0.94	0.99
YGR200C	0.87	0.9
YGR201C	0.92	1.24
YGR202C	1.01	0.98
YGR203W	1.22	0.91
YGR204C-A	0.93	0.9
YGR204W	1.02	1.05
YGR205W	1.02	0.89
YGR206W	1.24	0.8
YGR207C	0.87	1.0
YGR208W	1.13	1.33
YGR209C	0.91	0.85
YGR210C	0.99	0.98
YGR212W	1.08	0.91
YGR213C	1.05	1.36
YGR214W	0.91	1.25
YGR215W	0.94	1.11
YGR217W	1.16	1.26
YGR219W	0.75	1.42
YGR220C	0.74	1.25
YGR221C	1.06	0.95
YGR222W	0.65	1.13
YGR223C	1.21	1.2
YGR224W	0.96	1.01
YGR225W	0.92	1.3
YGR226C	0.97	1.29
YGR227W	1.22	1.1
YGR228W	0.98	0.98
YGR229C	1.0	1.0
YGR230W	0.98	1.06
YGR231C	1.0	1.0
YGR232W	1.01	1.03
YGR233C	1.1	0.9
YGR234W	1.17	0.96
YGR235C	1.09	1.1
YGR236C	1.16	0.98
YGR237C	0.97	1.05
YGR238C	1.4	0.95
YGR239C	1.09	0.99
YGR240C	1.06	0.82
YGR241C	1.06	1.08
YGR242W	1.03	1.1
YGR243W	1.04	1.09
YGR244C	1.09	1.06
YGR247W	0.86	1.23
YGR248W	1.12	0.87
YGR249W	1.01	0.93
YGR250C	1.02	0.84
YGR252W	1.29	1.01
YGR254W	0.92	1.21
YGR255C	1.03	1.09
YGR256W	1.01	0.93
YGR257C	0.87	1.22
YGR258C	1.2	1.08
YGR259C	0.98	1.08
YGR260W	0.98	1.09
YGR261C	0.98	1.0
YGR262C	0.77	2.07
YGR263C	1.01	1.23
YGR266W	1.09	1.31
