orf	hap a | biofilm formation | standard | YPD | Vandenbosch D~Coenye T, 2013	hap a | biofilm formation | miconazole [1 mg/ml] | YPD | Vandenbosch D~Coenye T, 2013
YBL003C	0.94	1.17
YBL005W	0.96	0.93
YBL006C	0.85	1.0
YBL007C	0.93	1.3
YBL008W	0.97	1.02
YBL008W-A	1.22	1.16
YBL009W	1.03	0.96
YBL010C	1.15	0.91
YBL011W	0.89	0.91
YBL012C	0.86	0.83
YBL013W	0.78	1.18
YBL015W	0.95	0.84
YBL016W	1.15	1.13
YBL017C	0.83	0.77
YBL019W	0.82	0.89
YBL021C	0.87	0.76
YBL022C	0.74	1.12
YBL024W	0.87	0.86
YBL025W	1.04	1.07
YBL027W	0.83	1.78
YBL028C	1.04	1.08
YBL029C-A	1.2	1.08
YBL029W	0.94	1.1
YBL031W	0.75	1.46
YBL032W	0.88	1.28
YBL033C	1.01	1.07
YBL036C	0.98	0.96
YBL037W	0.91	1.31
YBL038W	0.93	0.98
YBL039C	0.91	1.24
YBL039W-B	1.03	1.02
YBL042C	0.95	1.03
YBL043W	0.95	1.17
YBL044W	0.85	0.81
YBL045C	0.86	0.9
YBL046W	0.81	1.02
YBL047C	0.86	0.8
YBL048W	0.86	0.87
YBL049W	0.93	0.97
YBL051C	0.8	1.15
YBL052C	0.79	1.13
YBL053W	0.82	1.05
YBL054W	0.87	1.17
YBL055C	0.77	1.19
YBL056W	1.18	0.82
YBL057C	0.95	1.13
YBL058W	1.05	1.06
YBL059W	1.04	0.87
YBL060W	1.02	1.3
YBL061C	1.26	1.19
YBL062W	0.84	1.11
YBL063W	1.12	0.94
YBL064C	1.1	0.97
YBL065W	0.77	1.22
YBL066C	0.82	0.96
YBL067C	0.84	1.45
YBL068W	0.93	1.22
YBL069W	1.03	1.0
YBL070C	0.97	0.88
YBL071C	1.0	1.04
YBL071C-B	0.96	1.03
YBL071W-A	1.06	0.94
YBL072C	1.0	1.23
YBL075C	0.93	1.22
YBL078C	0.92	1.34
YBL079W	0.92	0.99
YBL080C	0.89	1.02
YBL081W	0.83	1.27
YBL082C	0.97	1.01
YBL083C	0.84	1.19
YBL085W	0.87	1.38
YBL086C	0.87	1.25
YBL087C	0.86	1.14
YBL088C	0.83	0.92
YBL089W	0.8	1.15
YBL090W	0.9	1.19
YBL091C	0.88	0.99
YBL091C-A	0.9	1.06
YBL093C	0.97	1.13
