ORF	hom | growth (relative abundance in pooled culture) | hydroquinone [1 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [2 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [4 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [1 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [2 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [4 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [0.55 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [1.1 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [2.2 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [0.55 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [1.1 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [2.2 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [87.5 uM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [175 uM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [350 uM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [87.5 uM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [175 uM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [350 uM], time [15 generations] | North M~Vulpe CD, 2011
YAL002W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.300	-3.500	-3.600	-5.000	0.000	0.000	0.000	0.000	0.000	0.000
YAL005C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.900
YAL009W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.800
YAL011W	0.000	0.000	-1.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YAL026C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.200	-3.400	0.000	0.000	0.000	0.000	0.000	0.000
YAL040C	0.000	0.000	-1.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YAL046C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YAR003W	0.000	0.000	0.000	0.000	0.000	-3.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YAR043C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL003C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL010C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.400	0.000	0.000
YBL013W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.600	0.000	0.000
YBL038W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.050
YBL047C	0.000	0.000	0.000	-2.800	-2.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL051C	0.000	0.000	-1.500	0.000	0.000	0.000	0.000	1.700	0.000	-4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL062W	0.000	0.000	0.000	0.000	-2.700	-2.900	1.800	1.900	1.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL064C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL065W	0.000	0.000	0.000	5.800	5.400	5.700	0.000	0.000	0.000	5.900	5.200	5.400	0.000	0.000	0.000	4.200	6.200	6.400
YBL071C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.400
YBL079W	0.000	0.000	0.000	0.000	0.000	2.100	0.000	0.000	0.000	0.000	0.000	1.600	0.000	0.000	0.000	0.000	0.000	2.200
YBL080C	0.000	0.000	0.000	0.000	0.000	-2.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL081W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.800	1.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL083C	0.000	0.000	0.000	0.000	0.000	0.000	-1.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL087C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.100	0.000	0.000	0.000
YBL089W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL090W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.800
YBL093C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.100	0.000	0.000	0.000	0.000	0.000
