ORF	hap a | growth (culture turbidity) | butan-1-ol [1% v/v] | Gonzalez~Daran JM, 2013
YML010W-A	0.627
YCL006C	0.559
YDR506C	0.609
YGR122C-A	0.652
YBR020W	0.626
YER185W	0.610
YJR039W	0.602
YIL085C	0.614
YMR038C	0.615
YCL038C	0.550
YDR515W	0.654
YOL148C	0.213
YBR075W	0.648
YER186C	0.628
YJR044C	0.520
YIL094C	0.431
YOR364W	0.643
YAL024C	0.620
YER089C	0.645
YGR254W	0.729
YGL129C	0.602
YGL146C	0.695
YGL160W	0.640
YGL175C	0.582
YER123W	0.638
YER141W	0.617
YER158C	0.605
YGL131C	0.702
YGL147C	0.574
YGL161C	0.598
YGL176C	0.617
YER111C	0.469
YER124C	0.608
YER142C	0.596
YGL132W	0.604
YGL148W	9.899
YGL162W	0.650
YGL177W	0.645
YER113C	0.656
YER128W	0.648
YER143W	0.630
YER161C	0.694
YGL133W	0.583
YGL149W	0.625
YGL163C	0.624
YGL179C	0.647
YER114C	0.649
YER129W	0.643
YER145C	0.642
YER162C	0.654
YGL135W	0.496
YGL151W	0.666
YGL164C	0.652
YGL180W	0.598
YER115C	0.666
YER130C	0.603
YER149C	0.612
YER163C	0.646
YGL136C	0.575
YGL152C	0.581
YGL165C	0.655
YGL181W	0.636
YER116C	0.672
YER131W	0.595
YER150W	0.667
YER164W	0.663
YGL138C	0.602
YGL153W	0.594
YGL166W	0.595
YER101C	0.630
YER117W	0.650
YER132C	0.632
YER151C	0.367
YER166W	0.672
YGL139W	0.607
YGL154C	1.711
YGL167C	0.523
YER103W	0.513
YER118C	0.653
YER134C	0.628
YER152C	0.650
YER167W	0.702
YGL140C	0.559
YGL156W	0.639
YGL168W	0.522
YER106W	0.645
YER119C	0.596
YER135C	0.650
YER153C	0.569
YER169W	0.598
YGL141W	0.579
YGL157W	0.630
YGL170C	0.642
YER108C	0.590
YER119C-A	0.602
YER137C	0.663
YER154W	0.523
YER170W	0.669
YGL143C	0.538
YGL158W	0.612
YGL173C	0.467
YER109C	0.659
YER120W	0.578
YER139C	0.658
YER155C	0.627
YER173W	0.688
YGL144C	0.689
YGL159W	0.705
YGL174W	0.729
YER110C	0.632
YER121W	0.728
YER140W	0.722
YER156C	0.671
YER174C	0.719
YDL088C	0.642
YDR443C	0.676
YDR459C	0.589
YDR479C	0.574
YDR494W	0.604
YDR509W	0.581
YDR525W	0.631
YGL109W	0.703
YDL089W	0.580
YDR446W	0.586
YDR462W	0.611
YDR480W	0.652
YDR495C	0.531
YDR511W	0.621
YDR528W	0.600
YDL090C	0.674
YDR447C	0.600
YDR463W	0.583
YDR481C	0.623
YDR496C	0.552
YDR529C	0.534
YGL110C	0.668
YDL091C	0.632
YDR448W	0.616
YDR465C	0.587
YDR482C	0.609
YDR497C	0.652
YDR513W	0.578
YDR530C	0.602
YGL114W	0.667
YDL093W	0.658
YDR450W	0.589
YDR466W	0.645
YDR484W	0.579
YDR514C	0.619
YDR532C	0.537
YGL115W	0.589
YDL094C	0.644
YDR451C	0.567
YDR467C	0.630
YDR485C	0.648
YDR501W	0.621
YDR516C	0.575
YDR533C	0.600
YGL117W	0.647
YDL095W	0.619
YDR452W	0.634
YDR469W	0.682
YDR486C	0.631
YDR503C	0.568
YDR517W	0.573
YDR534C	0.592
YGL118C	0.637
YDR438W	0.619
YDR453C	0.622
YDR470C	0.650
YDR488C	0.606
YDR504C	0.583
YDR518W	0.463
YGL101W	0.599
YGL121C	0.633
YDR439W	0.603
YDR455C	0.638
YDR471W	0.587
YDR490C	0.640
YDR505C	0.607
YDR519W	0.562
YGL104C	0.578
YGL124C	0.603
YDR440W	0.644
YDR456W	0.633
YDR474C	0.571
YDR491C	0.615
YDR520C	0.595
YGL105W	0.504
YGL125W	0.658
YDR441C	0.619
YDR457W	0.516
YDR475C	0.590
YDR492W	0.598
YDR507C	0.477
YDR522C	0.602
YGL107C	0.543
YGL126W	0.634
YDR442W	0.740
YDR458C	0.582
YDR476C	0.656
YDR508C	0.630
YDR524C	0.631
YGL108C	0.674
YGL127C	0.713
YBR126C	0.645
YBR144C	0.686
YBR162C	0.614
YDL009C	0.629
YDL024C	0.634
YDL041W	0.598
YDL056W	0.651
YDL073W	0.663
YBR127C	0.121
YBR145W	0.681
YBR162W-A	0.619
YDL010W	0.623
YDL025C	0.686
YDL042C	0.625
YDL057W	0.531
YBR128C	0.630
YBR146W	0.614
YBR163W	0.578
YDL011C	0.632
YDL026W	0.653
YDL044C	0.565
YDL059C	0.607
YDL076C	0.719
YBR129C	0.680
YBR147W	0.640
YBR164C	0.672
YDL012C	0.686
YDL027C	0.658
YDL045W-A	0.575
YDL061C	0.578
YDL077C	0.617
YBR130C	0.687
YBR148W	0.656
YBR165W	0.695
YDL013W	0.521
YDL032W	0.609
YDL046W	0.615
YDL062W	0.560
YDL078C	0.610
YBR132C	0.124
YBR149W	0.652
YBR166C	0.673
YDL018C	0.674
YDL033C	0.705
YDL048C	0.710
YDL063C	0.530
YDL079C	0.645
YBR133C	0.582
YBR151W	0.673
YBR170C	0.603
YDL019C	0.668
YDL034W	0.632
YDL049C	0.499
YDL065C	0.595
YDL080C	0.686
YBR134W	0.622
YBR156C	0.676
YBR171W	0.478
YDL020C	0.536
YDL035C	0.593
YDL050C	0.582
YDL066W	0.661
YDL081C	0.520
YBR137W	0.642
YBR157C	0.653
YBR172C	0.622
YDL021W	0.540
YDL036C	0.637
YDL051W	0.651
YDL068W	0.576
YDL082W	0.649
YBR138C	0.662
YBR158W	0.626
YDL001W	0.650
YDL022W	0.587
YDL037C	0.607
YDL052C	0.662
YDL069C	0.570
YDL083C	0.664
YBR139W	0.658
YBR159W	0.572
YDL002C	0.632
YDL038C	0.583
YDL053C	0.560
YDL070W	0.625
YDL085W	0.637
YBR141C	0.639
YBR161W	0.696
YDL006W	0.582
YDL023C	0.932
YDL039C	0.643
YDL054C	0.665
YDL071C	0.651
YDL086W	0.654
YOR274W	0.607
YPL137C	0.681
YFR025C	0.655
YKR094C	0.573
YMR037C	0.605
YPR023C	0.666
YBR085W	0.583
YBR106W	0.676
YOR275C	0.581
YHR005C	0.659
YFR030W	0.587
YKR095W	0.571
YMR104C	0.730
YPR024W	0.520
YBR090C-A	0.627
YOR276W	0.636
YNL096C	0.543
YHR146W	0.606
YKR096W	0.589
YNL109W	0.634
YPR026W	0.598
YBR092C	0.613
YBR107C	0.606
YOR298C-A	0.578
YOR179C	0.581
YHR171W	0.534
YKR102W	0.597
YNR052C	0.139
YPR031W	0.629
YBR093C	0.608
YBR108W	0.584
YOR302W	0.393
YOR180C	0.591
YJL042W	0.617
YLR110C	0.630
YNR055C	0.567
YPR037C	0.607
YBR094W	0.612
YBR111C	0.578
YOR303W	0.486
YDL115C	0.674
YJL070C	0.593
YLR390W-A	0.613
YNR069C	0.600
YPR043W	0.616
YBR095C	0.677
YBR113W	0.586
YPL004C	0.608
YFL013W-A	0.637
YJL078C	0.588
YLR439W	0.554
YNL111C	0.628
YPR050C	0.701
YBR098W	0.605
YBR114W	0.646
YPL017C	0.609
YFL014W	0.642
YJL094C	0.649
YLR442C	0.582
YOL147C	0.619
YPR064W	0.682
YBR099C	0.604
YBR115C	0.662
YPL027W	0.615
YFL019C	0.609
YJL101C	0.561
YNL268W	0.581
YPR007C	0.644
YPR078C	0.610
YBR100W	0.583
YBR116C	0.665
YPL034W	0.600
YFL042C	0.599
YJL105W	0.610
YPR008W	0.639
YBR081C	0.306
YBR103W	0.601
YBR119W	0.684
YPL036W	0.591
YFR019W	0.585
YJL128C	0.522
YML066C	0.575
YPR013C	0.597
YBR082C	0.597
YBR104W	0.595
YBR120C	0.653
YPL078C	0.586
YFR024C	0.669
YLR455W	0.674
YML115C	0.463
YPR022C	0.625
YBR084W	0.634
YBR105C	0.758
YBR121C	0.649
YBR294W	0.607
YCR062W	0.649
YDR074W	0.636
YLR382C	0.568
YML076C	0.678
YPL183C	0.608
YIR043C	0.638
YOL151W	0.633
YBR301W	0.654
YCR067C	0.622
YER027C	0.600
YLR394W	0.647
YML086C	0.620
YPL183W-A	0.673
YIR044C	0.647
YCL026C-A	0.617
YCR069W	0.622
YER037W	0.556
YLR406C	0.617
YMR048W	0.653
YPL189W	0.630
YJR003C	0.580
YOL152W	0.605
YCR028C-A	0.656
