orf	hap a | growth (culture turbidity) | butan-1-ol [1% v/v] | Gonzalez~Daran JM, 2013
YAL002W	-0.6844314255776764
YAL004W	-0.1576357160635188
YAL005C	-0.15699028916144075
YAL007C	-0.06602575144634756
YAL008W	-0.03089580127849304
YAL009W	-0.0464256507336349
YAL010C	-0.08269917895223611
YAL011W	-0.012268521495313848
YAL012W	48.67863635723143
YAL013W	0.25064514053039416
YAL014C	-0.08045247892699667
YAL015C	-0.08734765327889983
YAL016C-B	0.14324226580137514
YAL016W	-0.0468678446311896
YAL017W	-0.056044892172346435
YAL018C	-0.23142348047942904
YAL019W	-0.22385999077899937
YAL020C	-0.026711500963637357
YAL021C	-1.459102251731725
YAL022C	-0.09332370813659342
YAL023C	-0.16621548345153164
YAL024C	0.00914544139527083
YAL026C	-0.10869779030156011
YAL027W	-0.03422353950736673
YAL028W	-0.12712040000657016
YAL029C	-0.04689123150793437
YAL030W	-0.08757624425711781
YAL031C	-0.02764855140826483
YAL034C	-0.2391799507251904
YAL035W	-0.9440386112548128
YAL036C	-0.07649501714121691
YAL037C-A	0.13438591179893644
YAL037W	-0.013779081612240519
YAL039C	-0.03673449462524744
YAL040C	-0.10762613450028843
YAL042C-A	-0.17018364703479003
YAL042W	-0.13559977764909925
YAL044C	-0.23710516001840923
YAL045C	-0.00035085672152414173
YAL046C	-0.0830378073807903
YAL047C	0.13279863601359915
YAL048C	-1.1087283601807223
YAL049C	-0.11778916044614064
YAL051W	-0.03527486820995059
YAL053W	0.08229933121351814
YAL054C	0.0310865414646982
YAL055W	-0.0968818704174609
YAL056C-A	0.08495465977784807
YAL056W	0.04737965176851901
YAL058W	0.15724702936400725
YAL059W	-0.09294526986482413
YAL060W	0.029197410455349043
YAL061W	0.030766757138579445
YAL062W	0.04543470365939394
YAL064C-A	-0.10360346845610394
YAL065C	0.1541197885022438
YAL066W	0.19209423640104517
YAL067C	-0.01562821983125894
YAL067W-A	0.034328622885203226
YAL068C	0.08036042289629768
YAR002C-A	-0.031137348733658306
YAR002W	0.010139469193299886
YAR003W	0.14149141666276915
YAR014C	0.01521932342833173
YAR015W	-0.27265860256625046
YAR018C	-0.04315829363298521
YAR020C	0.29836535020596594
YAR023C	-0.12046976066316771
YAR027W	-0.16812066220602953
YAR028W	-0.026357177914039
YAR029W	-0.03396858347265455
YAR030C	-0.19181582702237088
YAR031W	-0.03511035044746654
YAR035C-A	0.057042909830652286
YAR035W	-0.08239768476488296
YAR042W	-0.14484465115831202
YAR047C	-0.10718284233434096
YAR050W	-0.030765249088783645
YBL001C	0.4482383350130371
YBL002W	-0.1754781399867306
YBL003C	-0.07273847136533208
YBL005W	0.029247552797984883
YBL006C	0.0909306918120023
YBL007C	-1.00131224126175
YBL008W	0.04888312794658636
YBL008W-A	-0.04316615154373208
YBL009W	-0.0464547097674624
YBL010C	0.006749007405446321
YBL011W	0.08510820605616842
YBL012C	-0.02067886028012966
YBL013W	-0.09107609734971713
YBL015W	0.11655800933303204
YBL016W	0.07702918371147138
YBL017C	-0.04000674348821378
YBL019W	-0.008442385306886182
YBL021C	-0.014707316359227968
YBL022C	-0.5641637090268892
YBL024W	-0.6725547992174948
YBL025W	0.7682431106533941
YBL027W	-0.20709657378253568
YBL028C	-0.05315699971296724
YBL029C-A	0.10687219312619635
YBL029W	-0.0721907913267183
YBL031W	-0.09552823290352962
YBL032W	0.004335451543735549
YBL033C	-0.08109339038844092
YBL036C	0.08965614596685069
YBL037W	0.04405519155834612
