orf	hap a | mutation frequency (CanR) | ultraviolet light [50 J/m2] | Lis ET~Romesberg FE, 2008	hap a | mutation frequency (CanR) | standard [standard] | Lis ET~Romesberg FE, 2008
YAL010C	0.3766666666666667	0.6829268292682927
YAL035W	1.2416666666666667	1.7804878048780488
YAL047C	0.012833333333333335	0.2697560975609756
YAL054C	0.8750000000000001	2.209756097560976
YAL056C-A	1.25	0.9853658536585366
YBL006C	0.0115	0.06097560975609756
YBL033C	0.009250000000000001	0.01951219512195122
YBL093C	0.008583333333333335	0.07804878048780488
YBL094C	0.5733333333333334	0.08292682926829269
YBR026C	0.9000000000000001	0.49756097560975604
YBR068C	0.78	0.7268292682926829
YBR077C	0.9416666666666668	1.326829268292683
YBR081C	0.005591666666666667	1.8048780487804879
YBR085W	0.0056500000000000005	0.0455609756097561
YBR094W	1.2083333333333335	0.7560975609756098
YBR098W	0.8875000000000002	1.3
YBR099C	1.05	0.8195121951219512
YBR133C	0.01391666666666667	0.050243902439024386
YBR191W	0.6708333333333334	0.951219512195122
YBR200W	0.17333333333333337	1.3170731707317074
YBR279W	0.017583333333333336	0.19170731707317074
YCL005W	0.0036250000000000006	0.04878048780487805
YCL023C	0.8583333333333334	1.248780487804878
YCL058C	0.01716666666666667	0.06585365853658537
YCR002C	0.005125000000000001	0.14634146341463414
YCR020W-B	0.012333333333333335	0.224390243902439
YCR028C	2.4083333333333337	1.7365853658536585
YCR037C	0.5900000000000001	0.9121951219512195
YCR047C	1.0	1.2195121951219512
YCR063W	0.05558333333333334	0.5951219512195121
YCR066W	0.04758333333333334	1.951219512195122
YDL021W	0.012833333333333335	0.05317073170731707
YDL059C	1.8000000000000003	0.9804878048780489
YDL073W	0.02383333333333334	0.050731707317073174
YDL116W	1.1500000000000001	0.8048780487804879
YDL144C	1.8833333333333335	0.873170731707317
YDL156W	0.7500000000000001	0.4039024390243902
YDL160C	0.008749999999999999	0.14634146341463414
YDL200C	1.0416666666666667	0.9365853658536586
YDL201W	1.0416666666666667	0.9170731707317075
YDL225W	0.046	0.055609756097560976
YDR004W	0.8916666666666668	10.731707317073171
YDR028C	0.9083333333333334	2.3609756097560974
YDR048C	1.0416666666666667	1.2292682926829268
YDR092W	1.4166666666666667	6.7804878048780495
YDR123C	0.6033333333333335	0.7951219512195123
YDR138W	0.015166666666666667	0.00975609756097561
YDR200C	0.006666666666666667	0.055609756097560976
YDR207C	1.6	1.5121951219512195
YDR226W	0.7975000000000001	4.926829268292684
YDR300C	0.0010750000000000002	3.9073170731707316
YDR350C	0.6475000000000001	1.2682926829268293
YDR364C	1.0666666666666667	7.7073170731707314
YDR369C	1.4000000000000001	
YDR386W	1.0833333333333335	0.7317073170731707
YDR462W	0.01691666666666667	0.08780487804878048
YDR470C	1.991666666666667	6.1951219512195115
YDR495C	0.03925	0.35707317073170736
YDR500C	0.011083333333333334	0.055609756097560976
YDR512C	0.4308333333333334	0.5658536585365853
YDR514C	0.00018833333333333332	0.17560975609756097
YDR521W	1.0166666666666668	1.7121951219512195
YDR532C	2.058333333333334	5.707317073170732
YEL007W	1.175	0.6780487804878049
YEL009C	0.033	5.951219512195122
YEL027W	1.3750000000000002	16.195121951219512
YEL044W	0.0074083333333333345	0.044292682926829266
YEL045C	0.022750000000000003	0.5853658536585366
YEL046C	0.01716666666666667	1.2195121951219512
YEL050C	0.8416666666666668	0.31609756097560976
YEL051W	1.1666666666666667	7.560975609756098
YER014C-A	0.0052833333333333335	0.11024390243902438
YER014W	0.02775	0.05463414634146342
YER016W	1.2000000000000002	0.7658536585365854
YER017C	0.014083333333333333	0.031219512195121955
YER037W	0.46666666666666673	0.8439024390243902
YER070W	1.075	2.5073170731707317
YER083C	0.016666666666666666	0.04390243902439024
YER095W	1.9333333333333333	11.121951219512196
YER110C	0.05558333333333334	0.05219512195121951
YER116C	0.7558333333333335	2.195121951219512
YER142C	1.5833333333333333	1.2634146341463415
YFR001W	1.0833333333333335	4.2
YGL020C	0.4041666666666667	0.6536585365853659
YGL033W	0.0035833333333333338	0.11707317073170732
YGL058W	0.11083333333333335	0.526829268292683
YGL072C	0.007091666666666667	0.014634146341463415
YGL087C	1.0833333333333335	7.463414634146341
YGL095C	1.7833333333333337	6.292682926829268
YGL101W	0.7616666666666667	1.6878048780487804
YGL105W	0.9583333333333334	1.078048780487805
YGL135W	0.006291666666666667	0.0702439024390244
YGL136C	0.006533333333333335	0.08292682926829269
YGL163C	2.6333333333333337	11.365853658536587
YGL206C	0.018333333333333337	1.5609756097560976
YGL214W	0.014500000000000002	0.050731707317073174
YGL217C	1.1500000000000001	1.1317073170731706
YGL240W	0.9750000000000001	2.0195121951219512
YGL246C	2.191666666666667	2.3560975609756096
YGL261C	0.010750000000000001	0.08146341463414634
YGR055W	0.8583333333333334	1.024390243902439
YGR056W	0.0074083333333333345	0.04878048780487805
YGR063C	0.009000000000000001	0.024390243902439025
YGR064W	0.007250000000000001	0.0702439024390244
YGR104C	0.7633333333333333	2.3951219512195125
YGR130C	1.1583333333333334	0.8341463414634147
YGR155W	0.64	1.3073170731707318
YGR167W	0.009500000000000001	0.08780487804878048
YGR180C	0.26833333333333337	18.390243902439025
YGR224W	0.8291666666666668	0.8292682926829268
YGR255C	0.007933333333333334	0.05463414634146342
YGR262C	2.891666666666667	8.24390243902439
YGR271C-A	0.7258333333333334	3.66829268292683
YHL011C	0.7558333333333335	1.0097560975609756
YHL025W	0.5558333333333334	0.8585365853658538
YHR060W	0.6358333333333334	1.7121951219512195
YHR064C	1.0333333333333334	1.858536585365854
YHR167W	1.1666666666666667	0.8292682926829268
YHR183W	0.6875000000000001	3.75609756097561
YHR191C	0.8416666666666668	1.834146341463415
YHR193C	0.4266666666666667	0.04536585365853659
YIL009W	0.015166666666666667	0.06585365853658537
YIL011W	0.008749999999999999	0.06878048780487804
YIL012W	0.008916666666666666	0.05853658536585366
YIL047C	1.141666666666667	0.7999999999999999
YIL049W	0.7733333333333333	0.8682926829268293
YIL054W	0.022833333333333334	0.6585365853658537
YIL084C	0.003966666666666667	0.042146341463414644
YIL093C	0.018083333333333333	0.049268292682926824
YIL097W	0.007091666666666667	0.06926829268292684
YIL121W	0.015833333333333335	0.04975609756097561
YIL125W	0.004383333333333334	0.0455609756097561
YIL132C	1.491666666666667	5.902439024390245
YIL139C	0.053750000000000006	0.7999999999999999
YIL154C	0.0053750000000000004	0.024390243902439025
YIL155C	0.8583333333333334	0.5951219512195121
YIL157C	0.011333333333333334	0.051707317073170736
YIL159W	0.00575	0.04009756097560976
YIR009W	0.004216666666666667	0.04878048780487805
YIR023W	1.3083333333333333	0.8926829268292683
YJL006C	1.7833333333333337	0.9463414634146341
YJL047C	1.1666666666666667	1.0682926829268293
YJL080C	0.02566666666666667	0.04390243902439024
YJL092W	0.1766666666666667	0.8926829268292683
YJL115W	0.7775	2.126829268292683
YJL124C	0.5733333333333334	0.7853658536585367
YJL127C	0.5733333333333334	0.42
YJL129C	1.8083333333333333	3.7414634146341466
YJL175W	0.4041666666666667	1.0878048780487806
