orf	hap a | growth (colony size) | SDS [0.01-0.025%] | YPD | Zhao F~Han S, 2020	hap a | growth (colony size) | SDS [0.065-0.07%] | YPD | Zhao F~Han S, 2020
YAL002W	-2.79485186585236	0.0
YAL005C	-1.39742593292618	0.0
YAL012W	-2.79485186585236	0.0
YAL021C	-1.39742593292618	0.0
YAL023C	-2.79485186585236	0.0
YAL024C	-4.19227779877854	0.0
YAL046C	-2.79485186585236	0.0
YAL047C	-4.19227779877854	0.0
YAL058W	-1.39742593292618	0.0
YAL068C	-1.39742593292618	0.0
YAR002W	-2.79485186585236	0.0
YAR014C	-1.39742593292618	0.0
YAR018C	-2.79485186585236	0.0
YAR042W	-1.39742593292618	0.0
YBL007C	-4.19227779877854	0.0
YBL022C	-4.19227779877854	0.0
YBL037W	-1.39742593292618	0.0
YBL044W	-2.79485186585236	0.0
YBL055C	-2.79485186585236	0.0
YBL078C	-1.39742593292618	0.0
YBL079W	-2.79485186585236	0.0
YBL090W	-4.19227779877854	0.0
YBL099W	-1.39742593292618	0.0
YBL100C	-1.39742593292618	0.0
YBR003W	-2.79485186585236	0.0
YBR015C	-2.79485186585236	0.0
YBR037C	-1.39742593292618	0.0
YBR044C	-1.39742593292618	0.0
YBR059C	-1.39742593292618	0.0
YBR078W	-4.19227779877854	0.0
YBR081C	-4.19227779877854	0.0
YBR095C	-1.39742593292618	0.0
YBR120C	-1.39742593292618	0.0
YBR125C	-1.39742593292618	0.0
YBR129C	-1.39742593292618	0.0
YBR132C	-2.79485186585236	0.0
YBR133C	-1.39742593292618	0.0
YBR134W	-1.39742593292618	0.0
YBR163W	-1.39742593292618	0.0
YBR164C	-1.39742593292618	0.0
YBR168W	-1.39742593292618	0.0
YBR169C	-2.79485186585236	0.0
YBR179C	-2.79485186585236	0.0
YBR191W	-1.39742593292618	0.0
YBR266C	-2.79485186585236	0.0
YBR267W	-1.39742593292618	0.0
YBR272C	-1.39742593292618	0.0
YBR276C	-1.39742593292618	0.0
YBR301W	-2.79485186585236	0.0
YCL007C	-4.19227779877854	0.0
YCL008C	-4.19227779877854	0.0
YCL014W	-1.39742593292618	0.0
YCL023C	-4.19227779877854	0.0
YCL038C	-1.39742593292618	0.0
YCR002C	-1.39742593292618	0.0
YCR003W	-1.39742593292618	0.0
YCR007C	-2.79485186585236	0.0
YCR008W	-2.79485186585236	0.0
YCR009C	-1.39742593292618	0.0
YCR020C	-1.39742593292618	0.0
YCR023C	-1.39742593292618	0.0
YCR024C	-2.79485186585236	0.0
YCR028C-A	-4.19227779877854	0.0
YCR030C	-2.79485186585236	0.0
YCR032W	-1.39742593292618	0.0
YCR044C	-4.19227779877854	0.0
YCR046C	-4.19227779877854	0.0
YCR059C	-2.79485186585236	0.0
YCR075W-A	-2.79485186585236	0.0
YCR081W	-4.19227779877854	0.0
YCR088W	-1.39742593292618	0.0
YDL001W	-4.19227779877854	0.0
YDL061C	-1.39742593292618	0.0
YDL067C	-2.79485186585236	0.0
YDL069C	-1.39742593292618	0.0
YDL074C	-1.39742593292618	0.0
YDL077C	-2.79485186585236	0.0
YDL081C	-1.39742593292618	0.0
YDL090C	-2.79485186585236	0.0
YDL095W	-4.19227779877854	0.0
YDL096C	-2.79485186585236	0.0
YDL104C	-1.39742593292618	0.0
YDL115C	-2.79485186585236	0.0
YDL134C	-1.39742593292618	0.0
YDL136W	-1.39742593292618	0.0
YDL146W	-2.79485186585236	0.0
YDL155W	-4.19227779877854	0.0
YDL167C	-2.79485186585236	0.0
YDL181W	-2.79485186585236	0.0
YDL182W	-2.79485186585236	0.0
YDL184C	-2.79485186585236	0.0
YDL185W	-4.19227779877854	0.0
YDL192W	-2.79485186585236	0.0
YDL198C	-1.39742593292618	0.0
YDL202W	-2.79485186585236	0.0
YDL206W	-4.19227779877854	0.0
YDL213C	-1.39742593292618	0.0
YDL225W	-1.39742593292618	0.0
YDL226C	-2.79485186585236	0.0
YDL240W	-1.39742593292618	0.0
YDL241W	-2.79485186585236	0.0
YDR006C	-1.39742593292618	0.0
YDR007W	-4.19227779877854	0.0
YDR008C	-1.39742593292618	0.0
YDR024W	-4.19227779877854	0.0
YDR025W	-4.19227779877854	0.0
YDR069C	-1.39742593292618	0.0
YDR074W	-1.39742593292618	0.0
YDR076W	-1.39742593292618	0.0
YDR079C-A	-1.39742593292618	0.0
YDR099W	-1.39742593292618	0.0
YDR126W	-1.39742593292618	0.0
YDR128W	-1.39742593292618	0.0
YDR132C	-2.79485186585236	0.0
YDR136C	-1.39742593292618	0.0
YDR162C	-4.19227779877854	0.0
YDR163W	-1.39742593292618	0.0
YDR194C	-2.79485186585236	0.0
YDR200C	-2.79485186585236	0.0
YDR203W	-1.39742593292618	0.0
YDR207C	-4.19227779877854	0.0
YDR226W	-2.79485186585236	0.0
YDR245W	-4.19227779877854	0.0
YDR248C	-4.19227779877854	0.0
YDR268W	-1.39742593292618	0.0
YDR276C	-2.79485186585236	0.0
YDR293C	-1.39742593292618	0.0
YDR295C	-4.19227779877854	0.0
YDR298C	-4.19227779877854	0.0
YDR305C	-1.39742593292618	0.0
YDR306C	-2.79485186585236	0.0
YDR309C	-4.19227779877854	0.0
YDR313C	-2.79485186585236	0.0
YDR314C	-2.79485186585236	0.0
YDR322W	-2.79485186585236	0.0
YDR329C	-2.79485186585236	0.0
YDR333C	-2.79485186585236	0.0
YDR347W	-2.79485186585236	0.0
YDR349C	-2.79485186585236	0.0
YDR354W	-4.19227779877854	0.0
YDR359C	-1.39742593292618	0.0
YDR364C	-4.19227779877854	0.0
YDR372C	-1.39742593292618	0.0
YDR383C	-1.39742593292618	0.0
YDR385W	-1.39742593292618	0.0
YDR388W	-1.39742593292618	0.0
YDR389W	-2.79485186585236	0.0
YDR426C	-1.39742593292618	0.0
YDR431W	-1.39742593292618	0.0
YDR432W	-4.19227779877854	0.0
YDR433W	-1.39742593292618	0.0
YDR442W	-2.79485186585236	0.0
YDR456W	-2.79485186585236	0.0
YDR475C	-2.79485186585236	0.0
YDR484W	-2.79485186585236	0.0
YDR485C	-1.39742593292618	0.0
YDR486C	-1.39742593292618	0.0
YDR488C	-2.79485186585236	0.0
YDR493W	-2.79485186585236	0.0
YDR507C	-1.39742593292618	0.0
YDR518W	-1.39742593292618	0.0
YDR519W	-2.79485186585236	0.0
YDR523C	-2.79485186585236	0.0
YDR529C	-1.39742593292618	0.0
YEL031W	-1.39742593292618	0.0
YEL048C	-1.39742593292618	0.0
YEL050C	-2.79485186585236	0.0
YEL051W	-2.79485186585236	0.0
YEL053C	-1.39742593292618	0.0
YEL056W	-2.79485186585236	0.0
YEL059W	-2.79485186585236	0.0
YEL061C	-4.19227779877854	0.0
YEL062W	-1.39742593292618	0.0
YEL068C	-1.39742593292618	0.0
YEL071W	-1.39742593292618	0.0
YER014W	-1.39742593292618	0.0
YER015W	-1.39742593292618	0.0
YER017C	-1.39742593292618	0.0
YER019C-A	-1.39742593292618	0.0
YER019W	-1.39742593292618	0.0
YER039C	-1.39742593292618	0.0
YER044C-A	-2.79485186585236	0.0
YER053C	-2.79485186585236	0.0
YER054C	-2.79485186585236	0.0
YER056C-A	-1.39742593292618	0.0
YER067W	-1.39742593292618	0.0
YER068W	-4.19227779877854	0.0
YER070W	-2.79485186585236	0.0
YER075C	-2.79485186585236	0.0
YER079W	-1.39742593292618	0.0
YER083C	-4.19227779877854	0.0
YER084W	-1.39742593292618	0.0
YER087W	-4.19227779877854	0.0
YER090W	-4.19227779877854	0.0
YER103W	-1.39742593292618	0.0
YER105C	-1.39742593292618	0.0
YER110C	-1.39742593292618	0.0
YER111C	-2.79485186585236	0.0
YER119C-A	-2.79485186585236	0.0
YER122C	-2.79485186585236	0.0
YER130C	-1.39742593292618	0.0
YER135C	-1.39742593292618	0.0
YER141W	-2.79485186585236	0.0
YER149C	-1.39742593292618	0.0
YER151C	-2.79485186585236	0.0
YER153C	-1.39742593292618	0.0
YER154W	-2.79485186585236	0.0
YER155C	-1.39742593292618	0.0
YER167W	-1.39742593292618	0.0
YER169W	-2.79485186585236	0.0
YER170W	-2.79485186585236	0.0
YER181C	-2.79485186585236	0.0
