orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YAL005C			-0.1841651266552327
YAL019W			-4.480176754022081
YAL023C			-0.3348249921810755
YAL036C	-0.259672347869932		-4.480176754022081
YAL044C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YAR002W		-0.5722267571804935	-0.7247331120236823
YAR018C		-4.626684684055238	-4.480176754022081
YBL001C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBL003C	-0.2198881893454935	-0.2085441482867833	-0.14920300516413673
YBL005W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBL006C			-0.25474193297270126
YBL007C		0.10315170481441205	0.14193710207503607
YBL011W		-4.626684684055238	
YBL018C	-0.3874906503594158	-0.4030796693326508	
YBL022C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBL044W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBL047C	-0.12226195900006792	-0.1422382132225505	
YBL052C	-0.27256221136273195	-4.626684684055238	-4.480176754022081
YBL067C	-0.48439960747746447	-4.626684684055238	-4.480176754022081
YBL069W	-0.21606100144231394	-0.1964718518744411	-0.1932260475164878
YBL086C		-4.626684684055238	-4.480176754022081
YBL093C			-0.20091052156460454
YBL099W	-0.7889728510768692	-0.8796600059131692	-4.480176754022081
YBR009C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR010W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR014C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR020W			-0.21807669799082663
YBR040W			0.26891180856078734
YBR057C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR061C	-0.3704460207261808	-0.2804715699465572	-4.480176754022081
YBR072W	-0.6930716453393186	-4.626684684055238	-4.480176754022081
YBR085W		-0.19971377303856613	-0.18809798584167764
YBR095C			-0.2349751100970535
YBR101C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR115C		-0.2925816484491007	-0.2829487371128798
YBR118W			-0.2049142420869352
YBR119W			0.042717481125709084
YBR123C	-0.9079597599134064	-0.8845778508930509	-0.8620094373840347
YBR126C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR148W			-0.1704340558362202
YBR149W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR152W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR156C			0.09619161365287451
YBR159W			-0.13062699690860866
YBR166C			-0.4218712625667587
YBR181C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR185C	-1.048068794174	-0.996456304579595	-1.128226748472486
YBR192W			-0.5814835291853756
YBR193C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR198C		-0.1723085494998903	-0.26670044226672146
YBR207W			-0.1941854750152291
YBR221C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YBR225W			-0.3572199961392443
YBR231C			-0.3649868029837979
YBR245C			0.09996670231563423
YBR248C			0.17141104322301184
YBR278W			-0.5940197479557914
YBR281C			-0.3102417087324653
YBR282W			-0.09998086225358792
YBR283C			-0.18786628853962742
YBR284W		-0.2294881479238348	
YBR293W			-0.14999088930936452
YBR295W		-0.447827249740155	-0.564621339961469
YBR297W			-0.2010974141255573
YBR298C			-0.1735947341223341
YCL001W-A			-0.3012091312574881
YCL004W			0.07665143703237937
YCL034W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YCL050C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YCL069W			0.06248193558026244
YCR015C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YCR024C		-0.2741821191485207	-0.45712284723854624
YCR024C-A			-4.480176754022081
YCR026C			-0.4288097063928018
YCR028C		-0.28572751478361735	-0.42354899630730414
YCR031C		-0.21195028166424898	-0.3964130928076793
YCR034W			-1.3685752771944437
YCR035C			-0.14662779305656684
YCR036W		-0.10477235540775305	-0.10072341297392338
YCR037C			-0.16066013392144723
YCR045C			-0.1468327254780253
YCR050C			-0.32456200823129855
YCR051W		-0.21347639155645537	-0.3963947310895288
YCR059C		-0.29734534730777945	-0.6705234257741987
YCR063W			-0.2670006953750958
YCR065W			-0.8132901008013655
YCR066W			-0.29903019287852006
YCR068W			-0.4678794238920282
YCR071C			-0.40744345507880647
YCR073W-A			-4.480176754022081
YCR076C		-0.22426700391922705	-0.39549433623272834
YCR077C			-0.22370489801379587
YCR079W			-0.13498785025015844
YCR082W			-0.40036813017302403
YCR084C			-0.5026784687322693
YCR086W		-0.1929270067537911	-4.480176754022081
YCR088W			0.16488106466207197
YDL003W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDL027C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDL028C			0.07204439369855713
YDL039C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDL052C	-5.172046592336727	-4.626684684055238	-4.480176754022081
