ORF	hap a | growth (colony size) | streptomycin [40 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | neomycin [5.5 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | amitrole [22 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | cycloheximide [45 ng/ml] | Alamgir M~Golshani A, 2010
YEL072W	23.572	-17.969	-1.072	2.487
YGL034C	7.992	-9.474	10.527	14.398
YER001W	-2.622	-24.852	3.730	-11.993
YGL035C	6.270	-7.661	4.082	-42.615
YER002W	19.585	-0.751	7.866	-12.813
YGL036W	18.354	-8.799	13.864	13.344
YER004W	-5.152	-6.955	0.132	6.397
YGL039W	18.642	15.876	-3.543	9.854
YER005W	6.143	-5.203	20.848	17.188
YGL041C	8.461	7.793	2.550	22.298
YER007C-A	0.128	-14.775	-4.678	8.369
YGL043W	0.402	-14.283	0.747	-16.924
YER007W	6.470	1.913	-1.328	19.298
YGL045W	4.241	1.982	-29.658	1.497
YER010C	3.898	8.879	5.774	10.749
YGL046W	-2.948	23.323	-46.307	-6.500
YER011W	-1.034	5.808	2.397	0.746
YGL050W	-38.883	9.085	-32.369	-31.528
YER014C-A	-6.017	-9.241	-9.300	-6.842
YDR380W	-1.797	5.087	5.093	12.535
YDR251W	12.858	-7.183	6.931	1.812
YDR382W	-8.084	-23.147	1.024	0.479
YDR252W	-7.352	10.958	-5.140	12.572
YDR383C	20.078	18.286	-5.636	20.449
YDR253C	3.677	9.095	0.217	-7.667
YDR384C	-20.275	5.075	34.913	40.920
YDR254W	8.526	-0.863	1.613	13.785
YDR385W	16.604	-5.271	2.534	-23.300
YDR255C	8.689	1.861	-1.814	8.488
YDR386W	12.879	-11.462	1.787	6.691
YDR256C	4.560	2.491	14.883	5.970
YDR387C	13.863	-23.604	-9.795	-3.234
YDR257C	18.973	-8.720	19.686	-11.550
YDR388W	-29.804	13.281	-37.729	-47.599
YDR258C	23.547	10.972	1.074	24.713
YDR389W	18.405	-36.226	-44.470	-12.579
YDR259C	20.200	1.760	12.243	20.071
YDR391C	9.502	6.971	4.993	8.897
YDR260C	0.373	12.789	5.935	17.987
YDR392W	-3.982	-19.312	-15.029	-41.002
YDR261C	-1.289	6.810	-14.029	-13.081
YDR393W	-20.545	-9.166	-17.341	-1.685
YDR262W	-18.807	5.082	-22.118	-1.267
YGL015C	-6.916	-3.617	3.639	-4.840
YEL054C	9.157	-2.200	-19.791	19.701
YGL016W	-0.926	-7.590	7.677	10.689
YEL056W	-1.699	-33.429	38.398	5.032
YGL017W	8.163	19.682	-0.378	3.742
YEL057C	16.294	-21.203	3.512	2.473
YGL019W	-4.740	-66.702	6.848	-9.210
YEL059W	-3.954	-21.046	-3.404	-2.872
YGL020C	32.287	-24.791	-14.463	12.178
YEL060C	21.711	-17.120	-1.391	-3.559
YGL021W	32.382	-11.491	15.404	-11.777
YEL061C	0.602	6.138	-15.231	-17.700
YGL023C	7.163	2.740	-34.332	-27.631
YEL062W	44.225	-23.276	-11.860	-4.036
YGL024W	5.968	8.262	-7.289	-62.465
YEL063C	15.748	-1.920	11.799	37.160
YGL025C	16.236	11.176	-18.915	-56.378
YEL064C	17.902	0.770	18.112	15.580
YGL026C	5.073	-19.644	-29.084	-25.394
YEL065W	-2.499	-0.681	8.713	15.413
YGL027C	-6.318	10.926	5.252	6.845
YEL066W	8.391	-9.383	4.810	4.323
YGL028C	-20.717	22.311	3.012	-6.876
YEL067C	-17.198	12.201	-15.072	-1.463
YDR363W	-6.285	3.891	2.850	-2.344
YDR231C	18.030	-2.053	4.436	-6.321
YDR364C	-0.000	-0.000	-2.110	-0.000
YDR233C	-13.181	13.248	14.662	12.056
YDR368W	8.341	12.914	-8.716	4.853
YDR234W	23.779	-10.855	2.551	26.692
YDR369C	19.595	-5.970	-5.386	-2.567
YDR237W	-5.274	-0.000	2.786	-0.000
YDR370C	13.738	-5.273	-22.570	-15.465
YDR239C	15.839	2.497	29.568	-6.941
YDR371W	28.642	6.464	-11.156	-1.890
YDR241W	0.802	-10.714	14.888	2.252
YDR372C	-5.236	-37.404	-17.053	-0.676
YDR244W	27.821	11.378	4.089	4.947
YDR374C	19.336	23.184	-2.619	-1.952
YDR245W	-45.402	-9.299	-25.660	-57.670
YDR375C	0.432	2.448	-0.717	9.352
YDR247W	12.247	21.401	-19.824	-1.977
YDR377W	-2.116	0.162	19.926	18.239
YDR248C	3.623	5.661	13.584	6.819
YDR378C	5.157	6.296	-0.340	10.298
YDR249C	2.991	4.521	-7.214	4.518
YDR379W	-25.503	-6.147	1.331	3.342
YDR250C	-22.015	7.193	-21.000	-6.770
YER087C-A	28.478	3.021	-10.428	15.457
YEL042W	-8.271	-35.776	10.613	21.113
YGL002W	2.817	-11.234	10.745	29.208
YEL043W	-0.983	-20.244	-0.917	5.849
YGL003C	15.840	-50.560	-37.576	-20.638
YEL044W	26.573	-3.801	-10.476	-27.859
YGL004C	13.726	-10.600	-0.268	1.257
YEL045C	1.012	-8.634	-17.562	-47.483
YGL005C	22.439	-57.978	-23.136	29.594
YEL046C	-9.826	-18.532	-4.076	-0.000
YGL006W	-14.023	-32.467	11.979	-20.297
YEL047C	19.171	4.441	13.823	7.095
YGL007W	25.758	-7.543	15.774	6.657
YEL048C	23.375	0.834	-2.632	19.920
YGL009C	10.366	16.639	2.487	-8.178
YEL049W	11.427	-13.739	13.350	-16.697
YGL010W	11.547	-1.265	-8.799	-9.792
YEL050C	0.689	-0.871	-3.346	10.646
YGL012W	-49.338	-13.979	-59.164	-87.324
YEL051W	-19.388	-0.000	-19.138	-0.000
YGL013C	-21.118	-5.015	-5.295	-60.210
YEL052W	-6.111	20.506	-8.009	1.156
YGL014W	-20.007	2.548	-5.403	3.899
YEL053C	-9.901	-2.430	-8.305	3.927
YDR346C	3.004	-6.468	2.641	-9.936
YDR217C	6.253	-9.539	8.217	11.968
YDR347W	3.595	-0.000	-0.000	-0.000
YDR218C	-16.791	-9.662	-9.205	-22.900
YDR348C	-5.842	0.850	0.932	3.397
YDR219C	-6.420	-12.756	-25.538	10.820
YDR349C	9.362	-20.448	-16.913	33.224
YDR220C	17.005	-13.547	3.918	6.755
YDR350C	3.450	2.446	17.971	23.828
YDR221W	29.392	-7.006	28.103	8.731
YDR351W	0.943	-5.430	-1.279	20.561
YDR222W	11.492	1.749	17.097	9.826
YDR352W	-9.039	-11.222	-16.831	3.111
YDR223W	8.822	2.208	-7.964	-5.301
YDR354W	13.344	-8.529	-25.067	-3.955
YDR225W	-1.834	4.441	3.532	8.932
YDR357C	5.480	7.236	13.587	-5.798
YDR226W	-7.975	-0.000	-29.888	-0.000
YDR358W	-7.569	0.623	-14.246	7.342
YDR227W	-4.560	16.301	11.809	-4.798
YDR359C	6.548	2.841	-40.422	-31.968
YDR229W	15.056	-10.362	-9.506	8.513
YDR360W	6.168	-11.474	-7.209	5.238
YDR230W	2.999	10.134	7.040	-7.061
YER072W	-6.489	-25.768	-15.930	-7.650
YEL027W	4.199	-0.000	-37.117	-0.000
YER073W	8.069	-3.367	-7.186	13.832
YEL028W	18.109	-11.976	-11.283	-7.931
YER074W	19.752	-10.335	-4.903	-17.534
YEL029C	27.838	12.426	20.709	0.616
YER075C	7.872	7.126	-8.759	-6.283
YEL030W	6.761	2.533	-22.545	-27.917
YER079W	2.730	2.939	16.506	-14.196
YEL031W	-5.661	-16.846	-5.277	14.540
YER080W	-2.753	22.605	-19.150	-0.114
YEL033W	15.651	-1.401	18.990	9.872
YER081W	-1.818	3.393	1.285	-5.202
YEL036C	-3.853	-0.000	-0.000	-0.000
YER083C	-0.000	-0.000	-0.000	-0.000
YEL037C	-5.699	10.791	11.748	7.590
YER084W	1.032	-4.167	3.436	17.353
YEL038W	5.790	4.555	-26.237	-1.266
YER085C	-4.344	16.713	10.133	9.041
YEL039C	-7.656	12.790	35.323	0.194
YER086W	-2.204	-0.911	-32.514	4.505
YEL040W	-0.177	33.160	-20.977	3.967
YER087W	-5.528	1.147	0.147	-1.461
YEL041W	-18.479	6.747	1.174	-2.177
YDR329C	8.024	-2.215	-16.731	2.180
YDR199W	36.581	-18.058	-11.484	20.104
YDR330W	15.749	-2.871	16.426	3.906
YDR200C	-38.086	-16.856	-23.080	-21.033
YDR332W	-0.000	-0.000	-0.000	-0.000
YDR203W	21.580	-8.984	-20.508	-13.286
YDR333C	10.916	14.679	-4.170	-10.097
YDR204W	-4.508	-0.000	-0.000	-0.000
YDR334W	3.297	-6.964	-16.516	-12.197
YDR206W	20.729	5.823	4.374	9.545
YDR335W	10.101	-23.764	-8.746	-43.259
YDR207C	4.308	-20.869	-25.714	-10.538
YDR336W	-8.173	18.575	-5.244	2.541
YDR209C	-4.758	-7.575	-0.441	-5.145
YDR337W	-0.000	-0.000	-0.000	-0.000
YDR210W	-17.631	7.473	-11.127	-11.754
YDR338C	5.087	7.118	-1.691	10.265
YDR213W	6.168	11.920	-0.256	5.740
YDR340W	-31.832	1.067	22.793	6.144
YDR214W	3.024	26.896	-10.549	6.415
YDR344C	-5.230	-0.219	-16.965	2.853
YDR215C	-2.885	3.143	-12.835	15.332
YDR345C	-7.420	-0.000	-36.131	5.843
YDR216W	-9.279	-3.783	0.487	-3.597
YER060W-A	-6.058	-24.156	-28.532	-5.935
YEL009C	-1.288	-33.556	-18.214	25.470
YER061C	-25.390	-17.553	-10.185	0.398
YEL010W	23.073	18.333	4.289	7.368
YER062C	27.305	-35.691	-11.724	-16.454
YEL013W	-43.597	-18.588	-35.705	-2.350
YER065C	10.727	-2.304	-5.054	34.655
YEL014C	1.751	-5.162	15.183	12.491
YER066C-A	18.266	-3.682	-3.316	7.206
YEL015W	-6.167	-15.364	7.117	22.229
YER067W	12.725	-6.546	14.355	15.254
YEL016C	-15.126	21.389	-3.975	-3.653
YER067C-A	2.833	-10.224	-14.156	5.888
YEL017C-A	17.275	7.896	-13.868	13.829
YER068W	-3.571	-0.556	-18.193	-50.886
YEL017W	6.015	22.569	-6.980	9.463
YER068C-A	13.319	6.969	-16.977	4.891
YEL020C	12.887	11.241	-28.040	2.646
YER069W	-6.787	14.365	6.558	20.570
YEL023C	9.576	-15.962	-25.666	5.228
YER070W	-3.117	-0.000	-0.000	-0.000
YEL024W	7.734	4.786	-14.143	3.841
YER071C	-10.867	-0.000	-44.179	7.473
YEL025C	-0.254	0.161	3.941	16.762
YDR312W	8.076	-13.263	3.055	-4.241
YDR181C	20.960	-12.948	46.923	14.124
YDR313C	-28.510	-36.939	-5.811	28.303
YDR183W	-11.789	20.010	8.551	16.397
YDR314C	26.641	-11.659	3.051	32.175
YDR184C	42.608	0.825	4.435	28.268
YDR315C	-9.390	-54.502	-5.556	7.036
YDR185C	22.112	-8.122	-14.291	24.864
YDR316W	3.746	-18.674	-3.134	2.059
YDR186C	9.007	-11.513	-16.948	28.881
YDR317W	14.506	-9.571	17.648	25.058
YDR191W	6.176	-13.292	-4.952	1.277
YDR318W	12.569	3.232	6.018	2.203
YDR192C	0.087	1.499	37.636	-26.977
YDR319C	2.296	7.123	-12.019	-7.805
YDR193W	3.279	6.454	29.313	3.711
YDR320C	-11.245	7.479	-16.420	52.824
YDR194C	11.928	-0.000	-0.000	-0.000
YDR321W	6.960	5.502	3.686	0.842
YDR195W	4.989	15.430	21.831	2.132
YDR322W	4.546	0.856	-7.595	-3.301
YDR197W	1.767	-0.000	-0.000	-0.000
YDR323C	-0.000	-0.000	-0.000	-0.000
YDR198C	2.163	5.639	-26.121	-30.019
YIL065C	-14.934	-4.984	0.923	-14.358
YHR108W	-16.714	-29.337	-10.351	-10.743
YIL072W	-10.469	21.490	16.548	2.070
YHR109W	-19.592	10.715	-3.231	-22.761
YIL073C	-17.429	4.376	1.580	-17.235
YHR110W	5.682	23.870	0.209	-42.432
YIL076W	-15.390	5.869	7.615	-0.135
YHR111W	-23.835	2.196	-2.991	-33.251
YIL077C	-20.847	-1.246	-3.032	-23.801
YHR112C	7.229	8.774	4.894	-24.472
YIL079C	0.426	24.941	3.533	7.338
YHR113W	-6.751	30.360	26.161	12.443
YIL084C	-17.120	18.874	-9.522	-28.447
YHR114W	-24.771	20.634	8.587	-33.484
YIL086C	-17.998	57.997	-25.986	-12.161
YHR115C	-5.341	23.995	4.616	-22.849
YIL087C	-22.702	36.727	2.348	-0.649
YHR116W	-0.000	-0.000	-0.000	-0.000
YIL088C	-17.464	26.057	-19.191	14.207
YHR117W	-53.474	20.370	15.266	5.159
YIL090W	-52.782	-0.375	-25.084	16.768
YHR120W	-2.448	-0.000	-0.000	-0.000
YIL093C	-28.999	-8.445	-7.222	31.057
YHR121W	0.638	-14.361	-35.175	10.647
YGR212W	-12.909	4.792	-16.333	22.105
YGR064W	-16.313	-33.414	-49.300	-17.107
YGR213C	-1.523	3.930	11.099	15.963
YGR066C	-4.909	23.771	25.981	2.640
YGR214W	-4.635	-29.168	28.395	0.949
YGR069W	-8.291	34.211	21.967	-1.974
YGR215W	-5.220	-0.000	6.581	11.224
YGR070W	-22.968	-6.480	15.140	-12.990
YGR217W	-22.273	15.284	22.260	25.240
YGR071C	-4.161	-0.414	3.127	-15.027
YHL047C	-22.089	-0.000	-10.461	-22.828
YGR072W	-16.783	30.439	30.529	5.497
YHL046C	-43.803	10.947	-1.934	-10.280
YGR076C	0.671	-0.000	-0.000	-0.000
YHL045W	-32.911	5.516	-22.496	-10.052
YGR077C	-46.097	1.657	-27.401	-2.224
YHL044W	-38.096	15.460	-35.607	-11.196
YGR078C	-17.503	13.847	7.464	-35.740
YHL043W	-22.811	21.216	2.472	1.246
YGR079W	-35.981	18.817	5.021	-8.003
YHL042W	-35.627	32.180	-13.280	17.365
YGR080W	-30.661	-2.380	-17.973	12.764
YHL041W	-39.951	12.603	-37.454	-7.896
YGR081C	-17.523	-6.622	-15.013	-5.938
YIL037C	3.036	-11.128	-6.317	4.731
YHR086W	-18.995	-38.897	22.699	23.821
YIL039W	13.164	-11.669	14.493	11.847
YHR087W	5.031	21.790	20.017	-6.921
YIL040W	-14.795	-0.000	20.244	-47.341
YHR092C	10.458	13.792	28.437	7.066
YIL041W	14.991	-13.217	25.726	-33.593
YHR093W	2.000	21.325	27.341	18.503
YIL043C	-6.688	26.823	8.348	-11.751
YHR094C	0.464	10.210	17.965	15.415
YIL044C	-17.594	15.142	0.669	-14.693
YHR095W	-11.985	-2.708	26.260	9.221
YIL045W	4.470	30.135	31.988	5.060
YHR096C	-2.934	-0.018	7.675	-9.440
YIL049W	-1.072	11.122	-8.307	-21.211
YHR097C	-19.458	21.361	-5.794	8.384
YIL050W	-25.635	5.369	-9.146	14.965
YHR103W	-4.592	32.294	-14.674	8.061
YIL053W	-31.879	4.402	-21.996	-15.867
YHR104W	-24.076	29.017	-18.750	10.331
YIL057C	-26.647	7.978	-23.409	30.404
YHR105W	-14.840	19.382	-2.508	5.600
YIL064W	-20.775	20.115	-39.043	7.331
YHR106W	-20.277	-13.493	-18.639	2.296
YGR194C	-7.021	2.463	-0.561	6.148
YGR042W	7.814	24.693	11.647	10.197
YGR196C	21.471	27.229	-1.141	-19.913
YGR043C	8.889	12.557	11.768	1.534
YGR197C	6.213	-4.866	-8.906	-5.601
YGR044C	4.443	-10.918	-6.471	-5.943
YGR199W	-3.256	16.189	41.868	1.712
YGR045C	15.439	1.229	24.856	-13.787
YGR200C	-1.090	-6.648	12.086	3.073
YGR049W	8.402	15.084	24.010	-3.607
YGR202C	3.227	-3.739	7.013	-11.042
YGR051C	14.085	15.187	16.730	6.728
YGR203W	-11.319	32.674	18.040	11.119
YGR052W	-19.869	15.922	-13.046	-4.109
YGR205W	-14.380	22.392	28.724	15.162
YGR054W	-4.960	3.681	7.229	-15.897
YGR206W	-8.604	-0.252	29.260	8.876
YGR057C	-47.958	-4.306	9.979	-4.432
YGR207C	-2.844	0.891	26.713	25.825
YGR058W	-21.585	1.481	18.044	13.498
YGR208W	-21.789	2.290	-60.162	-39.203
YGR059W	-4.900	33.908	-31.070	5.371
YGR209C	-10.048	21.732	19.639	28.676
YGR062C	-5.539	4.254	-21.906	-16.080
YIL017C	-14.843	-3.428	-19.532	-8.109
YHR060W	-17.472	-0.000	-12.948	-0.000
YIL020C	1.708	-42.415	-0.212	2.027
YHR061C	9.677	2.599	-28.935	-25.039
YIL023C	1.461	0.594	-47.581	-20.443
YHR066W	5.503	12.494	-10.115	-25.830
YIL024C	14.791	2.068	11.004	6.924
YHR073W	-0.031	22.512	5.134	-14.485
YIL025C	8.515	4.255	4.911	-21.412
YHR075C	14.180	16.798	23.802	-1.684
YIL027C	5.410	12.795	29.290	-1.330
YHR076W	-2.946	-9.705	11.218	-4.799
YIL028W	-9.295	-5.899	7.984	-6.123
YHR077C	8.570	-7.309	35.662	17.221
YIL029C	1.097	28.638	-30.784	-6.621
YHR078W	13.938	7.898	16.446	9.148
YIL032C	-11.986	-9.015	4.827	-4.888
YHR079C	13.494	6.664	46.504	31.881
YIL034C	-4.051	-20.304	4.682	-7.049
YHR080C	12.365	15.490	-16.801	19.095
YIL035C	-5.709	6.659	-15.574	7.680
YHR081W	-1.811	13.891	-10.700	-10.870
YIL036W	-4.490	19.898	24.669	5.910
YHR082C	4.174	5.444	0.332	-3.113
YGR176W	14.005	18.065	7.740	4.674
YGR021W	-2.981	36.062	-7.226	11.091
YGR177C	8.070	7.386	20.072	-21.353
YGR023W	4.897	-8.627	-43.644	-8.084
YGR178C	9.865	-18.664	-5.298	-3.415
YGR026W	5.779	-8.056	-12.307	-0.162
YGR180C	-2.872	-0.000	-0.000	-0.000
YGR027C	2.211	6.892	-8.351	-22.706
YGR181W	7.559	4.785	-11.468	-0.308
YGR031W	-2.759	-15.799	4.417	2.715
YGR182C	17.931	-0.868	20.645	14.020
YGR033C	-7.052	17.721	11.586	10.366
YGR183C	35.441	4.862	5.534	11.910
YGR034W	11.524	13.413	-0.753	-1.349
YGR184C	-8.747	12.928	1.020	-0.608
YGR035C	11.632	20.284	-3.083	-8.741
YGR187C	-2.196	12.220	-7.820	9.813
YGR036C	-24.042	-16.353	-16.695	-14.485
YGR189C	-2.845	18.585	5.521	12.343
YGR037C	6.001	-16.378	-3.838	33.075
YGR192C	6.485	17.244	-23.945	20.403
YGR039W	1.586	-2.657	13.322	43.917
YGR193C	6.155	2.982	-37.923	12.280
YGR041W	-4.454	0.801	-4.917	3.807
YHR207C	5.082	7.164	2.057	-18.086
YHR037W	6.704	-2.077	-3.658	-2.925
YHR209W	9.971	6.702	-25.319	-16.588
YHR038W	-1.298	-0.000	-0.000	-0.000
YHR210C	6.461	-18.183	16.325	3.981
YHR039C	9.721	13.451	-29.085	-7.827
YIL001W	4.179	-17.896	-36.072	-17.231
YHR043C	-13.113	-32.964	-11.259	-30.638
YIL002C	-5.257	-0.000	-34.207	-31.048
YHR044C	6.894	11.528	13.436	8.978
YIL005W	-7.590	-27.087	-7.314	-17.282
YHR046C	3.097	-7.749	33.963	18.357
YIL011W	-11.891	-21.239	-2.183	-4.444
YHR047C	9.945	-0.703	5.778	-3.444
YIL012W	4.112	-5.222	7.778	-5.558
YHR048W	1.219	-6.022	-8.613	17.923
YIL013C	-25.411	5.081	0.452	-1.465
YHR049W	-5.598	10.696	-8.094	14.281
YIL014W	-27.222	38.569	-0.488	2.293
YHR049C-A	3.145	-25.161	-27.192	12.847
YIL015W	4.056	-6.909	31.034	-6.874
YHR050W	12.605	-15.477	29.047	53.099
YIL016W	1.008	5.656	-6.319	34.117
YHR057C	4.832	7.611	-1.532	8.479
YGR161C	-12.992	6.295	1.244	17.686
YGR004W	2.292	0.040	-9.504	6.721
YGR163W	-4.531	-16.509	-37.702	-25.200
YGR006W	-0.000	-0.000	-0.000	-0.000
YGR164W	2.020	12.004	-4.178	5.673
YGR007W	1.240	13.839	-18.297	-18.285
YGR165W	8.510	-0.000	-0.000	-0.000
YGR008C	8.633	25.633	23.960	-1.392
YGR166W	10.694	5.376	-11.361	-33.827
YGR010W	6.014	1.192	-6.595	8.756
YGR167W	1.220	-0.000	-0.000	-0.000
YGR012W	3.990	-8.644	-26.805	-9.596
YGR168C	-0.585	10.412	-2.808	-18.694
YGR014W	-4.955	-3.551	-3.101	16.140
YGR169C	3.452	-14.231	10.371	-16.829
YGR015C	5.104	-15.198	-8.214	8.542
YGR170W	9.014	7.063	1.692	17.031
YGR016W	11.132	2.049	-20.134	5.941
YGR171C	-1.547	-0.000	-2.423	24.575
YGR017W	-4.682	14.303	-14.221	17.337
YGR173W	25.780	1.020	-10.605	12.034
YGR019W	-7.207	-24.631	-24.945	9.966
YGR174C	11.275	2.175	11.441	43.651
YGR020C	-7.323	3.500	-3.287	4.914
YHR182W	3.256	3.000	-2.968	-2.967
YHR014W	6.972	20.363	1.070	17.099
YHR183W	10.690	-0.479	-16.780	-18.361
YHR015W	5.234	4.342	-26.007	-4.157
YHR184W	-11.025	-53.325	2.733	-35.081
YHR018C	-3.344	-9.537	8.260	8.028
YHR189W	0.321	-7.231	1.416	-9.014
YHR021C	-9.841	-55.676	-22.679	-28.956
YHR195W	17.247	0.518	29.427	8.312
YHR022C	1.650	-4.544	-8.394	-18.962
YHR198C	10.669	-19.155	-32.216	-32.450
YHR028C	6.882	-5.054	-14.311	-16.110
YHR199C	-6.001	1.576	26.451	14.755
YHR029C	9.224	10.663	-19.508	2.271
YHR200W	10.452	-0.255	-3.412	-27.421
YHR030C	-1.175	-2.829	-82.511	-66.585
YHR202W	6.822	-24.185	-11.906	0.086
YHR031C	-18.015	-20.268	33.952	-5.839
YHR203C	3.401	-8.571	-18.030	4.865
YHR033W	-0.142	18.678	-16.028	24.095
YHR204W	8.270	-29.389	15.003	16.103
YHR034C	10.435	-12.846	18.087	17.661
YHR206W	-11.637	12.454	20.035	27.454
YHR035W	-6.366	-1.119	-9.601	8.626
YGR144W	-4.809	1.485	-8.305	12.602
YGL254W	-23.239	5.889	-10.746	-13.497
YGR146C	-0.354	-15.208	-7.902	-0.935
YGL255W	13.513	-9.835	-29.581	-12.374
YGR148C	11.769	5.296	19.403	3.271
YGL256W	-2.669	-15.821	-12.131	-6.650
YGR149W	9.395	3.453	10.934	24.178
YGL257C	3.662	-18.267	-3.350	0.703
YGR150C	-0.437	-0.000	-0.000	-0.000
YGL258W	9.936	-10.955	-9.089	-7.574
YGR151C	18.083	-5.726	21.300	3.853
YGL259W	11.105	-10.871	9.676	14.032
YGR152C	17.212	-24.907	16.799	18.097
YGL260W	-3.806	12.997	-28.800	10.918
YGR153W	0.764	-18.601	19.614	10.415
YGL261C	3.347	-8.312	11.604	-5.218
YGR154C	22.159	1.525	-11.404	19.511
YGL262W	9.729	17.220	13.345	18.924
YGR157W	-1.456	-12.073	-37.740	4.570
YGL263W	-0.031	-17.591	-12.991	18.364
YGR159C	-6.748	-0.000	-2.920	19.794
YGR001C	16.022	-6.687	-19.465	25.662
YGR160W	-4.618	-16.716	-39.414	2.857
YGR003W	-5.513	-7.954	-1.833	10.341
YHR156C	17.020	-3.059	4.546	-30.887
YHL010C	-37.663	5.000	-30.094	-21.143
YHR157W	-17.576	10.304	-24.542	-19.663
YHL009C	-6.831	16.359	-10.640	-32.119
YHR158C	17.891	9.164	12.316	-1.836
YHL008C	12.857	15.132	-6.581	-6.909
YHR159W	-3.239	-16.320	-3.105	2.129
YHL007C	5.918	-0.979	20.466	-9.659
YHR160C	-0.523	1.927	-0.676	-4.490
YHL006C	3.951	-1.144	10.982	-1.080
YHR161C	5.292	-9.484	25.860	-14.918
YHL005C	2.922	-0.000	3.389	12.591
YHR163W	6.934	-20.812	24.137	8.809
YHL003C	4.452	-6.342	7.683	7.172
YHR167W	-18.270	-33.819	-16.289	-26.634
YHR001W-A	2.483	-17.990	-14.442	-11.841
YHR176W	13.908	-18.879	0.798	17.653
YHR010W	-17.842	-8.400	19.449	-47.891
YHR177W	8.395	7.463	-17.697	3.542
YHR011W	1.128	-0.000	-0.000	-0.000
YHR178W	-0.000	-0.000	-29.590	-1.718
YHR012W	4.164	-50.356	-19.067	-30.020
YHR179W	8.384	19.778	8.573	21.558
YHR013C	3.038	0.707	-3.244	-25.440
YGR130C	-13.059	-8.746	-10.575	-0.325
YGL240W	1.431	-0.000	-0.000	-0.000
YGR131W	7.423	-16.502	-2.075	3.172
YGL241W	7.463	-6.351	-11.281	-12.258
YGR132C	-4.395	-0.000	-49.400	-21.077
YGL242C	3.954	5.119	4.984	25.967
YGR133W	11.761	3.306	-0.621	6.959
YGL243W	3.957	-25.744	8.178	13.622
YGR135W	9.882	-18.576	18.322	-23.951
YGL244W	-1.950	-64.757	8.602	-24.339
YGR136W	4.892	-20.311	8.379	23.336
YGL246C	-9.918	-0.000	-29.964	-0.000
YGR137W	13.771	-5.927	13.979	10.798
YGL248W	15.436	5.685	-8.906	11.240
YGR138C	12.618	-14.366	-4.069	22.717
YGL249W	10.387	-6.435	-6.600	-3.274
YGR139W	18.624	-24.814	5.741	13.283
YGL250W	0.977	-15.365	32.832	8.761
YGR141W	-2.919	-32.587	-10.379	5.497
YGL251C	16.743	-10.301	13.751	-0.146
YGR142W	6.745	10.010	-11.210	11.503
YGL252C	26.021	-7.660	-18.207	7.178
YGR143W	26.255	-52.891	-9.643	39.627
YGL253W	3.241	12.176	-2.899	-19.083
YHR138C	3.665	8.922	-7.142	17.063
YHL027W	36.982	-20.858	-25.712	-26.066
YHR139C	21.557	-6.922	1.867	13.166
YHL026C	-1.022	6.943	-9.620	8.168
YHR139C-A	17.285	-8.546	-0.037	13.649
YHL023C	15.223	19.114	18.036	-10.754
YHR142W	11.447	25.671	3.885	-5.970
YHL022C	-5.188	-0.000	-53.175	-27.092
YHR143W	-4.060	-2.111	-11.883	5.898
YHL021C	21.711	-0.978	11.184	-17.788
YHR147C	1.524	-0.000	-0.000	-0.000
YHL020C	15.749	15.318	1.024	4.329
YHR150W	13.429	16.731	-4.833	-6.248
YHL019C	-1.777	-5.913	-17.561	-25.630
YHR151C	-1.449	-1.775	7.753	-13.785
YHL017W	-0.124	12.558	20.066	6.945
YHR152W	12.250	-36.763	-9.019	23.500
YHL016C	2.557	18.612	-24.075	-25.915
YHR153C	8.181	-5.934	11.696	20.619
YHL014C	-10.166	6.094	9.352	22.167
YHR154W	-5.980	-0.000	-41.423	7.686
YHL013C	9.341	-22.704	-35.122	10.366
YHR155W	13.901	-18.829	11.343	6.162
YHL012W	5.474	-12.465	-45.354	-1.558
YGR108W	-17.634	-7.196	-9.940	-17.609
YGL224C	18.536	-2.137	4.253	13.327
YGR109C	-1.295	-8.377	-9.481	5.841
YGL226C-A	1.292	-13.506	-7.097	6.565
YGR111W	10.068	15.996	0.066	-8.706
YGL226W	16.564	-15.828	-2.138	11.903
YGR112W	-3.202	-0.000	-0.591	3.710
YGL227W	-4.270	-33.794	-5.097	0.391
YGR118W	20.921	-21.041	1.659	2.178
YGL228W	-9.724	-0.000	-19.700	-8.569
YGR121C	-5.819	-25.589	-25.983	3.742
YGL229C	5.354	37.642	15.367	12.666
YGR123C	4.285	2.659	-4.011	9.539
YGL230C	4.882	10.634	0.296	14.408
YGR124W	-7.911	26.101	-8.127	-10.899
YGL231C	8.759	12.060	-8.897	20.621
YGR125W	16.261	23.838	-9.515	13.837
YGL232W	-1.343	-27.422	11.088	5.124
YGR126W	-7.536	1.131	24.722	22.602
YGL234W	2.525	-11.559	-2.690	-12.101
YGR127W	10.564	-19.108	-21.480	19.419
YGL236C	12.114	-29.875	0.911	25.288
YGR129W	-9.131	-0.000	-20.770	2.205
YGL237C	-11.219	7.507	-10.962	17.857
YHR123W	5.578	-26.362	15.416	-24.737
YHL040C	-10.017	-0.000	10.543	-7.830
YHR124W	0.594	-3.098	4.250	-6.671
YHL038C	-0.613	-0.000	-0.000	-0.000
