ORF	hap a | growth (colony size) | streptomycin [40 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | neomycin [5.5 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | amitrole [22 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | cycloheximide [45 ng/ml] | Alamgir M~Golshani A, 2010
YBR188C	-0.792	-10.552	-9.824	-10.060
YAR040C	5.288	-9.237	-7.941	2.946
YBR194W	-4.350	16.177	10.887	-15.992
YAR042W	3.701	-2.301	5.610	-19.866
YBR195C	8.355	14.997	19.444	1.528
YAR043C	-1.366	16.000	15.290	-23.849
YBR197C	5.624	8.908	-2.972	-5.577
YAR044W	15.943	4.717	-4.265	6.470
YBR199W	-2.213	7.931	-4.379	-3.126
YAR047C	-1.980	15.207	9.667	3.826
YBR200W	-13.537	-3.938	-2.123	-27.660
YBL001C	-2.948	-0.558	19.421	7.569
YBR201W	3.061	5.981	3.337	-8.487
YBL002W	-4.006	5.852	10.583	-3.861
YBR203W	-7.053	8.876	1.131	27.758
YBL003C	-8.706	6.335	3.117	2.280
YBR204C	-6.445	4.525	20.556	7.297
YBL005W	-11.221	-4.713	-0.297	13.150
YBR205W	-16.101	1.716	-15.216	2.886
YBL006C	-4.931	-32.516	-19.506	-13.534
YDR121W	-2.783	-14.859	12.647	1.313
YCL036W	-17.560	-20.805	-2.895	-9.462
YDR122W	19.172	15.057	0.647	20.933
YCL037C	-0.000	-0.000	-12.761	-10.344
YDR123C	12.482	13.790	5.333	-0.943
YCL039W	23.592	18.638	13.174	29.559
YDR124W	13.824	7.055	12.794	9.214
YCL040W	21.723	11.049	2.077	17.943
YDR125C	8.641	16.905	-1.424	-20.497
YCL042W	-0.143	17.899	3.543	13.984
YDR126W	-21.015	3.537	8.920	-4.549
YCL044C	29.126	24.531	-7.715	12.693
YDR127W	-36.571	-12.969	-14.136	-24.891
YCL045C	-6.215	3.899	-17.810	-6.786
YDR128W	-2.970	-1.178	-1.422	-15.122
YCL046W	-11.004	6.697	1.776	-13.439
YDR129C	-27.314	-29.402	-15.767	-26.441
YCL047C	-18.971	3.501	8.983	-37.239
YDR130C	-9.522	7.998	9.248	8.320
YCL048W	-29.414	7.617	23.477	-7.566
YDR131C	-4.540	3.018	-13.295	-4.905
YCL049C	-13.537	15.539	3.089	7.081
YDR132C	-18.705	12.203	-12.366	24.147
YCL050C	-1.048	3.964	-4.380	-2.276
YBR174C	3.548	-22.300	-9.901	-16.054
YAR002W	-1.786	-3.197	13.236	-11.465
YBR175W	15.644	-9.365	6.777	14.903
YAR003W	-3.828	-22.372	7.578	-16.791
YBR176W	4.718	-1.556	-8.499	9.185
YAR014C	-17.209	-3.590	3.904	5.388
YBR177C	-6.928	0.116	0.115	-0.912
YAR015W	-3.319	9.523	8.270	-5.542
YBR178W	2.453	7.620	10.233	-21.870
YAR018C	11.885	9.004	2.835	7.554
YBR179C	5.703	3.761	17.294	-7.129
YAR020C	18.365	11.790	24.498	2.232
YBR180W	-8.859	4.060	7.504	2.459
YAR023C	11.043	6.769	-8.352	-14.304
YBR181C	0.066	-28.797	15.828	-4.684
YAR027W	9.346	4.089	2.719	12.044
YBR182C	-5.986	-0.162	11.738	-42.043
YAR028W	-8.875	3.057	23.892	-2.424
YBR183W	-4.848	-14.968	10.375	-5.377
YAR029W	-36.554	-0.058	-11.678	-16.707
YBR184W	-17.493	4.739	3.830	-13.996
YAR031W	-6.512	-5.635	20.122	2.629
YBR185C	-7.725	-9.835	5.711	8.104
YAR030C	-12.350	-4.381	0.669	6.094
YDR107C	-5.271	7.038	-1.016	2.396
YCL014W	12.121	6.330	0.387	59.901
YDR108W	21.881	-7.260	-43.396	6.326
YCL016C	-7.256	-4.627	-7.310	-1.421
YDR109C	6.092	-5.994	-4.934	5.673
YCL024W	5.113	5.536	-4.905	-2.784
YDR110W	6.222	9.843	-2.674	18.903
YCL025C	-11.076	-3.912	12.937	14.835
YDR111C	-0.000	-0.000	4.358	12.189
YCL026C	2.638	-14.658	-19.087	14.425
YDR112W	19.384	11.943	-10.715	-26.333
YCL027W	-11.913	-6.719	-7.494	-4.640
YDR114C	-11.568	-0.000	-5.357	-0.000
YCL028W	15.276	16.024	12.906	4.887
YDR115W	-2.687	-0.000	-0.000	-0.000
YCL029C	1.861	2.138	-6.342	14.462
YDR116C	18.446	20.411	11.514	8.599
YCL030C	-4.577	5.551	16.692	9.110
YDR117C	-13.205	12.423	1.024	-28.428
YCL032W	-22.712	-7.499	3.586	19.671
YDR119W	-10.791	-14.395	14.195	0.342
YCL033C	4.822	-16.046	3.009	-5.911
YDR120C	-20.838	-2.415	-5.006	8.119
YCL034W	-5.532	13.919	-1.223	16.670
YBL083C	3.923	-16.072	-6.405	-10.269
YAL017W	15.368	-7.227	-3.561	17.785
YBL085W	-3.469	-0.222	-3.877	13.860
YAL015C	31.353	6.980	1.693	25.027
YBL086C	37.705	4.661	-0.124	11.069
YAL014C	25.519	8.044	34.520	6.910
YBL087C	8.918	1.972	-2.575	27.133
YAL013W	14.254	-10.273	-2.975	-66.284
YBL088C	27.364	15.958	-2.192	21.996
YAL011W	15.277	0.719	-7.858	-13.119
YBL089W	22.620	8.462	9.253	8.149
YAL010C	17.955	-8.120	-5.006	8.467
YBL090W	-12.238	-0.000	-0.000	-0.000
YAL009W	-3.664	-0.000	-0.000	-0.000
YBL091C	11.407	10.210	-25.696	-5.416
YAL008W	20.969	2.200	-8.984	-18.213
YBL093C	-6.334	-21.688	-9.957	-54.928
YAL007C	9.941	5.862	9.732	2.763
YBL094C	-17.461	-38.652	-30.178	-43.413
YAL004W	-3.009	-6.798	6.143	-22.568
YBR093C	-1.981	-1.849	-9.232	11.727
YAL005C	-3.479	-4.360	-1.722	4.844
YBR173C	-14.062	-19.693	1.438	-13.613
YAL002W	0.362	-10.430	-3.523	-5.113
YDR094W	0.965	-5.352	-12.555	2.648
YBR267W	-5.392	-12.653	29.157	-5.064
YDR095C	41.001	-1.675	1.240	3.466
YBR268W	-7.515	-3.755	11.141	6.038
YDR096W	36.467	11.517	4.305	7.892
YCL001W	8.239	7.332	13.232	6.677
YDR097C	-1.903	-22.051	2.435	10.492
YCL002C	10.027	8.209	9.547	-15.072
YDR098C	16.093	3.770	3.013	-4.909
YCL005W	-27.890	-21.664	-2.013	10.093
YDR099W	28.241	9.496	5.295	-1.817
YCL007C	-0.512	-0.000	-0.000	-0.000
YDR100W	9.842	18.694	-3.516	-5.637
YCL008C	-10.395	-57.680	-38.619	-42.193
YDR101C	8.856	2.563	13.905	4.839
YCL009C	-6.572	-1.970	0.620	4.567
YDR102C	11.938	14.842	13.082	8.767
YCL010C	-9.420	-5.274	-0.229	1.017
YDR103W	6.688	6.222	-5.103	7.662
YCL011C	9.512	3.336	-10.263	1.691
YDR104C	-6.441	-10.428	-4.849	-20.381
YCL012W	-8.799	-2.158	-6.170	-5.648
YDR105C	-38.832	2.491	2.312	9.987
YCL013W	-14.421	-5.371	-26.271	-14.317
YBL067C	5.214	-21.882	-2.978	-1.803
YAL031C	0.898	-11.977	-3.913	3.094
YBL068W	31.441	6.828	1.861	-2.665
YAL030W	-24.817	16.426	-6.698	28.520
YBL069W	39.023	7.498	0.241	7.614
YAL029C	34.532	6.424	-2.931	13.558
YBL070C	37.343	24.977	6.861	32.744
YAL028W	28.999	-8.428	14.879	-0.828
YBL071C	26.103	5.314	-6.000	11.465
YAL027W	5.629	15.757	35.134	-0.912
YBL072C	8.844	7.610	-32.512	-15.790
YAL026C	-72.071	-16.223	-56.485	5.205
YBL075C	20.969	16.567	-3.387	-0.083
