orf	hap a | growth (colony size) | streptomycin [40 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | neomycin [5.5 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | amitrole [22 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | cycloheximide [45 ng/ml] | Alamgir M~Golshani A, 2010
YAL002W	0.02184924878867381	-0.6408280315613489	-0.24484249878858652	-0.2908474693330145
YAL004W	-0.20461045856818885	-0.412377696486023	0.3427292877711203	-1.2361194957780541
YAL005C	-0.23619126856504688	-0.2590968851668253	-0.13536602953134133	0.248408470021709
YAL007C	0.6653742414397955	0.38373674071906705	0.5608756375396066	0.13568992703606927
YAL008W	1.4062382059992267	0.1534722194386307	-0.5768249820623659	-1.0003082984789815
YAL009W	-0.24858627749112525	0.015120019888017946	-0.030692710544086302	-0.01394816248916856
YAL010C	1.2037338897428966	-0.4954994722844251	-0.3349881323948784	0.44458835248637385
YAL011W	1.0238440352261642	0.06031707828012958	-0.5083885834424386	-0.7244180972647445
YAL012W	-1.1068946338889052	-0.7076518983885405	-0.2484096300542543	0.2167838096342757
YAL013W	0.9551002554201188	-0.6308991227766342	-0.21152554680190086	-3.6036022511002646
YAL014C	1.711904556385349	0.5210044093420513	2.0677511926673504	0.3602899427382079
YAL015C	2.1037973761377384	0.4540563287004023	0.07222171976007041	1.3414124775227485
YAL016W	0.057219423675083037	0.015120019888017946	-0.030692710544086302	-0.01394816248916856
YAL017W	1.0299554727241929	-0.4393979901182174	-0.24713478039876724	0.9491971284259207
YAL018C	-0.15977940026417806	-0.061956370914865735	0.2071030496697228	-0.06561743956158514
YAL019W	-0.04156073043723421	0.08926205191812696	0.6596149589466322	1.0964760048074451
YAL020C	-0.33787064891044905	-0.6457588410001658	0.2836546356145132	-0.2630528371700658
YAL021C	-0.41081479219478007	-3.524981144341495	-0.6130171414755679	-2.6564871175929157
YAL022C	0.6122274258939869	0.5652321786333806	-0.05572658616769827	0.11433822672041427
YAL023C	-0.34563911340908654	-0.3487763454051918	0.264997828201692	-0.835814874343408
YAL024C	-1.1082221723183774	0.12981466030309702	0.07722971876964081	1.1998208771449501
YAL026C	-4.844093862338286	-1.005109552962892	-3.4643360378507477	0.26791543859693945
YAL027W	0.37573148412030455	1.0060295879225412	2.105073561106475	-0.0633221304237538
YAL028W	1.945679048857186	-0.51488975077517	0.8737781308987829	-0.058795957713345164
