orf	hap a | growth (colony size) | streptomycin [40 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | neomycin [5.5 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | amitrole [22 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | cycloheximide [45 ng/ml] | Alamgir M~Golshani A, 2010
YAL002W	0.3616536666666666	-10.430456	-3.5228388333333327	-5.113
YAL004W	-3.0093566666666667	-6.797788499999999	6.142922333333332	-22.567633333333333
YAL005C	-3.4794590000000003	-4.3604175000000005	-1.7219126666666666	4.844466666666667
YAL007C	9.940971	5.8615015	9.731506000000001	2.7630966666666663
YAL008W	20.969246666666667	2.199985999999999	-8.984066666666665	-18.213333333333335
YAL009W	-3.6639673333333334	0.0	0.0	0.0
YAL010C	17.954829	-8.119536499999999	-5.005766	8.466966666666666
YAL011W	15.277043333333333	0.7186939999999998	-7.858264000000001	-13.118966666666667
YAL012W	-16.4404845	-11.493045333333333	-3.581519388888889	4.260511111111112
YAL013W	14.253744333333332	-10.272573	-2.974763333333334	-66.28366666666666
YAL014C	25.519302999999997	8.044242	34.520135333333336	6.91038
YAL015C	31.352900333333334	6.979677499999998	1.6929783333333326	25.027
YAL016W	0.8881633333333333	0.0	0.0	0.0
YAL017W	15.368016333333332	-7.227447499999999	-3.560547666666667	17.784666666666666
YAL018C	-2.3420151666666675	-1.22561825	3.911823333333333	-0.9540833333333332
YAL019W	-0.5822479999999987	1.1789580000000002	11.355802333333335	20.5042
YAL020C	-4.993027333333333	-10.5088625	5.1711236666666665	-4.599766666666667
YAL021C	-6.078851666666666	-56.29236849999999	-9.579440333333332	-48.794999999999995
YAL022C	9.149843666666667	8.747523000000001	-0.41181599999999935	2.3688333333333333
YAL023C	-5.108666333333333	-5.7864415	4.864212666666666	-15.17593
YAL024C	-16.46024583333333	1.823799	1.7753616666666663	22.41248333333333
YAL026C	-72.07129566666667	-16.223022	-56.48463233333333	5.204666666666667
YAL027W	5.629437000000002	15.7567945	35.134101333333334	-0.9117000000000001
