orf	hom | growth (pooled culture, barseq) | standard | YPG [5%] | Qian W~Zhang J, 2012	hom | growth (pooled culture, barseq) | standard | YPE [2%] | Qian W~Zhang J, 2012	hom | growth (pooled culture, barseq) | standard | SC | Qian W~Zhang J, 2012	hom | growth (pooled culture, barseq) | standard | OAK | Qian W~Zhang J, 2012	hom | growth (pooled culture, barseq) | standard | ETH | Qian W~Zhang J, 2012	hom | growth (pooled culture, barseq) | standard | YPD | Qian W~Zhang J, 2012
YAL001C	-0.7712006459760976	-0.2935470401389902	0.09569465973607574	-0.8314838717957084	-0.05060740566014037	-0.2084118384908305
YAL002W	-0.5258304706072972	-0.6962288837528882	-0.47726051130758596	-4.714369928685863	-0.29298726041928524	-1.0405784572999002
YAL004W	-0.337290031480117	-0.2934929469612365	0.3088868168400174	-1.1392155792677452	-0.005194120916725318	0.13666839164797606
YAL005C	-0.43206489607030846	-0.5448053710908181	0.24593446240502034	-1.2652225806496815	-0.03392492225926475	0.034476603804332186
YAL007C	0.07553038315976657	0.06641871559621958	0.22305588149879466	-0.3929001344995074	0.0058823346597787415	0.003763645359157318
YAL008W	0.0511774610537971	0.05436379364189031	0.43473667035653685	-0.05042665882496478	-0.043832253867905006	0.07258057136812761
YAL009W	-1.71039183838902	-0.5822859235537364	-0.1316178745355895	-2.4918191363175017	-0.7887210090317346	-1.55964541247127
YAL011W	0.15692420750638789	0.03631510959473003	0.3034157120150388	-1.0219520035693397	-1.1273664808938615	-0.7569228523786921
YAL013W	-1.1173734772685182	-1.3753973192943483	-0.27956144804821326	-0.06548942038556418	-2.858664803749001	-1.369200657675021
YAL014C	0.3789201389386394	0.2990626548026076	0.5695517736253322	-0.14463434053030902	-0.019156895532813183	0.2921213073189296
YAL015C	-0.1390760938764209	-0.23681273673463582	-0.038846905366025725	-1.2720382330741584	-0.3948612744100274	-0.4919331508764087
YAL017W	-0.06051489309208535	-0.16081294138712451	0.34048239902377986	-0.12500661375265215	-0.055648557049605744	-0.14905495668924135
YAL018C	0.04654366951513952	-0.011841128201850367	0.34055167430289246	0.05797056479320525	-0.03999313503786521	0.05089618174152291
YAL019W	0.08065572036524488	-0.1017815098310628	0.15644738482796247	-0.3526377141205477	-0.1661607627289233	0.08751730395643914
YAL020C	-0.43725392760250886	-0.5107944759887606	0.24115679988688213	-0.8132541627931976	-0.5720864085693227	-0.21520131887173455
YAL021C	-1.651295678012089	-0.8855791380105359	-1.5933292009448188	-3.0617301753139388	-1.0226754518554955	-2.873320176881809
YAL022C	0.38992583860132024	0.2926145177703574	0.6608747864627147	0.026625448179742387	0.0870298860273	0.42612671656331874
YAL023C	-0.29371157708818346	-0.05974199333352954	-1.5780374683737504	-1.0497125491422084	-0.6542490952893537	-1.0445328563155643
YAL024C	-1.9038147397125733	-1.5838702605770725	-0.10232150661819561	-1.1533628808579979	-0.2801889713776951	-1.2141205419829153
