genenames	ps-341	ps-519
wt	1300	1200
rpn4	50	10
rpn10	200	40
pre9	650	150
apg17	250	120
vam3	800	400
doa4	1000	200
vik1	130	120
ctf19	250	120
bik1	250	120
mcm21	400	200
pfd1	600	120
iml3	600	400
chl4	1000	250
clb2	250	100
chl1	250	100
ccr4	250	170
lte1	400	120
ctf8	400	170
sic1	500	200
cdc26	1200	400
clb5	1200	500
scp160	450	350
she1	500	200
whi3	500	400
src1	1200	800
apn1	250	170
rad50	250	250
rad51	400	170
nup2	250	200
nem1	250	350
spo7	250	500
ymr048w	1000	200
snf2	130	40
sin3	130	40
swi3	150	40
esc4	600	400
ymr263w	1000	200
hta1	1000	600
pdr5	200	200
erg3	250	250
erg2	650	200
erg4	1000	80
pro1	200	60
yml013w	200	250
yor258w	200	400
ylr386w	250	50
ycl016c	250	200
ypl017c	400	170
idp1	500	200
swm1	500	250
yer083c	650	600
tof1	1200	350
