orf	hom | growth (pooled culture, microarray) | standard | SC - Ade | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Arg | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Lys | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Met | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Trp | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | 16001701 | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | CCCP [32 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | cisplatin [200 uM] | YPD | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | FCCP [6 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | YPG [3%] | Acton E~Giaever G, 2017
YAL015C	-0.012436432	0.001975362	-0.041499515	0.05457187	-0.116662238	0.079453168	0.038493323	-0.018895222	-0.080086195	0.23208916
YAL016C-B										
YAL017W	-0.180182738	0.074316799	-0.077139998	-0.050917014	-0.140026458	-0.068755672	-0.048676781	0.025028013	-0.090280546	0.069743087
YAL018C	0.107581075	0.046268156	0.033662889	0.006519042	0.074475452	0.077451822	-0.062105686	0.013243675	-0.04523931	-0.098991906
YAL019W	0.102584775	0.013148728	0.074313111	0.184980641	-0.072787206	-0.054210867	0.182258995	-0.437147239	0.143793937	-0.049961035
YAL020C	-0.107138063	-0.05510349	-0.071948605	-0.019847261	-0.066525254	-0.036916124	0.268410348	-0.076383988	0.264075099	0.223293707
YAL021C						-0.251816256	0.040358617	-0.502198416	-0.168329744	0.562662962
YAL022C	-0.073881455	-0.104137795	-0.130096194	0.028093311	-0.092227263	0.081662092	0.016381056	0.104322748	0.140269072	0.092539363
YAL023C	0.505677521	0.617566411	0.59601391	0.521121293	0.493372144	0.350101104	-0.22101649	0.095920023	-0.224583945	0.499466903
YAL024C	0.026174674	-0.162002976	0.051567153	0.048383437	-0.075371498	-0.136707596	-0.384847786	-0.71944531	-0.226012138	0.275538061
