orf	hom | growth (pooled culture, microarray) | standard | SC - Ade | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Arg | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Lys | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Met | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Trp | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | 16001701 | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | CCCP [32 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | cisplatin [200 uM] | YPD | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | FCCP [6 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | YPG [3%] | Acton E~Giaever G, 2017
YAL002W	-0.6968496699205482	-0.3066878113318206	1.2559979624226734	1.1688191549809301	-0.41737819594760234	-0.34395958124552395	0.5003253466797916	-0.5395882417924291	0.17411000252043135	-0.5009502762898377
YAL004W	0.15804262492330573	0.23634189540165101	0.37267085901872665	1.1798276176401201	-0.13056455087743604	0.08179043191300817	-0.34237988853530243	0.5778031126938612	-0.3738600002291761	-0.34737925476702036
YAL005C	0.149406794866945	-0.0018230176195707974	0.04959601065379113	0.30344349495120104	0.07805353524690435	-0.12891296062630128	-0.18922572752121908	-0.6058691304803808	-0.3971937185503303	-0.4775654242907372
YAL007C	0.13743618500325042	-0.43699040200113204	-0.30880121248584286	-0.018319754662899826	-0.04528296965717927	0.6485668881583445	-0.227064075925248	-0.14060894115373015	-0.05891751452503887	-0.15222319299568782
YAL008W	0.06791461008692597	0.04967249408341828	0.12542744060755925	-0.054186856037858035	0.13547137486699554	-0.02011367027406931	-0.4326163869197727	-0.36317966561181964	-0.3303483829633832	-0.4021372229004485
YAL009W	0.3390209546708023	0.12764541787099992	-0.019223542563239812	0.1815742833653906	-0.07276154329456855	1.0577844166139567	0.5667386472626064	0.5975730388361371	0.08952943495836893	0.8367964333046054
YAL011W	-0.24175772251272232	-0.23047793131798522	-0.32104461625119507	0.2829339362165426	-0.20652471367643505	0.05487871891201695	0.03260261158093674	0.0487704941538945	0.11492957794619076	0.11149225916138361
YAL012W	0.25645881459271797	0.1315637762288531	0.12476441716291709	-1.6709385600236069	-0.09419715737402437					
YAL013W	0.269370640871417	-0.119166077721997	0.6585382347755541	0.19912340672014595	-0.5109595719673241	0.5310111353274373	-0.6974790024757006	1.1714713768478238	-1.1421556330923797	-0.18668339415844365
YAL014C	-0.009195751494534887	-0.1622019058572984	0.08273285321826017	0.6157012030835988	-0.5799951229471902	0.08830707146270396	-0.10158508600418362	-0.06731803638344375	0.027910661435862037	-0.15348900503782506
