orf	hap alpha | growth (culture turbidity) | DiKU+Trp (DiKU+Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | DiKU-Trp (DiKU-Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | HLKU [unknown] | Cai H~Becker JM, 2006
YBL087C	0.684	-0.379	0.9840000000000001
YBL088C	0.7340000000000001	0.637	1.065
YBL089W	0.773	-0.055	0.966
YBL090W	0.802	0.397	0.925
YBL091C	0.862	-0.009000000000000001	1.051
YBL091C-A	0.826	0.809	1.2670000000000001
YBL093C	0.5720000000000001	1.349	0.442
YBL094C	1.064	0.41600000000000004	1.024
YBL095W	1.4580000000000002	1.18	0.883
YBL096C	0.985	1.825	0.792
YBL098W	1.776	3.515	0.7929999999999999
YBL099W	0.055999999999999994	0.86	0.775
YBL100C	0.929	1.113	0.82
YBL101C	1.415	1.575	1.1
YBL102W	0.606	0.35600000000000004	1.06
YBL103C	1.584	13.03	0.6679999999999999
YBL104C	1.077	-2.9419999999999997	1.075
YBL106C	0.978	0.987	1.4469999999999998
YBL107C	0.574	-0.863	0.7959999999999999
YBR001C	1.188	2.299	0.846
YBR003W	0.9790000000000001	0.685	0.8809999999999999
YBR005W	0.799	0.902	1.126
YBR006W	1.178	0.502	0.971
YBR007C	0.6409999999999999	0.49200000000000005	1.113
YBR008C	1.138	1.315	1.061
YBR009C	1.317	0.638	0.851
YBR010W	1.5930000000000002	1.06	0.92
YBR012C	1.069	0.565	0.9179999999999999
YBR013C	1.526	0.516	1.004
YBR014C	1.128	0.39	0.851
YBR015C	1.11	0.473	0.9540000000000001
YBR016W	1.567	0.9740000000000001	0.8140000000000001
YBR018C	1.486	-0.01	0.8170000000000001
YBR019C	1.9280000000000002	1.055	0.825
YBR020W	1.1340000000000001	0.67	1.161
YBR021W	0.363	3.1689999999999996	0.573
YBR022W	0.359	0.76	1.179
YBR023C	0.514	0.465	1.041
YBR024W	0.75	0.575	1.288
YBR025C	0.508	0.307	1.111
YBR026C	-0.005	0.1	0.83
YBR027C	0.674	-0.302	1.261
YBR028C	1.193	0.34600000000000003	1.2009999999999998
YBR030W	1.0490000000000002	-0.302	0.9620000000000001
YBR031W	1.085	0.136	1.15
YBR032W	1.6469999999999998	1.44	1.1440000000000001
YBR033W	1.3	0.855	1.107
YBR034C	0.14400000000000002	0.67	1.104
YBR035C	1.207	7.722	1.0270000000000001
YBR036C	0.9420000000000001	0.302	0.8440000000000001
YBR037C	1.15	0.619	1.0959999999999999
YBR039W	1.811	3.545	0.88
YBR040W	0.889	0.616	1.02
YBR041W	0.9620000000000001	0.24600000000000002	1.071
YBR042C	0.69	0.512	1.113
YBR043C	0.8740000000000001	0.745	1.042
YBR044C	1.262	1.2229999999999999	1.1520000000000001
YBR045C	0.385	0.45799999999999996	1.0190000000000001
YBR046C	0.365	0.45799999999999996	1.143
YBR047W	0.599	0.475	0.972
YBR048W	1.0490000000000002	0.049	1.176
YBR050C	1.4	0.555	1.07
YBR051W	1.334	0.076	1.172
YBR052C	0.5710000000000001	-0.256	1.0190000000000001
YBR053C	1.324	-0.502	1.064
YBR054W	1.341	1.705	1.204
YBR056W	1.347	-0.5529999999999999	1.157
YBR057C	1.37	-0.361	1.064
YBR058C	0.11900000000000001	-0.6579999999999999	1.212
YBR059C	1.518	2.032	1.064
YBR062C	1.361	0.268	1.238
YBR063C	1.4969999999999999	0.11199999999999999	1.146
YBR064W	1.103	0.095	1.205
YBR065C	0.809	-0.568	1.131
YBR066C	1.012	-0.675	1.2770000000000001
YBR067C	1.097	-1.493	1.1340000000000001
YBR068C	1.139	-2.253	1.251
YBR069C	0.986	-0.775	1.115
YBR071W	1.3359999999999999	-2.088	1.155
YBR072W	1.16	3.5469999999999997	1.172
YBR073W	0.613	-1.739	1.0170000000000001
YBR074W	0.316	-0.04350000000000004	1.112
YBR076W	0.5589999999999999	0.39899999999999997	0.997
YBR077C	1.511	0.7020000000000001	0.94
YBR078W	1.156	8.465	0.807
YBR081C	1.666	4.652	0.551
