ORF	hap a | mitotic recombination (frequency of Rad52 foci) | standard [standard] | Styles EB~Andrews BJ, 2016	hap a | mitotic recombination (frequency of Rad52 foci) | phleomycin [2.5 ng/uL] | Styles EB~Andrews BJ, 2016
YBR074W	-0.355	2.721
YBR075W	0.289	0.478
YBR076W	-2.188	-1.140
YBR077C	-1.250	0.662
YBR078W	0.700	2.011
YBR082C	0.776	0.693
YBR083W	0.506	0.537
YBR084C-A	0.651	1.285
YBR084W	0.008	-0.415
YBR085W	0.647	0.674
YBR086C	-0.638	1.319
YBR090C	-0.986	0.627
YBR090C-A	-1.700	-2.017
YBR092C	0.088	0.540
YBR093C	-0.821	0.550
YBR094W	1.474	0.558
YBR095C	2.437	0.085
YBR098W	1.614	2.225
YBR099C	0.653	0.888
YBR100W	2.649	2.267
YBR101C	-0.128	0.248
YBR103W	0.358	0.381
YBR104W	-0.302	-2.177
YBR105C	0.812	0.233
YBR106W	-1.230	-2.663
YBR107C	-0.065	-0.433
YBR108W	-0.675	-0.658
YBR111C	-0.076	1.173
YBR113W	-0.917	-2.158
YBR114W	0.618	2.104
YBR115C	2.013	4.625
YBR116C	-1.222	-0.469
YBR118W	0.538	0.805
YBR119W	-0.142	2.231
YBR121C	-1.052	-1.760
YBR122C	0.041	-0.078
YBR125C	-0.189	-0.117
YBR126C	0.564	1.800
YBR128C	-0.665	-0.004
YBR129C	1.086	0.090
YBR130C	-1.479	-0.006
YBR131W	-1.302	2.390
YBR132C	-0.432	1.194
YBR134W	-0.113	-0.392
YBR137W	-0.678	-0.058
YBR138C	-0.327	-1.129
YBR139W	0.274	0.490
YBR141C	-0.053	1.633
YBR144C	2.067	0.050
YBR145W	0.332	0.779
YBR146W	-0.526	0.973
YBR147W	-0.825	-0.156
YBR148W	-0.809	-0.594
YBR149W	-1.196	-0.423
YBR150C	-0.142	-0.275
YBR151W	-0.099	-0.841
YBR156C	-0.366	-0.713
YBR157C	0.085	0.048
YBR158W	-0.208	0.392
YBR159W	0.559	0.675
YBR161W	-0.084	-0.696
YBR162C	-0.219	-0.502
YBR162W-A	0.710	-1.098
YBR164C	-0.347	-0.835
YBR165W	0.322	0.332
YBR166C	-0.010	0.083
YBR168W	0.611	-0.617
YBR169C	-0.226	-0.754
YBR170C	0.314	-0.360
YBR171W	0.563	0.983
YBR172C	1.189	-0.400
YBR174C	1.460	1.096
YBR175W	0.299	0.990
YBR176W	-1.158	-0.973
YBR177C	-0.185	0.223
YBR178W	0.844	-0.440
YBR180W	-0.098	0.608
YBR181C	0.121	3.175
YBR182C	0.321	0.371
YBR183W	0.511	-0.365
YBR184W	0.140	1.713
YBR185C	0.401	0.296
YBR186W	0.643	-0.575
YBR187W	0.465	0.019
YBR188C	-0.989	-1.310
YBR189W	-0.136	1.685
YBR194W	3.310	-0.144
YBR195C	2.551	2.238
YBR197C	-0.331	-0.829
YBR199W	0.676	-1.800
YBR200W	-0.234	2.298
YBR201W	-0.650	-1.358
YBR203W	-0.716	-0.008
YBR204C	-0.234	0.221
YBR205W	-1.134	-2.319
YBR206W	0.365	0.752
YBR207W	-0.924	-0.119
YBR208C	-0.469	-0.148
YBR209W	-0.669	1.267
YBR210W	-1.086	-1.700
YBR212W	-0.246	0.196
YBR213W	-1.269	-2.585
YBR214W	0.306	0.325
YBR215W	-2.400	-1.325
YBR216C	0.718	-0.763
YBR217W	0.296	-0.035
YBR218C	0.885	-0.465
YBR219C	-0.383	0.265
YBR220C	1.072	0.669
YBR221C	3.015	8.317
YBR222C	0.175	0.983
YBR223C	0.214	0.879
YBR224W	0.950	1.426
YBR225W	0.500	0.515
YBR226C	-0.484	-0.641
YBR227C	-0.537	0.547
