ORF	hap a | mitotic recombination (frequency of Rad52 foci) | standard [standard] | Styles EB~Andrews BJ, 2016	hap a | mitotic recombination (frequency of Rad52 foci) | phleomycin [2.5 ng/uL] | Styles EB~Andrews BJ, 2016
YDR315C	-0.053	2.271
YDR316W	0.353	-0.143
YDR317W	0.354	-0.420
YDR318W	-0.604	-0.456
YDR319C	0.306	1.414
YDR320C	-0.150	0.271
YDR321W	-0.850	-0.721
YDR326C	-0.084	1.434
YDR329C	0.489	0.973
YDR330W	0.285	0.303
YDR332W	0.480	1.277
YDR333C	-0.229	-0.435
YDR334W	-0.252	0.573
YDR335W	3.101	4.370
YDR336W	-1.414	16.639
YDR338C	-0.096	0.204
YDR340W	-1.184	-0.888
YDR344C	-1.429	-2.031
YDR345C	-0.027	0.635
YDR346C	-0.584	-0.798
YDR348C	0.411	0.205
YDR349C	-0.671	-0.330
YDR351W	-0.481	-0.387
YDR352W	0.633	0.856
YDR354W	-0.500	NaN
YDR357C	-0.281	-0.333
YDR358W	-1.124	-0.433
YDR359C	-1.996	-2.440
YDR360W	-1.905	-0.535
YDR363W	1.564	-0.180
YDR363W-A	-0.075	-0.718
YDR368W	0.025	0.185
YDR369C	13.826	4.937
YDR370C	-0.230	0.171
YDR371W	-0.402	0.135
YDR372C	0.014	-0.758
YDR374C	-0.244	-0.245
YDR375C	1.179	0.724
YDR378C	0.934	0.227
YDR379W	-0.590	0.617
YDR380W	-0.267	0.230
YDR382W	-0.611	-0.526
YDR383C	1.347	0.234
YDR384C	-0.450	-0.504
YDR385W	-0.089	0.023
YDR386W	1.525	0.065
YDR387C	0.158	-0.353
YDR388W	0.363	3.176
YDR389W	1.194	2.749
YDR391C	-1.754	-0.938
YDR392W	1.413	7.296
YDR393W	2.500	0.914
YDR395W	1.278	-0.018
YDR399W	-0.468	-0.265
YDR400W	-0.444	-0.310
YDR401W	-0.942	0.125
YDR402C	0.739	-0.568
YDR403W	-0.520	-0.619
YDR406W	-0.693	0.965
YDR408C	1.000	NaN
YDR409W	0.489	2.092
YDR410C	-1.933	0.415
YDR411C	0.317	0.438
YDR414C	2.090	-0.259
YDR415C	0.174	0.630
YDR419W	-0.261	0.639
YDR420W	-0.076	-0.604
YDR421W	-1.250	-0.997
YDR422C	-0.182	0.126
YDR423C	0.149	-0.291
YDR424C	-0.949	-0.687
YDR425W	0.171	0.294
YDR426C	0.359	0.997
YDR428C	-0.417	-1.243
YDR430C	0.022	-1.455
YDR431W	0.748	1.129
YDR435C	-0.755	-0.410
YDR436W	-0.004	0.492
YDR438W	-0.075	0.402
YDR439W	-0.213	0.142
YDR440W	4.385	2.069
YDR441C	0.260	-0.104
YDR444W	-1.326	-1.192
YDR445C	0.670	2.064
YDR446W	-0.198	-0.649
YDR447C	0.137	1.490
YDR451C	0.361	0.003
YDR452W	-0.480	-0.359
YDR453C	-0.055	-1.613
YDR455C	NaN	4.532
YDR458C	0.294	-0.944
YDR459C	-0.081	0.769
YDR461W	0.181	11.754
YDR463W	0.082	0.207
YDR465C	-0.231	0.339
YDR466W	-0.221	-0.840
YDR467C	-0.246	0.276
YDR469W	1.696	-0.199
YDR471W	0.559	0.810
YDR474C	0.532	0.460
YDR475C	1.048	2.951
YDR476C	-0.406	1.311
YDR477W	1.546	-0.160
YDR479C	2.009	0.844
YDR480W	0.222	-0.571
YDR481C	-1.155	-1.709
YDR482C	-0.724	0.359
YDR483W	0.706	0.365
YDR485C	3.576	2.456
YDR486C	-0.935	-0.073
YDR488C	-0.757	-2.140
YDR490C	-0.705	-1.955
YDR491C	-0.672	0.256
YDR492W	0.812	0.479
YDR493W	-0.160	-1.820
YDR494W	-0.127	-0.105
YDR496C	-0.055	1.205
YDR497C	6.683	10.603
YDR500C	-2.000	NaN
YDR501W	-0.369	-0.268
YDR502C	-0.226	-0.531
YDR503C	-0.403	-0.747
YDR504C	-0.108	-0.686
YDR505C	-0.285	-0.738
YDR506C	-0.007	0.271
YDR508C	0.840	0.197
YDR509W	-0.514	0.235
YDR511W	0.041	0.684
YDR512C	0.735	1.032
YDR513W	0.321	0.136
YDR514C	-0.852	0.651
YDR515W	-0.329	0.857
YDR516C	-0.538	-0.376
YDR517W	0.521	-0.806
YDR519W	0.647	0.271
YDR520C	-0.905	-0.849
YDR522C	-0.572	0.212
YDR524C	0.683	1.523
YDR525W	-0.355	-0.510
YDR525W-A	-0.442	-0.250
YDR528W	-0.145	0.267
YDR530C	-0.053	0.383
YDR532C	2.361	7.492
YDR533C	-0.507	-0.772
YDR534C	-0.092	-0.189
YDR535C	-0.682	-0.169
YDR536W	0.269	1.672
YDR537C	2.263	1.710
YDR538W	-0.045	-0.007
YDR539W	-0.434	-0.832
YDR540C	-0.336	0.845
YDR541C	0.420	-0.515
YEL001C	-0.256	-0.111
YEL003W	0.367	0.940
YEL004W	-0.769	-1.747
YEL005C	-0.429	-0.388
YEL006W	0.241	-0.639
YEL007W	0.339	-1.841
YEL008W	0.176	0.117
YEL010W	-0.324	-0.087
YEL011W	-0.344	0.048
YEL012W	0.233	1.507
YEL013W	0.691	-0.016
YEL014C	0.357	-0.249
YEL015W	0.135	0.429
YEL016C	-0.783	-0.099
YEL017C-A	0.078	-0.514
YEL017W	1.738	0.280
YEL020C	-0.240	-0.025
YEL023C	-0.461	-1.374
YEL025C	0.017	-0.028
YEL028W	-0.322	0.342
YEL030W	0.150	-0.888
YEL031W	-0.136	1.515
YEL033W	-2.283	-1.361
YEL037C	0.628	1.780
YEL038W	-1.234	-0.668
YEL039C	0.918	1.843
YEL040W	-0.901	-1.334
YEL041W	0.621	-0.193
YEL042W	0.847	-0.441
YEL043W	-0.098	0.065
YEL047C	-0.485	-0.110
YEL048C	-0.608	-0.341
YEL049W	0.645	0.819
YEL052W	-0.397	0.092
YEL053C	-2.058	-0.269
YEL056W	0.768	0.706
YEL057C	-0.161	-0.402
YEL059W	-0.396	-0.086
YEL060C	-1.902	-1.560
YEL061C	-1.050	0.019
YEL062W	NaN	NaN
YEL063C	-2.931	-2.931
YEL064C	0.510	-1.139
YEL065W	0.032	0.173
YEL066W	-0.407	1.386
YEL067C	0.195	-0.481
YEL068C	0.464	0.354
YEL071W	0.099	-0.432
YER001W	0.003	0.783
YER002W	0.295	0.565
YER004W	-0.331	-0.298
YER005W	-0.429	-2.719
YER007C-A	-0.676	0.036
YER007W	-0.579	-0.136
YER010C	0.705	0.917
YER011W	0.403	-1.004
YER016W	-0.918	-0.723
YER019C-A	-0.179	-0.757
YER019W	-0.202	-0.123
YER020W	1.482	1.074
YER024W	0.226	-0.906
YER027C	0.423	0.373
YER028C	0.813	0.700
YER030W	1.004	0.853
YER031C	-0.137	-0.548
YER032W	-0.993	-0.802
YER033C	0.213	-0.817
YER034W	0.907	0.272
YER035W	0.004	-0.699
YER038W-A	0.484	-0.073
YER039C	0.449	-1.321
YER039C-A	0.037	0.301
YER041W	-0.428	-0.106
YER042W	-0.403	-0.058
YER044C-A	-0.272	-0.774
YER045C	-0.277	0.576
YER046W	-1.431	0.535
YER046W-A	0.113	0.795
YER047C	-0.028	-0.462
YER048C	-3.022	-3.057
YER049W	0.220	1.425
YER051W	-0.226	-1.236
YER052C	-2.783	NaN
YER053C	-0.084	-0.490
YER054C	-0.253	-1.095
YER055C	-4.103	-4.103
YER056C	0.570	-0.462
YER056C-A	1.316	-0.659
YER057C	-0.765	-1.118
YER059W	-0.024	-0.472
YER060W	-1.507	-1.619
YER060W-A	-0.765	-0.369
YER061C	2.483	-3.034
YER062C	0.327	2.372
YER063W	0.368	-0.850
YER064C	0.398	0.168
YER065C	0.301	0.642
YER066C-A	0.576	0.897
YER066W	0.446	1.765
YER067C-A	0.104	-0.660
YER067W	0.056	-0.385
YER069W	NaN	4.952
YER071C	0.445	0.033
YER072W	0.222	-0.719
YER073W	0.018	-0.357
YER074W	0.131	-0.404
YER075C	0.804	1.954
YER077C	0.096	0.818
YER078C	-0.691	0.164
YER079W	-0.368	-0.929
YER080W	0.015	-0.156
YER081W	-0.511	-2.090
YER083C	-0.210	-0.769
YER084W	0.258	-1.222
YER085C	0.185	1.102
YER087C-A	1.159	-0.542
YER088C	-0.192	-0.195
YER089C	1.944	-0.190
YER090W	-0.417	NaN
YER091C	0.379	0.890
YER091C-A	1.294	0.236
YER092W	0.155	-0.373
YER093C-A	-0.515	-0.515
YER095W	7.022	8.432
YER096W	-0.277	1.447
YER097W	-0.840	-3.212
YER098W	0.185	0.822
YER101C	-0.428	-2.140
YER106W	-0.458	-1.115
YER108C	-0.594	-2.429
YER109C	0.128	0.222
YER111C	-1.562	-1.426
YER113C	0.899	0.462
YER114C	-0.073	0.081
YER115C	0.114	-0.454
YER116C	7.306	5.522
YER117W	1.089	1.549
YER118C	-0.392	-0.780
YER119C	0.812	-0.085
YER119C-A	NaN	0.730
YER120W	0.332	0.319
YER121W	-1.060	-1.065
YER123W	-0.173	0.323
YER124C	0.550	0.202
YER128W	-0.327	-0.012
YER129W	-1.120	-2.106
YER130C	0.777	0.742
YER131W	0.186	1.859
YER132C	0.036	0.662
YER134C	-0.330	0.250
YER135C	-0.976	-1.259
YER137C	-0.595	-0.799
YER139C	-0.329	-0.268
YER140W	0.427	0.045
YER142C	0.297	-0.074
YER143W	-0.343	0.064
YER144C	-0.305	-0.819
YER145C	2.813	11.397
YER149C	-0.428	0.702
YER150W	-0.122	0.094
YER151C	2.188	5.800
YER152C	-0.262	-0.933
YER153C	0.503	2.368
YER155C	-0.262	1.055
YER156C	-1.117	-0.483
YER158C	-0.502	-0.839
YER161C	1.804	-0.032
YER162C	-0.843	-2.430
YER163C	0.076	0.063
YER164W	4.439	4.225
YER166W	-0.160	0.503
YER167W	-1.515	-1.466
YER170W	-0.115	0.546
YER173W	3.745	3.275
YER174C	-0.005	-0.463
YER175C	-0.987	-0.030
YER176W	0.151	-0.822
YER177W	0.046	1.219
YER178W	15.710	4.444
YER179W	0.990	1.866
YER180C	0.046	-0.806
YER181C	0.406	1.641
YER182W	0.250	0.781
YER183C	-0.700	0.440
YER184C	-0.309	-0.600
YER185W	-0.421	-0.822
YER186C	-0.667	-1.536
YER187W	-0.152	0.027
YER188W	0.211	1.695
YFL001W	-1.406	-2.826
YFL003C	-0.275	2.053
YFL004W	-0.044	0.974
YFL006W	0.232	-0.461
YFL007W	-2.457	-1.600
YFL010C	-0.965	NaN
YFL010W-A	0.645	1.524
YFL011W	0.282	0.715
YFL012W	-0.447	-1.210
YFL013C	-1.050	-0.703
YFL013W-A	-1.073	-1.671
YFL014W	0.013	0.406
YFL015C	0.164	0.910
YFL018C	-0.816	-2.667
YFL019C	-1.295	-0.920
YFL020C	0.567	-0.488
YFL021W	0.195	-0.864
YFL023W	-1.138	-0.570
YFL025C	-0.265	1.017
YFL026W	NaN	NaN
YFL027C	0.610	-0.407
YFL028C	0.399	0.104
YFL030W	1.315	0.753
YFL031W	-0.655	-0.311
YFL032W	-0.219	1.610
YFL033C	-0.144	0.457
YFL034C-A	0.195	-0.062
YFL034W	-0.630	-0.161
YFL035C-B	0.122	0.024
YFL036W	-0.985	1.438
YFL040W	-0.703	-0.179
YFL041W	-0.395	-0.385
YFL042C	-0.577	0.447
YFL043C	0.547	0.525
YFL044C	0.247	0.374
YFL046W	-0.668	-0.040
YFL047W	-0.178	0.750
YFL048C	-0.856	-1.173
YFL049W	1.502	2.269
YFL050C	0.379	-1.406
YFL051C	-0.125	-0.411
YFL052W	0.173	-0.453
YFL053W	0.121	-1.168
YFL054C	-0.391	0.193
YFL055W	0.748	0.985
YFL056C	1.021	0.388
YFL063W	0.287	-0.124
YFR006W	1.454	0.739
YFR007W	0.475	-1.124
YFR008W	0.717	0.645
YFR009W	-1.554	-1.023
YFR010W	3.419	4.848
YFR011C	0.244	-0.367
YFR012W	0.471	1.335
YFR013W	0.146	0.000
YFR014C	-0.388	-0.990
YFR015C	-0.727	-0.451
YFR016C	0.054	0.351
YFR017C	0.683	0.265
YFR018C	0.009	-0.631
YFR019W	10.965	6.108
YFR020W	-0.500	-0.918
YFR021W	-0.131	0.117
YFR022W	0.453	0.639
YFR023W	-1.040	-2.129
YFR024C	-0.483	1.036
YFR024C-A	-0.214	0.574
YFR025C	7.548	27.500
YFR026C	-0.993	-1.219
YFR030W	0.066	0.999
YFR031C-A	0.556	0.225
YFR032C	0.514	1.579
YFR032C-A	-0.268	-0.139
YFR033C	-0.398	-0.392
YFR034C	0.435	0.079
YFR035C	-0.549	-0.043
YFR038W	1.029	-1.311
YFR039C	0.161	0.254
YFR040W	2.252	0.880
YFR041C	0.665	-0.313
YFR043C	-0.120	0.165
YFR044C	-0.622	-1.998
YFR045W	0.013	0.802
YFR046C	0.227	-0.111
YFR047C	0.350	0.817
YFR048W	-0.311	-0.461
YFR049W	-0.953	-1.512
YFR053C	0.069	-0.082
YFR054C	0.408	-0.692
YFR055W	-0.130	0.646
YFR056C	0.263	-0.500
YFR057W	0.367	-1.002
YGL002W	0.981	0.831
YGL004C	-0.611	-1.067
YGL005C	-0.215	0.098
YGL006W	0.213	0.532
YGL007W	5.348	2.778
YGL009C	-2.065	-3.606
YGL010W	-1.412	-0.377
YGL013C	-0.166	-0.141
YGL014W	1.015	0.469
YGL015C	-0.124	-0.841
YGL016W	1.565	2.248
YGL017W	-1.080	-0.679
YGL019W	2.252	1.818
YGL020C	-1.200	0.372
YGL021W	-0.626	-0.065
YGL023C	0.269	0.555
YGL024W	3.260	1.437
YGL026C	NaN	15.515
YGL027C	0.643	1.616
YGL028C	-1.158	-0.985
YGL029W	-0.389	1.365
YGL031C	-0.933	-0.398
YGL032C	-0.268	0.629
YGL034C	0.621	1.236
YGL035C	-0.579	0.411
YGL036W	-0.801	-0.631
YGL037C	-1.158	-1.089
YGL039W	-0.649	0.117
YGL041C	-1.020	-0.961
YGL042C	2.654	3.192
YGL043W	1.672	2.925
YGL045W	-1.021	-0.450
YGL046W	-0.184	-0.280
YGL049C	-0.702	0.223
YGL050W	-1.517	-2.681
YGL051W	-0.428	0.065
YGL053W	-0.101	-0.369
YGL054C	0.716	-0.450
YGL056C	-1.234	-0.799
YGL057C	0.092	-0.014
YGL058W	-0.089	-1.031
YGL059W	0.512	0.537
YGL060W	-0.824	-0.839
YGL062W	-0.437	-0.400
YGL063W	1.304	0.909
YGL066W	2.186	4.278
YGL067W	-0.130	0.924
YGL071W	0.008	-0.829
YGL077C	-0.085	-0.049
YGL078C	0.592	1.891
YGL079W	-0.764	1.687
YGL080W	-0.200	0.077
YGL081W	-0.438	1.358
YGL082W	-0.836	-0.601
YGL083W	-0.286	-1.087
YGL084C	0.935	1.125
YGL085W	-1.237	-1.539
YGL086W	1.381	-0.954
YGL087C	2.564	3.415
YGL089C	-0.330	0.058
YGL090W	0.555	-0.643
YGL094C	1.249	2.514
YGL096W	2.437	1.449
YGL101W	1.494	4.292
YGL104C	-0.101	-0.339
YGL105W	1.217	-7.111
YGL108C	-0.137	-0.258
YGL109W	0.233	2.374
YGL110C	1.096	4.975
YGL114W	-0.287	-0.085
YGL115W	2.545	5.327
YGL117W	-0.343	-1.203
YGL118C	-0.539	-0.713
YGL121C	0.237	-0.240
YGL124C	0.296	-0.219
YGL125W	-0.224	1.551
YGL126W	-0.140	0.836
YGL127C	5.376	0.612
YGL131C	0.355	0.249
YGL132W	-0.132	1.038
YGL133W	-1.093	-0.333
YGL136C	-2.438	-2.148
YGL138C	-0.388	0.282
YGL139W	-0.042	0.300
YGL140C	-0.142	0.378
YGL141W	-0.153	-0.868
YGL144C	-0.923	0.071
YGL146C	0.641	2.116
YGL147C	-0.810	NaN
YGL148W	-0.122	NaN
YGL149W	0.071	-0.503
YGL151W	1.225	2.265
YGL152C	1.200	1.721
YGL153W	0.169	0.547
YGL154C	0.266	-1.575
YGL156W	-1.273	-2.112
YGL157W	-0.456	-2.147
YGL158W	0.469	-0.875
YGL159W	-0.668	-0.025
YGL160W	-0.335	1.053
YGL161C	-0.443	-0.766
YGL162W	-0.223	-0.126
YGL163C	4.808	7.463
YGL164C	-0.276	-0.184
YGL165C	-0.216	0.077
YGL166W	-0.972	-1.433
YGL167C	0.697	0.942
YGL168W	3.762	2.183
YGL170C	-0.347	0.118
YGL173C	-0.973	-0.844
YGL174W	1.517	1.383
YGL175C	-0.308	-0.682
YGL176C	0.087	0.229
YGL177W	-0.232	-1.096
YGL179C	-0.454	0.300
YGL180W	0.237	0.314
YGL181W	-0.886	-0.668
YGL194C	0.110	0.575
YGL195W	1.103	1.360
YGL196W	-0.593	-0.583
YGL197W	0.090	-0.314
YGL198W	-0.165	-0.098
YGL199C	0.094	0.514
YGL202W	-1.097	-0.489
YGL203C	0.976	-1.126
YGL205W	-0.586	-1.121
YGL208W	-1.083	-1.429
YGL209W	-0.139	-0.811
YGL210W	0.588	2.134
YGL211W	-1.910	-0.049
YGL212W	-0.211	2.208
YGL213C	-0.052	2.925
YGL214W	-0.867	NaN
YGL215W	0.311	0.061
YGL216W	-0.413	1.845
YGL217C	0.151	-0.746
YGL218W	10.839	10.823
YGL219C	2.085	4.921
YGL221C	-0.168	-1.102
YGL222C	-0.526	-1.071
YGL224C	-0.495	0.018
YGL226C-A	-0.314	0.367
YGL226W	0.384	-0.531
YGL227W	0.237	0.350
YGL228W	-0.669	0.288
YGL229C	-0.974	-1.689
YGL230C	0.251	1.172
YGL231C	-0.950	-0.967
YGL232W	0.251	-0.408
YGL234W	-0.250	NaN
YGL235W	0.019	0.304
YGL236C	0.842	1.177
YGL237C	-0.185	1.095
YGL241W	-0.648	-0.870
YGL242C	-0.340	-2.020
YGL243W	0.361	-0.389
YGL244W	2.373	1.027
YGL248W	-0.797	-0.088
YGL249W	-0.314	-0.462
YGL250W	0.934	-0.723
YGL251C	0.078	1.064
YGL252C	-0.455	0.491
YGL253W	-0.474	0.539
YGL254W	0.472	-0.805
YGL255W	1.540	0.830
YGL256W	-0.293	-0.335
YGL257C	0.087	-0.982
YGL258W	-0.854	-2.035
YGL259W	-0.802	-0.374
YGL260W	0.167	0.477
YGL261C	0.547	-0.210
YGL262W	-0.085	-0.172
YGL263W	0.396	0.886
YGR001C	-0.033	-0.421
YGR003W	0.925	2.088
YGR004W	0.939	-0.539
YGR007W	0.356	1.107
YGR008C	-0.702	-0.120
YGR010W	-0.229	0.353
YGR011W	0.668	0.500
YGR012W	-0.008	0.454
YGR014W	-0.483	-0.054
YGR015C	-0.231	-0.333
YGR016W	-0.549	-1.440
YGR017W	-0.010	1.131
YGR018C	-0.325	-0.218
YGR019W	-0.637	NaN
YGR021W	0.490	-0.348
YGR022C	0.315	1.370
YGR023W	-0.707	-0.772
YGR025W	-1.304	0.663
YGR026W	-0.163	0.104
YGR027C	-1.581	0.401
YGR028W	0.175	0.337
YGR031W	-0.414	-0.564
YGR032W	1.298	1.386
YGR033C	-0.488	-0.825
YGR034W	0.828	0.970
YGR035C	0.084	-0.411
YGR037C	0.601	0.025
YGR038W	1.841	1.066
YGR039W	-1.294	1.069
YGR040W	1.205	-0.059
YGR041W	-0.358	-1.496
YGR042W	1.063	-0.457
YGR043C	-0.104	0.154
YGR044C	-0.914	-0.927
YGR045C	-0.507	-1.557
YGR049W	-1.631	-0.985
YGR050C	0.639	0.642
YGR051C	-0.734	-1.337
YGR052W	-0.489	1.318
YGR053C	1.237	1.495
YGR054W	0.042	NaN
YGR055W	0.333	-1.200
YGR058W	-1.308	-1.320
YGR059W	-0.064	1.980
YGR061C	-0.121	NaN
YGR066C	-0.326	-1.451
YGR067C	-0.366	-0.360
YGR068C	0.708	2.106
YGR069W	-0.651	0.765
YGR070W	0.320	0.069
YGR071C	-0.946	-1.097
YGR072W	-0.770	-0.270
YGR077C	1.700	0.900
YGR078C	0.990	-0.718
YGR079W	0.359	0.459
YGR080W	-0.057	-0.458
YGR081C	0.515	1.403
YGR084C	-0.810	-0.426
YGR085C	1.182	1.719
YGR086C	0.311	-0.060
YGR087C	-0.186	0.290
YGR088W	-0.316	-1.200
YGR089W	1.760	4.940
YGR092W	0.484	0.895
YGR093W	0.122	1.633
YGR096W	-1.255	-1.272
YGR097W	-2.950	-3.780
YGR100W	0.433	0.538
YGR101W	1.404	3.721
YGR105W	1.215	7.030
YGR106C	0.268	-0.207
YGR107W	0.318	0.615
YGR108W	-0.046	0.402
YGR109C	-0.942	-2.151
YGR110W	0.695	0.579
YGR111W	0.374	0.335
YGR117C	1.039	1.077
YGR118W	-1.009	-0.256
YGR121C	0.165	0.621
YGR122C-A	-0.644	-1.281
YGR122W	-1.922	0.056
YGR123C	0.882	0.679
YGR124W	-1.117	-1.874
YGR125W	-0.027	0.573
YGR126W	0.544	-1.221
YGR127W	0.115	-0.505
YGR129W	-0.195	-1.571
YGR130C	-0.271	-0.005
YGR131W	-0.140	-0.872
YGR132C	-0.339	0.002
YGR133W	0.858	-0.386
YGR134W	0.288	-0.818
YGR135W	-1.329	-1.995
YGR136W	0.608	0.036
YGR137W	-0.774	-0.117
YGR138C	-0.654	-0.577
YGR139W	0.763	0.108
YGR141W	-0.068	-0.696
YGR142W	0.142	-0.233
YGR143W	-0.356	-0.500
YGR144W	0.105	-0.630
YGR146C	-0.020	-0.593
YGR148C	0.524	0.919
YGR149W	-0.390	-1.247
YGR151C	-0.507	-0.929
YGR152C	-0.226	-0.328
YGR153W	0.317	1.991
YGR154C	0.045	0.511
YGR157W	2.510	8.963
YGR161C	-0.254	-0.743
YGR163W	0.239	1.520
YGR164W	-0.095	-0.326
YGR166W	0.575	0.118
YGR168C	-0.405	-0.683
YGR169C	0.650	0.420
YGR170W	0.360	0.731
YGR173W	0.764	0.029
YGR174C	1.142	1.237
YGR176W	0.120	0.939
YGR177C	0.231	-0.120
YGR178C	0.015	1.595
YGR181W	-0.432	-0.304
YGR182C	0.446	0.448
YGR183C	0.042	-0.105
YGR184C	0.822	1.655
YGR187C	-0.333	-0.443
YGR188C	-2.003	0.436
YGR189C	-0.174	-0.375
YGR192C	1.026	1.038
YGR193C	-2.444	11.378
YGR194C	-0.181	-0.266
YGR196C	0.118	-0.745
YGR197C	0.161	0.134
YGR199W	-1.018	0.370
YGR200C	-1.314	2.932
YGR201C	-0.543	-0.723
YGR202C	-0.447	-0.150
YGR203W	1.091	0.042
YGR205W	-1.012	-1.070
YGR206W	-1.019	-1.825
YGR207C	-0.545	-1.190
YGR208W	5.938	NaN
YGR209C	1.184	0.115
YGR210C	-0.645	-0.087
YGR212W	-0.640	-0.109
YGR213C	-0.237	1.307
YGR214W	0.119	-0.800
YGR217W	1.667	1.636
YGR221C	-0.321	-1.299
YGR223C	0.881	1.092
YGR224W	0.283	0.200
YGR225W	1.102	0.112
YGR226C	-0.226	0.152
YGR227W	-0.749	0.108
YGR228W	-0.224	0.858
YGR229C	0.909	0.700
YGR230W	0.573	1.610
YGR231C	-1.820	-1.393
YGR232W	-1.061	-0.351
YGR233C	-0.219	0.864
YGR234W	-0.408	-1.531
YGR235C	-0.602	-0.733
YGR236C	0.741	0.721
YGR237C	0.138	0.510
YGR238C	1.003	0.130
YGR239C	-0.743	1.183
YGR241C	-1.798	-2.029
YGR242W	0.431	1.317
YGR243W	-0.882	-0.428
YGR244C	0.158	-0.083
YGR247W	-1.212	-0.662
YGR248W	0.367	-0.156
YGR249W	0.184	0.565
YGR250C	-0.929	-1.412
YGR254W	0.677	1.281
YGR255C	0.301	0.175
YGR256W	0.007	-0.456
YGR259C	0.145	0.420
YGR260W	0.386	0.283
YGR261C	-0.642	0.680
YGR263C	0.208	0.236
YGR266W	-0.287	0.164
YGR268C	-0.198	1.635
YGR269W	0.082	0.166
YGR270W	1.088	-0.683
YGR271W	-1.297	-0.375
YGR272C	0.817	1.120
YGR273C	-0.077	-0.752
YGR275W	-0.108	0.704
YGR276C	-0.112	-1.119
YGR279C	-1.033	-1.160
YGR281W	-0.289	-0.153
YGR282C	-0.700	-0.896
YGR283C	-0.289	-0.879
YGR284C	-0.543	-1.261
YGR286C	0.179	0.386
YGR287C	-0.322	1.034
YGR288W	-0.674	-0.668
YGR289C	-1.078	-0.840
YGR290W	-0.564	-1.891
YGR291C	-0.449	-1.870
YGR292W	-0.840	-1.168
YGR295C	0.223	0.251
YHL002W	-1.161	-0.414
YHL003C	-0.626	-0.469
YHL005C	1.800	0.841
YHL006C	1.314	2.431
YHL007C	-1.266	-0.866
YHL008C	-0.774	-0.148
YHL009C	-0.139	0.536
YHL010C	0.010	0.324
YHL012W	-0.136	-1.217
YHL013C	0.672	-0.769
YHL014C	0.617	-0.871
YHL016C	-0.280	-0.545
YHL017W	0.117	0.601
YHL019C	-0.029	-0.631
YHL020C	0.732	1.691
YHL021C	-0.314	-1.654
YHL022C	0.212	0.703
YHL023C	0.559	-0.361
YHL024W	-0.285	-1.033
YHL025W	5.965	2.574
YHL026C	-1.386	-0.703
YHL027W	-2.582	-2.488
YHL028W	-0.729	-1.342
YHL029C	0.674	0.967
YHL030W	-0.652	0.014
YHL031C	0.568	4.470
YHL032C	0.121	-0.328
YHL033C	0.518	0.132
YHL034C	-0.520	-0.383
YHL035C	-0.146	0.942
YHL036W	-0.311	-2.026
YHL037C	0.161	0.082
YHL039W	0.180	0.278
YHL040C	0.385	-0.650
YHL041W	0.783	0.166
YHL042W	0.164	-0.162
YHL043W	0.695	0.850
YHL044W	0.878	0.204
YHL045W	0.399	-0.039
YHL046C	-0.148	0.140
YHL047C	-0.925	-1.053
YHR001W-A	-0.245	0.091
YHR003C	-1.447	-1.148
YHR004C	2.271	-0.242
YHR005C	NaN	NaN
YHR006W	1.490	1.320
YHR008C	-1.029	-0.609
YHR009C	-0.896	-0.313
YHR012W	0.121	-0.067
YHR014W	-0.842	0.179
YHR015W	0.278	-0.033
YHR016C	-0.902	-1.838
YHR017W	-0.352	-0.036
YHR018C	NaN	2.487
YHR021C	0.370	-0.178
YHR021W-A	-0.616	-0.043
YHR022C	0.726	0.826
YHR025W	3.000	NaN
YHR028C	0.637	0.587
YHR029C	-0.387	-2.204
YHR030C	0.989	0.413
YHR031C	3.956	2.306
YHR032W	0.031	-0.590
YHR033W	0.496	0.665
YHR034C	-1.262	-0.134
YHR035W	-0.864	-1.270
YHR037W	0.522	1.231
YHR039C	-0.229	-0.503
YHR041C	2.313	4.964
YHR043C	-0.579	-0.846
YHR044C	1.095	3.465
YHR045W	0.584	-0.079
YHR046C	0.303	1.118
YHR047C	-1.310	-0.124
YHR048W	-0.399	0.179
YHR049C-A	0.066	-0.360
YHR049W	0.478	1.126
YHR050W	-0.391	-0.416
YHR057C	-0.354	0.395
YHR059W	7.947	7.947
YHR061C	0.551	1.749
YHR066W	-1.067	-1.734
YHR067W	-0.087	-0.336
YHR073W	-0.275	-0.195
YHR075C	-0.707	-1.130
YHR076W	0.099	-0.313
YHR077C	-2.430	-2.133
YHR078W	-0.257	0.744
YHR079C	0.027	0.602
YHR079C-B	-0.461	-0.423
YHR080C	-0.311	0.832
YHR081W	-1.185	-0.317
YHR082C	2.340	1.310
YHR086W	0.150	-0.728
YHR087W	0.574	-0.464
YHR092C	0.208	-1.366
YHR093W	-0.193	-1.028
YHR094C	-0.256	-0.876
YHR095W	-0.537	0.027
YHR096C	-0.574	1.265
YHR097C	0.093	0.036
YHR103W	0.656	1.613
YHR104W	-0.207	0.677
YHR105W	1.041	0.822
YHR106W	-0.498	-1.604
YHR108W	-0.217	0.341
YHR109W	0.837	0.672
YHR110W	1.363	0.639
YHR111W	0.572	3.203
YHR112C	-0.378	-0.180
YHR113W	-0.366	-1.440
YHR114W	-0.371	-0.370
YHR115C	-0.265	-0.750
YHR116W	0.145	0.297
YHR117W	-0.599	0.739
YHR121W	0.139	-0.155
YHR123W	0.638	1.311
YHR124W	0.468	-0.116
YHR125W	0.371	0.018
YHR126C	0.742	1.019
YHR127W	-0.088	0.164
