ORF	hom | growth (pooled culture) | glyoxal [20 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | methylglyoxal [8 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | glyoxal [80 mM] | YPD | Hoon S~Nislow C, 2011
YBR016W	0.000	0.000	-1.281
YBR018C	0.000	0.000	-1.888
YBR019C	0.000	0.000	-1.451
YBR020W	0.000	0.000	-1.533
YBR021W	0.000	0.000	-1.571
YBR022W	0.000	0.000	-1.119
YBR023C	0.000	0.000	-0.838
YBR024W	0.000	0.000	-0.205
YBR025C	0.000	0.000	-0.908
YBR027C	0.000	-1.699	-1.909
YBR028C	0.000	0.000	-1.949
YBR030W	0.000	0.000	-2.884
YBR031W	0.000	0.000	0.058
YBR032W	0.000	0.000	-2.262
YBR033W	0.000	0.000	-2.208
YBR034C	0.000	0.000	2.608
YBR035C	0.000	0.000	0.882
YBR036C	0.000	0.000	-0.727
YBR037C	0.000	0.000	-1.057
YBR040W	0.000	0.000	-2.154
YBR041W	0.000	0.000	-1.090
YBR042C	0.000	0.000	-1.866
YBR043C	0.000	0.000	-2.226
YBR044C	0.000	0.000	-1.306
YBR045C	0.000	0.000	-2.096
YBR046C	0.000	0.000	-1.184
YBR047W	0.000	0.000	-1.574
YBR048W	0.000	0.000	0.197
YBR050C	0.000	0.000	-0.971
YBR051W	0.000	0.000	-0.796
YBR052C	0.000	0.000	-2.204
YBR053C	0.000	0.000	-0.991
YBR054W	0.000	0.000	-2.097
YBR056W	0.000	0.000	-0.186
YBR057C	0.000	-1.666	-1.120
YBR058C	0.000	0.000	-1.804
YBR059C	0.000	0.000	-1.499
YBR061C	0.000	0.000	0.463
YBR062C	0.000	0.000	-2.170
YBR063C	0.000	0.000	-1.542
YBR064W	0.000	0.000	-1.593
YBR065C	0.000	0.000	-1.136
YBR066C	0.000	0.000	-0.797
YBR067C	0.000	0.000	-1.987
YBR068C	0.000	0.000	-2.465
YBR069C	0.000	0.000	-0.157
YBR071W	0.000	0.000	-2.239
YBR072W	0.000	0.000	-2.239
YBR073W	0.000	0.000	-1.417
YBR074W	0.000	0.000	-2.057
YBR076W	0.000	0.000	-1.249
YBR077C	0.000	0.000	-1.969
YBR078W	-2.420	0.000	-0.950
YBR081C	-3.285	0.000	0.000
YBR082C	0.000	0.000	0.930
YBR083W	0.000	0.000	-1.792
YBR084C-A	0.000	0.000	0.678
YBR084W	0.000	0.000	-1.971
YBR085W	0.000	0.000	-1.727
YBR086C	0.000	0.000	-1.999
YBR089C-A	0.000	0.000	-2.289
YBR090C	0.000	0.000	-1.582
YBR092C	0.000	0.000	-1.575
YBR093C	0.000	0.000	-1.606
YBR094W	0.000	0.000	-1.353
YBR095C	0.000	0.000	-0.274
YBR097W	-1.647	0.000	0.000
YBR098W	-2.387	0.000	-1.490
YBR099C	-1.855	0.000	-0.859
YBR101C	0.000	0.000	-0.571
YBR103W	0.000	0.000	-1.505
YBR104W	0.000	0.000	-2.167
YBR105C	0.000	0.000	-2.633
YBR107C	0.000	0.000	-1.191
YBR108W	0.000	0.000	-2.140
YBR113W	0.000	0.000	-1.836
YBR114W	0.000	0.000	-1.932
YBR115C	0.000	0.000	-1.567
YBR116C	0.000	0.000	-2.145
YBR118W	0.000	0.000	-2.728
YBR119W	0.000	0.000	0.104
YBR120C	0.000	-1.340	-2.330
YBR125C	0.000	0.000	-1.634
YBR128C	0.000	0.000	1.784
YBR129C	0.000	0.000	-1.192
YBR130C	0.000	0.000	-2.207
YBR131W	0.000	0.000	0.744
YBR133C	0.000	0.000	1.287
YBR134W	0.000	0.000	-0.440
YBR137W	0.000	0.000	-0.341
YBR138C	0.000	0.000	-1.288
YBR139W	0.000	0.000	-1.180
YBR141C	0.000	0.000	-1.790
YBR144C	0.000	0.000	-0.122
YBR148W	0.000	0.000	-1.795
YBR149W	0.000	0.000	-1.906
YBR150C	0.000	0.000	-1.625
YBR151W	0.000	0.000	-0.391
YBR156C	0.000	0.000	0.925
YBR157C	0.000	0.000	-0.891
YBR158W	0.000	0.000	-1.659
YBR159W	0.000	0.000	-0.974
YBR161W	0.000	0.000	-1.566
YBR162C	0.000	0.000	0.101
YBR162W-A	0.000	0.000	-2.120
YBR164C	0.000	0.000	0.245
YBR165W	0.000	0.000	0.580
YBR169C	0.000	0.000	-0.727
YBR170C	0.000	0.000	-0.042
YBR172C	0.000	0.000	-1.988
YBR173C	0.000	0.000	-0.266
YBR174C	0.000	0.000	-0.899
YBR175W	0.000	0.000	-0.894
YBR176W	0.000	0.000	-1.338
YBR177C	0.000	0.000	-1.521
YBR180W	0.000	0.000	-1.465
YBR181C	0.000	0.000	1.064
YBR182C	0.000	0.000	-1.821
YBR183W	0.000	0.000	-1.115
YBR184W	0.000	0.000	-1.201
YBR185C	0.000	0.000	-1.873
YBR186W	0.000	0.000	-1.942
YBR187W	0.000	0.000	-0.103
YBR188C	0.000	0.000	-0.616
YBR194W	-1.755	0.000	0.000
YBR195C	0.000	0.000	-0.334
YBR197C	0.000	-1.482	0.599
YBR199W	0.000	0.000	-2.028
YBR201W	0.000	0.000	-1.428
YBR203W	0.000	0.000	-0.900
YBR204C	0.000	0.000	-0.942
YBR205W	0.000	0.000	-1.310
YBR206W	0.000	0.000	-1.857
YBR207W	0.000	0.000	-1.114
YBR208C	0.000	0.000	-1.667
YBR210W	0.000	0.000	-1.824
YBR212W	0.000	0.000	-1.593
YBR213W	0.000	0.000	-0.676
YBR214W	0.000	0.000	-2.534
YBR215W	0.000	0.000	-2.194
YBR216C	0.000	0.000	-1.669
YBR217W	0.000	0.000	-0.798
YBR218C	0.000	0.000	-1.151
YBR219C	0.000	0.000	-1.787
YBR220C	0.000	0.000	-1.633
YBR221C	0.000	-2.465	0.314
YBR222C	0.000	0.000	-1.811
YBR223C	0.000	0.000	-1.647
YBR224W	0.000	0.000	-1.649
YBR225W	0.000	0.000	-1.132
YBR226C	0.000	0.000	-1.583
YBR227C	0.000	0.000	-1.663
YBR228W	0.000	0.000	-1.966
YBR229C	0.000	0.000	-1.316
YBR230C	0.000	0.000	-2.005
YBR231C	0.000	0.000	0.641
YBR232C	0.000	0.000	-2.204
YBR233W	0.000	0.000	-2.567
YBR235W	0.000	0.000	-2.237
YBR238C	0.000	0.000	0.575
YBR239C	0.000	0.000	-2.171
YBR240C	0.000	0.000	-2.061
YBR241C	0.000	0.000	-1.314
YBR242W	0.000	0.000	-1.452
YBR244W	0.000	0.000	-1.948
YBR245C	0.000	0.000	-1.249
YBR246W	0.000	0.000	0.769
YBR248C	0.000	0.000	-1.402
YBR249C	0.000	0.000	-2.044
YBR250W	0.000	0.000	-1.885
YBR255W	0.000	-1.428	-1.634
YBR258C	0.000	0.000	-1.201
YBR259W	0.000	0.000	-2.234
YBR260C	0.000	0.000	-2.188
YBR261C	0.000	0.000	-1.372
YBR262C	0.000	0.000	-1.121
YBR263W	0.000	0.000	-1.632
YBR264C	0.000	0.000	-2.449
YBR267W	0.000	0.000	1.920
YBR269C	0.000	0.000	-0.806
YBR270C	0.000	0.000	-1.506
YBR271W	0.000	0.000	-0.328
YBR272C	0.000	0.000	-0.833
YBR273C	0.000	0.000	-1.864
YBR275C	0.000	0.000	-2.420
YBR276C	0.000	0.000	-2.395
YBR277C	0.000	0.000	0.308
YBR278W	0.000	0.000	1.015
YBR280C	0.000	0.000	0.608
YBR281C	0.000	0.000	-1.138
YBR284W	0.000	0.000	-2.101
YBR285W	0.000	0.000	-1.990
YBR286W	0.000	0.000	-1.837
YBR287W	0.000	0.000	-0.010
YBR288C	0.000	-2.874	-1.788
YBR290W	-2.943	0.000	4.301
YBR291C	-1.472	0.000	-1.452
YBR292C	0.000	0.000	-1.372
YBR293W	0.000	0.000	-1.194
YBR294W	0.000	0.000	-2.398
YBR295W	0.000	0.000	-1.944
YBR296C	0.000	0.000	-2.066
YBR297W	0.000	0.000	-1.849
YBR298C	-2.047	0.000	-0.456
YBR299W	0.000	0.000	-0.626
YBR300C	0.000	0.000	-2.329
YBR301W	0.000	0.000	-0.752
YCL001W	0.000	0.000	-1.565
YCL001W-A	-1.591	0.000	-0.774
YCL002C	0.000	0.000	-1.591
YCL005W	0.000	0.000	-1.372
YCL006C	0.000	0.000	-1.093
YCL008C	-1.723	0.000	1.092
YCL009C	0.000	0.000	-0.674
YCL010C	0.000	0.000	-2.056
YCL011C	0.000	0.000	-1.766
YCL013W	0.000	0.000	-2.152
YCL014W	0.000	0.000	-1.791
YCL016C	0.000	0.000	8.146
YCL022C	0.000	0.000	-1.854
YCL023C	0.000	0.000	-1.804
YCL024W	0.000	0.000	-2.411
YCL025C	0.000	0.000	-0.038
YCL026C	0.000	0.000	-0.269
YCL026C-A	0.000	0.000	-1.790
YCL027W	0.000	0.000	-2.343
YCL028W	0.000	0.000	-2.524
YCL030C	0.000	0.000	1.076
YCL032W	0.000	0.000	-2.223
YCL033C	0.000	0.000	-1.163
YCL034W	0.000	0.000	-1.400
YCL035C	0.000	0.000	-1.711
YCL036W	0.000	0.000	-1.858
YCL037C	-1.361	0.000	-0.368
YCL038C	0.000	0.000	-1.538
YCL039W	0.000	0.000	-0.767
YCL040W	0.000	0.000	-2.029
YCL042W	0.000	0.000	-1.933
YCL044C	0.000	0.000	-2.014
YCL045C	0.000	0.000	-0.698
YCL046W	0.000	0.000	-2.065
YCL047C	0.000	0.000	-1.134
YCL048W	0.000	0.000	-2.033
YCL049C	0.000	0.000	-2.375
YCL050C	0.000	0.000	-2.158
YCL051W	0.000	0.000	-2.064
YCL055W	0.000	-1.645	-1.002
YCL056C	0.000	0.000	-1.785
YCL057W	0.000	0.000	-2.267
YCL061C	-1.728	0.000	-0.445
YCL063W	0.000	0.000	-1.411
YCL064C	0.000	-1.972	-1.374
YCL069W	0.000	0.000	-1.082
YCL074W	0.000	0.000	-2.443
YCL075W	0.000	0.000	-2.027
YCL076W	0.000	0.000	-0.687
YCR001W	0.000	0.000	-2.061
YCR003W	0.000	0.000	0.473
YCR004C	0.000	0.000	-1.773
YCR005C	0.000	0.000	-2.018
YCR006C	0.000	0.000	-1.484
YCR007C	0.000	0.000	-1.929
YCR008W	0.000	0.000	-1.780
YCR009C	-4.905	0.000	0.000
YCR010C	0.000	0.000	-2.142
YCR011C	0.000	0.000	-1.769
YCR014C	0.000	0.000	-1.617
YCR015C	0.000	0.000	-2.115
YCR016W	0.000	0.000	-2.142
YCR017C	0.000	-1.281	-1.892
YCR019W	0.000	0.000	-2.153
YCR020C	0.000	0.000	-0.853
