orf	hom | growth (pooled culture) | glyoxal [20 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | methylglyoxal [8 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | glyoxal [80 mM] | YPD | Hoon S~Nislow C, 2011
YAL002W	-1.861	0.0	4.152170000000001
YAL021C	-7.058	0.0	0.5275423333333333
YAL024C	-5.923	-2.346	-1.1894266666666666
YAR002W	-2.106	0.0	
YBL046W	-1.32	-3.262	-1.7486433333333335
YBL058W	-1.726	0.0	
YBL079W	-2.655	0.0	-0.6352366666666666
YBR078W	-2.42	0.0	-0.949934
YBR081C	-3.285	0.0	
YBR097W	-1.647	0.0	
YBR098W	-2.387	0.0	-1.4902238666666667
YBR099C	-1.855	0.0	-0.8587669
YBR194W	-1.755	0.0	
YBR290W	-2.943	0.0	4.301266666666667
YBR291C	-1.472	0.0	-1.4524966666666668
YBR298C	-2.047	0.0	-0.455887
YCL001W-A	-1.591	0.0	-0.773551
YCL008C	-1.723	0.0	1.091974
YCL037C	-1.361	0.0	-0.3679463333333333
YCL061C	-1.728	0.0	-0.4450707666666667
YCR009C	-4.905	0.0	
YCR026C	-1.917	0.0	-0.8143403333333333
YCR027C	-2.25	0.0	-0.11005143700000003
YCR034W	-3.499	-1.463	0.933396
YCR036W	-1.733	0.0	-0.19831806666666665
YCR044C	-4.836	0.0	
YCR045C	-1.876	0.0	-1.117986
YCR050C	-1.667	0.0	-0.37916833333333333
YCR059C	-1.761	0.0	-1.3194883333333334
YCR061W	-2.064	0.0	-0.7934457833333334
YCR065W	-1.875	0.0	-0.1491079333333333
YCR066W	-3.853	0.0	0.5358223333333333
YCR068W	-1.702	0.0	-1.30404
YCR077C	-4.572	0.0	0.842994
YCR079W	-1.644	0.0	-1.79607
YCR081W	-2.455	0.0	1.6970366666666665
YCR087C-A	-1.536	0.0	-1.377859
YCR087W	-2.224	0.0	-1.065863
YCR098C	-1.335	0.0	0.873284
YDL006W	-3.256	0.0	3.5097133333333326
YDL013W	-1.846	0.0	
YDL020C	-2.187	0.0	4.70646
YDL023C	-1.823	0.0	1.2690683333333335
YDL037C	-1.557	0.0	-1.1604593333333333
YDL040C	-4.244	-2.959	1.0301823333333333
YDL041W	-5.12	0.0	3.43221
YDL059C	-1.44	0.0	0.5663237
YDL100C	-1.323	0.0	-0.6154363333333334
YDL116W	-1.614	0.0	
YDL160C	-4.363	0.0	
YDL168W	-4.387	0.0	-0.8945313333333335
YDR004W	-1.786	0.0	0.13409633333333335
YDR005C	-1.761	0.0	-2.0210166666666667
YDR028C	-1.445	-3.237	0.6151766666666667
YDR048C	-3.28	0.0	
YDR049W	-4.166	0.0	-0.126561
YDR069C	-3.136	-2.184	
YDR074W	-1.404	0.0	
YDR076W	-1.553	0.0	2.0585633333333333
YDR120C	-1.764	-3.341	-0.6583163333333334
YDR129C	-2.58	0.0	
YDR138W	-2.463	0.0	
YDR150W	-1.7	0.0	
YDR162C	-2.135	0.0	6.20986
YDR165W	-1.52	0.0	-0.9360539999999999
YDR176W	-3.708	0.0	3.6860533333333336
YDR195W	-3.25	0.0	
YDR207C	-2.552	0.0	0.9845993333333333
YDR245W	-2.501	0.0	
YDR260C	-3.37	0.0	-0.4328903333333334
YDR264C	-3.101	-1.989	
YDR266C	-2.98	0.0	0.3191996666666667
YDR276C	-1.37	0.0	-1.1963933333333332
YDR378C	-1.858	0.0	
YDR385W	-3.701	0.0	-0.7243886666666667
YDR386W	-2.551	0.0	-1.1836
YDR388W	-3.614	0.0	
YDR392W	-2.679	0.0	6.683463333333333
YDR432W	-3.032	0.0	
YDR448W	-3.027	0.0	
YEL036C	-4.065	-1.906	
YEL044W	-3.148	0.0	
YER019W	-1.63	0.0	0.9233826666666666
YER070W	-1.967	0.0	
YER095W	-2.284	0.0	1.9874166666666664
YER162C	-2.042	0.0	-1.096336
YER164W	-1.531	0.0	-0.11870766666666664
YFL025C	-2.134	0.0	-0.323405
YFL033C	-1.457	0.0	-2.1343566666666667
YFR019W	-2.744	0.0	
YFR036W	-4.652	0.0	0.11124166666666668
YGL012W	-3.407	0.0	5.6984666666666675
YGL035C	-1.577	-2.792	-1.8560466666666666
YGL038C	-1.609	0.0	
