orf	hom | growth (pooled culture, barseq) | 2-amino-3-methylimidazo[4,5-f] quinoline [400 uM] | YPD + MeOH [2%] | Dolan M~Fasullo M, 2023	hom | growth (pooled culture, barseq) | 2-amino-3-methylimidazo[4,5-f] quinoline [800 uM] | YPD + MeOH [2%] | Dolan M~Fasullo M, 2023	hom | growth (pooled culture, barseq) | 2-amino-3-methylimidazo[4,5-f] quinoline [400 uM], expression of human CYP1A2, expression of human NAT2 | SC - Ura + MeOH [2%] | Dolan M~Fasullo M, 2023	hom | growth (pooled culture, barseq) | 2-amino-3-methylimidazo[4,5-f] quinoline [800 uM], expression of human CYP1A2, expression of human NAT2 | SC - Ura + MeOH [2%] | Dolan M~Fasullo M, 2023
YAL001C	-3.7807953471538864	0.4691651364344354	-0.7184966730120703	-0.8781830266123969
YAL002W	0.10192169163880473	0.41675286585236027	0.3813819239169536	0.16168328975728855
YAL003W	0.1004094386868419	0.6680331317255456	1.4159989743338965	0.9767373229191366
YAL004W	0.10029864159204595	0.3589114221620348	-0.041147975594941905	-0.17970762047273792
YAL005C	0.3872946038242567	0.8050494116201146	0.7488251911801517	0.6500069842023981
YAL007C	-0.1281764257760006	-0.26466322365248535	-0.1257367580248121	-0.2727633901039384
YAL008W	-0.036777593900892365	-0.17575148296130405	0.017998208094839506	-0.49198646166318416
YAL009W	-0.261599197392655	-0.6842468936483596	0.7099641402727935	1.0361219446057464
YAL010C	0.1004094386868419	0.6680331317255456	1.4159989743338965	0.9767373229191366
YAL011W	0.13705308419810214	0.8653950370663409	-0.10918029356469862	-0.9645498003843862
YAL012W	0.1004094386868419	0.6680331317255456	1.4159989743338965	0.9767373229191366
YAL013W	-0.7621578042530484	-4.581503600577492	-0.91790206259325	-0.5273101340700338
YAL014C	0.005509456252608046	0.028291613499203675	0.5796753098958373	0.5629865112321409
YAL015C	-0.3796248628762837	-0.6267545803640184	0.4240607339348065	0.4251765335700995
YAL016W	0.1004094386868419	0.6680331317255456	1.4159989743338965	0.9767373229191366
YAL017W	0.08943995369273497	0.4212961791178942	0.2613733191780822	-0.2353274129011249
YAL018C	0.004407155255724377	0.275316737930693	0.05316697171315206	0.2385941323633453
YAL019W	0.12256331788450571	0.1349604982049465	0.30831560649277784	-0.06005645402784784
