orf	hap a | growth (colony size) | sodium metabisulfite [12 mM] | YPD | Jin X~Liu B, 2021
YAL002W	-0.8595266666666667
YAL004W	0.06401000000000001
YAL005C	-0.16974999999999998
YAL007C	-0.020010000000000003
YAL008W	0.06845666666666667
YAL010C	0.06520333333333334
YAL011W	-0.29953
YAL013W	-0.05080666666666667
YAL014C	-0.034076666666666665
YAL015C	0.3755
YAL017W	-0.15289
YAL018C	0.03843333333333334
YAL019W	0.024823333333333336
YAL020C	0.14175333333333331
YAL022C	-0.0029000000000000046
YAL023C	-0.22304
YAL024C	0.048716666666666665
YAL026C	-0.5726166666666667
YAL027W	0.03117
YAL028W	-0.000983333333333336
YAL029C	0.019726666666666667
YAL030W	0.14043333333333333
YAL031C	-0.12218666666666667
YAL034C	0.21053333333333332
YAL036C	0.0219
YAL037W	0.07243333333333334
YAL040C	-0.12580666666666665
YAL042C-A	0.01965
YAL042W	-0.08136333333333334
YAL045C	0.09363666666666666
YAL046C	0.03762666666666667
YAL048C	0.10238333333333333
YAL049C	0.06376
YAL051W	0.03134333333333333
YAL053W	-0.02932333333333334
YAL054C	0.13969333333333334
YAL055W	0.008696666666666667
YAL056C-A	-0.0022800000000000003
YAL056W	0.016903333333333336
YAL058W	-0.013103333333333335
YAL059W	-0.01501666666666667
YAL060W	0.0010199999999999977
YAL061W	-0.022586666666666668
YAL062W	0.03541333333333333
YAL064C-A	-0.012366666666666665
YAL065C	0.10874000000000002
YAL066W	0.05787
YAL067C	0.07137666666666666
YAL068C	-0.02785333333333333
YAR002C-A	0.022736666666666665
YAR002W	0.05338999999999999
YAR003W	0.12833333333333333
YAR014C	-0.11433
YAR015W	-0.025426666666666663
YAR018C	-0.05807333333333334
YAR020C	0.24617666666666663
YAR023C	0.05790666666666667
YAR027W	0.07947333333333333
YAR028W	0.10830333333333332
YAR029W	-0.04562333333333333
YAR030C	-0.023376666666666667
YAR031W	0.06178666666666666
YAR035W	-0.10925
YAR042W	0.07142
YAR047C	-0.24620666666666666
YAR050W	-0.09613333333333333
YBL001C	0.03186666666666666
YBL003C	0.02861666666666667
YBL005W	0.03538
YBL007C	-0.4436466666666667
YBL008W	0.08626666666666667
YBL009W	0.013519999999999999
YBL010C	-0.09577666666666666
YBL011W	-0.04011
YBL013W	0.11584666666666667
YBL015W	0.09106666666666667
YBL017C	-0.23149
YBL019W	0.12180333333333333
YBL021C	0.16559000000000001
YBL024W	0.20819000000000001
YBL027W	-0.07273333333333333
YBL028C	0.09734666666666665
YBL029W	0.11702333333333333
YBL031W	0.11452333333333332
YBL032W	-0.25062333333333336
YBL036C	0.19040333333333334
YBL037W	0.0005733333333333331
YBL039C	-0.037233333333333334
YBL042C	-0.00028666666666666657
