orf	hap a | growth (colony size) | sodium metabisulfite [12 mM] | YPD | Jin X~Liu B, 2021
YAL002W	-6.66574735381879
YAL004W	0.4874141515690323
YAL005C	-1.3231507061692895
YAL007C	-0.16335441168889822
YAL008W	0.5218553664934977
YAL010C	0.4966569963538588
YAL011W	-2.32834880352247
YAL013W	-0.40188693394312414
YAL014C	-0.27230638094020604
YAL015C	2.900029002428503
YAL017W	-1.1925632510808737
YAL018C	0.2893126207478746
YAL019W	0.18389771779690536
YAL020C	1.08956741669895
YAL022C	-0.030830606436063324
YAL023C	-1.7359031072168392
YAL024C	0.3689611575109752
YAL026C	-4.443514451124994
YAL027W	0.23305519397095514
YAL028W	-0.015985255175517805
YAL029C	0.1444219924449504
YAL030W	1.079343487830818
YAL031C	-0.954753632888031
YAL034C	1.6222960739338994
YAL036C	0.1612553298742994
YAL037W	0.5526562431088556
YAL040C	-0.9827919832688177
YAL042C-A	0.1438281783945286
YAL042W	-0.6385605600395079
YAL045C	0.7168845550537772
YAL046C	0.2830646642173493
YAL048C	0.7846309928062493
YAL049C	0.4854778014046132
YAL051W	0.23439773008495227
YAL053W	-0.23548990981405327
YAL054C	1.0736118913441377
YAL055W	0.05899022319078508
YAL056C-A	-0.02602845802830422
YAL056W	0.1225541445881121
YAL058W	-0.10985951114654989
YAL059W	-0.12467904440490316
YAL060W	-0.0004686358579737174
YAL061W	-0.18331172738350981
YAL062W	0.26592151076169324
YAL064C-A	-0.10415373266206193
YAL065C	0.833865922986876
YAL066W	0.43985739153090203
YAL067C	0.5444719364139113
YAL068C	-0.2241041708472696
YAR002C-A	0.1677356484245549
YAR002W	0.4051579965845139
YAR003W	0.9856241398729393
YAR014C	-0.8939006017208905
YAR015W	-0.20530866525130936
YAR018C	-0.4581701787222358
YAR020C	1.8983679713756612
YAR023C	0.44014138955501686
YAR027W	0.607183863738894
YAR028W	0.8304837646996907
YAR029W	-0.3617399405341706
YAR030C	-0.1894305939030738
YAR031W	0.47019354410679937
YAR035W	-0.8545539663798969
YAR042W	0.5448075704424107
YAR047C	-1.9153382224529978
YAR050W	-0.7529601277533812
YBL001C	0.23845115642913597
YBL003C	0.21327860429168932
YBL005W	0.2656633307397708
YBL007C	-3.444590128304531
YBL008W	0.6598009522067059
YBL009W	0.09634887236297524
YBL010C	-0.75019760151881
YBL011W	-0.31903696490818406
YBL013W	0.8889099036607594
YBL015W	0.6969788753635502
YBL017C	-1.8013517427742007
YBL019W	0.9350466735783156
YBL021C	1.2741919503757517
YBL024W	1.6041460183927458
YBL027W	-0.5717177523637647
YBL028C	0.7456199914937548
YBL029W	0.8980236584346246
YBL031W	0.8786601567904349
YBL032W	-1.9495470753577335
YBL036C	1.4663811586948834
YBL037W	-0.00392824815173561
YBL039C	-0.2967560290162697
YBL042C	-0.010589292717336895
YBL043W	-0.11941217195768349
YBL046W	-0.2661100604140654
YBL047C	-0.7173571027302642
YBL048W	-0.28593828609771565
YBL049W	-0.3701824272510374
YBL051C	-0.07438557613439417
YBL052C	0.025194458321125823
YBL053W	0.8001476121237934
YBL054W	0.1477783327299433
YBL055C	-0.36078467445305734
YBL056W	-0.5021382364556427
YBL057C	0.3087535763986411
YBL059W	0.054394618800564024
YBL060W	0.7531588481338929
YBL061C	-0.537767079480952
YBL062W	-1.1910141709493385
YBL063W	0.04974737840595849
YBL064C	-0.6896285683757843
YBL065W	0.21841638672794766
YBL066C	0.08793220364830077
YBL067C	0.5594721956876104
