ORF	chronological life span;standard
YPL262W	0.946
YGL124C	0.948
YOR106W	0.948
YPL055C	0.951
YDL044C	0.951
YKL032C	0.952
YGL234W	0.953
YML001W	0.953
YBR003W	0.954
YJL028W	0.954
YPL040C	0.954
YKL194C	0.955
YHL038C	0.955
YPR116W	0.956
YPL005W	0.956
YJR074W	0.956
YCL040W	0.957
YDR203W	0.957
YNR036C	0.957
YBL045C	0.958
YGR135W	0.958
YLR312W-A	0.959
YDL130W-A	0.959
YMR300C	0.959
YPR051W	0.960
YGR150C	0.960
YGL058W	0.961
YNL252C	0.961
YBR280C	0.961
YNR041C	0.961
YKL170W	0.961
YOR205C	0.961
YBR163W	0.962
YLR439W	0.962
YDR469W	0.962
YDL045W-A	0.962
YGL244W	0.962
YOR125C	0.962
YDR377W	0.962
YBR058C	0.963
YOR128C	0.963
YBR037C	0.963
YJL175W	0.964
YPL078C	0.964
YNL300W	0.964
YML083C	0.964
YGR183C	0.964
YJL023C	0.964
YGL240W	0.964
YGR244C	0.964
YOR142W	0.964
YNL098C	0.964
YPR050C	0.964
YKL208W	0.964
YJL096W	0.964
YAL013W	0.965
YML082W	0.965
YAR003W	0.965
YGR165W	0.966
YDR204W	0.966
YHR143W	0.966
YDR079W	0.967
YLR015W	0.967
YHL005C	0.967
YER081W	0.967
YCR020C-A	0.967
YCL042W	0.967
YDL068W	0.967
YGR171C	0.967
YPR096C	0.967
YLR425W	0.967
YGR184C	0.967
YGL212W	0.968
YAR014C	0.968
YEL011W	0.968
YOL088C	0.968
YOL050C	0.968
YJL063C	0.968
YOR334W	0.968
YGL115W	0.968
YPR173C	0.968
YNL081C	0.968
YDR529C	0.968
YBL080C	0.968
YBR268W	0.968
YML084W	0.968
YKL213C	0.969
YPR191W	0.969
YDR237W	0.969
YDL107W	0.969
YMR135W-A	0.969
YDR474C	0.969
YLR204W	0.970
YDL069C	0.970
YPL118W	0.970
YCR076C	0.970
YOL027C	0.970
YGR062C	0.970
YPL196W	0.970
YPL174C	0.970
YCL060C	0.970
YHL025W	0.970
YPL132W	0.970
YGR112W	0.970
YDR375C	0.970
YPL065W	0.971
YML079W	0.971
YMR257C	0.971
YOR350C	0.971
YOR147W	0.971
YML089C	0.971
YNR045W	0.971
YBR061C	0.971
YPL173W	0.972
YHR051W	0.972
YOL023W	0.972
YML080W	0.972
YCL008C	0.972
YBR174C	0.972
YKL134C	0.972
YGL206C	0.972
YPL144W	0.972
YGL037C	0.972
YOR065W	0.972
YER129W	0.972
YKL167C	0.972
YBR095C	0.972
YLR244C	0.972
YGL235W	0.972
YDR175C	0.973
YEL012W	0.973
YML097C	0.973
YDL142C	0.973
YMR267W	0.973
YDR435C	0.973
YDL032W	0.973
YKL087C	0.973
YOL096C	0.973
YER058W	0.973
YPL031C	0.973
YGR257C	0.973
YDR116C	0.974
YML078W	0.974
YOR061W	0.974
YMR287C	0.974
YKL207W	0.974
YNL235C	0.974
YKL160W	0.974
YPL138C	0.974
YLR372W	0.974
YGL237C	0.974
YDR028C	0.974
YPL139C	0.975
YER141W	0.975
YOR183W	0.975
YLR203C	0.975
YLR209C	0.975
YLR218C	0.975
YPL172C	0.975
YLR295C	0.975
YLR382C	0.975
YKL206C	0.975
YDR005C	0.976
YOR199W	0.976
YLR091W	0.976
YDR408C	0.976
YMR311C	0.976
YDR162C	0.976
YMR299C	0.976
YKR016W	0.977
YPL050C	0.977
YPL060W	0.977
YMR228W	0.977
YDR335W	0.977
YGR076C	0.977
YDR202C	0.977
YDL117W	0.977
YOR187W	0.977
YML087C	0.977
YOR182C	0.977
YLR396C	0.977
YDR149C	0.977
YHR012W	0.977
YPL120W	0.977
YOR330C	0.977
YPR134W	0.977
YLR393W	0.977
YKR074W	0.977
YIL035C	0.977
YIL045W	0.978
YDL020C	0.978
YPL182C	0.978
YPR074C	0.978
YJR011C	0.978
YPL013C	0.978
YOL008W	0.978
YJL154C	0.978
YDR477W	0.978
YCL063W	0.978
YOL087C	0.979
YJL166W	0.979
YHR129C	0.979
YPR100W	0.979
YGL236C	0.979
YHL020C	0.979
YMR035W	0.979
YPL270W	0.979
YKL205W	0.979
YIL052C	0.979
YOR247W	0.979
YML030W	0.979
YMR100W	0.979
YDR194C	0.979
YFL036W	0.979
YGR260W	0.980
YFR040W	0.980
YDR048C	0.980
YOL089C	0.980
YNL066W	0.980
YGR215W	0.980
YMR151W	0.980
YKL085W	0.980
YIL090W	0.980
YOR132W	0.980
YDR122W	0.980
YJL042W	0.980
YBL038W	0.980
YPL029W	0.980
YOR189W	0.980
YGR284C	0.980
YML061C	0.980
YML051W	0.980
YGL149W	0.980
YHL030W	0.980
YPL100W	0.980
YDR150W	0.980
YNL327W	0.980
YMR256C	0.980
YNR005C	0.980
YDR475C	0.980
YNL159C	0.980
YGL066W	0.981
YNL001W	0.981
YML094W	0.981
YLR290C	0.981
YKR042W	0.981
YBR120C	0.981
YER027C	0.981
YOL101C	0.981
