orf	hom | growth (spot assay) | doxorubicin [25-50 ug/ml] | YPD | Westmoreland TJ~Bennett CB, 2009
YAL013W	-1.010748826727411
YAL021C	-4.042995306909644
YAL035W	-4.042995306909644
YAL040C	-2.021497653454822
YAL047C	-1.010748826727411
YAR002W	-1.010748826727411
YBL007C	-1.010748826727411
YBL025W	-5.053744133637055
YBL051C	-5.053744133637055
YBL058W	-5.053744133637055
YBL093C	-4.042995306909644
YBR009C	-3.032246480182233
YBR015C	-1.010748826727411
YBR044C	-3.032246480182233
YBR048W	-3.032246480182233
YBR059C	-3.032246480182233
YBR069C	-5.053744133637055
YBR077C	-3.032246480182233
YBR078W	-3.032246480182233
YBR081C	-4.042995306909644
YBR098W	-4.042995306909644
YBR099C	-1.010748826727411
YBR126C	-5.053744133637055
YBR127C	-4.042995306909644
YBR179C	-2.021497653454822
YBR191W	-2.021497653454822
YBR200W	-4.042995306909644
YBR231C	-2.021497653454822
YBR255W	-1.010748826727411
YBR289W	-5.053744133637055
YCL007C	-5.053744133637055
YCL016C	-2.021497653454822
YCL058C	-4.042995306909644
YCR008W	-4.042995306909644
YCR020W-B	-2.021497653454822
YCR028C	-2.021497653454822
YCR033W	-1.010748826727411
YCR044C	-5.053744133637055
YCR047C	-5.053744133637055
YCR053W	-2.021497653454822
YCR063W	-1.010748826727411
YCR077C	-5.053744133637055
YCR084C	-5.053744133637055
YDL006W	-4.042995306909644
YDL013W	-4.042995306909644
YDL041W	-3.032246480182233
YDL047W	-2.021497653454822
YDL059C	-4.042995306909644
YDL075W	-1.010748826727411
YDL081C	-4.042995306909644
YDL106C	-4.042995306909644
YDL115C	-1.010748826727411
YDL116W	-2.021497653454822
YDL119C	-1.010748826727411
YDL130W	-2.021497653454822
YDL136W	-1.010748826727411
YDL160C	-3.032246480182233
YDL190C	-1.010748826727411
YDL191W	-5.053744133637055
YDL198C	-1.010748826727411
YDR004W	-5.053744133637055
YDR017C	-5.053744133637055
YDR028C	-5.053744133637055
YDR048C	-1.010748826727411
YDR049W	-4.042995306909644
YDR069C	-4.042995306909644
YDR076W	-5.053744133637055
YDR083W	-1.010748826727411
YDR101C	-1.010748826727411
YDR129C	-2.021497653454822
YDR138W	-5.053744133637055
YDR140W	-5.053744133637055
YDR158W	-4.042995306909644
YDR159W	-4.042995306909644
YDR162C	-2.021497653454822
YDR173C	-2.021497653454822
YDR174W	-2.021497653454822
YDR200C	-5.053744133637055
YDR202C	-2.021497653454822
YDR226W	-5.053744133637055
YDR245W	-4.042995306909644
YDR264C	-5.053744133637055
YDR269C	-1.010748826727411
YDR270W	-1.010748826727411
YDR271C	-1.010748826727411
YDR298C	-1.010748826727411
YDR300C	-3.032246480182233
YDR335W	-5.053744133637055
YDR363W	-2.021497653454822
YDR363W-A	-1.010748826727411
YDR369C	-5.053744133637055
YDR378C	-2.021497653454822
YDR386W	-2.021497653454822
YDR389W	-5.053744133637055
YDR417C	-1.010748826727411
YDR432W	-4.042995306909644
YDR433W	-4.042995306909644
YDR448W	-2.021497653454822
YDR455C	-1.010748826727411
YDR457W	-1.010748826727411
YDR507C	-2.021497653454822
YDR532C	-1.010748826727411
YEL027W	-5.053744133637055
YEL029C	-5.053744133637055
YEL033W	-4.042995306909644
YEL036C	-4.042995306909644
YEL044W	-4.042995306909644
YEL050C	-1.010748826727411
YEL051W	-5.053744133637055
YEL054C	-4.042995306909644
YER014C-A	-5.053744133637055
YER014W	-5.053744133637055
YER052C	-4.042995306909644
YER068W	-1.010748826727411
YER070W	-4.042995306909644
YER095W	-4.042995306909644
YER116C	-5.053744133637055
YER145C	-1.010748826727411
YER151C	-1.010748826727411
YER177W	-1.010748826727411
YFR001W	-2.021497653454822
YFR019W	-2.021497653454822
YFR040W	-1.010748826727411
YGL012W	-5.053744133637055
YGL013C	-4.042995306909644
YGL019W	-4.042995306909644
YGL020C	-4.042995306909644
YGL023C	-1.010748826727411
YGL025C	-5.053744133637055
YGL035C	-1.010748826727411
YGL038C	-5.053744133637055
YGL058W	-1.010748826727411
YGL070C	-5.053744133637055
YGL071W	-2.021497653454822
YGL084C	-5.053744133637055
YGL088W	-2.021497653454822
YGL163C	-4.042995306909644
YGL175C	-2.021497653454822
YGL240W	-4.042995306909644
YGR020C	-5.053744133637055
YGR036C	-1.010748826727411
YGR063C	-1.010748826727411
YGR092W	-4.042995306909644
YGR104C	-1.010748826727411
YGR159C	-4.042995306909644
YGR160W	-4.042995306909644
YGR162W	-2.021497653454822
YGR167W	-5.053744133637055
YGR171C	-4.042995306909644
YGR178C	-2.021497653454822
YGR180C	-3.032246480182233
YGR192C	-1.010748826727411
YGR204W	-1.010748826727411
YGR208W	-3.032246480182233
YGR252W	-1.010748826727411
YGR271C-A	-2.021497653454822
YGR285C	-2.021497653454822
YHL025W	-4.042995306909644
YHR010W	-5.053744133637055
YHR013C	-1.010748826727411
YHR025W	-2.021497653454822
YHR026W	-2.021497653454822
YHR030C	-1.010748826727411
YHR039C-A	-4.042995306909644
YHR059W	-1.010748826727411
YHR060W	-2.021497653454822
YHR064C	-4.042995306909644
YHR091C	-1.010748826727411
YHR183W	-1.010748826727411
YIL052C	-1.010748826727411
YIL107C	-3.032246480182233
YIL154C	-5.053744133637055
YIR023W	-1.010748826727411
YIR026C	-1.010748826727411
YJL047C	-1.010748826727411
YJL075C	-2.021497653454822
YJL092W	-2.021497653454822
YJL094C	-4.042995306909644
YJL095W	-4.042995306909644
YJL115W	-4.042995306909644
YJL120W	-1.010748826727411
YJL121C	-1.010748826727411
YJL124C	-4.042995306909644
YJL127C	-2.021497653454822
YJL129C	-4.042995306909644
YJL148W	-1.010748826727411
YJL165C	-4.042995306909644
YJL168C	-1.010748826727411
YJL169W	-1.010748826727411
YJL175W	-4.042995306909644
YJL176C	-5.053744133637055
YJL183W	-1.010748826727411
YJL184W	-4.042995306909644
YJL188C	-3.032246480182233
YJL189W	-4.042995306909644
YJR033C	-2.021497653454822
YJR040W	-2.021497653454822
YJR055W	-4.042995306909644
YJR070C	-2.021497653454822
YJR090C	-4.042995306909644
YJR094C	-2.021497653454822
YJR104C	-5.053744133637055
YJR145C	-3.032246480182233
YKL006W	-1.010748826727411
YKL009W	-1.010748826727411
YKL053C-A	-4.042995306909644
YKL080W	-4.042995306909644
YKL110C	-1.010748826727411
YKL118W	-4.042995306909644
YKL119C	-4.042995306909644
YKL121W	-1.010748826727411
YKL139W	-5.053744133637055
YKL176C	-3.032246480182233
YKL212W	-3.032246480182233
YKR024C	-3.032246480182233
YKR072C	-2.021497653454822
YKR073C	-1.010748826727411
YKR082W	-4.042995306909644
YKR085C	-2.021497653454822
YLL002W	-4.042995306909644
YLL014W	-1.010748826727411
YLL027W	-1.010748826727411
YLR061W	-1.010748826727411
YLR062C	-1.010748826727411
YLR074C	-1.010748826727411
YLR110C	-4.042995306909644
YLR120C	-1.010748826727411
YLR139C	-1.010748826727411
YLR148W	-4.042995306909644
YLR182W	-3.032246480182233
YLR185W	-1.010748826727411
YLR192C	-1.010748826727411
YLR234W	-4.042995306909644
YLR235C	-5.053744133637055
YLR240W	-5.053744133637055
YLR304C	-4.042995306909644
YLR320W	-4.042995306909644
YLR373C	-2.021497653454822
YLR374C	-1.010748826727411
YLR396C	-2.021497653454822
YLR403W	-1.010748826727411
YLR435W	-4.042995306909644
YLR447C	-4.042995306909644
YML008C	-5.053744133637055
YML009C-A	-4.042995306909644
YML032C	-5.053744133637055
YML041C	-1.010748826727411
YML067C	-5.053744133637055
YML094W	-1.010748826727411
YML106W	-1.010748826727411
YML112W	-4.042995306909644
YML115C	-4.042995306909644
YML117W	-4.042995306909644
YML129C	-1.010748826727411
YMR014W	-4.042995306909644
YMR054W	-1.010748826727411
YMR058W	-1.010748826727411
YMR060C	-1.010748826727411
YMR116C	-4.042995306909644
YMR123W	-4.042995306909644
YMR125W	-2.021497653454822
YMR126C	-1.010748826727411
YMR142C	-5.053744133637055
YMR179W	-1.010748826727411
YMR216C	-2.021497653454822
YMR242C	-2.021497653454822
YMR247C	-1.010748826727411
YMR263W	-2.021497653454822
YMR269W	-1.010748826727411
YMR272C	-1.010748826727411
YMR307W	-4.042995306909644
YNL055C	-1.010748826727411
YNL059C	-4.042995306909644
YNL064C	-4.042995306909644
YNL067W	-1.010748826727411
YNL068C	-1.010748826727411
YNL071W	-1.010748826727411
YNL084C	-2.021497653454822
YNL097C	-1.010748826727411
YNL107W	-4.042995306909644
YNL139C	-5.053744133637055
YNL140C	-4.042995306909644
YNL147W	-4.042995306909644
YNL197C	-1.010748826727411
YNL199C	-4.042995306909644
YNL220W	-4.042995306909644
YNL236W	-4.042995306909644
YNL248C	-5.053744133637055
YNL250W	-4.042995306909644
YNL280C	-2.021497653454822
YNL307C	-1.010748826727411
YNR052C	-4.042995306909644
YOL004W	-5.053744133637055
YOL012C	-5.053744133637055
YOL023W	-5.053744133637055
YOL033W	-5.053744133637055
YOL045W	-5.053744133637055
YOL046C	-5.053744133637055
YOL050C	-5.053744133637055
YOL051W	-5.053744133637055
YOL067C	-5.053744133637055
YOL072W	-5.053744133637055
