ORF	hom | growth (culture turbidity) | dessication [unknown] | Shima J~Takagi H, 2008
YBR205W	0.986
YBR206W	0.989
YBR207W	0.990
YBR208C	0.961
YBR210W	1.012
YBR212W	0.980
YBR213W	1.011
YBR214W	1.029
YBR215W	0.994
YBR216C	1.007
YBR217W	0.986
YBR218C	1.001
YBR219C	1.016
YBR220C	0.999
YBR221C	0.953
YBR222C	1.005
YBR223C	0.995
YBR224W	0.995
YBR225W	1.018
YBR226C	1.023
YBR227C	1.011
YBR228W	1.004
YBR229C	0.985
YBR230C	1.013
YBR231C	0.987
YBR232C	NaN
YBR233W	1.031
YBR235W	1.014
YBR238C	0.993
YBR239C	1.011
YBR240C	1.013
YBR241C	1.022
YBR242W	1.017
YBR244W	0.980
YBR245C	1.039
YBR246W	1.029
YBR248C	1.013
YBR249C	0.976
YBR250W	1.003
YBR251W	1.021
YBR255W	1.013
YBR258C	1.019
YBR259W	1.024
YBR260C	1.014
YBR261C	1.000
YBR262C	1.007
YBR263W	1.033
YBR264C	1.021
YBR266C	0.496
YBR267W	0.537
YBR268W	0.890
YBR269C	0.958
YBR270C	0.993
YBR271W	0.989
YBR272C	0.987
YBR273C	0.962
YBR274W	0.985
YBR275C	1.000
YBR276C	0.997
YBR277C	0.911
YBR278W	0.881
YBR279W	0.480
YBR280C	1.001
YBR281C	0.938
YBR282W	0.472
YBR283C	0.709
YBR284W	0.942
YBR285W	0.991
YBR286W	0.937
YBR287W	0.983
YBR288C	0.946
YBR289W	0.226
YBR290W	0.987
YBR291C	0.901
YBR292C	0.935
YBR293W	1.002
YBR294W	0.996
YBR295W	0.957
YBR296C	0.962
YBR297W	0.938
YBR298C	0.871
YBR299W	0.992
YBR300C	0.958
YBR301W	1.036
YCL001W	1.000
YCL001W-A	0.911
YCL002C	1.017
YCL005W	0.948
YCL006C	NaN
YCL007C	0.771
YCL008C	1.004
YCL009C	0.993
YCL010C	0.968
YCL011C	0.990
YCL012W	1.012
YCL013W	1.004
YCL014W	0.993
YCL016C	0.557
YCL022C	0.980
YCL023C	0.992
YCL024W	1.001
YCL025C	1.005
YCL026C	0.992
YCL026C-A	1.030
YCL027W	0.994
YCL028W	0.997
YCL029C	0.862
YCL030C	1.004
YCL032W	0.988
YCL033C	0.987
YCL034W	0.996
YCL035C	1.010
YCL036W	0.982
YCL037C	0.872
YCL038C	0.979
YCL039W	0.990
YCL040W	0.981
YCL042W	0.992
YCL044C	0.998
YCL045C	1.002
YCL046W	0.409
YCL047C	1.001
YCL048W	0.998
YCL049C	1.010
