orf	hom | growth (pooled culture, microarray) | neothyonidioside [0.3 uM] | SC + DMSO [0.2%] | Yibmantasiri P~Bellows DS, 2012
YBL082C	-7.1929574142793555
YBR041W	-7.1929574142793555
YBR078W	-7.1929574142793555
YBR103W	-7.1929574142793555
YBR119W	-7.1929574142793555
YBR229C	-7.1929574142793555
YBR283C	-7.1929574142793555
YBR288C	-7.1929574142793555
YCL005W	-7.1929574142793555
YCL008C	-7.1929574142793555
YCR003W	-7.1929574142793555
YCR009C	-7.1929574142793555
YCR034W	-7.1929574142793555
YDL075W	-7.1929574142793555
YDL095W	-7.1929574142793555
YDL146W	-7.1929574142793555
YDL191W	-7.1929574142793555
YDR080W	-7.1929574142793555
YDR162C	-7.1929574142793555
YDR253C	-7.1929574142793555
YDR276C	-7.1929574142793555
YDR297W	-7.1929574142793555
YDR326C	-7.1929574142793555
YDR346C	-7.1929574142793555
YDR388W	-7.1929574142793555
YDR389W	-7.1929574142793555
YDR435C	-7.1929574142793555
YDR484W	-7.1929574142793555
YEL053C	-7.1929574142793555
YER111C	-7.1929574142793555
YER120W	-7.1929574142793555
YFL025C	-7.1929574142793555
YGL012W	-7.1929574142793555
YGL027C	-7.1929574142793555
YGL054C	-7.1929574142793555
YGL167C	-7.1929574142793555
YGL212W	-7.1929574142793555
YGL236C	-7.1929574142793555
YGL253W	-7.1929574142793555
YGR229C	-7.1929574142793555
YHL020C	-7.1929574142793555
YHR073W	-7.1929574142793555
YHR155W	-7.1929574142793555
YHR194W	-7.1929574142793555
YIL041W	-7.1929574142793555
YJL134W	-7.1929574142793555
YJR005W	-7.1929574142793555
YJR054W	-7.1929574142793555
YJR102C	-7.1929574142793555
YKL007W	-7.1929574142793555
YKL046C	-7.1929574142793555
YKL048C	-7.1929574142793555
YKL114C	-7.1929574142793555
YKR020W	-7.1929574142793555
YLR025W	-7.1929574142793555
YLR085C	-7.1929574142793555
YLR417W	-7.1929574142793555
YML097C	-7.1929574142793555
YML115C	-7.1929574142793555
YMR077C	-7.1929574142793555
YMR102C	-7.1929574142793555
YMR152W	-7.1929574142793555
YMR238W	-7.1929574142793555
YNL084C	-7.1929574142793555
YNL148C	-7.1929574142793555
YNL229C	-7.1929574142793555
YNL257C	-7.1929574142793555
YNL322C	-7.1929574142793555
YNR006W	-7.1929574142793555
YOL115W	-7.1929574142793555
YOL121C	-7.1929574142793555
YOR002W	-7.1929574142793555
YOR008C	-7.1929574142793555
YOR061W	-7.1929574142793555
YOR067C	-7.1929574142793555
YOR085W	-7.1929574142793555
YOR132W	-7.1929574142793555
YPL002C	-7.1929574142793555
YPL065W	-7.1929574142793555
YPL152W	-7.1929574142793555
YPL227C	-7.1929574142793555
YPL232W	-7.1929574142793555
YPL241C	-7.1929574142793555
YPL262W	-7.1929574142793555
YPR051W	-7.1929574142793555
YPR070W	-7.1929574142793555
YPR164W	-7.1929574142793555
YPR173C	-7.1929574142793555
